source:/mnt/hc-storage/users/freyja/get_pangenes/inputs_pseudo_v2_pangenes/PlasmoDB68_PfalciparumDd2_0taxa_2neigh_algMmap_/PlasmoDB-68PfalciparumDd2	PlasmoDB-68_PfalciparumDd2	PlasmoDB-68_Pfalciparum7G8	PlasmoDB-68_PfalciparumHB3	PlasmoDB-68_PfalciparumIT	PlasmoDB-68_PfalciparumKH02	PlasmoDB-68_PfalciparumKE01	PlasmoDB-68_Pfalciparum7G8-2019	PlasmoDB-68_PfalciparumGB4	PlasmoDB-68_PfalciparumKH01	PlasmoDB-68_Pfalciparum3D7	PlasmoDB-68_PfalciparumGA01	PlasmoDB-68_PfalciparumGN01	PlasmoDB-68_PfalciparumCD01	PlasmoDB-68_PfalciparumSN01	PlasmoDB-68_PfalciparumNF166	PlasmoDB-68_PfalciparumNF54	
PfDd2_010007300	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010007400	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010007500	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010007600	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010007700	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010007800	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010007900	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010008000	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010008100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010008200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010008300	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010008400	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010008500	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010008600	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010008700	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010008800	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010008900	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010009000	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010009100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010009200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010009300	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010009400	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010009500	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010009600	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010009700	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010009800	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010009900	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010010000	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010010100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010010200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010010300	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010010400	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010010500	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010010600	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010010700	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010010800	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010010900	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010011000	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010011100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010011200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010011300	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010011400	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010011500	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010011600	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010011700	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010011800	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010011900	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010012000	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010012100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010012200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010012300	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010012400	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010012500	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010012600	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010012700	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010012800	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010012900	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010013000	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010013100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010013200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010013300	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010013400	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010013500	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010013600	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010013700	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010013800	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010013900	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010014000	2	2	2	1	1	1	2	1	1	1	1	1	1	1	1	1	
PfDd2_010014200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010014300	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010014400	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010014500	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010014600	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010014700	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010014800	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010014900	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010015000	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010015100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010015200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010015400	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010015500	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	
PfDd2_010015600	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010015700	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010016300	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010016400	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010016500	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010016600	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010016700	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010016800	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010016900	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010017000	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	
PfDd2_010017100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010017200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010017300	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010017400	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010017500	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010017600	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010017700	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	
PfDd2_010017900	1	1	1	1	2	1	1	1	3	1	2	1	1	2	1	1	
PfDd2_010018000	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010018100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010018200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010018300	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_010018400	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	0	
PfDd2_010018500	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	
PfDd2_010018700	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	
PfDd2_010018750	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
PF3D7_0115200	0	0	0	0	1	1	0	1	0	1	0	0	1	0	0	1	
PF3D7_0115300	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	
PF3D7_0115400	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	
PF3D7_0115500	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	
PF3D7_0115600	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	
PF3D7_0115700	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	
PF3D7_0200100	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	
PF3D7_0200200	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	
PF3D7_0200300	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	
PF3D7_0200400	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	
PF3D7_0200500	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	
PF3D7_0200600	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	
PF3D7_0200700	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	
PF3D7_0200800	0	0	0	0	0	2	0	2	0	1	0	0	1	2	0	1	
PF3D7_0200900	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	1	
PF3D7_0201000	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	
PF3D7_0201100	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	
PF3D7_0201200	0	1	0	0	0	0	1	1	1	1	1	1	0	1	1	1	
PF3D7_0201300	0	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	
PF3D7_0201400	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	
PF3D7_0201500	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	
PF3D7_0201600	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	
PF3D7_0201700	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	
PF3D7_0201800	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	
PF3D7_0201900	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	
PfDd2_020004900	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	
PfDd2_020005000	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	
PfDd2_020005100	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	
PfDd2_020005200	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	
PfDd2_020005300	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020005400	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020005500	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020005600	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020005700	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020005800	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020005900	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020006000	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020006100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020006200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020006300	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020006500	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020006600	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020006700	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020006800	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020006900	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020007000	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020007100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020007200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020007300	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020007400	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020007500	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020007600	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020007700	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020007800	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020007900	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020008000	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020008100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020008200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020008300	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020008400	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020008500	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020008600	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020008700	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020008800	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020008900	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020009000	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020009100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020009200	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	
PfDd2_020009300	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020009400	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020009500	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PF3D7_0206800	0	1	0	1	0	0	1	1	0	1	0	1	0	0	1	1	
PfDd2_020009700	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020009800	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020009900	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020010000	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020010100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020010200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020010300	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020010400	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020010500	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020010600	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020010700	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020010800	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020010900	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020011000	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020011100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020011200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020011300	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020011400	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020011500	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020011600	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020011700	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020011800	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020011900	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020012000	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020012100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020012200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020012300	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020012400	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020012500	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020012600	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020012700	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020012800	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020012900	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020013000	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020013100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020013200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020013300	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020013400	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020013500	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020013600	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020013700	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020013800	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020013900	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020014000	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	
PfDd2_020014100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020014200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020014300	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020014400	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020014500	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020014600	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020014700	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020014800	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020014900	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020015000	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020015100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020015200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020015300	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020015400	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020015500	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020015600	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020015700	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020015800	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020015900	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020016000	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020016100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020016200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020016300	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020016400	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020016500	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020016600	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020016700	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020016800	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020016900	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020017000	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020017100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020017200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020017300	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020017400	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020017500	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020017700	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020017800	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020017900	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020018000	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020018100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020018200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020018300	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020018400	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020018500	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020018600	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020018700	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020018800	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfDd2_020018900	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
