RIFIN-B.hmm 	PF3D7_0100200 	1.4e-104 	338.0 	2.1e-58 	186.2	
STEVOR1.hmm 	PF3D7_0222600 	4.4e-11 	30.5 	1.8e-08 	21.9	
RIFIN-A.hmm 	PF3D7_0222700 	1.3e-102 	331.8 	5e-59 	188.4	
STEVOR1.hmm 	PF3D7_0222700 	1.4e-12 	35.4 	1.1e-08 	22.6	
RIFIN-B.hmm 	PF3D7_0222700 	2.3e-151 	491.7 	2.8e-151 	491.4	
RIFIN-B.hmm 	PF3D7_0222800 	1.3e-12 	35.7 	9.2e-11 	29.6	
STEVOR1.hmm 	PF3D7_0222800 	1.9e-166 	540.7 	2.1e-166 	540.5	
RIFIN-A.hmm 	PF3D7_0222800 	2.6e-12 	34.8 	1.2e-09 	26.0	
STEVOR1.hmm 	PF3D7_0223100 	1.5e-10 	28.7 	6.1e-07 	16.9	
RIFIN-A.hmm 	PF3D7_0223100 	6.2e-150 	487.4 	7e-150 	487.2	
RIFIN-B.hmm 	PF3D7_0223100 	7.8e-105 	338.8 	4.5e-59 	188.4	
STEVOR1.hmm 	PF3D7_0223200 	1.3e-14 	42.0 	1.6e-09 	25.3	
RIFIN-B.hmm 	PF3D7_0223200 	1.4e-152 	495.6 	1.6e-152 	495.5	
RIFIN-A.hmm 	PF3D7_0223200 	3.4e-99 	320.5 	3.5e-63 	202.1	
RIFIN-B.hmm 	PF3D7_0223400 	1.3e-102 	331.5 	1.5e-56 	180.1	
RIFIN-A.hmm 	PF3D7_0223400 	1.6e-148 	482.7 	1.9e-148 	482.5	
STEVOR1.hmm 	PF3D7_0223400 	1.9e-12 	35.0 	3.7e-08 	20.9	
RIFIN-A.hmm 	PF3D7_0300200 	2e-147 	479.1 	2.2e-147 	479.0	
RIFIN-B.hmm 	PF3D7_0300200 	3.3e-105 	340.0 	2.6e-58 	185.9	
STEVOR1.hmm 	PF3D7_0300200 	3.5e-10 	27.5 	1.3e-07 	19.0	
RIFIN-A.hmm 	PF3D7_0300400 	1.5e-13 	38.8 	1.3e-10 	29.2	
RIFIN-B.hmm 	PF3D7_0300400 	2.6e-13 	38.0 	5.1e-12 	33.8	
STEVOR1.hmm 	PF3D7_0300400 	3.7e-167 	543.0 	4.1e-167 	542.9	
STEVOR1.hmm 	PF3D7_0300500 	3.7e-14 	40.6 	3.5e-09 	24.2	
RIFIN-B.hmm 	PF3D7_0300500 	6.5e-141 	457.3 	7.3e-141 	457.2	
RIFIN-A.hmm 	PF3D7_0300500 	7e-102 	329.3 	2.1e-63 	202.8	
STEVOR1.hmm 	PF3D7_0300700 	1.4e-11 	32.1 	1.2e-07 	19.1	
RIFIN-A.hmm 	PF3D7_0300700 	2.3e-143 	465.7 	2.6e-143 	465.6	
RIFIN-B.hmm 	PF3D7_0300700 	5.8e-96 	309.6 	1.5e-51 	163.7	
STEVOR1.hmm 	PF3D7_0300800 	1.2e-15 	45.5 	3.8e-12 	34.0	
RIFIN-A.hmm 	PF3D7_0300800 	1.8e-121 	393.8 	2.4e-121 	393.4	
RIFIN-B.hmm 	PF3D7_0300800 	4e-80 	257.6 	7.5e-47 	148.2	
STEVOR1.hmm 	PF3D7_0300900 	1.7e-27 	84.3 	3.5e-27 	83.4	
RIFIN-B.hmm 	PF3D7_0300900 	5e-08 	20.6 	5e-08 	20.6	
RIFIN-B.hmm 	PF3D7_0324400 	1.5e-98 	318.1 	2.9e-56 	179.2	
RIFIN-A.hmm 	PF3D7_0324400 	1.7e-138 	449.7 	1.9e-138 	449.6	
STEVOR1.hmm 	PF3D7_0324400 	6e-15 	43.2 	2.8e-10 	27.8	
STEVOR1.hmm 	PF3D7_0324500 	2e-13 	38.2 	1.2e-08 	22.5	
RIFIN-B.hmm 	PF3D7_0324500 	4.3e-141 	457.9 	4.9e-141 	457.7	
RIFIN-A.hmm 	PF3D7_0324500 	5.1e-105 	339.7 	1.1e-62 	200.5	
RIFIN-B.hmm 	PF3D7_0324600 	3e-12 	34.5 	2.4e-09 	25.0	
RIFIN-A.hmm 	PF3D7_0324600 	6.2e-12 	33.6 	3.2e-08 	21.4	
STEVOR1.hmm 	PF3D7_0324600 	6.9e-169 	548.7 	7.7e-169 	548.5	
RIFIN-A.hmm 	PF3D7_0324800 	1.1e-156 	509.6 	1.2e-156 	509.4	
RIFIN-B.hmm 	PF3D7_0324800 	2.9e-118 	382.9 	4.8e-68 	217.9	
STEVOR1.hmm 	PF3D7_0324800 	3.1e-12 	34.2 	1.4e-08 	22.3	
RIFIN-B.hmm 	PF3D7_0400300 	1.4e-105 	341.2 	5.7e-64 	204.5	
STEVOR1.hmm 	PF3D7_0400300 	1e-08 	22.7 	4e-07 	17.5	
RIFIN-A.hmm 	PF3D7_0400300 	3.2e-156 	508.1 	3.5e-156 	507.9	
RIFIN-A.hmm 	PF3D7_0400500 	1.1e-152 	496.4 	1.2e-152 	496.2	
STEVOR1.hmm 	PF3D7_0400500 	1.3e-12 	35.5 	1.6e-08 	22.1	
RIFIN-B.hmm 	PF3D7_0400500 	9.5e-107 	345.1 	2.8e-62 	198.9	
RIFIN-A.hmm 	PF3D7_0400700 	1.1e-154 	503.0 	1.2e-154 	502.9	
STEVOR1.hmm 	PF3D7_0400700 	1.7e-12 	35.1 	2.3e-08 	21.5	
RIFIN-B.hmm 	PF3D7_0400700 	2.8e-99 	320.5 	5.4e-51 	161.8	
RIFIN-A.hmm 	PF3D7_0400800 	1.5e-11 	32.3 	4.9e-10 	27.3	
STEVOR1.hmm 	PF3D7_0400800 	1e-153 	498.8 	1.9e-153 	498.0	
RIFIN-B.hmm 	PF3D7_0400800 	4.2e-11 	30.8 	4.5e-11 	30.7	
RIFIN-A.hmm 	PF3D7_0400900 	1.1e-146 	476.7 	1.2e-146 	476.6	
RIFIN-B.hmm 	PF3D7_0400900 	1.2e-103 	334.9 	5.6e-60 	191.4	
STEVOR1.hmm 	PF3D7_0400900 	2.6e-10 	27.9 	9.8e-08 	19.5	
RIFIN-A.hmm 	PF3D7_0401000 	1.1e-95 	308.9 	5.7e-52 	165.2	
RIFIN-B.hmm 	PF3D7_0401000 	1.8e-139 	452.6 	2e-139 	452.4	
STEVOR1.hmm 	PF3D7_0401000 	4.5e-17 	50.1 	1.6e-10 	28.6	
RIFIN-B.hmm 	PF3D7_0401200 	1.2e-106 	344.7 	3.9e-59 	188.6	
RIFIN-A.hmm 	PF3D7_0401200 	1.2e-150 	489.7 	1.4e-150 	489.5	
STEVOR1.hmm 	PF3D7_0401200 	8.4e-11 	29.5 	8.4e-07 	16.4	
RIFIN-A.hmm 	PF3D7_0401300 	3.8e-147 	478.2 	4.3e-147 	478.0	
RIFIN-B.hmm 	PF3D7_0401300 	5.2e-99 	319.6 	8.3e-58 	184.2	
STEVOR1.hmm 	PF3D7_0401300 	5.9e-11 	30.0 	3.8e-08 	20.8	
RIFIN-B.hmm 	PF3D7_0401400 	2.2e-93 	301.2 	9.9e-50 	157.7	
STEVOR1.hmm 	PF3D7_0401400 	2.4e-18 	54.3 	8.4e-13 	36.1	
RIFIN-A.hmm 	PF3D7_0401400 	3.6e-132 	429.0 	4.3e-132 	428.7	
RIFIN-A.hmm 	PF3D7_0401600 	1.1e-48 	154.4 	3e-48 	153.0	
STEVOR1.hmm 	PF3D7_0401600 	1.2e-09 	25.7 	7.5e-09 	23.1	
RIFIN-B.hmm 	PF3D7_0401600 	1.7e-43 	137.2 	4.3e-31 	96.4	
RIFIN-B.hmm 	PF3D7_0401600 	2.1e-43 	136.9 	5.4e-31 	96.1	
STEVOR1.hmm 	PF3D7_0401600 	2.9e-10 	27.8 	1.7e-09 	25.2	
RIFIN-A.hmm 	PF3D7_0401600 	9.6e-48 	151.3 	2.5e-47 	149.9	
RIFIN-A.hmm 	PF3D7_0402600 	1.7e-07 	19.0 	3.3e-07 	18.0	
RIFIN-B.hmm 	PF3D7_0402600 	2.5e-06 	15.1 	2.5e-06 	15.1	
STEVOR1.hmm 	PF3D7_0402600 	2e-106 	343.6 	2.2e-106 	343.4	
RIFIN-B.hmm 	PF3D7_0413200 	1.9e-106 	344.1 	1e-56 	180.6	
STEVOR1.hmm 	PF3D7_0413200 	2.5e-16 	47.7 	3.3e-11 	30.9	
RIFIN-A.hmm 	PF3D7_0413200 	5.4e-134 	434.9 	6.1e-134 	434.8	
STEVOR1.hmm 	PF3D7_0413300 	1.9e-13 	38.3 	8.4e-09 	23.0	
RIFIN-B.hmm 	PF3D7_0413300 	2.5e-116 	376.5 	3.5e-65 	208.5	
RIFIN-A.hmm 	PF3D7_0413300 	3.1e-135 	439.0 	3.4e-135 	438.9	
RIFIN-A.hmm 	PF3D7_0421200 	2.9e-97 	314.2 	1e-56 	180.8	
STEVOR1.hmm 	PF3D7_0421200 	4.3e-10 	27.2 	5.2e-08 	20.4	
RIFIN-B.hmm 	PF3D7_0421200 	4e-143 	464.6 	4.6e-143 	464.4	
RIFIN-A.hmm 	PF3D7_0425500 	1.2e-10 	29.3 	2.3e-07 	18.5	
STEVOR1.hmm 	PF3D7_0425500 	4.1e-116 	375.4 	4.6e-116 	375.2	
RIFIN-B.hmm 	PF3D7_0425500 	4.5e-07 	17.5 	6.3e-06 	13.8	
RIFIN-A.hmm 	PF3D7_0425700 	1.1e-127 	414.2 	1.3e-127 	414.0	
RIFIN-B.hmm 	PF3D7_0425700 	3.6e-90 	290.6 	3.4e-49 	155.9	
STEVOR1.hmm 	PF3D7_0425700 	5.5e-12 	33.4 	5.6e-08 	20.3	
RIFIN-B.hmm 	PF3D7_0425900 	1.1e-102 	331.7 	1.1e-58 	187.2	
RIFIN-A.hmm 	PF3D7_0425900 	1.9e-147 	479.2 	2.2e-147 	479.0	
STEVOR1.hmm 	PF3D7_0425900 	2.6e-10 	28.0 	1e-07 	19.4	
STEVOR1.hmm 	PF3D7_0500400 	1.3e-08 	22.3 	3e-07 	17.9	
RIFIN-B.hmm 	PF3D7_0500400 	1.4e-103 	334.7 	5.1e-63 	201.3	
RIFIN-A.hmm 	PF3D7_0500400 	5.5e-147 	477.7 	6.2e-147 	477.5	
STEVOR1.hmm 	PF3D7_0500500 	1.7e-15 	45.0 	3.8e-12 	34.0	
RIFIN-B.hmm 	PF3D7_0500500 	2.7e-131 	425.7 	3e-131 	425.6	
RIFIN-A.hmm 	PF3D7_0500500 	6.1e-92 	296.6 	8.4e-49 	154.8	
RIFIN-B.hmm 	PF3D7_0532900 	1.8e-130 	423.0 	2e-130 	422.8	
STEVOR1.hmm 	PF3D7_0532900 	2.1e-15 	44.7 	3.5e-10 	27.5	
RIFIN-A.hmm 	PF3D7_0532900 	3.4e-98 	317.2 	1.6e-54 	173.6	
RIFIN-B.hmm 	PF3D7_0600300 	3.2e-109 	353.2 	2.3e-63 	202.5	
RIFIN-A.hmm 	PF3D7_0600300 	5.2e-161 	523.8 	5.8e-161 	523.6	
STEVOR1.hmm 	PF3D7_0600300 	9.2e-11 	29.4 	8.6e-09 	22.9	
STEVOR1.hmm 	PF3D7_0600500 	5.8e-14 	39.9 	7.6e-10 	26.4	
RIFIN-B.hmm 	PF3D7_0600500 	7.1e-109 	352.1 	2.9e-63 	202.1	
RIFIN-A.hmm 	PF3D7_0600500 	9.7e-153 	496.6 	1.1e-152 	496.4	
RIFIN-B.hmm 	PF3D7_0600700 	1.1e-95 	308.7 	1.9e-51 	163.3	
RIFIN-A.hmm 	PF3D7_0600700 	2.8e-142 	462.2 	3.1e-142 	462.0	
STEVOR1.hmm 	PF3D7_0600700 	9.1e-08 	19.6 	1.4e-06 	15.7	
RIFIN-B.hmm 	PF3D7_0617600 	1.3e-14 	42.2 	3.3e-11 	31.1	
RIFIN-A.hmm 	PF3D7_0617600 	1.4e-13 	39.0 	4.1e-10 	27.6	
STEVOR1.hmm 	PF3D7_0617600 	8e-164 	532.0 	9e-164 	531.9	
RIFIN-B.hmm 	PF3D7_0617700 	1.1e-89 	289.0 	1.1e-53 	170.7	
STEVOR1.hmm 	PF3D7_0617700 	2.6e-16 	47.6 	6.8e-11 	29.9	
RIFIN-A.hmm 	PF3D7_0617700 	7.8e-110 	355.5 	1.1e-109 	355.0	
RIFIN-B.hmm 	PF3D7_0631800 	2.8e-136 	442.1 	3.2e-136 	441.9	
STEVOR1.hmm 	PF3D7_0631800 	3.3e-10 	27.6 	5.7e-08 	20.3	
RIFIN-A.hmm 	PF3D7_0631800 	5e-104 	336.4 	3.9e-63 	201.9	
STEVOR1.hmm 	PF3D7_0631900 	2.6e-168 	546.8 	2.9e-168 	546.6	
RIFIN-B.hmm 	PF3D7_0631900 	2e-13 	38.4 	2e-13 	38.4	
RIFIN-A.hmm 	PF3D7_0631900 	9e-15 	42.9 	3.6e-12 	34.3	
RIFIN-B.hmm 	PF3D7_0632000 	4.3e-104 	336.3 	3.4e-60 	192.1	
STEVOR1.hmm 	PF3D7_0632000 	8.3e-10 	26.3 	2e-08 	21.8	
RIFIN-A.hmm 	PF3D7_0632000 	9.2e-145 	470.4 	1e-144 	470.2	
RIFIN-A.hmm 	PF3D7_0632100 	1.2e-120 	391.1 	1.6e-120 	390.6	
RIFIN-B.hmm 	PF3D7_0632100 	2.5e-80 	258.2 	1.9e-73 	235.6	
STEVOR1.hmm 	PF3D7_0632100 	4.1e-17 	50.3 	3.1e-12 	34.2	
RIFIN-B.hmm 	PF3D7_0632200 	1.7e-105 	340.9 	8.1e-60 	190.8	
STEVOR1.hmm 	PF3D7_0632200 	2.3e-11 	31.4 	2.2e-08 	21.6	
RIFIN-A.hmm 	PF3D7_0632200 	3.8e-155 	504.5 	4.2e-155 	504.4	
RIFIN-A.hmm 	PF3D7_0632300 	1.1e-92 	299.1 	1.5e-56 	180.3	
STEVOR1.hmm 	PF3D7_0632300 	2.8e-14 	41.0 	2.4e-09 	24.8	
RIFIN-B.hmm 	PF3D7_0632300 	4.5e-134 	434.8 	5.3e-134 	434.6	
RIFIN-A.hmm 	PF3D7_0632400 	1.5e-163 	532.2 	1.6e-163 	532.0	
RIFIN-B.hmm 	PF3D7_0632400 	1.7e-118 	383.7 	5.5e-67 	214.4	
STEVOR1.hmm 	PF3D7_0632400 	2e-13 	38.2 	2.7e-09 	24.6	
RIFIN-B.hmm 	PF3D7_0632700 	2.9e-109 	353.3 	4.3e-61 	195.0	
RIFIN-A.hmm 	PF3D7_0632700 	3e-158 	514.7 	3.4e-158 	514.5	
STEVOR1.hmm 	PF3D7_0632700 	6.8e-14 	39.7 	4.3e-09 	23.9	
RIFIN-B.hmm 	PF3D7_0700200 	2.3e-92 	297.8 	2.2e-50 	159.8	
STEVOR1.hmm 	PF3D7_0700200 	7.3e-14 	39.6 	6e-11 	30.0	
RIFIN-A.hmm 	PF3D7_0700200 	8.9e-136 	440.8 	1.2e-135 	440.4	
RIFIN-A.hmm 	PF3D7_0700300 	1.7e-117 	380.7 	2e-117 	380.5	
STEVOR1.hmm 	PF3D7_0700300 	2.4e-11 	31.3 	2.3e-10 	28.1	
RIFIN-B.hmm 	PF3D7_0700300 	8.8e-85 	272.9 	7.1e-48 	151.6	
RIFIN-B.hmm 	PF3D7_0700400 	1.1e-14 	42.6 	6.4e-12 	33.5	
STEVOR1.hmm 	PF3D7_0700400 	1.6e-167 	544.2 	1.8e-167 	544.0	
RIFIN-A.hmm 	PF3D7_0700400 	2.3e-13 	38.3 	3.2e-10 	27.9	
RIFIN-B.hmm 	PF3D7_0700500 	1.6e-96 	311.5 	1.2e-53 	170.6	
RIFIN-A.hmm 	PF3D7_0700500 	1.7e-129 	420.1 	2e-129 	420.0	
STEVOR1.hmm 	PF3D7_0700500 	5.2e-18 	53.2 	2.1e-13 	38.1	
RIFIN-A.hmm 	PF3D7_0701100 	2.2e-149 	485.5 	2.5e-149 	485.4	
STEVOR1.hmm 	PF3D7_0701100 	6.6e-13 	36.5 	1.8e-08 	21.9	
RIFIN-B.hmm 	PF3D7_0701100 	7.1e-106 	342.2 	3.6e-61 	195.3	
RIFIN-A.hmm 	PF3D7_0701800 	1.4e-115 	374.4 	2.3e-115 	373.7	
RIFIN-B.hmm 	PF3D7_0701800 	4.8e-87 	280.3 	2.4e-48 	153.2	
STEVOR1.hmm 	PF3D7_0701800 	6.8e-12 	33.1 	9.7e-08 	19.5	
STEVOR1.hmm 	PF3D7_0713000 	3.2e-16 	47.4 	7.2e-13 	36.3	
RIFIN-B.hmm 	PF3D7_0713000 	7.5e-94 	302.7 	6.3e-51 	161.6	
RIFIN-A.hmm 	PF3D7_0713000 	8.2e-127 	411.3 	9.3e-127 	411.2	
RIFIN-B.hmm 	PF3D7_0732000 	2.4e-11 	31.6 	3.6e-10 	27.7	
RIFIN-A.hmm 	PF3D7_0732000 	4.5e-11 	30.7 	3e-09 	24.7	
STEVOR1.hmm 	PF3D7_0732000 	7.5e-171 	555.1 	8.4e-171 	555.0	
STEVOR1.hmm 	PF3D7_0732200 	1.2e-07 	19.2 	2.4e-07 	18.2	
RIFIN-A.hmm 	PF3D7_0732200 	1e-151 	493.2 	1.2e-151 	493.0	
RIFIN-B.hmm 	PF3D7_0732200 	4.3e-106 	342.9 	3.6e-61 	195.3	
RIFIN-B.hmm 	PF3D7_0732300 	2.1e-105 	340.6 	2.7e-59 	189.1	
STEVOR1.hmm 	PF3D7_0732300 	2.2e-14 	41.3 	3.1e-09 	24.4	
RIFIN-A.hmm 	PF3D7_0732300 	4.9e-135 	438.4 	5.5e-135 	438.2	
STEVOR1.hmm 	PF3D7_0732400 	1.1e-12 	35.8 	4.4e-11 	30.5	
RIFIN-B.hmm 	PF3D7_0732400 	1.1e-93 	302.2 	5.4e-56 	178.3	
RIFIN-A.hmm 	PF3D7_0732400 	6.9e-136 	441.2 	7.7e-136 	441.0	
RIFIN-B.hmm 	PF3D7_0732500 	3.3e-100 	323.6 	5.3e-52 	165.2	
RIFIN-A.hmm 	PF3D7_0732500 	5.6e-144 	467.8 	6.3e-144 	467.6	
STEVOR1.hmm 	PF3D7_0732500 	6e-17 	49.7 	3.8e-13 	37.2	
RIFIN-A.hmm 	PF3D7_0732700 	1.5e-98 	318.4 	4.8e-61 	195.0	
STEVOR1.hmm 	PF3D7_0732700 	4.6e-14 	40.2 	6.1e-09 	23.4	
RIFIN-B.hmm 	PF3D7_0732700 	6.9e-138 	447.4 	7.9e-138 	447.2	
RIFIN-A.hmm 	PF3D7_0732900 	2e-145 	472.6 	2.2e-145 	472.4	
STEVOR1.hmm 	PF3D7_0732900 	3.1e-15 	44.1 	1.8e-09 	25.2	
RIFIN-B.hmm 	PF3D7_0732900 	9.8e-105 	338.4 	7.8e-58 	184.3	
RIFIN-B.hmm 	PF3D7_0800400 	1.1e-106 	344.9 	5.4e-61 	194.7	
STEVOR1.hmm 	PF3D7_0800400 	3.6e-09 	24.2 	4.6e-07 	17.3	
RIFIN-A.hmm 	PF3D7_0800400 	4.4e-148 	481.3 	4.9e-148 	481.1	
STEVOR1.hmm 	PF3D7_0800500 	1.7e-13 	38.4 	7.1e-11 	29.8	
RIFIN-A.hmm 	PF3D7_0800500 	4.2e-151 	491.2 	4.7e-151 	491.0	
RIFIN-B.hmm 	PF3D7_0800500 	4.9e-101 	326.3 	1.6e-56 	180.0	
STEVOR1.hmm 	PF3D7_0808800 	1.4e-12 	35.4 	5.9e-09 	23.5	
RIFIN-B.hmm 	PF3D7_0808800 	2.4e-104 	337.2 	3.6e-57 	182.1	
RIFIN-A.hmm 	PF3D7_0808800 	8e-128 	414.7 	9.6e-128 	414.4	
RIFIN-A.hmm 	PF3D7_0808900 	1.1e-129 	420.8 	1.3e-129 	420.6	
STEVOR1.hmm 	PF3D7_0808900 	1.1e-16 	48.9 	1.9e-12 	34.9	
RIFIN-B.hmm 	PF3D7_0808900 	3e-93 	300.7 	6.7e-52 	164.8	
STEVOR1.hmm 	PF3D7_0832000 	1e-88 	285.4 	1.1e-88 	285.3	
RIFIN-B.hmm 	PF3D7_0832400 	1.4e-13 	38.9 	1.2e-10 	29.3	
STEVOR1.hmm 	PF3D7_0832400 	4.8e-168 	545.9 	5.4e-168 	545.8	
RIFIN-A.hmm 	PF3D7_0832400 	5.7e-12 	33.7 	2.2e-09 	25.2	
STEVOR1.hmm 	PF3D7_0832500 	3.3e-09 	24.3 	2.6e-06 	14.8	
RIFIN-B.hmm 	PF3D7_0832500 	6.9e-85 	273.2 	1.2e-48 	154.2	
RIFIN-A.hmm 	PF3D7_0832500 	8.6e-106 	342.2 	4.6e-105 	339.8	
RIFIN-A.hmm 	PF3D7_0832600 	0.00042 	7.8 	3.1e-06 	14.8	
