RIFIN-B.hmm 	PfGA01_000005900 	1.1e-12 	36.0 	1.9e-12 	35.2	
STEVOR1.hmm 	PfGA01_000009800 	8.7e-11 	29.5 	1.5e-07 	18.9	
RIFIN-A.hmm 	PfGA01_000009900 	1.1e-145 	473.4 	1.2e-145 	473.3	
STEVOR1.hmm 	PfGA01_000009900 	2.3e-11 	31.4 	7.9e-08 	19.8	
RIFIN-B.hmm 	PfGA01_000009900 	3.3e-102 	330.1 	1.6e-54 	173.4	
STEVOR1.hmm 	PfGA01_000010000 	4e-10 	27.3 	7.8e-07 	16.5	
RIFIN-A.hmm 	PfGA01_000010000 	5e-148 	481.1 	5.6e-148 	480.9	
RIFIN-B.hmm 	PfGA01_000010000 	8e-97 	312.4 	1.4e-50 	160.5	
STEVOR1.hmm 	PfGA01_000010100 	2.1e-13 	38.1 	3.9e-09 	24.1	
RIFIN-A.hmm 	PfGA01_000010100 	4.4e-96 	310.3 	1.2e-51 	164.2	
RIFIN-B.hmm 	PfGA01_000010100 	7.8e-131 	424.2 	8.8e-131 	424.0	
RIFIN-B.hmm 	PfGA01_000010200 	2.6e-103 	333.8 	3.7e-57 	182.1	
RIFIN-A.hmm 	PfGA01_000010200 	3.6e-141 	458.5 	4.1e-141 	458.4	
STEVOR1.hmm 	PfGA01_000010200 	9.6e-19 	55.6 	1.1e-11 	32.4	
RIFIN-A.hmm 	PfGA01_010005700 	1.4e-149 	486.2 	1.5e-149 	486.1	
STEVOR1.hmm 	PfGA01_010005700 	2.4e-13 	37.9 	2e-09 	25.1	
RIFIN-B.hmm 	PfGA01_010005700 	4.9e-104 	336.1 	3.6e-59 	188.7	
RIFIN-B.hmm 	PfGA01_010005900 	1.8e-112 	363.9 	1.2e-63 	203.4	
RIFIN-A.hmm 	PfGA01_010005900 	7.5e-151 	490.4 	8.4e-151 	490.2	
STEVOR1.hmm 	PfGA01_010005900 	9.8e-10 	26.0 	1e-08 	22.7	
STEVOR1.hmm 	PfGA01_010006000 	1.6e-169 	550.8 	1.8e-169 	550.6	
RIFIN-A.hmm 	PfGA01_010006000 	3.9e-11 	30.9 	2.3e-10 	28.4	
RIFIN-B.hmm 	PfGA01_010006000 	8e-15 	43.0 	1e-11 	32.7	
STEVOR1.hmm 	PfGA01_010006100 	4.6e-15 	43.5 	2.1e-11 	31.5	
RIFIN-A.hmm 	PfGA01_010006100 	5e-99 	320.0 	3.7e-64 	205.3	
RIFIN-B.hmm 	PfGA01_010006100 	7.7e-142 	460.4 	8.6e-142 	460.2	
STEVOR1.hmm 	PfGA01_010006200 	1.1e-12 	35.7 	1.6e-08 	22.0	
RIFIN-A.hmm 	PfGA01_010006200 	1.9e-149 	485.8 	2.1e-149 	485.6	
RIFIN-B.hmm 	PfGA01_010006200 	1e-98 	318.6 	6.7e-54 	171.4	
RIFIN-B.hmm 	PfGA01_010006300 	2.1e-149 	485.2 	2.3e-149 	485.1	
RIFIN-A.hmm 	PfGA01_010006300 	2.5e-101 	327.5 	1.2e-58 	187.2	
STEVOR1.hmm 	PfGA01_010006300 	3.1e-18 	54.0 	4.2e-11 	30.5	
STEVOR1.hmm 	PfGA01_010006500 	1.3e-72 	232.5 	2.4e-72 	231.6	
RIFIN-B.hmm 	PfGA01_010018600 	1.2e-125 	407.2 	3.1e-125 	405.8	
STEVOR1.hmm 	PfGA01_010018600 	1.6e-15 	45.1 	1.7e-09 	25.3	
RIFIN-A.hmm 	PfGA01_010018600 	6.5e-83 	267.0 	5.4e-45 	142.3	
RIFIN-B.hmm 	PfGA01_010019300 	2.4e-100 	324.0 	2.1e-54 	173.0	
STEVOR1.hmm 	PfGA01_010019300 	4.7e-12 	33.6 	7.4e-09 	23.2	
RIFIN-A.hmm 	PfGA01_010019300 	9e-141 	457.2 	1e-140 	457.1	
STEVOR1.hmm 	PfGA01_010019400 	1.5e-17 	51.7 	2.8e-14 	41.0	
RIFIN-A.hmm 	PfGA01_010019400 	1.9e-128 	416.7 	2.4e-128 	416.4	
RIFIN-B.hmm 	PfGA01_010019400 	3.6e-87 	280.7 	9.1e-49 	154.5	
STEVOR1.hmm 	PfGA01_010019500 	2.1e-15 	44.7 	1.5e-10 	28.7	
RIFIN-A.hmm 	PfGA01_010019500 	2.8e-138 	449.0 	3.2e-138 	448.9	
RIFIN-B.hmm 	PfGA01_010019500 	3.8e-98 	316.8 	1e-53 	170.8	
RIFIN-B.hmm 	PfGA01_010019600 	3.2e-101 	326.9 	3.7e-55 	175.5	
RIFIN-A.hmm 	PfGA01_010019600 	3.3e-145 	471.8 	3.7e-145 	471.7	
STEVOR1.hmm 	PfGA01_010019600 	8.8e-13 	36.1 	6.2e-10 	26.7	
RIFIN-A.hmm 	PfGA01_010019800 	1.4e-86 	279.0 	6.9e-49 	155.1	
RIFIN-B.hmm 	PfGA01_010019800 	2.6e-142 	461.9 	3e-142 	461.7	
STEVOR1.hmm 	PfGA01_010019800 	3.6e-12 	34.0 	1.9e-08 	21.8	
RIFIN-A.hmm 	PfGA01_010020200 	1.4e-155 	505.9 	1.6e-155 	505.7	
STEVOR1.hmm 	PfGA01_010020200 	4.3e-11 	30.5 	4.2e-07 	17.4	
RIFIN-B.hmm 	PfGA01_010020200 	5.2e-102 	329.5 	6.9e-55 	174.6	
STEVOR1.hmm 	PfGA01_020024300 	1.6e-107 	347.2 	1.7e-107 	347.0	
RIFIN-B.hmm 	PfGA01_020024300 	3.4e-12 	34.3 	3.4e-09 	24.5	
RIFIN-A.hmm 	PfGA01_020024300 	7.9e-12 	33.2 	2.2e-09 	25.2	
RIFIN-B.hmm 	PfGA01_020025200 	1.4e-101 	328.1 	7.8e-59 	187.6	
RIFIN-A.hmm 	PfGA01_020025200 	1.8e-138 	449.6 	2.1e-138 	449.5	
STEVOR1.hmm 	PfGA01_020025200 	5e-15 	43.4 	2e-10 	28.3	
STEVOR1.hmm 	PfGA01_020025300 	1.1e-10 	29.2 	1.9e-08 	21.8	
RIFIN-B.hmm 	PfGA01_020025300 	4.2e-145 	471.1 	4.8e-145 	470.9	
RIFIN-A.hmm 	PfGA01_020025300 	5.7e-104 	336.2 	3.1e-64 	205.5	
RIFIN-B.hmm 	PfGA01_020025400 	1.7e-104 	337.7 	1.6e-56 	180.0	
RIFIN-A.hmm 	PfGA01_020025400 	2.2e-156 	508.6 	2.4e-156 	508.4	
STEVOR1.hmm 	PfGA01_020025400 	3.6e-15 	43.9 	5.9e-10 	26.8	
RIFIN-A.hmm 	PfGA01_030005900 	2e-158 	515.3 	2.2e-158 	515.1	
RIFIN-B.hmm 	PfGA01_030005900 	8.1e-109 	351.9 	7.2e-59 	187.7	
STEVOR1.hmm 	PfGA01_030005900 	8.7e-11 	29.5 	1.2e-08 	22.4	
STEVOR1.hmm 	PfGA01_030006000 	1.2e-11 	32.3 	1.1e-08 	22.6	
RIFIN-A.hmm 	PfGA01_030006000 	1.8e-102 	331.3 	1.7e-63 	203.1	
RIFIN-B.hmm 	PfGA01_030006000 	6.7e-145 	470.4 	7.5e-145 	470.3	
RIFIN-B.hmm 	PfGA01_030006100 	1.2e-110 	357.9 	8.9e-68 	217.0	
STEVOR1.hmm 	PfGA01_030006100 	5e-10 	27.0 	3.7e-08 	20.9	
RIFIN-A.hmm 	PfGA01_030006100 	7.2e-153 	497.0 	8.1e-153 	496.9	
STEVOR1.hmm 	PfGA01_030006200 	1.1e-168 	548.0 	1.3e-168 	547.8	
RIFIN-B.hmm 	PfGA01_030006200 	2e-13 	38.4 	2e-13 	38.4	
RIFIN-A.hmm 	PfGA01_030006200 	3.5e-12 	34.4 	3.5e-12 	34.4	
RIFIN-B.hmm 	PfGA01_030006300 	2.2e-133 	432.6 	2.5e-133 	432.4	
STEVOR1.hmm 	PfGA01_030006300 	4.3e-10 	27.2 	5.7e-08 	20.3	
RIFIN-A.hmm 	PfGA01_030006300 	9e-112 	361.9 	1.9e-66 	212.8	
STEVOR1.hmm 	PfGA01_030006400 	2.9e-15 	44.2 	5.3e-10 	26.9	
RIFIN-A.hmm 	PfGA01_030006400 	9.2e-95 	305.9 	1.1e-50 	161.0	
RIFIN-B.hmm 	PfGA01_030006400 	9.6e-133 	430.5 	1.1e-132 	430.3	
RIFIN-B.hmm 	PfGA01_030006500 	2.1e-102 	330.8 	1.3e-55 	177.1	
STEVOR1.hmm 	PfGA01_030006500 	6e-13 	36.6 	2.2e-09 	24.9	
RIFIN-A.hmm 	PfGA01_030006500 	9.4e-145 	470.3 	1.1e-144 	470.2	
STEVOR1.hmm 	PfGA01_030006800 	1.2e-11 	32.3 	4.7e-08 	20.5	
RIFIN-A.hmm 	PfGA01_030006800 	6.8e-146 	474.1 	7.7e-146 	473.9	
RIFIN-B.hmm 	PfGA01_030006800 	9.6e-105 	338.5 	1.8e-55 	176.6	
RIFIN-A.hmm 	PfGA01_030006900 	1.7e-97 	314.9 	9.4e-59 	187.5	
STEVOR1.hmm 	PfGA01_030006900 	2.3e-12 	34.6 	5.5e-09 	23.6	
RIFIN-B.hmm 	PfGA01_030006900 	3.7e-149 	484.4 	4.2e-149 	484.2	
STEVOR1.hmm 	PfGA01_030007100 	2.7e-11 	31.2 	1.1e-07 	19.3	
RIFIN-B.hmm 	PfGA01_030007100 	4.6e-98 	316.5 	3.1e-54 	172.5	
RIFIN-A.hmm 	PfGA01_030007100 	7.7e-140 	454.2 	8.6e-140 	454.0	
RIFIN-A.hmm 	PfGA01_030007200 	2.1e-121 	393.6 	2.8e-121 	393.1	
RIFIN-B.hmm 	PfGA01_030007200 	5.7e-81 	260.3 	9.9e-47 	147.8	
STEVOR1.hmm 	PfGA01_030007200 	6.8e-16 	46.3 	1.2e-11 	32.3	
STEVOR1.hmm 	PfGA01_030007300 	1.7e-27 	84.3 	3.5e-27 	83.4	
RIFIN-B.hmm 	PfGA01_030007300 	5e-08 	20.6 	5e-08 	20.6	
RIFIN-A.hmm 	PfGA01_030031100 	3.5e-145 	471.7 	4e-145 	471.6	
STEVOR1.hmm 	PfGA01_030031100 	5.2e-14 	40.1 	5e-09 	23.7	
RIFIN-B.hmm 	PfGA01_030031100 	9.2e-107 	345.1 	1.2e-58 	187.0	
RIFIN-B.hmm 	PfGA01_030031200 	1.5e-108 	350.9 	1.8e-59 	189.7	
STEVOR1.hmm 	PfGA01_030031200 	1.9e-12 	34.9 	1.5e-08 	22.2	
RIFIN-A.hmm 	PfGA01_030031200 	1e-148 	483.4 	1.1e-148 	483.2	
RIFIN-A.hmm 	PfGA01_030031400 	1.3e-92 	298.8 	3e-52 	166.1	
STEVOR1.hmm 	PfGA01_030031400 	2.8e-15 	44.2 	4.4e-10 	27.2	
RIFIN-B.hmm 	PfGA01_030031400 	5e-139 	451.1 	5.6e-139 	451.0	
RIFIN-A.hmm 	PfGA01_030031500 	2.6e-133 	432.7 	2.9e-133 	432.5	
RIFIN-B.hmm 	PfGA01_030031500 	4.1e-105 	339.7 	1.1e-56 	180.5	
STEVOR1.hmm 	PfGA01_030031500 	4.9e-16 	46.7 	1.4e-09 	25.5	
STEVOR1.hmm 	PfGA01_030031600 	1.6e-12 	35.2 	4.8e-08 	20.5	
RIFIN-A.hmm 	PfGA01_030031600 	3.1e-142 	462.0 	3.5e-142 	461.9	
RIFIN-B.hmm 	PfGA01_030031600 	5e-113 	365.7 	1.7e-64 	206.2	
STEVOR1.hmm 	PfGA01_030031700 	1.3e-166 	541.2 	1.4e-166 	541.1	
RIFIN-B.hmm 	PfGA01_030031700 	3.6e-15 	44.1 	6.9e-12 	33.3	
RIFIN-A.hmm 	PfGA01_030031700 	4e-12 	34.2 	2.1e-10 	28.5	
RIFIN-B.hmm 	PfGA01_030031800 	1.3e-101 	328.2 	2.2e-56 	179.5	
STEVOR1.hmm 	PfGA01_030031800 	1.7e-12 	35.1 	3.3e-08 	21.0	
RIFIN-A.hmm 	PfGA01_030031800 	1.7e-138 	449.7 	1.9e-138 	449.6	
RIFIN-B.hmm 	PfGA01_030031900 	1e-101 	328.5 	3.5e-57 	182.2	
RIFIN-A.hmm 	PfGA01_030031900 	1e-145 	473.5 	1.2e-145 	473.3	
STEVOR1.hmm 	PfGA01_030031900 	3.4e-13 	37.4 	4e-08 	20.8	
STEVOR1.hmm 	PfGA01_030032100 	1.2e-07 	19.2 	6.5e-06 	13.5	
RIFIN-B.hmm 	PfGA01_030032100 	5e-109 	352.5 	1.6e-62 	199.7	
RIFIN-A.hmm 	PfGA01_030032100 	7.3e-148 	480.5 	8.2e-148 	480.4	
RIFIN-A.hmm 	PfGA01_040005700 	3.6e-148 	481.6 	4.1e-148 	481.4	
STEVOR1.hmm 	PfGA01_040005700 	5.2e-12 	33.5 	1.8e-09 	25.2	
RIFIN-B.hmm 	PfGA01_040005700 	9.1e-100 	322.1 	9.3e-53 	167.6	
RIFIN-A.hmm 	PfGA01_040005900 	1.5e-145 	473.0 	1.6e-145 	472.8	
STEVOR1.hmm 	PfGA01_040005900 	3.2e-15 	44.1 	2e-09 	25.0	
RIFIN-B.hmm 	PfGA01_040005900 	8.9e-103 	332.0 	1.1e-55 	177.3	
STEVOR1.hmm 	PfGA01_040006000 	1.6e-16 	48.3 	3.1e-11 	31.0	
RIFIN-A.hmm 	PfGA01_040006000 	4e-155 	504.4 	4.5e-155 	504.3	
RIFIN-B.hmm 	PfGA01_040006000 	6.6e-103 	332.4 	3.6e-58 	185.4	
STEVOR1.hmm 	PfGA01_040006200 	2.3e-08 	21.6 	2.4e-08 	21.5	
RIFIN-B.hmm 	PfGA01_040006200 	2.8e-40 	126.6 	2e-30 	94.3	
RIFIN-A.hmm 	PfGA01_040006200 	8.6e-49 	154.8 	1.8e-48 	153.7	
RIFIN-B.hmm 	PfGA01_040007100 	1.2e-90 	292.2 	4.1e-51 	162.2	
STEVOR1.hmm 	PfGA01_040007100 	3.4e-16 	47.2 	2.1e-12 	34.8	
RIFIN-A.hmm 	PfGA01_040007100 	3e-117 	379.9 	1.3e-116 	377.8	
RIFIN-B.hmm 	PfGA01_040007200 	1.3e-06 	16.0 	1.3e-06 	16.0	
RIFIN-A.hmm 	PfGA01_040007200 	6.4e-07 	17.1 	1.2e-06 	16.2	
STEVOR1.hmm 	PfGA01_040007200 	6.4e-105 	338.6 	7.2e-105 	338.5	
RIFIN-A.hmm 	PfGA01_040007300 	1.5e-108 	351.3 	3.1e-108 	350.2	
RIFIN-B.hmm 	PfGA01_040007300 	1.5e-82 	265.5 	3.3e-43 	136.2	
STEVOR1.hmm 	PfGA01_040007300 	1e-07 	19.4 	1.3e-06 	15.8	
RIFIN-B.hmm 	PfGA01_040017600 	1.4e-104 	337.9 	1.3e-54 	173.8	
STEVOR1.hmm 	PfGA01_040017600 	1.8e-13 	38.3 	2.3e-11 	31.4	
RIFIN-A.hmm 	PfGA01_040017600 	6.7e-134 	434.6 	7.5e-134 	434.5	
RIFIN-B.hmm 	PfGA01_040017700 	2.1e-116 	376.8 	3.4e-66 	211.8	
STEVOR1.hmm 	PfGA01_040017700 	6.7e-15 	43.0 	4.9e-10 	27.0	
RIFIN-A.hmm 	PfGA01_040017700 	7.5e-135 	437.8 	8.4e-135 	437.6	
RIFIN-B.hmm 	PfGA01_040025600 	1.2e-98 	318.4 	3.4e-56 	178.9	
STEVOR1.hmm 	PfGA01_040025600 	3.3e-15 	44.0 	7.2e-11 	29.8	
RIFIN-A.hmm 	PfGA01_040025600 	3.7e-133 	432.2 	4.1e-133 	432.0	
RIFIN-B.hmm 	PfGA01_040025900 	1.6e-103 	334.4 	3.9e-55 	175.5	
RIFIN-A.hmm 	PfGA01_040025900 	5.6e-139 	451.3 	6.3e-139 	451.2	
STEVOR1.hmm 	PfGA01_040025900 	8.8e-12 	32.8 	7.7e-10 	26.4	
RIFIN-A.hmm 	PfGA01_040030400 	2.2e-16 	48.2 	3.6e-12 	34.3	
STEVOR1.hmm 	PfGA01_040030400 	3.7e-153 	497.0 	4.1e-153 	496.9	
RIFIN-B.hmm 	PfGA01_040030400 	4.3e-20 	60.3 	8.2e-15 	42.9	
RIFIN-A.hmm 	PfGA01_040030800 	5.9e-154 	500.6 	6.6e-154 	500.4	
STEVOR1.hmm 	PfGA01_040030800 	7.5e-13 	36.3 	1.1e-09 	25.8	
RIFIN-B.hmm 	PfGA01_040030800 	7.8e-112 	361.8 	1.9e-68 	219.2	
STEVOR1.hmm 	PfGA01_050004000 	1.3e-05 	12.5 	0.00013 	9.2	
RIFIN-B.hmm 	PfGA01_050004000 	1.3e-62 	200.0 	6.1e-49 	155.1	
RIFIN-A.hmm 	PfGA01_050004000 	3.3e-105 	340.3 	3.6e-105 	340.2	
STEVOR1.hmm 	PfGA01_050005000 	1.1e-167 	544.7 	1.3e-167 	544.5	
RIFIN-A.hmm 	PfGA01_050005000 	2.6e-13 	38.1 	1.3e-09 	25.9	
RIFIN-B.hmm 	PfGA01_050005000 	2.7e-14 	41.2 	5.4e-12 	33.7	
RIFIN-A.hmm 	PfGA01_050005100 	1.1e-97 	315.6 	2.9e-54 	172.7	
RIFIN-B.hmm 	PfGA01_050005100 	6.5e-137 	444.2 	7.2e-137 	444.0	
STEVOR1.hmm 	PfGA01_050005100 	7.3e-12 	33.0 	4.2e-10 	27.2	
RIFIN-B.hmm 	PfGA01_050005200 	1.1e-149 	486.1 	1.3e-149 	485.9	
STEVOR1.hmm 	PfGA01_050005200 	2.2e-15 	44.6 	9e-10 	26.2	
RIFIN-A.hmm 	PfGA01_050005200 	3.8e-104 	336.8 	1.5e-60 	193.4	
STEVOR1.hmm 	PfGA01_050005300 	1.3e-12 	35.5 	1.1e-08 	22.6	
RIFIN-B.hmm 	PfGA01_050005300 	1.4e-144 	469.4 	1.5e-144 	469.2	
RIFIN-A.hmm 	PfGA01_050005300 	5.2e-96 	310.0 	1.1e-52 	167.5	
RIFIN-A.hmm 	PfGA01_050036800 	1.7e-97 	314.9 	1.5e-54 	173.7	
STEVOR1.hmm 	PfGA01_050036800 	2.5e-16 	47.7 	2.9e-10 	27.8	
RIFIN-B.hmm 	PfGA01_050036800 	3.3e-140 	455.0 	3.7e-140 	454.8	
STEVOR1.hmm 	PfGA01_050037100 	1.2e-19 	58.6 	5.7e-13 	36.7	
RIFIN-A.hmm 	PfGA01_050037100 	4e-129 	418.9 	4.9e-129 	418.6	
RIFIN-B.hmm 	PfGA01_050037100 	8.2e-93 	299.3 	1.3e-48 	154.0	
RIFIN-A.hmm 	PfGA01_050037200 	1.5e-155 	505.8 	1.7e-155 	505.7	
STEVOR1.hmm 	PfGA01_050037200 	2.6e-12 	34.5 	8.7e-09 	22.9	
RIFIN-B.hmm 	PfGA01_050037200 	6.7e-103 	332.4 	2.7e-57 	182.6	
RIFIN-A.hmm 	PfGA01_050037400 	1.9e-144 	469.3 	2.1e-144 	469.2	
RIFIN-B.hmm 	PfGA01_050037400 	3.2e-100 	323.6 	1.4e-55 	176.9	
STEVOR1.hmm 	PfGA01_050037400 	5.1e-11 	30.3 	3e-08 	21.2	
STEVOR1.hmm 	PfGA01_060005200 	5.1e-13 	36.8 	9.8e-09 	22.8	
RIFIN-A.hmm 	PfGA01_060005200 	7.7e-153 	496.9 	8.7e-153 	496.7	
RIFIN-B.hmm 	PfGA01_060005200 	8.7e-107 	345.2 	1.2e-59 	190.3	
STEVOR1.hmm 	PfGA01_060005300 	1.2e-154 	502.0 	2.2e-154 	501.0	
RIFIN-A.hmm 	PfGA01_060005300 	4.3e-12 	34.1 	4.9e-10 	27.3	
RIFIN-B.hmm 	PfGA01_060005300 	8.4e-12 	33.1 	4.5e-11 	30.7	
RIFIN-A.hmm 	PfGA01_060005500 	1.2e-88 	285.8 	1e-48 	154.5	
STEVOR1.hmm 	PfGA01_060005500 	2.6e-13 	37.8 	5.3e-10 	26.9	
RIFIN-B.hmm 	PfGA01_060005500 	2e-128 	416.3 	2.3e-128 	416.1	
RIFIN-A.hmm 	PfGA01_060005700 	1.3e-146 	476.4 	1.5e-146 	476.2	
RIFIN-B.hmm 	PfGA01_060005700 	7.7e-92 	296.1 	8.4e-48 	151.4	
STEVOR1.hmm 	PfGA01_060005700 	8.1e-08 	19.7 	1.7e-06 	15.4	
RIFIN-B.hmm 	PfGA01_060022600 	1.3e-14 	42.2 	3.3e-11 	31.1	
RIFIN-A.hmm 	PfGA01_060022600 	1.4e-13 	39.0 	4.1e-10 	27.6	
STEVOR1.hmm 	PfGA01_060022600 	8e-164 	532.0 	9e-164 	531.9	
RIFIN-B.hmm 	PfGA01_060022700 	5.4e-90 	290.0 	1.6e-53 	170.1	
STEVOR1.hmm 	PfGA01_060022700 	6.5e-18 	52.9 	8.9e-13 	36.0	
RIFIN-A.hmm 	PfGA01_060022700 	7.1e-116 	375.4 	9.9e-116 	374.9	
STEVOR1.hmm 	PfGA01_070005000 	1.9e-07 	18.5 	2.5e-07 	18.1	
RIFIN-A.hmm 	PfGA01_070005000 	2.2e-73 	235.6 	2.5e-73 	235.5	
RIFIN-B.hmm 	PfGA01_070005000 	5.4e-55 	175.0 	6.5e-55 	174.7	
STEVOR1.hmm 	PfGA01_070005100 	1.1e-163 	531.6 	1.2e-163 	531.4	
RIFIN-A.hmm 	PfGA01_070005100 	2.4e-15 	44.8 	4e-12 	34.2	
RIFIN-B.hmm 	PfGA01_070005100 	2.8e-15 	44.5 	1.9e-12 	35.2	
STEVOR1.hmm 	PfGA01_070005200 	1e-10 	29.3 	1.4e-07 	19.0	
RIFIN-A.hmm 	PfGA01_070005200 	4.6e-139 	451.6 	5.2e-139 	451.4	
RIFIN-B.hmm 	PfGA01_070005200 	5.6e-102 	329.4 	9.1e-60 	190.7	
RIFIN-A.hmm 	PfGA01_070015300 	4.3e-57 	182.0 	5.4e-57 	181.7	
RIFIN-B.hmm 	PfGA01_070015300 	6.5e-35 	109.0 	6.9e-25 	76.1	
RIFIN-A.hmm 	PfGA01_070015700 	1e-86 	279.5 	2.6e-45 	143.3	
STEVOR1.hmm 	PfGA01_070015700 	2.3e-12 	34.7 	1.5e-09 	25.5	
RIFIN-B.hmm 	PfGA01_070015700 	7.8e-133 	430.8 	5.4e-130 	421.5	
RIFIN-A.hmm 	PfGA01_070016000 	1.5e-127 	413.7 	1.7e-127 	413.6	
STEVOR1.hmm 	PfGA01_070016000 	1.7e-18 	54.8 	8.7e-14 	39.4	
RIFIN-B.hmm 	PfGA01_070016000 	3.4e-95 	307.1 	1.6e-52 	166.8	
RIFIN-B.hmm 	PfGA01_070034500 	1.7e-86 	278.5 	4.2e-48 	152.4	
STEVOR1.hmm 	PfGA01_070034500 	3.4e-06 	14.4 	3.4e-06 	14.4	
RIFIN-A.hmm 	PfGA01_070034500 	6.3e-62 	198.0 	7.7e-38 	118.7	
STEVOR1.hmm 	PfGA01_070034600 	2.2e-162 	527.3 	2.5e-162 	527.1	
RIFIN-A.hmm 	PfGA01_070034600 	6.5e-12 	33.5 	4.4e-09 	24.2	
RIFIN-B.hmm 	PfGA01_070034600 	7.5e-14 	39.8 	7.6e-12 	33.2	
STEVOR1.hmm 	PfGA01_070034700 	2.1e-16 	47.9 	2.4e-13 	37.9	
RIFIN-B.hmm 	PfGA01_070034700 	3e-128 	415.7 	3.4e-128 	415.5	
RIFIN-A.hmm 	PfGA01_070034700 	4.4e-101 	326.7 	2.3e-59 	189.6	
STEVOR1.hmm 	PfGA01_070034800 	1.6e-09 	25.3 	1.2e-08 	22.5	
RIFIN-A.hmm 	PfGA01_070034800 	2.3e-128 	416.4 	2.6e-128 	416.3	
RIFIN-B.hmm 	PfGA01_070034800 	8.2e-93 	299.3 	2.1e-54 	173.0	
RIFIN-A.hmm 	PfGA01_070034900 	1.1e-10 	29.4 	2.1e-10 	28.5	
RIFIN-B.hmm 	PfGA01_070034900 	1.1e-11 	32.7 	1.9e-10 	28.6	
STEVOR1.hmm 	PfGA01_070034900 	4.4e-164 	532.9 	4.9e-164 	532.7	
STEVOR1.hmm 	PfGA01_070035000 	1.1e-14 	42.3 	5.5e-10 	26.9	
RIFIN-A.hmm 	PfGA01_070035000 	5.2e-136 	441.6 	5.9e-136 	441.4	
