RIFIN-A.hmm 	PfNF166_000006300 	2.5e-69 	222.3 	5.7e-41 	129.0	
RIFIN-A.hmm 	PfNF166_000019500 	1.3e-137 	446.8 	1.5e-137 	446.7	
RIFIN-B.hmm 	PfNF166_000019500 	2.3e-98 	317.5 	2.7e-51 	162.8	
STEVOR1.hmm 	PfNF166_000019500 	4.6e-12 	33.7 	3.7e-08 	20.8	
RIFIN-B.hmm 	PfNF166_000019600 	1.3e-93 	301.9 	3.3e-49 	156.0	
RIFIN-A.hmm 	PfNF166_000019600 	4.4e-144 	468.1 	4.9e-144 	468.0	
STEVOR1.hmm 	PfNF166_000019600 	4.7e-11 	30.4 	5.6e-07 	17.0	
RIFIN-A.hmm 	PfNF166_000020600 	1.3e-150 	489.6 	1.5e-150 	489.4	
STEVOR1.hmm 	PfNF166_000020600 	1.4e-10 	28.8 	4.2e-08 	20.7	
RIFIN-B.hmm 	PfNF166_000020600 	7.3e-105 	338.9 	2e-59 	189.6	
RIFIN-B.hmm 	PfNF166_000020700 	1e-50 	160.9 	1.1e-50 	160.8	
RIFIN-A.hmm 	PfNF166_000020700 	3.4e-55 	175.8 	3.8e-55 	175.7	
STEVOR1.hmm 	PfNF166_000020700 	9.2e-10 	26.1 	1.3e-09 	25.7	
RIFIN-A.hmm 	PfNF166_000020900 	2.1e-148 	482.3 	2.4e-148 	482.2	
STEVOR1.hmm 	PfNF166_000020900 	6.2e-10 	26.7 	2.9e-08 	21.2	
RIFIN-B.hmm 	PfNF166_000020900 	7.4e-99 	319.1 	7.2e-53 	168.0	
RIFIN-A.hmm 	PfNF166_000021000 	1.2e-92 	299.0 	8.7e-59 	187.6	
RIFIN-B.hmm 	PfNF166_000021000 	3.8e-137 	445.0 	4.4e-137 	444.7	
STEVOR1.hmm 	PfNF166_000021000 	7.4e-11 	29.7 	6.2e-09 	23.4	
STEVOR1.hmm 	PfNF166_000021100 	1.2e-12 	35.6 	1.4e-09 	25.6	
RIFIN-B.hmm 	PfNF166_000021100 	2.6e-113 	366.6 	3.2e-66 	211.9	
RIFIN-A.hmm 	PfNF166_000021100 	3.1e-141 	458.8 	3.5e-141 	458.6	
RIFIN-B.hmm 	PfNF166_000021200 	1.2e-143 	466.3 	1.3e-143 	466.2	
STEVOR1.hmm 	PfNF166_000021200 	2e-11 	31.6 	8e-08 	19.8	
RIFIN-A.hmm 	PfNF166_000021200 	8.5e-106 	342.2 	1.3e-60 	193.6	
RIFIN-A.hmm 	PfNF166_000021300 	3.3e-129 	419.2 	4e-129 	418.9	
STEVOR1.hmm 	PfNF166_000021300 	4e-12 	33.9 	3.4e-09 	24.3	
RIFIN-B.hmm 	PfNF166_000021300 	8.6e-85 	272.9 	7.6e-51 	161.3	
RIFIN-B.hmm 	PfNF166_000021400 	1.6e-83 	268.7 	1.3e-46 	147.4	
STEVOR1.hmm 	PfNF166_000021400 	4.8e-11 	30.3 	2.3e-10 	28.1	
RIFIN-A.hmm 	PfNF166_000021400 	6.6e-117 	378.7 	7.6e-117 	378.5	
RIFIN-B.hmm 	PfNF166_000021500 	1.1e-14 	42.6 	6.4e-12 	33.5	
STEVOR1.hmm 	PfNF166_000021500 	1.6e-167 	544.2 	1.8e-167 	544.0	
RIFIN-A.hmm 	PfNF166_000021500 	2.3e-13 	38.3 	3.2e-10 	27.9	
RIFIN-B.hmm 	PfNF166_000021600 	1.6e-96 	311.5 	1.2e-53 	170.6	
RIFIN-A.hmm 	PfNF166_000021600 	1.7e-129 	420.1 	2e-129 	420.0	
STEVOR1.hmm 	PfNF166_000021600 	5.2e-18 	53.2 	2.1e-13 	38.1	
RIFIN-A.hmm 	PfNF166_000022300 	2.2e-149 	485.5 	2.5e-149 	485.4	
STEVOR1.hmm 	PfNF166_000022300 	6.6e-13 	36.5 	1.8e-08 	21.9	
RIFIN-B.hmm 	PfNF166_000022300 	7.1e-106 	342.2 	3.6e-61 	195.3	
RIFIN-B.hmm 	PfNF166_000022600 	1.6e-72 	232.5 	3.1e-49 	156.1	
RIFIN-A.hmm 	PfNF166_000022600 	2.3e-104 	337.5 	2.6e-104 	337.3	
STEVOR1.hmm 	PfNF166_000022600 	8.4e-10 	26.3 	8.4e-10 	26.3	
RIFIN-A.hmm 	PfNF166_010005100 	3.2e-143 	465.3 	3.5e-143 	465.1	
STEVOR1.hmm 	PfNF166_010005100 	5.3e-11 	30.2 	3.1e-07 	17.8	
RIFIN-B.hmm 	PfNF166_010005100 	8.9e-100 	322.1 	4.7e-52 	165.3	
RIFIN-A.hmm 	PfNF166_010005200 	3.3e-151 	491.6 	3.6e-151 	491.4	
RIFIN-B.hmm 	PfNF166_010005200 	4.7e-100 	323.0 	1.2e-52 	167.2	
STEVOR1.hmm 	PfNF166_010005200 	9.3e-10 	26.1 	9.3e-08 	19.5	
STEVOR1.hmm 	PfNF166_010005600 	1.3e-57 	183.3 	2.3e-57 	182.5	
RIFIN-B.hmm 	PfNF166_010005800 	6.6e-94 	302.9 	7.4e-50 	158.1	
STEVOR1.hmm 	PfNF166_010005800 	6.7e-14 	39.7 	3.9e-11 	30.6	
RIFIN-A.hmm 	PfNF166_010005800 	8.6e-136 	440.9 	9.8e-136 	440.7	
STEVOR1.hmm 	PfNF166_010006200 	1.3e-57 	183.3 	2.3e-57 	182.5	
RIFIN-A.hmm 	PfNF166_010018000 	5.3e-83 	267.2 	4.5e-45 	142.5	
STEVOR1.hmm 	PfNF166_010018000 	8.3e-15 	42.7 	1.7e-09 	25.3	
RIFIN-B.hmm 	PfNF166_010018000 	8.7e-126 	407.6 	2.2e-125 	406.3	
STEVOR1.hmm 	PfNF166_020005600 	1.5e-11 	32.0 	1.1e-07 	19.3	
RIFIN-B.hmm 	PfNF166_020005600 	3.6e-116 	376.0 	1.1e-69 	223.3	
RIFIN-A.hmm 	PfNF166_020005600 	8.6e-163 	529.6 	9.6e-163 	529.5	
STEVOR1.hmm 	PfNF166_020005700 	6.7e-12 	33.2 	8.9e-09 	22.9	
RIFIN-A.hmm 	PfNF166_020005700 	6.9e-153 	497.1 	7.7e-153 	496.9	
RIFIN-B.hmm 	PfNF166_020005700 	8.9e-109 	351.7 	1.1e-64 	206.9	
STEVOR1.hmm 	PfNF166_020006000 	2.8e-11 	31.1 	9.8e-08 	19.5	
RIFIN-A.hmm 	PfNF166_020006000 	4.8e-150 	487.7 	5.3e-150 	487.6	
RIFIN-B.hmm 	PfNF166_020006000 	4e-101 	326.6 	3e-55 	175.8	
RIFIN-A.hmm 	PfNF166_020006200 	3.1e-133 	432.5 	3.5e-133 	432.3	
RIFIN-B.hmm 	PfNF166_020006200 	3.4e-88 	284.1 	4.9e-48 	152.1	
STEVOR1.hmm 	PfNF166_020006200 	4e-13 	37.2 	2.1e-08 	21.7	
RIFIN-A.hmm 	PfNF166_020006300 	1.6e-132 	430.1 	1.8e-132 	429.9	
RIFIN-B.hmm 	PfNF166_020006300 	1.8e-95 	308.0 	1.5e-56 	180.1	
STEVOR1.hmm 	PfNF166_020006300 	4e-08 	20.8 	3.9e-07 	17.5	
RIFIN-A.hmm 	PfNF166_020006400 	1.5e-133 	433.4 	1.7e-133 	433.3	
RIFIN-B.hmm 	PfNF166_020006400 	1.6e-92 	298.3 	1.6e-48 	153.7	
STEVOR1.hmm 	PfNF166_020006400 	2.7e-14 	41.0 	6.3e-12 	33.2	
RIFIN-A.hmm 	PfNF166_020006600 	1.6e-06 	15.8 	3.4e-06 	14.7	
RIFIN-B.hmm 	PfNF166_020006600 	1e-05 	13.1 	2.1e-05 	12.1	
STEVOR1.hmm 	PfNF166_020006600 	2e-160 	520.9 	2.2e-160 	520.7	
STEVOR1.hmm 	PfNF166_020025700 	1.6e-107 	347.2 	1.7e-107 	347.0	
RIFIN-B.hmm 	PfNF166_020025700 	3.4e-12 	34.3 	3.4e-09 	24.5	
RIFIN-A.hmm 	PfNF166_020025700 	7.9e-12 	33.2 	2.2e-09 	25.2	
RIFIN-A.hmm 	PfNF166_040007300 	1.1e-156 	509.5 	1.3e-156 	509.4	
RIFIN-B.hmm 	PfNF166_040007300 	1.2e-117 	380.8 	2.5e-67 	215.5	
STEVOR1.hmm 	PfNF166_040007300 	6.4e-12 	33.2 	4.3e-08 	20.6	
RIFIN-B.hmm 	PfNF166_040007400 	1.7e-152 	495.4 	1.9e-152 	495.3	
STEVOR1.hmm 	PfNF166_040007400 	3.6e-15 	43.9 	7.6e-11 	29.7	
RIFIN-A.hmm 	PfNF166_040007400 	3e-99 	320.7 	1.8e-62 	199.8	
STEVOR1.hmm 	PfNF166_040007700 	1.1e-130 	423.3 	8e-88 	282.5	
RIFIN-B.hmm 	PfNF166_040007700 	2.1e-13 	38.3 	3.2e-11 	31.2	
RIFIN-A.hmm 	PfNF166_040007700 	2e-11 	31.9 	2.2e-09 	25.2	
RIFIN-A.hmm 	PfNF166_040007800 	1.4e-51 	163.9 	2.4e-51 	163.2	
RIFIN-B.hmm 	PfNF166_040007800 	4.3e-42 	132.6 	1.7e-30 	94.5	
STEVOR1.hmm 	PfNF166_040007800 	4.8e-09 	23.8 	3.4e-08 	21.0	
RIFIN-B.hmm 	PfNF166_040008800 	4.9e-90 	290.1 	4.5e-51 	162.1	
RIFIN-A.hmm 	PfNF166_040008800 	5.8e-116 	375.6 	2.5e-115 	373.6	
STEVOR1.hmm 	PfNF166_040008800 	7.9e-17 	49.3 	7e-14 	39.7	
RIFIN-B.hmm 	PfNF166_040019000 	1.4e-135 	439.8 	1.6e-135 	439.6	
STEVOR1.hmm 	PfNF166_040019000 	1.7e-09 	25.3 	2.7e-07 	18.0	
RIFIN-A.hmm 	PfNF166_040019000 	2.4e-94 	304.6 	4.5e-51 	162.3	
RIFIN-A.hmm 	PfNF166_040019300 	3.1e-135 	439.0 	3.5e-135 	438.9	
RIFIN-B.hmm 	PfNF166_040019300 	5.1e-106 	342.7 	2.4e-56 	179.4	
STEVOR1.hmm 	PfNF166_040019300 	6.8e-16 	46.3 	3.7e-11 	30.7	
RIFIN-A.hmm 	PfNF166_040026900 	2.8e-103 	333.9 	3.3e-103 	333.7	
STEVOR1.hmm 	PfNF166_040026900 	5.5e-10 	26.9 	5.5e-10 	26.9	
RIFIN-B.hmm 	PfNF166_040026900 	6.6e-79 	253.6 	1.1e-54 	174.0	
STEVOR1.hmm 	PfNF166_040031200 	1.5e-31 	97.7 	1.3e-24 	74.9	
RIFIN-B.hmm 	PfNF166_040031200 	3.4e-09 	24.5 	4e-09 	24.3	
RIFIN-A.hmm 	PfNF166_040031200 	6.1e-08 	20.4 	7.1e-08 	20.2	
STEVOR1.hmm 	PfNF166_040031400 	3.5e-15 	43.9 	2.6e-11 	31.2	
RIFIN-A.hmm 	PfNF166_040031400 	3.7e-111 	359.8 	7.9e-111 	358.8	
RIFIN-B.hmm 	PfNF166_040031400 	7.1e-88 	283.0 	1.8e-46 	147.0	
RIFIN-B.hmm 	PfNF166_040031500 	1.6e-142 	462.7 	1.7e-142 	462.5	
RIFIN-A.hmm 	PfNF166_040031500 	3.2e-102 	330.4 	3.4e-55 	175.8	
STEVOR1.hmm 	PfNF166_040031500 	9.6e-12 	32.6 	3.1e-08 	21.1	
RIFIN-A.hmm 	PfNF166_040031600 	1.3e-149 	486.3 	1.5e-149 	486.1	
RIFIN-B.hmm 	PfNF166_040031600 	4.9e-102 	329.6 	1.9e-53 	169.9	
STEVOR1.hmm 	PfNF166_040031600 	8e-12 	32.9 	1.2e-08 	22.5	
RIFIN-B.hmm 	PfNF166_040031800 	1.2e-137 	446.6 	1.4e-137 	446.3	
RIFIN-A.hmm 	PfNF166_040031800 	1.2e-89 	289.1 	1e-50 	161.1	
STEVOR1.hmm 	PfNF166_040031800 	1.3e-10 	28.9 	5.1e-08 	20.4	
RIFIN-A.hmm 	PfNF166_040032300 	1.6e-158 	515.6 	1.8e-158 	515.4	
RIFIN-B.hmm 	PfNF166_040032300 	1e-105 	341.7 	2e-58 	186.3	
STEVOR1.hmm 	PfNF166_040032300 	3.4e-13 	37.4 	1.6e-08 	22.0	
STEVOR1.hmm 	PfNF166_050005100 	2.4e-09 	24.8 	4.3e-07 	17.4	
RIFIN-B.hmm 	PfNF166_050005100 	3.1e-111 	359.8 	1.2e-61 	196.9	
RIFIN-A.hmm 	PfNF166_050005100 	5.4e-154 	500.7 	6e-154 	500.6	
STEVOR1.hmm 	PfNF166_050005400 	2.4e-09 	24.8 	4.3e-07 	17.4	
RIFIN-B.hmm 	PfNF166_050005400 	3.1e-111 	359.8 	1.2e-61 	196.9	
RIFIN-A.hmm 	PfNF166_050005400 	5.4e-154 	500.7 	6e-154 	500.6	
RIFIN-A.hmm 	PfNF166_050005700 	1.7e-152 	495.8 	1.9e-152 	495.6	
RIFIN-B.hmm 	PfNF166_050005700 	4.7e-101 	326.4 	9.5e-56 	177.5	
STEVOR1.hmm 	PfNF166_050005700 	6.5e-09 	23.3 	6.1e-08 	20.2	
RIFIN-B.hmm 	PfNF166_050005900 	1e-11 	32.7 	2.6e-11 	31.5	
RIFIN-A.hmm 	PfNF166_050005900 	2.1e-12 	35.1 	1.6e-09 	25.6	
STEVOR1.hmm 	PfNF166_050005900 	6.7e-169 	548.7 	7.5e-169 	548.6	
STEVOR1.hmm 	PfNF166_050037400 	1.2e-15 	45.5 	2.3e-10 	28.1	
RIFIN-B.hmm 	PfNF166_050037400 	2.5e-99 	320.7 	1.1e-53 	170.8	
RIFIN-A.hmm 	PfNF166_050037400 	8.5e-134 	434.3 	9.5e-134 	434.1	
RIFIN-B.hmm 	PfNF166_050037500 	3.2e-143 	464.9 	3.6e-143 	464.8	
STEVOR1.hmm 	PfNF166_050037500 	3e-16 	47.4 	3e-10 	27.7	
RIFIN-A.hmm 	PfNF166_050037500 	9.8e-100 	322.3 	1.5e-54 	173.7	
STEVOR1.hmm 	PfNF166_050037900 	1.9e-13 	38.2 	3e-11 	31.0	
RIFIN-A.hmm 	PfNF166_050037900 	2.5e-136 	442.6 	2.9e-136 	442.4	
RIFIN-B.hmm 	PfNF166_050037900 	3.3e-87 	280.9 	1.6e-48 	153.8	
STEVOR1.hmm 	PfNF166_050038100 	1.7e-09 	25.2 	7.5e-08 	19.8	
RIFIN-B.hmm 	PfNF166_050038100 	2.3e-109 	353.6 	2.3e-66 	212.4	
RIFIN-A.hmm 	PfNF166_050038100 	9e-153 	496.7 	1e-152 	496.5	
RIFIN-B.hmm 	PfNF166_060022100 	1.9e-123 	399.9 	1.2e-63 	203.4	
STEVOR1.hmm 	PfNF166_060022100 	1e-16 	48.9 	4e-12 	33.9	
RIFIN-A.hmm 	PfNF166_060022100 	6.9e-148 	480.6 	7.8e-148 	480.5	
RIFIN-A.hmm 	PfNF166_060035800 	1.1e-105 	341.9 	1.2e-105 	341.7	
RIFIN-B.hmm 	PfNF166_060035800 	6.7e-73 	233.8 	3.1e-49 	156.1	
STEVOR1.hmm 	PfNF166_060035800 	8.4e-10 	26.3 	8.4e-10 	26.3	
RIFIN-A.hmm 	PfNF166_060035900 	1.8e-93 	301.7 	4.7e-53 	168.8	
STEVOR1.hmm 	PfNF166_060035900 	1e-10 	29.2 	5.2e-09 	23.7	
RIFIN-B.hmm 	PfNF166_060035900 	2.7e-136 	442.2 	3e-136 	442.0	
RIFIN-B.hmm 	PfNF166_060036000 	2.4e-100 	324.0 	1.1e-53 	170.7	
RIFIN-A.hmm 	PfNF166_060036000 	2e-148 	482.4 	2.3e-148 	482.2	
STEVOR1.hmm 	PfNF166_060036000 	9.7e-14 	39.2 	4.1e-10 	27.3	
RIFIN-B.hmm 	PfNF166_060036200 	1e-15 	45.9 	3.5e-13 	37.6	
STEVOR1.hmm 	PfNF166_060036200 	5.4e-169 	549.0 	6.1e-169 	548.9	
RIFIN-A.hmm 	PfNF166_060036200 	6.2e-15 	43.4 	1.1e-11 	32.7	
STEVOR1.hmm 	PfNF166_060036300 	1.6e-16 	48.3 	1.2e-12 	35.6	
RIFIN-A.hmm 	PfNF166_060036300 	1.7e-151 	492.5 	1.9e-151 	492.4	
RIFIN-B.hmm 	PfNF166_060036300 	7.6e-107 	345.4 	1e-56 	180.6	
STEVOR1.hmm 	PfNF166_060036400 	1.3e-17 	51.9 	4.3e-10 	27.2	
RIFIN-A.hmm 	PfNF166_060036400 	4.1e-93 	300.5 	3.2e-53 	169.3	
RIFIN-B.hmm 	PfNF166_060036400 	5.3e-133 	431.3 	6e-133 	431.2	
STEVOR1.hmm 	PfNF166_060036500 	2.4e-09 	24.8 	4.3e-07 	17.4	
RIFIN-B.hmm 	PfNF166_060036500 	3.1e-111 	359.8 	1.2e-61 	196.9	
RIFIN-A.hmm 	PfNF166_060036500 	5.4e-154 	500.7 	6e-154 	500.6	
STEVOR1.hmm 	PfNF166_070005300 	1.6e-10 	28.6 	4.1e-07 	17.4	
RIFIN-A.hmm 	PfNF166_070005300 	3.9e-144 	468.3 	4.4e-144 	468.1	
RIFIN-B.hmm 	PfNF166_070005300 	6.6e-103 	332.4 	1.3e-57 	183.6	
RIFIN-B.hmm 	PfNF166_070005400 	1.3e-148 	482.7 	1.4e-148 	482.5	
STEVOR1.hmm 	PfNF166_070005400 	2.5e-11 	31.3 	2.1e-07 	18.4	
RIFIN-A.hmm 	PfNF166_070005400 	2.9e-104 	337.2 	3.6e-64 	205.3	
RIFIN-A.hmm 	PfNF166_070005600 	1e-152 	496.5 	1.1e-152 	496.4	
RIFIN-B.hmm 	PfNF166_070005600 	4.3e-104 	336.3 	8.5e-56 	177.6	
STEVOR1.hmm 	PfNF166_070005600 	6.3e-14 	39.8 	3e-09 	24.5	
RIFIN-B.hmm 	PfNF166_070005800 	2.1e-114 	370.2 	1.2e-65 	210.0	
STEVOR1.hmm 	PfNF166_070005800 	3.9e-10 	27.3 	4.9e-08 	20.5	
RIFIN-A.hmm 	PfNF166_070005800 	4.7e-156 	507.5 	5.3e-156 	507.3	
STEVOR1.hmm 	PfNF166_070005900 	4.6e-08 	20.5 	4e-07 	17.5	
RIFIN-B.hmm 	PfNF166_070005900 	5.9e-98 	316.2 	5.3e-52 	165.2	
RIFIN-A.hmm 	PfNF166_070005900 	6.9e-143 	464.2 	7.7e-143 	464.0	
RIFIN-A.hmm 	PfNF166_070006200 	1.5e-11 	32.3 	8.9e-10 	26.5	
STEVOR1.hmm 	PfNF166_070006200 	2.9e-163 	530.2 	3.2e-163 	530.1	
RIFIN-B.hmm 	PfNF166_070006200 	5.7e-14 	40.2 	4.2e-12 	34.1	
STEVOR1.hmm 	PfNF166_070006300 	1e-08 	22.7 	4.7e-07 	17.2	
RIFIN-A.hmm 	PfNF166_070006300 	2.8e-102 	330.7 	1.4e-60 	193.5	
RIFIN-B.hmm 	PfNF166_070006300 	5.1e-146 	474.1 	5.7e-146 	473.9	
RIFIN-A.hmm 	PfNF166_070006400 	1.1e-131 	427.3 	1.3e-131 	427.1	
STEVOR1.hmm 	PfNF166_070006400 	1.2e-07 	19.2 	1.2e-07 	19.2	
RIFIN-B.hmm 	PfNF166_070006400 	2e-98 	317.7 	3.9e-65 	208.3	
RIFIN-A.hmm 	PfNF166_070016400 	5e-131 	425.2 	5.6e-131 	425.0	
STEVOR1.hmm 	PfNF166_070016400 	8.2e-17 	49.3 	2.7e-12 	34.5	
RIFIN-B.hmm 	PfNF166_070016400 	9.1e-97 	312.3 	3.6e-56 	178.8	
STEVOR1.hmm 	PfNF166_070016500 	1.3e-15 	45.3 	3.7e-11 	30.7	
RIFIN-B.hmm 	PfNF166_070016500 	1.4e-103 	334.7 	8.6e-54 	171.0	
RIFIN-A.hmm 	PfNF166_070016500 	5.1e-133 	431.7 	3.4e-131 	425.7	
STEVOR1.hmm 	PfNF166_070035000 	1.1e-09 	25.8 	8.9e-07 	16.3	
RIFIN-B.hmm 	PfNF166_070035000 	3.4e-109 	353.1 	4.8e-71 	227.7	
RIFIN-A.hmm 	PfNF166_070035000 	5.8e-83 	267.1 	4.3e-59 	188.6	
STEVOR1.hmm 	PfNF166_070035100 	2.2e-162 	527.3 	2.5e-162 	527.1	
RIFIN-A.hmm 	PfNF166_070035100 	6.5e-12 	33.5 	4.4e-09 	24.2	
RIFIN-B.hmm 	PfNF166_070035100 	7.5e-14 	39.8 	7.6e-12 	33.2	
STEVOR1.hmm 	PfNF166_070035200 	2.1e-16 	47.9 	2.4e-13 	37.9	
RIFIN-B.hmm 	PfNF166_070035200 	3e-128 	415.7 	3.4e-128 	415.5	
RIFIN-A.hmm 	PfNF166_070035200 	4.4e-101 	326.7 	2.3e-59 	189.6	
STEVOR1.hmm 	PfNF166_070035300 	1.6e-09 	25.3 	1.2e-08 	22.5	
RIFIN-A.hmm 	PfNF166_070035300 	2.3e-128 	416.4 	2.6e-128 	416.3	
RIFIN-B.hmm 	PfNF166_070035300 	8.2e-93 	299.3 	2.1e-54 	173.0	
STEVOR1.hmm 	PfNF166_070035400 	1.1e-163 	531.6 	1.2e-163 	531.5	
RIFIN-B.hmm 	PfNF166_070035400 	2.2e-13 	38.2 	8.3e-12 	33.1	
RIFIN-A.hmm 	PfNF166_070035400 	6.7e-10 	26.9 	7.9e-08 	20.1	
STEVOR1.hmm 	PfNF166_070035700 	1.3e-14 	42.1 	9.8e-10 	26.0	
RIFIN-B.hmm 	PfNF166_070035700 	3.7e-111 	359.5 	3.6e-63 	201.9	
RIFIN-A.hmm 	PfNF166_070035700 	9.1e-154 	500.0 	1e-153 	499.8	
RIFIN-B.hmm 	PfNF166_080012900 	1.2e-107 	348.0 	2.7e-64 	205.6	
RIFIN-A.hmm 	PfNF166_080012900 	2.1e-133 	433.0 	2.4e-133 	432.8	
STEVOR1.hmm 	PfNF166_080012900 	8.2e-15 	42.7 	7.8e-12 	32.9	
STEVOR1.hmm 	PfNF166_080035500 	1.7e-82 	265.0 	7.3e-82 	262.9	
RIFIN-B.hmm 	PfNF166_080035800 	2.8e-13 	37.9 	1.8e-10 	28.7	
