STEVOR1.hmm 	PfKH02_000007900 	1e-14 	42.4 	6.5e-10 	26.6	
STEVOR1.hmm 	PfKH02_040031300 	6.6e-16 	46.3 	1.1e-11 	32.4	
RIFIN-B.hmm 	PfKH02_040031400 	1.2e-114 	371.0 	2.8e-60 	192.4	
STEVOR1.hmm 	PfKH02_040031400 	1.3e-15 	45.3 	1.8e-13 	38.3	
RIFIN-A.hmm 	PfKH02_040031400 	3.2e-141 	458.7 	3.6e-141 	458.5	
RIFIN-A.hmm 	PfKH02_040031500 	4.7e-106 	343.1 	1.7e-64 	206.4	
STEVOR1.hmm 	PfKH02_040031500 	5e-14 	40.2 	4.7e-10 	27.1	
RIFIN-B.hmm 	PfKH02_040031500 	9.9e-146 	473.1 	1.1e-145 	473.0	
RIFIN-B.hmm 	PfKH02_040031600 	1.3e-11 	32.4 	9.3e-10 	26.3	
RIFIN-A.hmm 	PfKH02_040031600 	4.4e-11 	30.8 	2.3e-08 	21.8	
STEVOR1.hmm 	PfKH02_040031600 	5.4e-165 	535.9 	6e-165 	535.7	
RIFIN-B.hmm 	PfKH02_040031700 	1.3e-100 	324.9 	4e-52 	165.6	
STEVOR1.hmm 	PfKH02_040031700 	5.7e-10 	26.8 	5.3e-07 	17.1	
RIFIN-A.hmm 	PfKH02_040031700 	6.5e-143 	464.3 	7.3e-143 	464.1	
RIFIN-A.hmm 	PfKH02_040031800 	1.7e-12 	35.4 	7.2e-11 	30.1	
RIFIN-B.hmm 	PfKH02_040031800 	2.6e-13 	38.0 	6.5e-12 	33.4	
STEVOR1.hmm 	PfKH02_040031800 	2.7e-168 	546.7 	3e-168 	546.6	
RIFIN-B.hmm 	PfKH02_040032000 	3e-110 	356.6 	5.4e-63 	201.3	
STEVOR1.hmm 	PfKH02_040032000 	4.3e-08 	20.6 	1.7e-07 	18.7	
RIFIN-A.hmm 	PfKH02_040032000 	5.7e-155 	503.9 	6.4e-155 	503.8	
RIFIN-A.hmm 	PfKH02_040032100 	1.1e-108 	351.7 	1e-66 	213.7	
STEVOR1.hmm 	PfKH02_040032100 	2.3e-08 	21.5 	2.3e-08 	21.5	
RIFIN-B.hmm 	PfKH02_040032100 	4.3e-137 	444.8 	4.9e-137 	444.6	
STEVOR1.hmm 	PfKH02_050005600 	1.1e-14 	42.3 	2.7e-10 	27.9	
RIFIN-B.hmm 	PfKH02_050005600 	1.9e-110 	357.2 	1.2e-64 	206.7	
RIFIN-A.hmm 	PfKH02_050005600 	4.4e-153 	497.7 	4.9e-153 	497.6	
RIFIN-A.hmm 	PfKH02_050005700 	1e-104 	338.6 	4.4e-63 	201.8	
STEVOR1.hmm 	PfKH02_050005700 	2.3e-08 	21.5 	2.5e-08 	21.4	
RIFIN-B.hmm 	PfKH02_050005700 	2.7e-148 	481.6 	3.1e-148 	481.4	
STEVOR1.hmm 	PfKH02_050005800 	2.3e-09 	24.8 	6.1e-07 	16.9	
RIFIN-A.hmm 	PfKH02_050005800 	3e-149 	485.1 	3.4e-149 	484.9	
RIFIN-B.hmm 	PfKH02_050005800 	7.6e-98 	315.8 	1.5e-51 	163.6	
STEVOR1.hmm 	PfKH02_050005900 	2e-13 	38.1 	5.9e-09 	23.5	
RIFIN-A.hmm 	PfKH02_050005900 	3.1e-98 	317.3 	1.7e-61 	196.5	
RIFIN-B.hmm 	PfKH02_050005900 	5.6e-141 	457.5 	6.4e-141 	457.4	
RIFIN-B.hmm 	PfKH02_050006000 	1.5e-95 	308.2 	1.1e-51 	164.2	
RIFIN-A.hmm 	PfKH02_050006000 	2.2e-143 	465.8 	2.5e-143 	465.6	
STEVOR1.hmm 	PfKH02_050006000 	2e-15 	44.8 	6.3e-10 	26.7	
RIFIN-A.hmm 	PfKH02_050006100 	1.3e-147 	479.8 	1.4e-147 	479.6	
RIFIN-B.hmm 	PfKH02_050006100 	2.5e-96 	310.8 	3.6e-52 	165.7	
STEVOR1.hmm 	PfKH02_050006100 	8.9e-11 	29.5 	2.3e-08 	21.5	
RIFIN-A.hmm 	PfKH02_050006200 	2.4e-92 	298.0 	2.2e-55 	176.4	
RIFIN-B.hmm 	PfKH02_050006200 	5.3e-120 	388.6 	6e-120 	388.4	
STEVOR1.hmm 	PfKH02_050006200 	5.9e-12 	33.3 	4.7e-08 	20.5	
RIFIN-A.hmm 	PfKH02_050006300 	1.4e-95 	308.6 	1.5e-52 	167.1	
STEVOR1.hmm 	PfKH02_050006300 	1.6e-12 	35.2 	1.2e-08 	22.4	
RIFIN-B.hmm 	PfKH02_050006300 	1.7e-144 	469.1 	1.9e-144 	468.9	
RIFIN-A.hmm 	PfKH02_060005900 	2.8e-153 	498.3 	3.2e-153 	498.2	
STEVOR1.hmm 	PfKH02_060005900 	2.9e-12 	34.3 	1.4e-08 	22.3	
RIFIN-B.hmm 	PfKH02_060005900 	5.3e-101 	326.2 	8.1e-56 	177.7	
RIFIN-B.hmm 	PfKH02_060006000 	2.1e-98 	317.7 	4.3e-54 	172.0	
STEVOR1.hmm 	PfKH02_060006000 	6.2e-19 	56.3 	1.5e-13 	38.5	
RIFIN-A.hmm 	PfKH02_060006000 	7.5e-136 	441.0 	8.4e-136 	440.9	
RIFIN-B.hmm 	PfKH02_060006100 	1.1e-100 	325.1 	7.7e-54 	171.2	
RIFIN-A.hmm 	PfKH02_060006100 	1.9e-132 	429.9 	2.1e-132 	429.7	
STEVOR1.hmm 	PfKH02_060006100 	7.3e-15 	42.9 	1e-09 	26.0	
STEVOR1.hmm 	PfKH02_060006200 	2.5e-12 	34.5 	1.5e-08 	22.2	
RIFIN-B.hmm 	PfKH02_060006200 	3.5e-97 	313.6 	1.8e-60 	193.0	
RIFIN-A.hmm 	PfKH02_060006200 	7.7e-134 	434.4 	9.2e-134 	434.2	
STEVOR1.hmm 	PfKH02_060006300 	1.4e-08 	22.3 	3.8e-07 	17.5	
RIFIN-B.hmm 	PfKH02_060006300 	2.1e-99 	320.9 	4.2e-52 	165.5	
RIFIN-A.hmm 	PfKH02_060006300 	5e-153 	497.5 	5.6e-153 	497.4	
RIFIN-A.hmm 	PfKH02_060006600 	1.1e-11 	32.7 	3e-11 	31.3	
STEVOR1.hmm 	PfKH02_060006600 	4.6e-167 	542.7 	5.1e-167 	542.5	
RIFIN-B.hmm 	PfKH02_060006600 	5.7e-13 	36.9 	4.2e-12 	34.1	
STEVOR1.hmm 	PfKH02_060006700 	3.7e-10 	27.5 	3.3e-08 	21.0	
RIFIN-B.hmm 	PfKH02_060006700 	5.5e-109 	352.4 	6.2e-109 	352.2	
RIFIN-A.hmm 	PfKH02_060006700 	7.2e-85 	273.4 	5.6e-66 	211.3	
RIFIN-B.hmm 	PfKH02_060006800 	1.4e-101 	328.0 	1.3e-57 	183.6	
RIFIN-A.hmm 	PfKH02_060006800 	1.6e-136 	443.3 	1.8e-136 	443.1	
STEVOR1.hmm 	PfKH02_060006800 	6.2e-16 	46.4 	1.7e-10 	28.6	
RIFIN-B.hmm 	PfKH02_060024200 	1.8e-112 	363.8 	1.5e-62 	199.8	
RIFIN-A.hmm 	PfKH02_060024200 	3.4e-142 	461.9 	3.8e-142 	461.8	
STEVOR1.hmm 	PfKH02_060024200 	4.9e-19 	56.6 	1.2e-13 	38.9	
STEVOR1.hmm 	PfKH02_060038600 	1.1e-11 	32.5 	5.4e-08 	20.3	
RIFIN-B.hmm 	PfKH02_060038600 	1.2e-141 	459.7 	1.4e-141 	459.6	
RIFIN-A.hmm 	PfKH02_060038600 	9e-97 	312.5 	1.9e-60 	193.1	
RIFIN-A.hmm 	PfKH02_060038700 	1.4e-15 	45.6 	2e-10 	28.6	
STEVOR1.hmm 	PfKH02_060038700 	2.4e-164 	533.8 	2.7e-164 	533.6	
RIFIN-B.hmm 	PfKH02_060038700 	7.9e-15 	43.0 	1.1e-10 	29.4	
STEVOR1.hmm 	PfKH02_060038800 	1.6e-16 	48.4 	5.2e-11 	30.2	
RIFIN-A.hmm 	PfKH02_060038800 	1.8e-127 	413.5 	2.1e-127 	413.3	
RIFIN-B.hmm 	PfKH02_060038800 	7.3e-98 	315.9 	9.5e-53 	167.6	
RIFIN-B.hmm 	PfKH02_060038900 	3.9e-105 	339.8 	1.1e-56 	180.6	
RIFIN-A.hmm 	PfKH02_060038900 	4.5e-138 	448.4 	5e-138 	448.2	
STEVOR1.hmm 	PfKH02_060038900 	9.1e-08 	19.6 	4.9e-06 	13.9	
STEVOR1.hmm 	PfKH02_070005100 	0.00044 	7.5 	2.1e-06 	15.1	
RIFIN-A.hmm 	PfKH02_070005100 	6.2e-127 	411.7 	8.7e-127 	411.2	
RIFIN-B.hmm 	PfKH02_070005100 	7.8e-87 	279.6 	3.5e-53 	169.0	
RIFIN-A.hmm 	PfKH02_070015400 	1.1e-98 	318.8 	1.3e-98 	318.6	
RIFIN-B.hmm 	PfKH02_070015400 	1.5e-76 	245.8 	1.4e-51 	163.8	
STEVOR1.hmm 	PfKH02_070015400 	4.4e-16 	46.9 	4.4e-16 	46.9	
RIFIN-B.hmm 	PfKH02_070015600 	2.4e-102 	330.6 	1.2e-55 	177.1	
RIFIN-A.hmm 	PfKH02_070015600 	7.6e-154 	500.2 	8.6e-154 	500.1	
STEVOR1.hmm 	PfKH02_070015600 	7.7e-16 	46.1 	2.2e-11 	31.5	
RIFIN-A.hmm 	PfKH02_070015700 	1.3e-145 	473.2 	1.5e-145 	473.0	
STEVOR1.hmm 	PfKH02_070015700 	1.6e-11 	32.0 	3e-08 	21.2	
RIFIN-B.hmm 	PfKH02_070015700 	1.7e-101 	327.8 	2.1e-58 	186.2	
RIFIN-B.hmm 	PfKH02_070016000 	1.2e-101 	328.3 	4.8e-59 	188.3	
STEVOR1.hmm 	PfKH02_070016000 	1.4e-16 	48.5 	6.3e-12 	33.2	
RIFIN-A.hmm 	PfKH02_070016000 	2e-135 	439.7 	2.2e-135 	439.5	
RIFIN-B.hmm 	PfKH02_070034600 	1.7e-86 	278.5 	4.2e-48 	152.4	
STEVOR1.hmm 	PfKH02_070034600 	3.4e-06 	14.4 	3.4e-06 	14.4	
RIFIN-A.hmm 	PfKH02_070034600 	6e-62 	198.0 	7.4e-38 	118.8	
RIFIN-B.hmm 	PfKH02_070034700 	1.5e-12 	35.5 	1.3e-10 	29.2	
STEVOR1.hmm 	PfKH02_070034700 	1.6e-167 	544.2 	1.8e-167 	544.0	
RIFIN-A.hmm 	PfKH02_070034700 	1.9e-10 	28.7 	1.1e-09 	26.1	
RIFIN-B.hmm 	PfKH02_070034900 	1.4e-130 	423.4 	1.6e-130 	423.2	
STEVOR1.hmm 	PfKH02_070034900 	4.2e-14 	40.4 	1e-09 	26.0	
RIFIN-A.hmm 	PfKH02_070034900 	5.7e-97 	313.2 	3e-54 	172.7	
