RIFIN-B.hmm 	PfKE01_000005100 	1.1e-103 	335.0 	3.3e-55 	175.7	
RIFIN-A.hmm 	PfKE01_000007700 	4.1e-145 	471.5 	4.6e-145 	471.3	
RIFIN-B.hmm 	PfKE01_000007700 	5.7e-101 	326.1 	1.8e-52 	166.7	
STEVOR1.hmm 	PfKE01_000008700 	1.1e-11 	32.4 	5.7e-09 	23.5	
RIFIN-A.hmm 	PfKE01_000008700 	2.3e-145 	472.3 	2.6e-145 	472.2	
RIFIN-B.hmm 	PfKE01_000008700 	8.9e-107 	345.1 	5.1e-56 	178.4	
STEVOR1.hmm 	PfKE01_000008800 	1.2e-16 	48.7 	2e-10 	28.3	
RIFIN-A.hmm 	PfKE01_000008800 	3.5e-94 	304.0 	6e-57 	181.6	
RIFIN-B.hmm 	PfKE01_000008800 	5.1e-131 	424.8 	5.7e-131 	424.6	
RIFIN-B.hmm 	PfKE01_000008900 	1.1e-112 	364.6 	1.2e-112 	364.5	
RIFIN-A.hmm 	PfKE01_000008900 	1.1e-91 	295.8 	1.3e-53 	170.7	
STEVOR1.hmm 	PfKE01_000008900 	2.4e-16 	47.8 	4.2e-11 	30.5	
RIFIN-B.hmm 	PfKE01_000009000 	5.7e-143 	464.1 	6.5e-143 	463.9	
STEVOR1.hmm 	PfKE01_000009000 	5.9e-12 	33.3 	4.3e-09 	23.9	
RIFIN-A.hmm 	PfKE01_000009000 	8.7e-105 	338.9 	2.9e-60 	192.5	
STEVOR1.hmm 	PfKE01_000009100 	1.9e-09 	25.1 	2.3e-08 	21.5	
RIFIN-B.hmm 	PfKE01_000009100 	2.7e-113 	366.5 	2.9e-68 	218.6	
RIFIN-A.hmm 	PfKE01_000009100 	7.1e-152 	493.7 	8e-152 	493.6	
RIFIN-B.hmm 	PfKE01_000009200 	1.2e-16 	49.0 	5e-12 	33.8	
STEVOR1.hmm 	PfKE01_000009200 	6.1e-167 	542.3 	6.8e-167 	542.1	
RIFIN-A.hmm 	PfKE01_000009200 	7.2e-15 	43.2 	4.5e-11 	30.7	
STEVOR1.hmm 	PfKE01_000009300 	1.9e-06 	15.2 	6.7e-06 	13.5	
RIFIN-A.hmm 	PfKE01_000009300 	3.1e-110 	356.8 	3.7e-110 	356.5	
RIFIN-B.hmm 	PfKE01_000009300 	4.5e-88 	283.7 	3.3e-49 	156.0	
RIFIN-B.hmm 	PfKE01_010005100 	2.2e-101 	327.4 	9.7e-57 	180.7	
RIFIN-A.hmm 	PfKE01_010005100 	4.2e-144 	468.2 	4.8e-144 	468.0	
STEVOR1.hmm 	PfKE01_010005100 	4.4e-11 	30.5 	3.7e-08 	20.9	
RIFIN-B.hmm 	PfKE01_010005200 	1.4e-102 	331.4 	7.9e-58 	184.3	
RIFIN-A.hmm 	PfKE01_010005200 	1e-148 	483.4 	1.1e-148 	483.2	
STEVOR1.hmm 	PfKE01_010005200 	5.1e-11 	30.3 	4e-08 	20.8	
RIFIN-A.hmm 	PfKE01_010005300 	1.7e-150 	489.2 	1.9e-150 	489.1	
STEVOR1.hmm 	PfKE01_010005300 	2.2e-09 	24.9 	3.7e-08 	20.9	
RIFIN-B.hmm 	PfKE01_010005300 	5.2e-99 	319.6 	3.1e-54 	172.5	
RIFIN-B.hmm 	PfKE01_010005400 	4.2e-15 	43.9 	4.8e-13 	37.1	
STEVOR1.hmm 	PfKE01_010005400 	4.6e-170 	552.5 	5.1e-170 	552.4	
RIFIN-A.hmm 	PfKE01_010005400 	5.9e-13 	36.9 	7.4e-11 	30.0	
STEVOR1.hmm 	PfKE01_020023700 	1.6e-107 	347.2 	1.7e-107 	347.0	
RIFIN-B.hmm 	PfKE01_020023700 	3.4e-12 	34.3 	3.4e-09 	24.5	
RIFIN-A.hmm 	PfKE01_020023700 	7.9e-12 	33.2 	2.2e-09 	25.2	
RIFIN-B.hmm 	PfKE01_020024600 	1.3e-128 	416.9 	1.4e-128 	416.8	
RIFIN-A.hmm 	PfKE01_020024600 	2.9e-110 	356.9 	5.8e-62 	198.1	
STEVOR1.hmm 	PfKE01_020024600 	9.2e-16 	45.8 	1e-10 	29.2	
RIFIN-A.hmm 	PfKE01_020024700 	2.9e-153 	498.3 	3.2e-153 	498.2	
RIFIN-B.hmm 	PfKE01_020024700 	2e-107 	347.3 	4.4e-58 	185.1	
STEVOR1.hmm 	PfKE01_020024700 	8.9e-12 	32.8 	6.1e-08 	20.2	
RIFIN-B.hmm 	PfKE01_020024800 	2.9e-13 	37.9 	5.6e-12 	33.6	
RIFIN-A.hmm 	PfKE01_020024800 	7.1e-11 	30.1 	5.1e-10 	27.3	
STEVOR1.hmm 	PfKE01_020024800 	9.9e-169 	548.2 	1.1e-168 	548.0	
RIFIN-A.hmm 	PfKE01_020024900 	2.1e-131 	426.4 	2.4e-131 	426.3	
STEVOR1.hmm 	PfKE01_020024900 	3.3e-12 	34.1 	1.9e-08 	21.8	
RIFIN-B.hmm 	PfKE01_020024900 	7.6e-91 	292.8 	5.5e-49 	155.2	
RIFIN-B.hmm 	PfKE01_030005300 	5.5e-98 	316.3 	3e-56 	179.1	
RIFIN-A.hmm 	PfKE01_030005300 	5.6e-142 	461.2 	6.3e-142 	461.0	
STEVOR1.hmm 	PfKE01_030005300 	9.9e-12 	32.6 	2.3e-08 	21.5	
STEVOR1.hmm 	PfKE01_030005400 	3.6e-13 	37.3 	3e-08 	21.1	
RIFIN-A.hmm 	PfKE01_030005400 	4e-152 	494.6 	4.5e-152 	494.4	
RIFIN-B.hmm 	PfKE01_030005400 	5.3e-102 	329.5 	4.3e-58 	185.2	
RIFIN-A.hmm 	PfKE01_030005500 	1e-122 	397.8 	1.4e-122 	397.4	
RIFIN-B.hmm 	PfKE01_030005500 	5.5e-81 	260.4 	4.4e-47 	149.0	
STEVOR1.hmm 	PfKE01_030005500 	9.2e-18 	52.4 	4.3e-13 	37.1	
RIFIN-B.hmm 	PfKE01_040005600 	1.4e-106 	344.5 	2.2e-61 	196.0	
RIFIN-A.hmm 	PfKE01_040005600 	2.7e-157 	511.6 	3e-157 	511.4	
STEVOR1.hmm 	PfKE01_040005600 	2e-14 	41.4 	3e-10 	27.8	
STEVOR1.hmm 	PfKE01_040005800 	1.1e-166 	541.5 	1.2e-166 	541.3	
RIFIN-A.hmm 	PfKE01_040005800 	3.1e-11 	31.2 	7.9e-10 	26.6	
RIFIN-B.hmm 	PfKE01_040005800 	4.9e-13 	37.1 	9.9e-12 	32.8	
RIFIN-A.hmm 	PfKE01_040005900 	1.4e-94 	305.3 	1.6e-55 	176.9	
RIFIN-B.hmm 	PfKE01_040005900 	2.3e-141 	458.8 	2.5e-141 	458.7	
STEVOR1.hmm 	PfKE01_040005900 	2.3e-16 	47.8 	2.3e-10 	28.1	
STEVOR1.hmm 	PfKE01_040006100 	3.3e-13 	37.5 	3.2e-09 	24.4	
RIFIN-B.hmm 	PfKE01_040006100 	3.7e-109 	353.0 	6.3e-65 	207.6	
RIFIN-A.hmm 	PfKE01_040006100 	7.7e-141 	457.4 	8.7e-141 	457.3	
RIFIN-A.hmm 	PfKE01_040006200 	1.3e-149 	486.4 	1.4e-149 	486.2	
STEVOR1.hmm 	PfKE01_040006200 	4.4e-11 	30.5 	8.4e-08 	19.7	
RIFIN-B.hmm 	PfKE01_040006200 	6.2e-105 	339.1 	4.9e-59 	188.3	
STEVOR1.hmm 	PfKE01_040006300 	1.8e-07 	18.6 	1.8e-07 	18.6	
RIFIN-A.hmm 	PfKE01_040006300 	4.9e-111 	359.5 	5.8e-66 	211.2	
RIFIN-B.hmm 	PfKE01_040006300 	6.1e-144 	467.3 	6.9e-144 	467.1	
RIFIN-B.hmm 	PfKE01_040006400 	1.2e-104 	338.2 	2.4e-54 	172.8	
RIFIN-A.hmm 	PfKE01_040006400 	3.1e-147 	478.5 	3.5e-147 	478.3	
STEVOR1.hmm 	PfKE01_040006400 	7.7e-14 	39.5 	3.6e-09 	24.2	
STEVOR1.hmm 	PfKE01_040006500 	1.7e-16 	48.2 	1e-11 	32.6	
RIFIN-B.hmm 	PfKE01_040006500 	3.1e-133 	432.1 	3.5e-133 	431.9	
RIFIN-A.hmm 	PfKE01_040006500 	3.6e-90 	290.8 	7.9e-55 	174.6	
STEVOR1.hmm 	PfKE01_040006600 	2.4e-09 	24.8 	7.5e-08 	19.9	
RIFIN-B.hmm 	PfKE01_040006600 	2.7e-102 	330.4 	8.4e-56 	177.6	
RIFIN-A.hmm 	PfKE01_040006600 	4.7e-145 	471.3 	5.2e-145 	471.2	
RIFIN-A.hmm 	PfKE01_040006900 	1.7e-147 	479.4 	1.9e-147 	479.2	
RIFIN-B.hmm 	PfKE01_040006900 	3.5e-109 	353.0 	5.1e-60 	191.5	
STEVOR1.hmm 	PfKE01_040006900 	5e-10 	27.0 	3.7e-07 	17.6	
STEVOR1.hmm 	PfKE01_040007000 	2.2e-10 	28.2 	7e-08 	19.9	
RIFIN-A.hmm 	PfKE01_040007000 	7.2e-99 	319.4 	2.4e-63 	202.6	
RIFIN-B.hmm 	PfKE01_040007000 	9.8e-150 	486.3 	1.1e-149 	486.2	
STEVOR1.hmm 	PfKE01_040007100 	1.4e-08 	22.3 	1.3e-07 	19.1	
RIFIN-A.hmm 	PfKE01_040007100 	1.7e-152 	495.7 	2e-152 	495.6	
RIFIN-B.hmm 	PfKE01_040007100 	8.6e-105 	338.6 	3e-60 	192.2	
RIFIN-B.hmm 	PfKE01_040007400 	1.3e-153 	499.0 	1.5e-153 	498.9	
RIFIN-A.hmm 	PfKE01_040007400 	2.8e-104 	337.2 	1.4e-64 	206.7	
STEVOR1.hmm 	PfKE01_040007400 	4.2e-16 	47.0 	4e-11 	30.6	
RIFIN-A.hmm 	PfKE01_040007600 	1.2e-150 	489.7 	1.4e-150 	489.5	
STEVOR1.hmm 	PfKE01_040007600 	2.1e-12 	34.8 	4.9e-09 	23.8	
RIFIN-B.hmm 	PfKE01_040007600 	9.4e-109 	351.6 	7.3e-64 	204.1	
RIFIN-B.hmm 	PfKE01_040007700 	2.8e-90 	290.9 	3.3e-90 	290.7	
STEVOR1.hmm 	PfKE01_040007700 	4.4e-11 	30.5 	1.3e-09 	25.6	
RIFIN-A.hmm 	PfKE01_040007700 	7.3e-104 	335.9 	1.2e-70 	226.6	
RIFIN-A.hmm 	PfKE01_040007900 	5.5e-53 	168.6 	7.7e-53 	168.1	
RIFIN-B.hmm 	PfKE01_040007900 	6.9e-45 	141.8 	2e-30 	94.2	
STEVOR1.hmm 	PfKE01_040007900 	9.8e-09 	22.8 	2.5e-08 	21.4	
RIFIN-A.hmm 	PfKE01_040008800 	3.6e-116 	376.3 	2.2e-115 	373.7	
RIFIN-B.hmm 	PfKE01_040008800 	4e-90 	290.4 	4.4e-51 	162.1	
STEVOR1.hmm 	PfKE01_040008800 	5.1e-17 	49.9 	1.7e-14 	41.6	
STEVOR1.hmm 	PfKE01_040009000 	1.3e-06 	15.8 	1.3e-06 	15.8	
RIFIN-A.hmm 	PfKE01_040009000 	3.7e-108 	350.0 	7.7e-108 	348.9	
RIFIN-B.hmm 	PfKE01_040009000 	7.7e-81 	259.9 	3.9e-43 	136.0	
STEVOR1.hmm 	PfKE01_040019200 	1.6e-15 	45.0 	2.5e-11 	31.3	
RIFIN-A.hmm 	PfKE01_040019200 	2.2e-131 	426.3 	2.5e-131 	426.2	
RIFIN-B.hmm 	PfKE01_040019200 	6.4e-96 	309.5 	1e-53 	170.8	
RIFIN-B.hmm 	PfKE01_040019300 	1.2e-113 	367.7 	1.3e-63 	203.3	
RIFIN-A.hmm 	PfKE01_040019300 	2.5e-141 	459.1 	2.8e-141 	458.9	
STEVOR1.hmm 	PfKE01_040019300 	8.5e-15 	42.7 	3.6e-10 	27.5	
RIFIN-B.hmm 	PfKE01_040019600 	1.1e-45 	144.3 	3.8e-38 	119.6	
RIFIN-A.hmm 	PfKE01_040019600 	5.1e-66 	211.4 	7e-66 	211.0	
RIFIN-B.hmm 	PfKE01_040020100 	2.1e-114 	370.2 	3.9e-63 	201.8	
STEVOR1.hmm 	PfKE01_040020100 	2.1e-15 	44.7 	1.9e-12 	35.0	
RIFIN-A.hmm 	PfKE01_040020100 	3.4e-153 	498.1 	3.8e-153 	497.9	
RIFIN-A.hmm 	PfKE01_040027700 	2.5e-13 	38.2 	4.1e-10 	27.6	
RIFIN-B.hmm 	PfKE01_040027700 	2e-14 	41.7 	3.3e-11 	31.1	
STEVOR1.hmm 	PfKE01_040027700 	7.4e-163 	528.9 	8.2e-163 	528.7	
STEVOR1.hmm 	PfKE01_040027800 	1.4e-13 	38.6 	4e-08 	20.8	
RIFIN-A.hmm 	PfKE01_040027800 	1.5e-103 	334.8 	2.3e-103 	334.2	
RIFIN-B.hmm 	PfKE01_040027800 	7.6e-81 	259.9 	2.8e-46 	146.3	
RIFIN-B.hmm 	PfKE01_040028000 	1.6e-101 	327.9 	2e-53 	169.8	
RIFIN-A.hmm 	PfKE01_040028000 	6.8e-129 	418.2 	7.7e-129 	418.0	
STEVOR1.hmm 	PfKE01_040028000 	7.1e-14 	39.6 	5e-10 	27.0	
STEVOR1.hmm 	PfKE01_040032100 	1.3e-116 	377.0 	1.5e-116 	376.8	
RIFIN-A.hmm 	PfKE01_040032100 	1e-10 	29.6 	1.5e-07 	19.1	
RIFIN-B.hmm 	PfKE01_040032100 	8.5e-07 	16.6 	8.5e-07 	16.6	
RIFIN-A.hmm 	PfKE01_040032200 	4.9e-86 	277.2 	2.7e-49 	156.4	
RIFIN-B.hmm 	PfKE01_040032200 	5.5e-123 	398.4 	6.6e-123 	398.2	
STEVOR1.hmm 	PfKE01_040032200 	8.2e-08 	19.7 	7.4e-07 	16.6	
STEVOR1.hmm 	PfKE01_040032300 	1.5e-13 	38.6 	1.3e-08 	22.3	
RIFIN-A.hmm 	PfKE01_040032300 	2.8e-152 	495.1 	3.1e-152 	494.9	
RIFIN-B.hmm 	PfKE01_040032300 	5.8e-103 	332.6 	7.8e-54 	171.2	
RIFIN-B.hmm 	PfKE01_040032400 	2.1e-133 	432.7 	2.4e-133 	432.4	
RIFIN-A.hmm 	PfKE01_040032400 	2e-98 	318.0 	7.5e-59 	187.8	
STEVOR1.hmm 	PfKE01_040032400 	6.5e-09 	23.3 	1.1e-08 	22.6	
RIFIN-B.hmm 	PfKE01_040032500 	1.5e-119 	387.2 	2.9e-68 	218.6	
STEVOR1.hmm 	PfKE01_040032500 	6.6e-13 	36.5 	1.8e-08 	21.9	
RIFIN-A.hmm 	PfKE01_040032500 	7e-155 	503.6 	7.9e-155 	503.5	
STEVOR1.hmm 	PfKE01_050005200 	1.3e-08 	22.3 	3e-07 	17.9	
RIFIN-B.hmm 	PfKE01_050005200 	1.4e-103 	334.7 	5.1e-63 	201.3	
RIFIN-A.hmm 	PfKE01_050005200 	5.5e-147 	477.7 	6.2e-147 	477.5	
STEVOR1.hmm 	PfKE01_050005300 	1.7e-15 	45.0 	3.8e-12 	34.0	
RIFIN-B.hmm 	PfKE01_050005300 	2.7e-131 	425.7 	3e-131 	425.6	
RIFIN-A.hmm 	PfKE01_050005300 	6.1e-92 	296.6 	8.4e-49 	154.8	
RIFIN-B.hmm 	PfKE01_050036900 	2.4e-131 	425.9 	2.6e-131 	425.7	
STEVOR1.hmm 	PfKE01_050036900 	5.6e-15 	43.2 	1.8e-09 	25.2	
RIFIN-A.hmm 	PfKE01_050036900 	7.5e-99 	319.4 	1.6e-54 	173.6	
STEVOR1.hmm 	PfKE01_050037200 	1.2e-14 	42.2 	7.9e-10 	26.3	
RIFIN-A.hmm 	PfKE01_050037200 	3.3e-146 	475.1 	3.7e-146 	475.0	
RIFIN-B.hmm 	PfKE01_050037200 	5e-109 	352.5 	4.7e-60 	191.6	
STEVOR1.hmm 	PfKE01_050037300 	1.3e-10 	28.9 	8.1e-08 	19.7	
RIFIN-B.hmm 	PfKE01_050037300 	3.5e-108 	349.8 	1.1e-62 	200.3	
RIFIN-A.hmm 	PfKE01_050037300 	3.7e-144 	468.4 	4.2e-144 	468.2	
RIFIN-B.hmm 	PfKE01_050037500 	1.5e-143 	466.0 	1.6e-143 	465.9	
RIFIN-A.hmm 	PfKE01_050037500 	2.3e-98 	317.8 	1.7e-55 	176.8	
STEVOR1.hmm 	PfKE01_050037500 	2.6e-17 	50.9 	1.9e-10 	28.4	
STEVOR1.hmm 	PfKE01_050037600 	1.2e-13 	38.9 	2.2e-09 	24.9	
RIFIN-A.hmm 	PfKE01_050037600 	1.8e-133 	433.2 	2.1e-133 	433.0	
RIFIN-B.hmm 	PfKE01_050037600 	3.7e-103 	333.2 	7.7e-54 	171.2	
RIFIN-B.hmm 	PfKE01_050037700 	1.5e-97 	314.8 	7.9e-51 	161.3	
STEVOR1.hmm 	PfKE01_050037700 	5.4e-09 	23.6 	3.1e-07 	17.8	
RIFIN-A.hmm 	PfKE01_050037700 	5.9e-149 	484.1 	6.6e-149 	484.0	
RIFIN-A.hmm 	PfKE01_060005100 	2e-158 	515.3 	2.3e-158 	515.1	
RIFIN-B.hmm 	PfKE01_060005100 	3.5e-118 	382.6 	3.3e-72 	231.6	
STEVOR1.hmm 	PfKE01_060005100 	8.9e-14 	39.3 	5.1e-10 	27.0	
RIFIN-B.hmm 	PfKE01_060005300 	1.4e-15 	45.5 	7.2e-12 	33.3	
STEVOR1.hmm 	PfKE01_060005300 	1e-170 	554.7 	1.1e-170 	554.5	
RIFIN-A.hmm 	PfKE01_060005300 	2.9e-14 	41.2 	2.8e-11 	31.4	
STEVOR1.hmm 	PfKE01_060005400 	3.5e-14 	40.7 	7.4e-09 	23.2	
RIFIN-B.hmm 	PfKE01_060005400 	3.8e-145 	471.2 	4.3e-145 	471.1	
RIFIN-A.hmm 	PfKE01_060005400 	7.3e-96 	309.5 	3.8e-55 	175.7	
RIFIN-A.hmm 	PfKE01_060005600 	2.8e-135 	439.2 	3.8e-135 	438.7	
RIFIN-B.hmm 	PfKE01_060005600 	4.8e-90 	290.2 	7.2e-50 	158.1	
STEVOR1.hmm 	PfKE01_060005600 	6.3e-12 	33.2 	4e-09 	24.0	
STEVOR1.hmm 	PfKE01_060005700 	1.3e-15 	45.4 	4.3e-12 	33.8	
RIFIN-A.hmm 	PfKE01_060005700 	1.9e-131 	426.5 	2.2e-131 	426.4	
RIFIN-B.hmm 	PfKE01_060005700 	5e-116 	375.5 	1.9e-66 	212.6	
RIFIN-B.hmm 	PfKE01_060005800 	1.2e-111 	361.2 	5.2e-63 	201.3	
RIFIN-A.hmm 	PfKE01_060005800 	1.3e-151 	492.9 	1.4e-151 	492.8	
STEVOR1.hmm 	PfKE01_060005800 	1.5e-13 	38.6 	7.2e-09 	23.2	
STEVOR1.hmm 	PfKE01_060006100 	2.9e-12 	34.3 	6.4e-08 	20.1	
RIFIN-B.hmm 	PfKE01_060006100 	3.2e-101 	326.9 	1.6e-54 	173.5	
RIFIN-A.hmm 	PfKE01_060006100 	7.4e-143 	464.1 	8.3e-143 	463.9	
STEVOR1.hmm 	PfKE01_060006200 	1.1e-08 	22.6 	3.9e-08 	20.8	
RIFIN-B.hmm 	PfKE01_060006200 	2.8e-102 	330.4 	4.4e-58 	185.1	
RIFIN-A.hmm 	PfKE01_060006200 	3.2e-150 	488.3 	3.6e-150 	488.1	
RIFIN-B.hmm 	PfKE01_060006600 	1.8e-133 	432.8 	2.1e-133 	432.7	
STEVOR1.hmm 	PfKE01_060006600 	1.9e-15 	44.8 	7.3e-10 	26.5	
RIFIN-A.hmm 	PfKE01_060006600 	4e-89 	287.4 	4.6e-49 	155.7	
RIFIN-B.hmm 	PfKE01_060006700 	1.1e-103 	335.0 	3.3e-55 	175.7	
RIFIN-A.hmm 	PfKE01_060006700 	2.1e-140 	456.0 	2.4e-140 	455.8	
STEVOR1.hmm 	PfKE01_060006700 	5.7e-19 	56.4 	1e-11 	32.6	
RIFIN-A.hmm 	PfKE01_060023800 	3.5e-141 	458.6 	3.9e-141 	458.4	
RIFIN-B.hmm 	PfKE01_060023800 	9.7e-114 	368.0 	9.7e-62 	197.2	
STEVOR1.hmm 	PfKE01_060023800 	9.8e-19 	55.6 	4.6e-14 	40.3	
STEVOR1.hmm 	PfKE01_060037900 	2.5e-166 	540.3 	2.8e-166 	540.1	
RIFIN-A.hmm 	PfKE01_060037900 	5e-11 	30.6 	1.1e-09 	26.2	
RIFIN-B.hmm 	PfKE01_060037900 	6.2e-12 	33.5 	5.5e-10 	27.1	
STEVOR1.hmm 	PfKE01_060038000 	1.1e-10 	29.1 	1.5e-08 	22.1	
RIFIN-B.hmm 	PfKE01_060038000 	1.3e-104 	338.1 	3.7e-56 	178.8	
RIFIN-A.hmm 	PfKE01_060038000 	3.6e-151 	491.4 	4.1e-151 	491.3	
RIFIN-A.hmm 	PfKE01_060038100 	1.5e-100 	324.9 	3.6e-61 	195.5	
RIFIN-B.hmm 	PfKE01_060038100 	4.2e-139 	451.4 	4.8e-139 	451.2	
STEVOR1.hmm 	PfKE01_060038100 	7.9e-13 	36.2 	3.5e-09 	24.2	
RIFIN-A.hmm 	PfKE01_060038200 	1.1e-139 	453.7 	1.5e-139 	453.2	
STEVOR1.hmm 	PfKE01_060038200 	2.6e-13 	37.8 	4.5e-09 	23.9	
RIFIN-B.hmm 	PfKE01_060038200 	4.3e-87 	280.5 	1.4e-50 	160.5	
RIFIN-A.hmm 	PfKE01_060038500 	2.2e-154 	502.0 	2.5e-154 	501.8	
RIFIN-B.hmm 	PfKE01_060038500 	3.8e-111 	359.5 	4.1e-63 	201.7	
STEVOR1.hmm 	PfKE01_060038500 	6e-12 	33.3 	7.1e-09 	23.2	
RIFIN-A.hmm 	PfKE01_070005000 	1.9e-13 	38.5 	6.8e-13 	36.7	
RIFIN-B.hmm 	PfKE01_070005000 	5.3e-13 	37.0 	1.4e-12 	35.6	
STEVOR1.hmm 	PfKE01_070005000 	5.5e-166 	539.2 	6.1e-166 	539.0	
RIFIN-B.hmm 	PfKE01_070005100 	1.5e-141 	459.4 	1.7e-141 	459.2	
RIFIN-A.hmm 	PfKE01_070005100 	3.8e-89 	287.5 	8.6e-52 	164.6	
STEVOR1.hmm 	PfKE01_070005100 	6.9e-11 	29.8 	1.3e-08 	22.4	
RIFIN-B.hmm 	PfKE01_070005200 	4.6e-100 	323.1 	2.7e-54 	172.7	
STEVOR1.hmm 	PfKE01_070005200 	4e-10 	27.3 	4.6e-08 	20.6	
RIFIN-A.hmm 	PfKE01_070005200 	7.6e-143 	464.0 	8.5e-143 	463.9	
STEVOR1.hmm 	PfKE01_070005300 	1.3e-12 	35.5 	5.7e-08 	20.3	
RIFIN-A.hmm 	PfKE01_070005300 	1.3e-154 	502.7 	1.5e-154 	502.6	
RIFIN-B.hmm 	PfKE01_070005300 	2.9e-104 	336.9 	1.3e-56 	180.3	
RIFIN-B.hmm 	PfKE01_070005400 	2.4e-112 	363.4 	1.7e-67 	216.1	
RIFIN-A.hmm 	PfKE01_070005400 	2.4e-147 	478.9 	2.6e-147 	478.7	
STEVOR1.hmm 	PfKE01_070005400 	3.6e-12 	34.1 	1.7e-08 	22.0	
RIFIN-B.hmm 	PfKE01_070015600 	1.6e-34 	107.7 	1.4e-26 	81.6	
RIFIN-A.hmm 	PfKE01_070015600 	2.2e-54 	173.2 	2.6e-54 	172.9	
RIFIN-B.hmm 	PfKE01_070016100 	4.1e-94 	303.6 	5.1e-52 	165.2	
RIFIN-A.hmm 	PfKE01_070016100 	5.2e-128 	415.3 	5.8e-128 	415.1	
STEVOR1.hmm 	PfKE01_070016100 	8e-17 	49.3 	9.5e-12 	32.6	
RIFIN-A.hmm 	PfKE01_070034600 	1.6e-11 	32.2 	2.8e-09 	24.8	
STEVOR1.hmm 	PfKE01_070034600 	5.2e-167 	542.5 	5.8e-167 	542.4	
RIFIN-B.hmm 	PfKE01_070034600 	5.3e-15 	43.6 	1.4e-10 	29.1	
RIFIN-A.hmm 	PfKE01_070034800 	2.7e-153 	498.4 	3.1e-153 	498.2	
STEVOR1.hmm 	PfKE01_070034800 	3.7e-08 	20.9 	3e-07 	17.9	
RIFIN-B.hmm 	PfKE01_070034800 	8.5e-106 	341.9 	8.3e-62 	197.4	
STEVOR1.hmm 	PfKE01_070034900 	1.2e-11 	32.3 	4.8e-08 	20.5	
RIFIN-B.hmm 	PfKE01_070034900 	1.5e-137 	446.3 	1.7e-137 	446.1	
RIFIN-A.hmm 	PfKE01_070034900 	3.2e-93 	300.9 	5.9e-56 	178.3	
RIFIN-A.hmm 	PfKE01_070035000 	2.2e-139 	452.7 	2.5e-139 	452.5	
STEVOR1.hmm 	PfKE01_070035000 	3.8e-15 	43.8 	1e-11 	32.6	
RIFIN-B.hmm 	PfKE01_070035000 	6.1e-97 	312.8 	2.1e-51 	163.2	
