RIFIN-A.hmm 	PfKH01_000024700 	1e-97 	315.6 	1.3e-97 	315.3	
RIFIN-B.hmm 	PfKH01_010006100 	1e-104 	338.4 	7.7e-55 	174.5	
STEVOR1.hmm 	PfKH01_010006100 	5.3e-13 	36.8 	1.4e-08 	22.3	
RIFIN-A.hmm 	PfKH01_010006100 	5.5e-144 	467.8 	6.2e-144 	467.6	
RIFIN-A.hmm 	PfKH01_010006200 	2.2e-92 	298.1 	1.8e-54 	173.5	
STEVOR1.hmm 	PfKH01_010006200 	7.4e-16 	46.1 	3.1e-10 	27.7	
RIFIN-B.hmm 	PfKH01_010006200 	9.3e-133 	430.5 	1e-132 	430.4	
RIFIN-A.hmm 	PfKH01_010006300 	1.5e-138 	449.9 	1.7e-138 	449.8	
STEVOR1.hmm 	PfKH01_010006300 	1.8e-16 	48.2 	1.3e-10 	28.9	
RIFIN-B.hmm 	PfKH01_010006300 	3.3e-117 	379.4 	3.8e-63 	201.8	
RIFIN-B.hmm 	PfKH01_010006500 	3.5e-100 	323.5 	3.2e-54 	172.5	
STEVOR1.hmm 	PfKH01_010006500 	4e-16 	47.0 	5.7e-11 	30.1	
RIFIN-A.hmm 	PfKH01_010006500 	6.9e-148 	480.6 	7.8e-148 	480.5	
STEVOR1.hmm 	PfKH01_010006600 	1.3e-14 	42.1 	7.4e-10 	26.4	
RIFIN-A.hmm 	PfKH01_010006600 	6.3e-137 	444.6 	7e-137 	444.4	
RIFIN-B.hmm 	PfKH01_010006600 	7.4e-101 	325.7 	3.8e-56 	178.8	
STEVOR1.hmm 	PfKH01_010006700 	1.2e-14 	42.2 	5e-10 	27.0	
RIFIN-A.hmm 	PfKH01_010006700 	2.1e-141 	459.3 	2.4e-141 	459.1	
RIFIN-B.hmm 	PfKH01_010006700 	3.2e-110 	356.4 	1e-60 	193.8	
STEVOR1.hmm 	PfKH01_010006800 	1.8e-161 	524.3 	2.2e-161 	524.0	
RIFIN-B.hmm 	PfKH01_010006800 	1.9e-13 	38.5 	8.7e-12 	33.0	
RIFIN-A.hmm 	PfKH01_010006800 	2.5e-11 	31.6 	2.9e-09 	24.8	
RIFIN-B.hmm 	PfKH01_010006900 	1.5e-146 	475.9 	1.6e-146 	475.7	
STEVOR1.hmm 	PfKH01_010006900 	3.4e-18 	53.8 	9.2e-14 	39.3	
RIFIN-A.hmm 	PfKH01_010006900 	4.4e-100 	323.4 	7.2e-57 	181.3	
STEVOR1.hmm 	PfKH01_010007000 	1.1e-10 	29.1 	2.3e-07 	18.2	
RIFIN-A.hmm 	PfKH01_010007000 	1.4e-142 	463.1 	1.6e-142 	463.0	
RIFIN-B.hmm 	PfKH01_010007000 	1.5e-98 	318.1 	3.8e-53 	168.9	
RIFIN-A.hmm 	PfKH01_010007100 	1.2e-99 	322.0 	3e-54 	172.7	
STEVOR1.hmm 	PfKH01_010007100 	1.7e-15 	44.9 	6.2e-10 	26.7	
RIFIN-B.hmm 	PfKH01_010007100 	6.2e-149 	483.7 	6.9e-149 	483.5	
RIFIN-B.hmm 	PfKH01_010020200 	4.6e-107 	346.1 	5.9e-60 	191.3	
RIFIN-A.hmm 	PfKH01_010020200 	5.7e-136 	441.4 	6.5e-136 	441.3	
STEVOR1.hmm 	PfKH01_010020200 	9.9e-17 	49.0 	2.6e-10 	27.9	
STEVOR1.hmm 	PfKH01_010020300 	2.6e-15 	44.4 	5.7e-12 	33.4	
RIFIN-B.hmm 	PfKH01_010020300 	3.8e-130 	421.9 	3.2e-69 	221.7	
RIFIN-A.hmm 	PfKH01_010020300 	6.5e-143 	464.3 	7.2e-143 	464.1	
RIFIN-B.hmm 	PfKH01_010020400 	1.4e-103 	334.7 	6.8e-54 	171.4	
STEVOR1.hmm 	PfKH01_010020400 	3.8e-11 	30.7 	4.6e-08 	20.5	
RIFIN-A.hmm 	PfKH01_010020400 	5.4e-150 	487.5 	6.1e-150 	487.4	
RIFIN-B.hmm 	PfKH01_010020500 	3.9e-17 	50.6 	1.6e-13 	38.7	
STEVOR1.hmm 	PfKH01_010020500 	6.5e-164 	532.3 	7.3e-164 	532.2	
RIFIN-A.hmm 	PfKH01_010020500 	9e-15 	42.9 	1.8e-11 	32.1	
STEVOR1.hmm 	PfKH01_010020600 	1.2e-150 	488.8 	1.4e-150 	488.6	
RIFIN-B.hmm 	PfKH01_010020600 	1.9e-09 	25.3 	2.9e-09 	24.7	
RIFIN-A.hmm 	PfKH01_010020600 	7.2e-07 	16.9 	7.2e-07 	16.9	
STEVOR1.hmm 	PfKH01_010020700 	1.4e-12 	35.4 	1.2e-08 	22.5	
RIFIN-B.hmm 	PfKH01_010020700 	2.9e-103 	333.6 	5.5e-61 	194.7	
RIFIN-A.hmm 	PfKH01_010020700 	4.9e-150 	487.7 	5.6e-150 	487.5	
STEVOR1.hmm 	PfKH01_010020900 	1.4e-09 	25.5 	2.5e-08 	21.4	
RIFIN-B.hmm 	PfKH01_010020900 	1.6e-131 	426.5 	1.8e-131 	426.3	
RIFIN-A.hmm 	PfKH01_010020900 	4.1e-92 	297.2 	2.4e-56 	179.6	
STEVOR1.hmm 	PfKH01_010021000 	1e-11 	32.6 	1.2e-08 	22.5	
RIFIN-B.hmm 	PfKH01_010021000 	2.2e-105 	340.6 	4.7e-63 	201.5	
RIFIN-A.hmm 	PfKH01_010021000 	5.6e-151 	490.8 	6.3e-151 	490.6	
STEVOR1.hmm 	PfKH01_010021200 	1.4e-09 	25.5 	2.5e-08 	21.4	
RIFIN-B.hmm 	PfKH01_010021200 	1.6e-131 	426.5 	1.8e-131 	426.3	
RIFIN-A.hmm 	PfKH01_010021200 	4.1e-92 	297.2 	2.4e-56 	179.6	
RIFIN-B.hmm 	PfKH01_010021300 	2.5e-107 	347.0 	4.9e-63 	201.4	
RIFIN-A.hmm 	PfKH01_010021300 	2.6e-153 	498.5 	2.9e-153 	498.3	
STEVOR1.hmm 	PfKH01_010021300 	9.9e-12 	32.6 	2.2e-08 	21.6	
RIFIN-B.hmm 	PfKH01_020005200 	1.1e-108 	351.4 	3.9e-59 	188.6	
STEVOR1.hmm 	PfKH01_020005200 	3.7e-09 	24.2 	8.7e-08 	19.7	
RIFIN-A.hmm 	PfKH01_020005200 	7.9e-157 	510.0 	8.9e-157 	509.9	
RIFIN-A.hmm 	PfKH01_020005300 	1.2e-140 	456.9 	1.3e-140 	456.7	
STEVOR1.hmm 	PfKH01_020005300 	5.6e-11 	30.1 	1.8e-08 	21.9	
RIFIN-B.hmm 	PfKH01_020005300 	6.4e-104 	335.8 	1.1e-56 	180.6	
RIFIN-B.hmm 	PfKH01_020005600 	3.4e-13 	37.6 	9.4e-10 	26.3	
STEVOR1.hmm 	PfKH01_020005600 	6.8e-169 	548.7 	7.6e-169 	548.5	
RIFIN-A.hmm 	PfKH01_020005600 	9.7e-13 	36.2 	1.8e-09 	25.4	
RIFIN-A.hmm 	PfKH01_020005700 	1.5e-137 	446.6 	1.7e-137 	446.4	
STEVOR1.hmm 	PfKH01_020005700 	7.6e-14 	39.5 	3.4e-10 	27.6	
RIFIN-B.hmm 	PfKH01_020005700 	8.2e-98 	315.7 	2.9e-51 	162.7	
STEVOR1.hmm 	PfKH01_020005800 	1.3e-09 	25.6 	2e-08 	21.7	
RIFIN-B.hmm 	PfKH01_020005800 	5e-104 	336.1 	5.5e-55 	175.0	
RIFIN-A.hmm 	PfKH01_020005800 	6e-145 	471.0 	6.8e-145 	470.8	
STEVOR1.hmm 	PfKH01_020005900 	2.5e-166 	540.3 	2.8e-166 	540.1	
RIFIN-A.hmm 	PfKH01_020005900 	5e-11 	30.6 	1.1e-09 	26.2	
RIFIN-B.hmm 	PfKH01_020005900 	6.2e-12 	33.5 	5.5e-10 	27.1	
STEVOR1.hmm 	PfKH01_020006000 	3.3e-16 	47.3 	1.9e-10 	28.4	
RIFIN-B.hmm 	PfKH01_020006000 	4.7e-140 	454.5 	5.3e-140 	454.3	
RIFIN-A.hmm 	PfKH01_020006000 	8.7e-90 	289.6 	7.3e-55 	174.7	
RIFIN-A.hmm 	PfKH01_020006100 	1.8e-134 	436.5 	2.1e-134 	436.3	
STEVOR1.hmm 	PfKH01_020006100 	3.3e-15 	44.0 	3.7e-13 	37.3	
RIFIN-B.hmm 	PfKH01_020006100 	9.8e-92 	295.7 	5.4e-48 	152.0	
STEVOR1.hmm 	PfKH01_020006200 	1.5e-14 	41.8 	1.4e-12 	35.4	
RIFIN-B.hmm 	PfKH01_020006200 	3.1e-96 	310.5 	1.9e-56 	179.8	
RIFIN-A.hmm 	PfKH01_020006200 	3.3e-139 	452.1 	3.7e-139 	451.9	
RIFIN-A.hmm 	PfKH01_020006300 	2.5e-134 	436.0 	2.9e-134 	435.9	
STEVOR1.hmm 	PfKH01_020006300 	6.9e-13 	36.4 	1.1e-10 	29.2	
RIFIN-B.hmm 	PfKH01_020006300 	8.6e-91 	292.6 	3.1e-48 	152.8	
STEVOR1.hmm 	PfKH01_020006400 	1.5e-14 	41.8 	1.4e-12 	35.4	
RIFIN-B.hmm 	PfKH01_020006400 	3.1e-96 	310.5 	1.9e-56 	179.8	
RIFIN-A.hmm 	PfKH01_020006400 	3.3e-139 	452.1 	3.7e-139 	451.9	
STEVOR1.hmm 	PfKH01_020006500 	1.4e-14 	42.0 	1.7e-12 	35.1	
RIFIN-B.hmm 	PfKH01_020006500 	5.1e-92 	296.6 	2.3e-48 	153.2	
RIFIN-A.hmm 	PfKH01_020006500 	5.5e-135 	438.2 	6.3e-135 	438.0	
RIFIN-A.hmm 	PfKH01_020006600 	3.1e-138 	448.9 	3.5e-138 	448.7	
RIFIN-B.hmm 	PfKH01_020006600 	3.7e-104 	336.5 	1.6e-54 	173.4	
STEVOR1.hmm 	PfKH01_020006600 	8.2e-17 	49.3 	1e-10 	29.3	
RIFIN-B.hmm 	PfKH01_020006700 	1.2e-12 	35.9 	1.9e-12 	35.2	
STEVOR1.hmm 	PfKH01_020006700 	3.1e-176 	572.8 	3.5e-176 	572.6	
RIFIN-A.hmm 	PfKH01_020006700 	9.2e-11 	29.7 	9.2e-11 	29.7	
STEVOR1.hmm 	PfKH01_020026500 	1.4e-87 	281.6 	1e-50 	160.6	
RIFIN-A.hmm 	PfKH01_020026500 	1.6e-12 	35.5 	3.7e-10 	27.7	
RIFIN-B.hmm 	PfKH01_020026500 	2.5e-13 	38.1 	7.6e-10 	26.6	
RIFIN-A.hmm 	PfKH01_020027400 	1.5e-137 	446.7 	1.6e-137 	446.5	
RIFIN-B.hmm 	PfKH01_020027400 	3.9e-101 	326.6 	6e-54 	171.5	
STEVOR1.hmm 	PfKH01_020027400 	4e-17 	50.3 	2.2e-10 	28.2	
STEVOR1.hmm 	PfKH01_020027500 	1.2e-13 	38.9 	3.3e-09 	24.3	
RIFIN-B.hmm 	PfKH01_020027500 	1.3e-135 	439.9 	1.4e-135 	439.8	
RIFIN-A.hmm 	PfKH01_020027500 	7e-113 	365.5 	3.9e-68 	218.4	
RIFIN-B.hmm 	PfKH01_020027600 	1.5e-146 	475.9 	1.6e-146 	475.7	
STEVOR1.hmm 	PfKH01_020027600 	3.4e-18 	53.8 	9.2e-14 	39.3	
RIFIN-A.hmm 	PfKH01_020027600 	4.4e-100 	323.4 	7.2e-57 	181.3	
RIFIN-A.hmm 	PfKH01_020027700 	1.5e-10 	29.0 	3.2e-09 	24.6	
RIFIN-B.hmm 	PfKH01_020027700 	3e-12 	34.5 	9.4e-12 	32.9	
STEVOR1.hmm 	PfKH01_020027700 	4.4e-170 	552.6 	4.9e-170 	552.4	
STEVOR1.hmm 	PfKH01_020027900 	3.3e-09 	24.3 	2.6e-08 	21.4	
RIFIN-B.hmm 	PfKH01_020027900 	3.4e-106 	343.2 	8e-59 	187.6	
RIFIN-A.hmm 	PfKH01_020027900 	6.3e-153 	497.2 	7.1e-153 	497.0	
RIFIN-A.hmm 	PfKH01_020028000 	2.2e-100 	324.4 	1e-54 	174.3	
RIFIN-B.hmm 	PfKH01_020028000 	6.4e-139 	450.8 	7.1e-139 	450.6	
STEVOR1.hmm 	PfKH01_020028000 	7e-11 	29.8 	2.5e-08 	21.4	
STEVOR1.hmm 	PfKH01_020028100 	1.6e-12 	35.2 	1.7e-08 	22.0	
RIFIN-A.hmm 	PfKH01_020028100 	2.6e-142 	462.3 	2.9e-142 	462.1	
RIFIN-B.hmm 	PfKH01_020028100 	5.6e-96 	309.7 	9.7e-51 	161.0	
RIFIN-A.hmm 	PfKH01_030005000 	2.1e-144 	469.2 	2.3e-144 	469.0	
RIFIN-B.hmm 	PfKH01_030005000 	5.7e-115 	372.1 	8.8e-70 	223.6	
STEVOR1.hmm 	PfKH01_030005000 	5.7e-12 	33.4 	2.2e-08 	21.6	
RIFIN-B.hmm 	PfKH01_030005200 	1.2e-94 	305.2 	3.5e-51 	162.5	
STEVOR1.hmm 	PfKH01_030005200 	3.6e-12 	34.0 	2.8e-10 	27.8	
RIFIN-A.hmm 	PfKH01_030005200 	9.4e-147 	476.9 	1e-146 	476.7	
RIFIN-B.hmm 	PfKH01_030005300 	1.6e-152 	495.5 	1.8e-152 	495.3	
RIFIN-A.hmm 	PfKH01_030005300 	2.4e-99 	321.0 	1.4e-62 	200.1	
STEVOR1.hmm 	PfKH01_030005300 	3.4e-15 	44.0 	7.2e-11 	29.8	
RIFIN-A.hmm 	PfKH01_030005400 	1.4e-149 	486.2 	1.6e-149 	486.0	
STEVOR1.hmm 	PfKH01_030005400 	3e-13 	37.6 	2.4e-08 	21.5	
RIFIN-B.hmm 	PfKH01_030005400 	6e-103 	332.6 	3.4e-58 	185.5	
RIFIN-B.hmm 	PfKH01_030005500 	1.2e-94 	305.3 	3.4e-53 	169.1	
STEVOR1.hmm 	PfKH01_030005500 	1.8e-14 	41.6 	2.2e-11 	31.4	
RIFIN-A.hmm 	PfKH01_030005500 	6.9e-134 	434.6 	7.7e-134 	434.4	
RIFIN-A.hmm 	PfKH01_030005600 	3.1e-115 	373.3 	5.9e-115 	372.3	
RIFIN-B.hmm 	PfKH01_030005600 	4.2e-79 	254.2 	5.1e-47 	148.8	
STEVOR1.hmm 	PfKH01_030005600 	8.5e-18 	52.5 	1.9e-13 	38.3	
STEVOR1.hmm 	PfKH01_030005700 	1.7e-27 	84.3 	3.5e-27 	83.4	
RIFIN-B.hmm 	PfKH01_030005700 	5e-08 	20.6 	5e-08 	20.6	
STEVOR1.hmm 	PfKH01_030029400 	2.3e-17 	51.1 	1e-10 	29.3	
RIFIN-B.hmm 	PfKH01_030029400 	4.6e-101 	326.4 	2.8e-55 	175.9	
RIFIN-A.hmm 	PfKH01_030029400 	6.3e-139 	451.2 	7.1e-139 	451.0	
STEVOR1.hmm 	PfKH01_030029500 	1.4e-15 	45.2 	3.9e-10 	27.3	
RIFIN-A.hmm 	PfKH01_030029500 	3.5e-100 	323.8 	1.4e-53 	170.5	
RIFIN-B.hmm 	PfKH01_030029500 	9.4e-143 	463.4 	1.1e-142 	463.2	
RIFIN-B.hmm 	PfKH01_030029600 	2.7e-12 	34.7 	6.2e-11 	30.2	
STEVOR1.hmm 	PfKH01_030029600 	5.4e-161 	522.8 	7.1e-161 	522.4	
RIFIN-A.hmm 	PfKH01_030029600 	6e-09 	23.7 	8.4e-08 	20.0	
RIFIN-A.hmm 	PfKH01_030029800 	1.7e-149 	485.9 	1.9e-149 	485.8	
STEVOR1.hmm 	PfKH01_030029800 	2.3e-07 	18.2 	1.4e-05 	12.4	
RIFIN-B.hmm 	PfKH01_030029800 	3.6e-103 	333.3 	2e-57 	183.0	
STEVOR1.hmm 	PfKH01_030029900 	1.7e-15 	45.0 	2.9e-10 	27.8	
RIFIN-B.hmm 	PfKH01_030029900 	2.2e-143 	465.5 	2.4e-143 	465.3	
RIFIN-A.hmm 	PfKH01_030029900 	2.9e-93 	301.0 	3.2e-53 	169.3	
RIFIN-B.hmm 	PfKH01_030030000 	1.1e-110 	358.0 	8.7e-63 	200.6	
STEVOR1.hmm 	PfKH01_030030000 	2.1e-13 	38.1 	1.9e-08 	21.8	
RIFIN-A.hmm 	PfKH01_030030000 	4e-145 	471.5 	4.6e-145 	471.3	
RIFIN-A.hmm 	PfKH01_030030100 	1.3e-159 	519.1 	1.5e-159 	519.0	
RIFIN-B.hmm 	PfKH01_030030100 	2.7e-116 	376.4 	9.5e-68 	216.9	
STEVOR1.hmm 	PfKH01_030030100 	3.6e-11 	30.8 	4.3e-08 	20.6	
STEVOR1.hmm 	PfKH01_030030300 	1.5e-11 	32.0 	6.6e-09 	23.3	
RIFIN-B.hmm 	PfKH01_030030300 	2.4e-102 	330.6 	1.6e-58 	186.6	
RIFIN-A.hmm 	PfKH01_030030300 	6.2e-149 	484.1 	6.9e-149 	483.9	
RIFIN-A.hmm 	PfKH01_040005900 	1.2e-150 	489.7 	1.4e-150 	489.5	
RIFIN-B.hmm 	PfKH01_040005900 	1.6e-107 	347.6 	9.2e-59 	187.4	
STEVOR1.hmm 	PfKH01_040005900 	2.5e-08 	21.4 	6.3e-08 	20.1	
STEVOR1.hmm 	PfKH01_040006000 	3.2e-14 	40.8 	2.1e-09 	25.0	
RIFIN-B.hmm 	PfKH01_040006000 	3.9e-111 	359.5 	2.5e-66 	212.2	
RIFIN-A.hmm 	PfKH01_040006000 	5.6e-133 	431.6 	6.3e-133 	431.4	
RIFIN-A.hmm 	PfKH01_040006200 	1.3e-46 	147.6 	7e-46 	145.2	
STEVOR1.hmm 	PfKH01_040006200 	4e-09 	24.1 	3.2e-08 	21.1	
RIFIN-B.hmm 	PfKH01_040006200 	5.6e-40 	125.7 	1.6e-30 	94.6	
RIFIN-A.hmm 	PfKH01_040007200 	1.8e-115 	374.1 	7.4e-115 	372.0	
RIFIN-B.hmm 	PfKH01_040007200 	2.9e-88 	284.3 	2e-49 	156.7	
STEVOR1.hmm 	PfKH01_040007200 	3.5e-13 	37.4 	3.3e-10 	27.6	
STEVOR1.hmm 	PfKH01_040007300 	1.7e-106 	343.8 	2e-106 	343.6	
RIFIN-B.hmm 	PfKH01_040007300 	2.4e-06 	15.1 	2.4e-06 	15.1	
RIFIN-A.hmm 	PfKH01_040007300 	8e-08 	20.0 	3.2e-07 	18.1	
RIFIN-B.hmm 	PfKH01_040007400 	1e-81 	262.8 	3.3e-43 	136.2	
RIFIN-A.hmm 	PfKH01_040007400 	4.5e-108 	349.7 	9.5e-108 	348.6	
STEVOR1.hmm 	PfKH01_040007400 	9e-08 	19.6 	9.7e-07 	16.2	
RIFIN-B.hmm 	PfKH01_040017600 	1.3e-32 	101.4 	6.6e-25 	76.1	
RIFIN-A.hmm 	PfKH01_040017600 	1e-51 	164.4 	1.3e-51 	164.1	
RIFIN-A.hmm 	PfKH01_040018000 	1e-97 	315.6 	1.3e-97 	315.3	
STEVOR1.hmm 	PfKH01_040018000 	2.2e-12 	34.7 	2.2e-12 	34.7	
RIFIN-B.hmm 	PfKH01_040018000 	6e-73 	234.0 	3.1e-53 	169.2	
RIFIN-B.hmm 	PfKH01_040018600 	1.2e-112 	364.5 	2.1e-61 	196.0	
STEVOR1.hmm 	PfKH01_040018600 	1.3e-13 	38.8 	9.6e-10 	26.1	
RIFIN-A.hmm 	PfKH01_040018600 	1.3e-151 	492.9 	1.4e-151 	492.7	
RIFIN-A.hmm 	PfKH01_040026300 	1.8e-13 	38.6 	3.2e-10 	27.9	
RIFIN-B.hmm 	PfKH01_040026300 	1e-14 	42.6 	1.8e-11 	32.0	
STEVOR1.hmm 	PfKH01_040026300 	3.5e-162 	526.6 	3.9e-162 	526.5	
RIFIN-B.hmm 	PfKH01_040026400 	1.9e-82 	265.2 	2.8e-46 	146.3	
RIFIN-A.hmm 	PfKH01_040026400 	3.8e-104 	336.8 	5.5e-104 	336.3	
STEVOR1.hmm 	PfKH01_040026400 	9.6e-14 	39.2 	3.8e-08 	20.8	
RIFIN-A.hmm 	PfKH01_040026800 	2.3e-100 	324.3 	1.7e-61 	196.5	
RIFIN-B.hmm 	PfKH01_040026800 	2.9e-140 	455.2 	3.3e-140 	455.0	
STEVOR1.hmm 	PfKH01_040026800 	6e-09 	23.5 	1.2e-06 	15.9	
RIFIN-B.hmm 	PfKH01_040026900 	1.8e-14 	41.8 	1.4e-12 	35.6	
STEVOR1.hmm 	PfKH01_040026900 	2.1e-170 	553.6 	2.4e-170 	553.5	
RIFIN-A.hmm 	PfKH01_040026900 	4.2e-14 	40.7 	1.1e-11 	32.7	
STEVOR1.hmm 	PfKH01_040027000 	3.4e-11 	30.9 	2.5e-10 	28.0	
RIFIN-A.hmm 	PfKH01_040027000 	4.6e-116 	376.0 	5.3e-116 	375.8	
RIFIN-B.hmm 	PfKH01_040027000 	6.7e-83 	266.7 	2.4e-47 	149.9	
STEVOR1.hmm 	PfKH01_040027100 	1.4e-12 	35.4 	1.3e-10 	28.9	
RIFIN-A.hmm 	PfKH01_040027100 	2.2e-130 	423.0 	2.7e-130 	422.8	
RIFIN-B.hmm 	PfKH01_040027100 	2.8e-85 	274.5 	9e-48 	151.2	
RIFIN-B.hmm 	PfKH01_040027200 	1.2e-95 	308.6 	1.4e-50 	160.5	
STEVOR1.hmm 	PfKH01_040027200 	2e-13 	38.1 	4.4e-09 	23.9	
RIFIN-A.hmm 	PfKH01_040027200 	3.6e-145 	471.7 	4.1e-145 	471.5	
STEVOR1.hmm 	PfKH01_040027400 	2.1e-09 	24.9 	2.8e-07 	18.0	
RIFIN-B.hmm 	PfKH01_040027400 	2.6e-131 	425.8 	2.9e-131 	425.6	
RIFIN-A.hmm 	PfKH01_040027400 	5.6e-96 	309.9 	7e-55 	174.8	
RIFIN-B.hmm 	PfKH01_040027500 	1.1e-100 	325.1 	9.4e-53 	167.6	
STEVOR1.hmm 	PfKH01_040027500 	7.9e-13 	36.2 	3.9e-08 	20.8	
RIFIN-A.hmm 	PfKH01_040027500 	8.2e-148 	480.4 	9.2e-148 	480.2	
RIFIN-A.hmm 	PfKH01_040027600 	1.7e-128 	416.9 	1.9e-128 	416.7	
RIFIN-B.hmm 	PfKH01_040027600 	1.8e-92 	298.2 	2.3e-51 	163.1	
STEVOR1.hmm 	PfKH01_040027600 	3e-13 	37.6 	2.5e-08 	21.4	
RIFIN-A.hmm 	PfKH01_040027900 	1.9e-103 	334.5 	2.2e-103 	334.3	
STEVOR1.hmm 	PfKH01_040027900 	5.5e-10 	26.9 	5.5e-10 	26.9	
RIFIN-B.hmm 	PfKH01_040027900 	6.5e-79 	253.6 	1.1e-54 	174.0	
STEVOR1.hmm 	PfKH01_050005700 	1.9e-12 	35.0 	4.3e-08 	20.7	
RIFIN-B.hmm 	PfKH01_050005700 	2.4e-115 	373.3 	4.5e-65 	208.1	
RIFIN-A.hmm 	PfKH01_050005700 	8.1e-155 	503.4 	9.1e-155 	503.3	
RIFIN-B.hmm 	PfKH01_050005900 	1.2e-09 	26.0 	2.4e-09 	25.0	
RIFIN-A.hmm 	PfKH01_050005900 	1.4e-11 	32.4 	3.2e-08 	21.3	
STEVOR1.hmm 	PfKH01_050005900 	4.4e-170 	552.6 	4.9e-170 	552.5	
STEVOR1.hmm 	PfKH01_050006000 	3.8e-16 	47.1 	1.2e-09 	25.8	
RIFIN-A.hmm 	PfKH01_050006000 	5.6e-95 	306.6 	8.1e-51 	161.4	
RIFIN-B.hmm 	PfKH01_050006000 	9.3e-138 	447.0 	1e-137 	446.8	
