STEVOR1.hmm 	PfDd2_010005400 	1.5e-13 	38.6 	1.3e-08 	22.4	
RIFIN-A.hmm 	PfDd2_020024700 	3e-135 	439.1 	3.4e-135 	438.9	
STEVOR1.hmm 	PfDd2_020024700 	4.5e-13 	37.0 	8e-09 	23.0	
RIFIN-B.hmm 	PfDd2_020024700 	8.7e-101 	325.5 	4.7e-54 	171.9	
STEVOR1.hmm 	PfDd2_020024900 	3.5e-11 	30.8 	9.3e-09 	22.8	
RIFIN-A.hmm 	PfDd2_020024900 	3e-134 	435.8 	3.4e-134 	435.6	
RIFIN-B.hmm 	PfDd2_020024900 	5.3e-115 	372.2 	4.9e-66 	211.3	
RIFIN-A.hmm 	PfDd2_020025000 	2.5e-11 	31.6 	2.4e-08 	21.8	
RIFIN-B.hmm 	PfDd2_020025000 	3.5e-11 	31.0 	8.3e-10 	26.5	
STEVOR1.hmm 	PfDd2_020025000 	6e-169 	548.9 	6.7e-169 	548.7	
RIFIN-A.hmm 	PfDd2_020025300 	2.9e-160 	521.3 	3.3e-160 	521.2	
STEVOR1.hmm 	PfDd2_020025300 	6.5e-08 	20.1 	6.5e-08 	20.1	
RIFIN-B.hmm 	PfDd2_020025300 	9e-114 	368.1 	1e-66 	213.5	
RIFIN-A.hmm 	PfDd2_030005500 	1.1e-158 	516.1 	1.3e-158 	515.9	
STEVOR1.hmm 	PfDd2_030005500 	2.3e-10 	28.1 	5.7e-08 	20.2	
RIFIN-B.hmm 	PfDd2_030005500 	4.5e-120 	388.9 	9e-70 	223.6	
STEVOR1.hmm 	PfDd2_030005600 	3.4e-12 	34.1 	6.1e-09 	23.4	
RIFIN-B.hmm 	PfDd2_030005600 	4.2e-137 	444.8 	4.8e-137 	444.6	
RIFIN-A.hmm 	PfDd2_030005600 	6.2e-102 	329.5 	1.8e-61 	196.4	
STEVOR1.hmm 	PfDd2_030005700 	1.1e-11 	32.5 	1.6e-07 	18.8	
RIFIN-B.hmm 	PfDd2_030005700 	2.9e-101 	327.0 	1.8e-57 	183.1	
RIFIN-A.hmm 	PfDd2_030005700 	6.4e-153 	497.2 	7.2e-153 	497.0	
RIFIN-B.hmm 	PfDd2_030005800 	1.3e-80 	259.1 	2.5e-47 	149.8	
RIFIN-A.hmm 	PfDd2_030005800 	3.1e-118 	383.1 	5.9e-118 	382.2	
STEVOR1.hmm 	PfDd2_030005800 	3.5e-17 	50.5 	2.7e-12 	34.5	
RIFIN-B.hmm 	PfDd2_030005900 	2.1e-08 	21.9 	2.1e-08 	21.9	
STEVOR1.hmm 	PfDd2_030005900 	2.5e-27 	83.8 	4.6e-27 	82.9	
RIFIN-A.hmm 	PfDd2_030029500 	1.2e-137 	446.9 	1.4e-137 	446.8	
RIFIN-B.hmm 	PfDd2_030029500 	2.1e-101 	327.5 	3.3e-54 	172.4	
STEVOR1.hmm 	PfDd2_030029500 	2.6e-17 	50.9 	2.2e-10 	28.2	
STEVOR1.hmm 	PfDd2_030029600 	4.7e-19 	56.7 	3.6e-11 	30.8	
RIFIN-B.hmm 	PfDd2_030029600 	9.7e-133 	430.5 	1.1e-132 	430.3	
RIFIN-A.hmm 	PfDd2_030029600 	9.7e-97 	312.4 	3.5e-51 	162.6	
RIFIN-B.hmm 	PfDd2_030029700 	1.4e-114 	370.8 	1.6e-59 	189.8	
STEVOR1.hmm 	PfDd2_030029700 	2e-13 	38.1 	1.7e-10 	28.5	
RIFIN-A.hmm 	PfDd2_030029700 	5.2e-136 	441.6 	5.9e-136 	441.4	
STEVOR1.hmm 	PfDd2_040005200 	3.8e-12 	33.9 	3.8e-08 	20.8	
RIFIN-B.hmm 	PfDd2_040005200 	6.4e-108 	348.9 	2.3e-64 	205.8	
RIFIN-A.hmm 	PfDd2_040005200 	6.6e-149 	484.0 	7.4e-149 	483.8	
STEVOR1.hmm 	PfDd2_040005300 	1.1e-09 	25.9 	2.6e-07 	18.1	
RIFIN-A.hmm 	PfDd2_040005300 	1.7e-153 	499.0 	1.9e-153 	498.9	
RIFIN-B.hmm 	PfDd2_040005300 	1e-100 	325.2 	1.7e-52 	166.8	
RIFIN-B.hmm 	PfDd2_040005600 	1.7e-13 	38.6 	2e-11 	31.9	
RIFIN-A.hmm 	PfDd2_040005600 	2.1e-13 	38.4 	6.2e-10 	27.0	
STEVOR1.hmm 	PfDd2_040005600 	2.2e-159 	517.5 	2.4e-159 	517.3	
RIFIN-B.hmm 	PfDd2_040005700 	1.4e-148 	482.5 	1.6e-148 	482.4	
STEVOR1.hmm 	PfDd2_040005700 	1e-16 	49.0 	1.5e-11 	32.0	
RIFIN-A.hmm 	PfDd2_040005700 	8.2e-97 	312.7 	1.5e-52 	167.1	
RIFIN-B.hmm 	PfDd2_040005800 	1.2e-97 	315.1 	1e-52 	167.5	
STEVOR1.hmm 	PfDd2_040005800 	3.6e-10 	27.5 	2.7e-07 	18.0	
RIFIN-A.hmm 	PfDd2_040005800 	5.2e-131 	425.1 	5.9e-131 	425.0	
STEVOR1.hmm 	PfDd2_040006200 	3.5e-16 	47.2 	3.7e-11 	30.7	
RIFIN-A.hmm 	PfDd2_040006200 	4.3e-135 	438.6 	4.8e-135 	438.4	
RIFIN-B.hmm 	PfDd2_040006200 	4.9e-102 	329.6 	4.6e-53 	168.6	
RIFIN-A.hmm 	PfDd2_040006300 	2.3e-113 	367.1 	2.8e-70 	225.4	
RIFIN-B.hmm 	PfDd2_040006300 	5.5e-97 	313.0 	6.2e-97 	312.8	
STEVOR1.hmm 	PfDd2_040006300 	8.1e-11 	29.6 	2.5e-09 	24.7	
STEVOR1.hmm 	PfDd2_040006500 	1.4e-08 	22.3 	7.4e-08 	19.9	
RIFIN-A.hmm 	PfDd2_040006500 	5e-49 	155.5 	9.6e-49 	154.6	
RIFIN-B.hmm 	PfDd2_040006500 	7.2e-42 	131.9 	2.4e-29 	90.7	
STEVOR1.hmm 	PfDd2_040007500 	2.1e-16 	47.9 	1.5e-14 	41.9	
RIFIN-B.hmm 	PfDd2_040007500 	6.7e-90 	289.7 	4.6e-51 	162.1	
RIFIN-A.hmm 	PfDd2_040007500 	9.7e-116 	374.9 	4.1e-115 	372.8	
RIFIN-A.hmm 	PfDd2_040007600 	1.5e-07 	19.2 	4.7e-05 	10.9	
STEVOR1.hmm 	PfDd2_040007600 	2.5e-106 	343.3 	2.8e-106 	343.1	
RIFIN-B.hmm 	PfDd2_040007600 	3.1e-06 	14.8 	3.1e-06 	14.8	
STEVOR1.hmm 	PfDd2_040007700 	1.3e-06 	15.8 	1.3e-06 	15.8	
RIFIN-A.hmm 	PfDd2_040007700 	3.7e-108 	350.0 	7.7e-108 	348.9	
RIFIN-B.hmm 	PfDd2_040007700 	7.7e-81 	259.9 	3.9e-43 	136.0	
STEVOR1.hmm 	PfDd2_040018300 	1.5e-15 	45.2 	2e-12 	34.8	
RIFIN-B.hmm 	PfDd2_040018300 	2e-114 	370.3 	3.6e-63 	201.8	
RIFIN-A.hmm 	PfDd2_040018300 	3e-153 	498.3 	3.3e-153 	498.1	
RIFIN-A.hmm 	PfDd2_040018400 	1.8e-133 	433.2 	2e-133 	433.0	
RIFIN-B.hmm 	PfDd2_040018400 	2.1e-115 	373.5 	3.7e-65 	208.4	
STEVOR1.hmm 	PfDd2_040018400 	2.6e-14 	41.1 	8.8e-10 	26.2	
RIFIN-B.hmm 	PfDd2_040026100 	2.2e-98 	317.6 	5.9e-56 	178.1	
STEVOR1.hmm 	PfDd2_040026100 	2.4e-15 	44.4 	7.2e-11 	29.8	
RIFIN-A.hmm 	PfDd2_040026100 	7.4e-133 	431.2 	8.4e-133 	431.0	
RIFIN-B.hmm 	PfDd2_040026500 	1.2e-78 	252.7 	1e-54 	174.0	
RIFIN-A.hmm 	PfDd2_040026500 	4.4e-103 	333.3 	5.2e-103 	333.1	
STEVOR1.hmm 	PfDd2_040026500 	5.4e-10 	26.9 	5.4e-10 	26.9	
RIFIN-B.hmm 	PfDd2_040030500 	3.3e-11 	31.1 	1.3e-10 	29.2	
RIFIN-A.hmm 	PfDd2_040030500 	8.3e-09 	23.3 	8.3e-09 	23.3	
STEVOR1.hmm 	PfDd2_040030500 	9.8e-167 	541.6 	1.1e-166 	541.4	
RIFIN-B.hmm 	PfDd2_040030600 	1.7e-102 	331.0 	1.9e-55 	176.5	
STEVOR1.hmm 	PfDd2_040030600 	3e-14 	40.9 	1e-08 	22.7	
RIFIN-A.hmm 	PfDd2_040030600 	3e-150 	488.4 	3.4e-150 	488.2	
RIFIN-B.hmm 	PfDd2_040030800 	1.7e-133 	433.0 	1.9e-133 	432.8	
STEVOR1.hmm 	PfDd2_040030800 	2.7e-14 	41.0 	8.6e-10 	26.2	
RIFIN-A.hmm 	PfDd2_040030800 	3e-95 	307.5 	2.9e-59 	189.2	
RIFIN-B.hmm 	PfDd2_040030900 	1.5e-112 	364.1 	2.2e-66 	212.4	
RIFIN-A.hmm 	PfDd2_040030900 	3.5e-153 	498.1 	3.9e-153 	497.9	
STEVOR1.hmm 	PfDd2_040030900 	8.8e-12 	32.8 	1e-08 	22.7	
RIFIN-B.hmm 	PfDd2_040031000 	1.1e-145 	473.0 	1.2e-145 	472.8	
STEVOR1.hmm 	PfDd2_040031000 	2.4e-12 	34.6 	3.7e-08 	20.9	
RIFIN-A.hmm 	PfDd2_040031000 	9.2e-99 	319.1 	2.5e-55 	176.3	
STEVOR1.hmm 	PfDd2_040031100 	1.5e-13 	38.6 	1e-08 	22.7	
RIFIN-B.hmm 	PfDd2_040031100 	1.5e-89 	288.6 	1.7e-52 	166.8	
RIFIN-A.hmm 	PfDd2_040031100 	7.5e-130 	421.3 	8.7e-130 	421.1	
RIFIN-B.hmm 	PfDd2_040031200 	1.4e-135 	439.8 	1.6e-135 	439.6	
STEVOR1.hmm 	PfDd2_040031200 	4.7e-13 	36.9 	5.5e-09 	23.6	
RIFIN-A.hmm 	PfDd2_040031200 	4.9e-94 	303.5 	1e-56 	180.8	
STEVOR1.hmm 	PfDd2_050005100 	2.7e-13 	37.7 	1e-09 	26.0	
RIFIN-A.hmm 	PfDd2_050005100 	3.3e-156 	508.0 	3.7e-156 	507.8	
RIFIN-B.hmm 	PfDd2_050005100 	5.7e-103 	332.6 	9.6e-57 	180.7	
STEVOR1.hmm 	PfDd2_050005200 	2.4e-12 	34.6 	2.1e-08 	21.7	
RIFIN-A.hmm 	PfDd2_050005200 	3.7e-99 	320.4 	6.2e-54 	171.7	
RIFIN-B.hmm 	PfDd2_050005200 	5.8e-135 	437.8 	6.4e-135 	437.6	
RIFIN-B.hmm 	PfDd2_050005300 	2.8e-101 	327.1 	8.2e-55 	174.4	
STEVOR1.hmm 	PfDd2_050005300 	6.5e-14 	39.8 	5.4e-12 	33.5	
RIFIN-A.hmm 	PfDd2_050005300 	8.3e-143 	463.9 	9.3e-143 	463.8	
RIFIN-B.hmm 	PfDd2_050005500 	2.2e-11 	31.7 	5.9e-10 	27.0	
STEVOR1.hmm 	PfDd2_050005500 	2.5e-168 	546.8 	2.8e-168 	546.7	
RIFIN-A.hmm 	PfDd2_050005500 	5.4e-14 	40.3 	2.3e-09 	25.1	
RIFIN-A.hmm 	PfDd2_050005600 	1.3e-140 	456.8 	1.4e-140 	456.6	
STEVOR1.hmm 	PfDd2_050005600 	7.5e-08 	19.9 	7.5e-08 	19.9	
RIFIN-B.hmm 	PfDd2_050005600 	7.7e-104 	335.5 	1.1e-58 	187.1	
STEVOR1.hmm 	PfDd2_050005700 	1.7e-163 	531.0 	1.9e-163 	530.8	
RIFIN-B.hmm 	PfDd2_050005700 	2e-11 	31.8 	3.6e-09 	24.4	
RIFIN-A.hmm 	PfDd2_050005700 	9.4e-11 	29.7 	4.1e-08 	21.0	
STEVOR1.hmm 	PfDd2_050005800 	3.2e-15 	44.1 	1.9e-10 	28.4	
RIFIN-B.hmm 	PfDd2_050005800 	3.6e-131 	425.3 	4e-131 	425.1	
RIFIN-A.hmm 	PfDd2_050005800 	4.3e-96 	310.3 	4.8e-55 	175.3	
RIFIN-A.hmm 	PfDd2_050037300 	2.5e-132 	429.5 	2.8e-132 	429.3	
RIFIN-B.hmm 	PfDd2_050037300 	2.6e-99 	320.6 	2.6e-54 	172.8	
STEVOR1.hmm 	PfDd2_050037300 	2.7e-15 	44.3 	6.8e-10 	26.6	
RIFIN-B.hmm 	PfDd2_050037400 	3.2e-143 	464.9 	3.6e-143 	464.8	
STEVOR1.hmm 	PfDd2_050037400 	3e-16 	47.4 	3e-10 	27.7	
RIFIN-A.hmm 	PfDd2_050037400 	9.8e-100 	322.3 	1.5e-54 	173.7	
RIFIN-A.hmm 	PfDd2_050037700 	1.1e-150 	489.9 	1.2e-150 	489.7	
STEVOR1.hmm 	PfDd2_050037700 	1.6e-12 	35.2 	2e-08 	21.7	
RIFIN-B.hmm 	PfDd2_050037700 	8.2e-114 	368.3 	5.8e-68 	217.6	
STEVOR1.hmm 	PfDd2_050037800 	1e-13 	39.1 	8.7e-09 	22.9	
RIFIN-B.hmm 	PfDd2_050037800 	3.2e-147 	478.1 	3.6e-147 	477.9	
RIFIN-A.hmm 	PfDd2_050037800 	5e-100 	323.2 	6.8e-56 	178.1	
STEVOR1.hmm 	PfDd2_050038000 	2.4e-13 	37.9 	9.4e-09 	22.8	
RIFIN-B.hmm 	PfDd2_050038000 	3.4e-99 	320.2 	3.8e-57 	182.1	
RIFIN-A.hmm 	PfDd2_050038000 	9.3e-152 	493.4 	1e-151 	493.2	
STEVOR1.hmm 	PfDd2_050038100 	1.6e-08 	22.1 	2.6e-08 	21.3	
RIFIN-B.hmm 	PfDd2_050038100 	3.5e-133 	431.9 	3.9e-133 	431.8	
RIFIN-A.hmm 	PfDd2_050038100 	7.9e-91 	293.0 	5.3e-55 	175.2	
STEVOR1.hmm 	PfDd2_050038200 	1.2e-160 	521.6 	1.4e-160 	521.4	
RIFIN-B.hmm 	PfDd2_050038200 	1.9e-12 	35.2 	1.5e-11 	32.3	
RIFIN-A.hmm 	PfDd2_050038200 	3.2e-14 	41.1 	4.1e-11 	30.9	
RIFIN-B.hmm 	PfDd2_050038500 	1.8e-105 	340.9 	1.2e-59 	190.3	
STEVOR1.hmm 	PfDd2_050038500 	2.8e-09 	24.5 	2.9e-07 	17.9	
RIFIN-A.hmm 	PfDd2_050038500 	4e-152 	494.6 	4.5e-152 	494.4	
RIFIN-A.hmm 	PfDd2_050038600 	2.7e-152 	495.1 	3e-152 	495.0	
STEVOR1.hmm 	PfDd2_050038600 	4.8e-09 	23.8 	1.6e-07 	18.8	
RIFIN-B.hmm 	PfDd2_050038600 	5.9e-106 	342.4 	4.8e-61 	194.9	
RIFIN-B.hmm 	PfDd2_050038700 	2.9e-143 	465.0 	3.3e-143 	464.9	
STEVOR1.hmm 	PfDd2_050038700 	3.5e-15 	43.9 	3.3e-10 	27.6	
RIFIN-A.hmm 	PfDd2_050038700 	9.7e-105 	338.7 	1.8e-61 	196.5	
STEVOR1.hmm 	PfDd2_050038900 	2e-10 	28.3 	5.4e-08 	20.3	
RIFIN-A.hmm 	PfDd2_050038900 	4.3e-153 	497.7 	4.8e-153 	497.6	
RIFIN-B.hmm 	PfDd2_050038900 	6.4e-102 	329.2 	5.1e-53 	168.5	
RIFIN-B.hmm 	PfDd2_060005100 	2.2e-99 	320.9 	3.1e-57 	182.4	
STEVOR1.hmm 	PfDd2_060005100 	2.9e-13 	37.6 	2.6e-08 	21.4	
RIFIN-A.hmm 	PfDd2_060005100 	8.9e-149 	483.6 	1e-148 	483.4	
STEVOR1.hmm 	PfDd2_060005200 	2.6e-19 	57.5 	1.1e-13 	39.0	
RIFIN-A.hmm 	PfDd2_060005200 	3.8e-140 	455.2 	4.3e-140 	455.0	
RIFIN-B.hmm 	PfDd2_060005200 	4.6e-104 	336.2 	8.8e-56 	177.6	
RIFIN-B.hmm 	PfDd2_060005300 	1.2e-108 	351.3 	2.6e-56 	179.3	
STEVOR1.hmm 	PfDd2_060005300 	2.5e-17 	51.0 	4.5e-13 	37.0	
RIFIN-A.hmm 	PfDd2_060005300 	5.4e-138 	448.1 	6.5e-138 	447.8	
STEVOR1.hmm 	PfDd2_060005400 	1.2e-170 	554.5 	1.3e-170 	554.4	
RIFIN-A.hmm 	PfDd2_060005400 	1.5e-12 	35.5 	6.2e-10 	27.0	
RIFIN-B.hmm 	PfDd2_060005400 	8.1e-12 	33.1 	1.3e-10 	29.1	
RIFIN-B.hmm 	PfDd2_060005500 	1.5e-115 	373.9 	1e-62 	200.4	
STEVOR1.hmm 	PfDd2_060005500 	5.4e-09 	23.6 	1.9e-06 	15.2	
RIFIN-A.hmm 	PfDd2_060005500 	5.7e-150 	487.5 	6.4e-150 	487.3	
STEVOR1.hmm 	PfDd2_060022400 	3.2e-19 	57.2 	1.2e-13 	38.9	
RIFIN-B.hmm 	PfDd2_060022400 	3.3e-112 	363.0 	2.9e-62 	198.9	
RIFIN-A.hmm 	PfDd2_060022400 	4.7e-142 	461.4 	5.3e-142 	461.3	
RIFIN-B.hmm 	PfDd2_060036400 	1.5e-102 	331.2 	1.9e-58 	186.3	
RIFIN-A.hmm 	PfDd2_060036400 	1.6e-140 	456.4 	1.8e-140 	456.2	
STEVOR1.hmm 	PfDd2_060036400 	1.9e-16 	48.1 	3.3e-13 	37.4	
RIFIN-A.hmm 	PfDd2_060036500 	2.2e-103 	334.3 	3.3e-60 	192.3	
RIFIN-B.hmm 	PfDd2_060036500 	4.8e-147 	477.5 	5.4e-147 	477.3	
STEVOR1.hmm 	PfDd2_060036500 	5.8e-13 	36.6 	8.6e-10 	26.2	
RIFIN-A.hmm 	PfDd2_060036600 	1.1e-99 	322.2 	5.7e-56 	178.4	
STEVOR1.hmm 	PfDd2_060036600 	3.2e-17 	50.6 	1.7e-12 	35.1	
RIFIN-B.hmm 	PfDd2_060036600 	4.2e-147 	477.7 	4.7e-147 	477.5	
RIFIN-B.hmm 	PfDd2_060036700 	1e-13 	39.3 	4.2e-11 	30.8	
RIFIN-A.hmm 	PfDd2_060036700 	5.1e-11 	30.6 	2.2e-09 	25.2	
STEVOR1.hmm 	PfDd2_060036700 	6.4e-171 	555.4 	7.1e-171 	555.2	
RIFIN-A.hmm 	PfDd2_060036800 	1.1e-146 	476.7 	1.2e-146 	476.5	
STEVOR1.hmm 	PfDd2_060036800 	1.3e-09 	25.6 	2.1e-09 	25.0	
RIFIN-B.hmm 	PfDd2_060036800 	2.9e-119 	386.2 	2.2e-72 	232.1	
RIFIN-A.hmm 	PfDd2_070005400 	1.2e-152 	496.3 	1.3e-152 	496.1	
STEVOR1.hmm 	PfDd2_070005400 	2.5e-16 	47.7 	1e-11 	32.5	
RIFIN-B.hmm 	PfDd2_070005400 	6.2e-115 	372.0 	6.7e-66 	210.8	
RIFIN-B.hmm 	PfDd2_070005600 	1.5e-98 	318.1 	1.1e-53 	170.6	
STEVOR1.hmm 	PfDd2_070005600 	1.6e-13 	38.5 	9.9e-09 	22.7	
RIFIN-A.hmm 	PfDd2_070005600 	4.8e-150 	487.7 	5.4e-150 	487.6	
STEVOR1.hmm 	PfDd2_070005700 	1.1e-05 	12.7 	4.5e-06 	14.0	
RIFIN-B.hmm 	PfDd2_070005700 	1.5e-139 	452.8 	1.7e-139 	452.6	
RIFIN-A.hmm 	PfDd2_070005700 	9.9e-102 	328.8 	8.1e-65 	207.5	
RIFIN-A.hmm 	PfDd2_070005800 	2.1e-133 	433.0 	2.5e-133 	432.7	
RIFIN-B.hmm 	PfDd2_070005800 	2.8e-108 	350.1 	2.2e-56 	179.5	
STEVOR1.hmm 	PfDd2_070005800 	9.8e-18 	52.3 	1.6e-13 	38.4	
RIFIN-B.hmm 	PfDd2_070005900 	1.5e-13 	38.8 	5e-12 	33.8	
RIFIN-A.hmm 	PfDd2_070005900 	2.3e-12 	35.0 	5.8e-10 	27.1	
STEVOR1.hmm 	PfDd2_070005900 	2e-170 	553.7 	2.2e-170 	553.6	
RIFIN-A.hmm 	PfDd2_070006000 	1.4e-134 	436.9 	1.6e-134 	436.7	
STEVOR1.hmm 	PfDd2_070006000 	1.6e-10 	28.6 	4.1e-07 	17.4	
RIFIN-B.hmm 	PfDd2_070006000 	2.9e-113 	366.5 	3e-70 	225.1	
RIFIN-B.hmm 	PfDd2_070016600 	1.6e-92 	298.4 	1.9e-51 	163.4	
RIFIN-A.hmm 	PfDd2_070016600 	2.4e-126 	409.8 	2.7e-126 	409.6	
STEVOR1.hmm 	PfDd2_070016600 	4.2e-15 	43.7 	6.8e-11 	29.8	
STEVOR1.hmm 	PfDd2_070035100 	2.2e-167 	543.7 	2.5e-167 	543.6	
RIFIN-B.hmm 	PfDd2_070035100 	2.7e-15 	44.5 	5e-12 	33.8	
RIFIN-A.hmm 	PfDd2_070035100 	9.4e-12 	33.0 	7.4e-10 	26.7	
RIFIN-A.hmm 	PfDd2_070035200 	2e-152 	495.6 	2.2e-152 	495.4	
RIFIN-B.hmm 	PfDd2_070035200 	4.2e-105 	339.7 	3.4e-55 	175.6	
STEVOR1.hmm 	PfDd2_070035200 	6.9e-14 	39.7 	1.8e-10 	28.5	
RIFIN-B.hmm 	PfDd2_070035300 	2.9e-101 	327.1 	6.2e-64 	204.4	
RIFIN-A.hmm 	PfDd2_070035300 	3.7e-130 	422.3 	4.1e-130 	422.2	
STEVOR1.hmm 	PfDd2_070035300 	7.3e-09 	23.2 	1e-08 	22.7	
STEVOR1.hmm 	PfDd2_070035400 	1.2e-163 	531.5 	1.3e-163 	531.4	
RIFIN-A.hmm 	PfDd2_070035400 	4.4e-09 	24.2 	6.6e-09 	23.6	
RIFIN-B.hmm 	PfDd2_070035400 	7.6e-13 	36.5 	9.4e-12 	32.9	
RIFIN-B.hmm 	PfDd2_070035500 	2.4e-100 	324.0 	2.4e-55 	176.2	
STEVOR1.hmm 	PfDd2_070035500 	4.2e-12 	33.8 	1.3e-07 	19.0	
RIFIN-A.hmm 	PfDd2_070035500 	5.8e-153 	497.3 	6.5e-153 	497.2	
STEVOR1.hmm 	PfDd2_070035600 	2.1e-13 	38.1 	2.8e-09 	24.5	
RIFIN-B.hmm 	PfDd2_070035600 	2.7e-102 	330.4 	2.6e-58 	185.9	
RIFIN-A.hmm 	PfDd2_070035600 	7.3e-146 	474.0 	8.1e-146 	473.8	
RIFIN-B.hmm 	PfDd2_080005600 	3.2e-106 	343.3 	2.6e-56 	179.3	
STEVOR1.hmm 	PfDd2_080005600 	3.3e-10 	27.6 	2.6e-08 	21.4	
RIFIN-A.hmm 	PfDd2_080005600 	7.1e-143 	464.1 	8e-143 	464.0	
RIFIN-A.hmm 	PfDd2_080005800 	1.1e-12 	36.0 	4e-10 	27.6	
RIFIN-B.hmm 	PfDd2_080005800 	7.4e-13 	36.5 	1.4e-11 	32.3	
STEVOR1.hmm 	PfDd2_080005800 	9e-168 	545.0 	1e-167 	544.9	
RIFIN-B.hmm 	PfDd2_080005900 	1.6e-104 	337.7 	1.4e-59 	190.0	
RIFIN-A.hmm 	PfDd2_080005900 	1.7e-146 	476.0 	1.9e-146 	475.9	
STEVOR1.hmm 	PfDd2_080005900 	5.2e-12 	33.5 	1.4e-09 	25.5	
RIFIN-B.hmm 	PfDd2_080014200 	1.7e-111 	360.7 	3.7e-59 	188.7	
STEVOR1.hmm 	PfDd2_080014200 	2.1e-16 	47.9 	4.7e-12 	33.7	
RIFIN-A.hmm 	PfDd2_080014200 	4.3e-147 	478.0 	4.9e-147 	477.8	
STEVOR1.hmm 	PfDd2_090006200 	1.9e-10 	28.4 	1.4e-07 	19.0	
RIFIN-B.hmm 	PfDd2_090006200 	1.9e-99 	321.1 	6e-59 	188.0	
RIFIN-A.hmm 	PfDd2_090006200 	6.4e-150 	487.3 	7.1e-150 	487.2	
RIFIN-A.hmm 	PfDd2_090006300 	1.7e-138 	449.8 	1.9e-138 	449.6	
STEVOR1.hmm 	PfDd2_090006300 	2.5e-18 	54.3 	9.3e-13 	36.0	
RIFIN-B.hmm 	PfDd2_090006300 	4e-104 	336.4 	6.7e-55 	174.7	
RIFIN-A.hmm 	PfDd2_090006400 	2.5e-09 	25.0 	2.4e-08 	21.8	
RIFIN-B.hmm 	PfDd2_090006400 	2.6e-12 	34.7 	4.8e-10 	27.3	
STEVOR1.hmm 	PfDd2_090006400 	8.3e-166 	538.6 	9.3e-166 	538.4	
