RIFIN-A.hmm 	PfGN01_000022800 	1.6e-98 	318.3 	1.5e-59 	190.2	
RIFIN-A.hmm 	PfGN01_020006300 	9.1e-154 	500.0 	1e-153 	499.8	
STEVOR1.hmm 	PfGN01_020006400 	1.2e-13 	38.9 	1.7e-11 	31.8	
RIFIN-B.hmm 	PfGN01_020006400 	1.4e-87 	282.1 	5.1e-48 	152.1	
RIFIN-A.hmm 	PfGN01_020006400 	1.9e-132 	429.9 	2.1e-132 	429.7	
STEVOR1.hmm 	PfGN01_020006500 	2.2e-14 	41.3 	3.3e-12 	34.2	
RIFIN-A.hmm 	PfGN01_020006500 	2e-137 	446.2 	2.2e-137 	446.1	
RIFIN-B.hmm 	PfGN01_020006500 	4.3e-100 	323.2 	1e-56 	180.6	
RIFIN-B.hmm 	PfGN01_020006600 	4.2e-93 	300.2 	1.3e-48 	154.0	
STEVOR1.hmm 	PfGN01_020006600 	8.1e-17 	49.3 	5.5e-15 	43.3	
RIFIN-A.hmm 	PfGN01_020006600 	8.7e-136 	440.8 	9.9e-136 	440.6	
RIFIN-B.hmm 	PfGN01_020006700 	1.7e-104 	337.7 	7.4e-55 	174.5	
RIFIN-A.hmm 	PfGN01_020006700 	2.1e-138 	449.5 	2.3e-138 	449.3	
STEVOR1.hmm 	PfGN01_020006700 	4.5e-17 	50.1 	1.1e-10 	29.2	
STEVOR1.hmm 	PfGN01_020006800 	3.2e-176 	572.8 	3.6e-176 	572.6	
RIFIN-B.hmm 	PfGN01_020006800 	8.5e-13 	36.3 	1.9e-12 	35.2	
RIFIN-A.hmm 	PfGN01_020006800 	9.2e-11 	29.7 	9.2e-11 	29.7	
STEVOR1.hmm 	PfGN01_020026400 	1.4e-87 	281.6 	1e-50 	160.6	
RIFIN-A.hmm 	PfGN01_020026400 	1.6e-12 	35.5 	3.7e-10 	27.7	
RIFIN-B.hmm 	PfGN01_020026400 	2.5e-13 	38.1 	7.6e-10 	26.6	
STEVOR1.hmm 	PfGN01_020027400 	3.3e-18 	53.9 	1.4e-11 	32.1	
RIFIN-A.hmm 	PfGN01_020027400 	6.5e-139 	451.1 	7.2e-139 	451.0	
RIFIN-B.hmm 	PfGN01_020027400 	9.3e-102 	328.7 	1.3e-55 	177.0	
RIFIN-B.hmm 	PfGN01_020027500 	2.1e-152 	495.1 	2.4e-152 	494.9	
RIFIN-A.hmm 	PfGN01_020027500 	3.8e-104 	336.8 	3.9e-63 	201.9	
STEVOR1.hmm 	PfGN01_020027500 	7.1e-11 	29.8 	6.3e-08 	20.1	
RIFIN-A.hmm 	PfGN01_020027600 	3.8e-109 	353.2 	8.8e-66 	210.6	
STEVOR1.hmm 	PfGN01_020027600 	5.3e-13 	36.8 	7.7e-10 	26.4	
RIFIN-B.hmm 	PfGN01_020027600 	8.1e-145 	470.2 	9e-145 	470.0	
RIFIN-A.hmm 	PfGN01_020027700 	2.6e-09 	24.9 	2.6e-09 	24.9	
STEVOR1.hmm 	PfGN01_020027700 	3.2e-164 	533.4 	3.5e-164 	533.2	
RIFIN-B.hmm 	PfGN01_020027700 	4.4e-13 	37.3 	4.4e-12 	34.0	
RIFIN-A.hmm 	PfGN01_020027800 	1e-150 	489.9 	1.2e-150 	489.7	
STEVOR1.hmm 	PfGN01_020027800 	3.2e-15 	44.1 	2.2e-11 	31.5	
RIFIN-B.hmm 	PfGN01_020027800 	7.7e-103 	332.2 	9.8e-55 	174.1	
STEVOR1.hmm 	PfGN01_020028000 	1.5e-14 	41.9 	1.1e-09 	25.9	
RIFIN-A.hmm 	PfGN01_020028000 	1.7e-110 	357.6 	2.9e-66 	212.2	
RIFIN-B.hmm 	PfGN01_020028000 	7.1e-145 	470.3 	8.1e-145 	470.2	
RIFIN-B.hmm 	PfGN01_020028100 	3.3e-104 	336.7 	4e-54 	172.1	
RIFIN-A.hmm 	PfGN01_020028100 	7.2e-145 	470.7 	8.1e-145 	470.5	
STEVOR1.hmm 	PfGN01_020028100 	7.4e-13 	36.3 	8.5e-09 	23.0	
RIFIN-B.hmm 	PfGN01_030005600 	1.3e-11 	32.5 	7.2e-08 	20.1	
STEVOR1.hmm 	PfGN01_030005600 	3.1e-154 	500.6 	3.7e-154 	500.3	
RIFIN-A.hmm 	PfGN01_030005600 	8e-11 	29.9 	1.7e-08 	22.3	
RIFIN-B.hmm 	PfGN01_030005700 	1.9e-92 	298.1 	2.6e-53 	169.5	
RIFIN-A.hmm 	PfGN01_030005700 	4.2e-137 	445.2 	4.9e-137 	445.0	
STEVOR1.hmm 	PfGN01_030005700 	4.6e-12 	33.7 	1.2e-08 	22.4	
RIFIN-B.hmm 	PfGN01_030005900 	1.3e-102 	331.5 	5.1e-57 	181.6	
RIFIN-A.hmm 	PfGN01_030005900 	4.6e-157 	510.8 	5.2e-157 	510.6	
STEVOR1.hmm 	PfGN01_030005900 	9.6e-13 	35.9 	3.4e-09 	24.3	
STEVOR1.hmm 	PfGN01_030006000 	1e-16 	49.0 	2e-11 	31.6	
RIFIN-B.hmm 	PfGN01_030006000 	2e-102 	330.8 	4.1e-57 	181.9	
RIFIN-A.hmm 	PfGN01_030006000 	2e-141 	459.4 	2.3e-141 	459.2	
RIFIN-A.hmm 	PfGN01_030006100 	2.3e-12 	35.0 	1e-09 	26.3	
RIFIN-B.hmm 	PfGN01_030006100 	6.8e-16 	46.5 	6.1e-11 	30.2	
STEVOR1.hmm 	PfGN01_030006100 	9.1e-162 	525.3 	1e-161 	525.1	
RIFIN-B.hmm 	PfGN01_030006200 	1.1e-135 	440.2 	1.2e-135 	440.0	
RIFIN-A.hmm 	PfGN01_030006200 	1.1e-89 	289.3 	1.9e-52 	166.8	
STEVOR1.hmm 	PfGN01_030006200 	1.7e-09 	25.3 	9.9e-09 	22.7	
STEVOR1.hmm 	PfGN01_030006400 	8.5e-29 	88.6 	6.8e-21 	62.7	
RIFIN-A.hmm 	PfGN01_030006500 	2e-115 	373.9 	2.7e-115 	373.4	
RIFIN-B.hmm 	PfGN01_030006500 	4.2e-89 	287.1 	3.4e-55 	175.6	
STEVOR1.hmm 	PfGN01_030006500 	4e-11 	30.6 	1.3e-07 	19.1	
STEVOR1.hmm 	PfGN01_030006600 	1.7e-27 	84.3 	3.5e-27 	83.4	
RIFIN-B.hmm 	PfGN01_030006600 	5e-08 	20.6 	5e-08 	20.6	
RIFIN-A.hmm 	PfGN01_030030100 	5e-143 	464.6 	5.6e-143 	464.5	
STEVOR1.hmm 	PfGN01_030030100 	6.5e-13 	36.5 	4.2e-09 	24.0	
RIFIN-B.hmm 	PfGN01_030030100 	8.6e-99 	318.9 	2.2e-56 	179.6	
STEVOR1.hmm 	PfGN01_030030200 	1.6e-167 	544.2 	1.8e-167 	544.0	
RIFIN-B.hmm 	PfGN01_030030200 	6.3e-13 	36.8 	4.8e-10 	27.3	
RIFIN-A.hmm 	PfGN01_030030200 	9.8e-13 	36.2 	6.6e-09 	23.6	
RIFIN-A.hmm 	PfGN01_030030300 	1.8e-156 	508.8 	2.1e-156 	508.7	
STEVOR1.hmm 	PfGN01_030030300 	2e-14 	41.4 	3.9e-09 	24.1	
RIFIN-B.hmm 	PfGN01_030030300 	8.1e-123 	397.9 	1.8e-71 	229.1	
RIFIN-B.hmm 	PfGN01_030030600 	1.2e-101 	328.3 	5.6e-56 	178.2	
RIFIN-A.hmm 	PfGN01_030030600 	1.7e-149 	485.9 	1.9e-149 	485.8	
STEVOR1.hmm 	PfGN01_030030600 	6.9e-08 	20.0 	8.2e-07 	16.4	
STEVOR1.hmm 	PfGN01_030030700 	1e-11 	32.5 	6e-08 	20.2	
RIFIN-A.hmm 	PfGN01_030030700 	2e-157 	512.0 	2.2e-157 	511.8	
RIFIN-B.hmm 	PfGN01_030030700 	9.1e-113 	364.8 	1.5e-66 	212.9	
RIFIN-B.hmm 	PfGN01_040005300 	1.1e-146 	476.3 	1.2e-146 	476.2	
RIFIN-A.hmm 	PfGN01_040005300 	3e-101 	327.3 	1.6e-58 	186.7	
STEVOR1.hmm 	PfGN01_040005300 	7.3e-15 	42.9 	4.3e-10 	27.2	
RIFIN-A.hmm 	PfGN01_040005400 	2e-153 	498.8 	2.3e-153 	498.7	
STEVOR1.hmm 	PfGN01_040005400 	8.3e-12 	32.8 	2.2e-08 	21.6	
RIFIN-B.hmm 	PfGN01_040005400 	8.8e-101 	325.4 	6e-57 	181.4	
RIFIN-B.hmm 	PfGN01_040005500 	4.7e-143 	464.4 	5.3e-143 	464.2	
RIFIN-A.hmm 	PfGN01_040005500 	4.7e-95 	306.9 	7.6e-56 	178.0	
STEVOR1.hmm 	PfGN01_040005500 	5.9e-09 	23.5 	8.8e-08 	19.6	
STEVOR1.hmm 	PfGN01_040005600 	1.3e-14 	42.1 	2e-09 	25.0	
RIFIN-A.hmm 	PfGN01_040005600 	4.5e-151 	491.1 	5.1e-151 	490.9	
RIFIN-B.hmm 	PfGN01_040005600 	5.1e-108 	349.2 	2.4e-58 	186.0	
STEVOR1.hmm 	PfGN01_040005800 	2e-168 	547.1 	2.3e-168 	547.0	
RIFIN-B.hmm 	PfGN01_040005800 	3.5e-13 	37.6 	2.1e-09 	25.2	
RIFIN-A.hmm 	PfGN01_040005800 	3.6e-10 	27.8 	4e-07 	17.7	
RIFIN-A.hmm 	PfGN01_040005900 	1.3e-95 	308.7 	1.2e-53 	170.7	
RIFIN-B.hmm 	PfGN01_040005900 	3.7e-141 	458.1 	4.1e-141 	458.0	
STEVOR1.hmm 	PfGN01_040005900 	9.4e-11 	29.4 	6.1e-08 	20.1	
RIFIN-B.hmm 	PfGN01_040006000 	2.1e-136 	442.5 	2.3e-136 	442.4	
STEVOR1.hmm 	PfGN01_040006000 	4.9e-13 	36.9 	8.7e-10 	26.2	
RIFIN-A.hmm 	PfGN01_040006000 	6.8e-92 	296.5 	1.6e-54 	173.7	
RIFIN-B.hmm 	PfGN01_040006200 	4.3e-101 	326.5 	2.2e-53 	169.7	
STEVOR1.hmm 	PfGN01_040006200 	4e-15 	43.7 	2.7e-10 	27.9	
RIFIN-A.hmm 	PfGN01_040006200 	6.2e-152 	493.9 	6.9e-152 	493.8	
RIFIN-B.hmm 	PfGN01_040006300 	1.6e-97 	314.7 	1.8e-97 	314.6	
RIFIN-A.hmm 	PfGN01_040006300 	1.8e-113 	367.5 	3.2e-70 	225.3	
STEVOR1.hmm 	PfGN01_040006300 	4.1e-10 	27.3 	1.8e-08 	21.9	
RIFIN-A.hmm 	PfGN01_040006500 	2.2e-48 	153.4 	3.5e-41 	129.7	
STEVOR1.hmm 	PfGN01_040006500 	3.1e-08 	21.1 	3.7e-08 	20.9	
RIFIN-B.hmm 	PfGN01_040006500 	4.4e-41 	129.3 	1.8e-30 	94.4	
RIFIN-B.hmm 	PfGN01_040007500 	1.1e-90 	292.2 	4.6e-51 	162.1	
STEVOR1.hmm 	PfGN01_040007500 	1.5e-16 	48.5 	1.9e-14 	41.5	
RIFIN-A.hmm 	PfGN01_040007500 	4.2e-117 	379.4 	1.8e-116 	377.3	
RIFIN-A.hmm 	PfGN01_040007600 	1.7e-07 	19.0 	3.3e-07 	18.0	
RIFIN-B.hmm 	PfGN01_040007600 	2.5e-06 	15.1 	2.5e-06 	15.1	
STEVOR1.hmm 	PfGN01_040007600 	2e-106 	343.6 	2.2e-106 	343.4	
STEVOR1.hmm 	PfGN01_040007700 	1.1e-07 	19.3 	8.6e-07 	16.4	
RIFIN-B.hmm 	PfGN01_040007700 	4e-82 	264.2 	8.2e-43 	135.0	
RIFIN-A.hmm 	PfGN01_040007700 	6.1e-108 	349.3 	1.3e-107 	348.2	
RIFIN-A.hmm 	PfGN01_040017900 	5.6e-53 	168.5 	6.9e-53 	168.2	
RIFIN-B.hmm 	PfGN01_040017900 	8.2e-33 	102.1 	5.6e-25 	76.4	
RIFIN-B.hmm 	PfGN01_040018600 	1.1e-112 	364.6 	2e-61 	196.1	
RIFIN-A.hmm 	PfGN01_040018600 	1.1e-151 	493.1 	1.3e-151 	492.9	
STEVOR1.hmm 	PfGN01_040018600 	1.8e-13 	38.3 	1.3e-09 	25.7	
RIFIN-A.hmm 	PfGN01_040026600 	2.8e-103 	333.9 	3.3e-103 	333.7	
STEVOR1.hmm 	PfGN01_040026600 	5.5e-10 	26.9 	5.5e-10 	26.9	
RIFIN-B.hmm 	PfGN01_040026600 	6.6e-79 	253.6 	1.1e-54 	174.0	
STEVOR1.hmm 	PfGN01_040030700 	1.3e-116 	377.0 	1.5e-116 	376.8	
RIFIN-A.hmm 	PfGN01_040030700 	1e-10 	29.6 	1.5e-07 	19.1	
RIFIN-B.hmm 	PfGN01_040030700 	8.5e-07 	16.6 	8.5e-07 	16.6	
STEVOR1.hmm 	PfGN01_040030800 	2e-07 	18.4 	1.1e-05 	12.8	
RIFIN-A.hmm 	PfGN01_040030800 	8.8e-77 	246.8 	1.7e-42 	134.1	
RIFIN-B.hmm 	PfGN01_040030800 	8e-112 	361.7 	9.5e-112 	361.5	
RIFIN-B.hmm 	PfGN01_040030900 	1.6e-99 	321.3 	2.9e-52 	166.0	
RIFIN-A.hmm 	PfGN01_040030900 	2.6e-140 	455.7 	2.9e-140 	455.5	
STEVOR1.hmm 	PfGN01_040030900 	5.8e-11 	30.1 	1.9e-07 	18.5	
RIFIN-A.hmm 	PfGN01_040031000 	1.1e-95 	309.0 	5.9e-54 	171.8	
STEVOR1.hmm 	PfGN01_040031000 	1.3e-10 	29.0 	6.6e-09 	23.3	
RIFIN-B.hmm 	PfGN01_040031000 	7.2e-144 	467.0 	8.1e-144 	466.9	
RIFIN-B.hmm 	PfGN01_040031100 	1.4e-12 	35.6 	9.3e-11 	29.6	
RIFIN-A.hmm 	PfGN01_040031100 	2.6e-12 	34.8 	1.3e-09 	26.0	
STEVOR1.hmm 	PfGN01_040031100 	4.3e-167 	542.8 	4.8e-167 	542.6	
RIFIN-B.hmm 	PfGN01_040031200 	1.5e-103 	334.6 	5.3e-58 	184.9	
STEVOR1.hmm 	PfGN01_040031200 	5.9e-08 	20.2 	1.2e-07 	19.2	
RIFIN-A.hmm 	PfGN01_040031200 	9.3e-145 	470.3 	1e-144 	470.2	
RIFIN-A.hmm 	PfGN01_040031400 	1.3e-146 	476.5 	1.4e-146 	476.3	
STEVOR1.hmm 	PfGN01_040031400 	6.1e-09 	23.4 	1.5e-06 	15.6	
RIFIN-B.hmm 	PfGN01_040031400 	8.6e-105 	338.6 	1e-54 	174.1	
RIFIN-A.hmm 	PfGN01_040031900 	1.1e-146 	476.7 	1.2e-146 	476.6	
RIFIN-B.hmm 	PfGN01_040031900 	1.2e-97 	315.1 	3.5e-55 	175.6	
STEVOR1.hmm 	PfGN01_040031900 	4.4e-09 	23.9 	7.6e-07 	16.5	
RIFIN-B.hmm 	PfGN01_050005000 	1.4e-102 	331.4 	1e-53 	170.8	
STEVOR1.hmm 	PfGN01_050005000 	1.5e-12 	35.3 	3.2e-08 	21.1	
RIFIN-A.hmm 	PfGN01_050005000 	1.9e-137 	446.3 	2.2e-137 	446.1	
RIFIN-A.hmm 	PfGN01_050005100 	4.9e-98 	316.7 	2.6e-58 	186.0	
STEVOR1.hmm 	PfGN01_050005100 	6.4e-10 	26.6 	6.2e-09 	23.4	
RIFIN-B.hmm 	PfGN01_050005100 	8.5e-139 	450.4 	9.8e-139 	450.2	
RIFIN-A.hmm 	PfGN01_050005300 	5.6e-148 	480.9 	6.3e-148 	480.8	
STEVOR1.hmm 	PfGN01_050005300 	6.9e-12 	33.1 	9e-09 	22.9	
RIFIN-B.hmm 	PfGN01_050005300 	9.4e-107 	345.1 	1.5e-56 	180.1	
STEVOR1.hmm 	PfGN01_050005500 	1.2e-13 	38.9 	4.6e-09 	23.8	
RIFIN-B.hmm 	PfGN01_050005500 	2.1e-136 	442.5 	2.4e-136 	442.3	
RIFIN-A.hmm 	PfGN01_050005500 	3.9e-96 	310.5 	1.6e-59 	190.0	
RIFIN-A.hmm 	PfGN01_050005600 	2.1e-141 	459.3 	2.4e-141 	459.1	
STEVOR1.hmm 	PfGN01_050005600 	3.9e-07 	17.5 	9.5e-07 	16.2	
RIFIN-B.hmm 	PfGN01_050005600 	8.6e-97 	312.3 	3.2e-54 	172.5	
RIFIN-A.hmm 	PfGN01_050005700 	1.4e-92 	298.8 	3.4e-49 	156.1	
STEVOR1.hmm 	PfGN01_050005700 	2.3e-12 	34.7 	7.6e-09 	23.1	
RIFIN-B.hmm 	PfGN01_050005700 	3.6e-139 	451.6 	4e-139 	451.4	
RIFIN-A.hmm 	PfGN01_050037200 	1.3e-133 	433.7 	1.4e-133 	433.5	
RIFIN-B.hmm 	PfGN01_050037200 	2e-100 	324.3 	9.6e-54 	170.9	
STEVOR1.hmm 	PfGN01_050037200 	5e-17 	50.0 	1.1e-10 	29.1	
RIFIN-B.hmm 	PfGN01_050037300 	3.2e-143 	464.9 	3.6e-143 	464.8	
STEVOR1.hmm 	PfGN01_050037300 	3e-16 	47.4 	3e-10 	27.7	
RIFIN-A.hmm 	PfGN01_050037300 	9.8e-100 	322.3 	1.5e-54 	173.7	
RIFIN-A.hmm 	PfGN01_050037700 	1.9e-146 	475.9 	2.2e-146 	475.7	
RIFIN-B.hmm 	PfGN01_050037700 	1e-102 	331.8 	1e-57 	183.9	
STEVOR1.hmm 	PfGN01_050037700 	3.7e-13 	37.3 	2.3e-08 	21.5	
RIFIN-A.hmm 	PfGN01_060006200 	3.3e-148 	481.7 	3.7e-148 	481.5	
RIFIN-B.hmm 	PfGN01_060006200 	3.7e-109 	353.0 	1.3e-60 	193.5	
STEVOR1.hmm 	PfGN01_060006200 	6.5e-13 	36.5 	6.4e-09 	23.4	
RIFIN-B.hmm 	PfGN01_060006300 	4.1e-100 	323.3 	3.8e-52 	165.6	
STEVOR1.hmm 	PfGN01_060006300 	6.7e-09 	23.3 	1.1e-06 	16.0	
RIFIN-A.hmm 	PfGN01_060006300 	7.2e-152 	493.7 	8.1e-152 	493.6	
RIFIN-B.hmm 	PfGN01_060006400 	1.6e-129 	419.9 	1.9e-129 	419.7	
STEVOR1.hmm 	PfGN01_060006400 	1.8e-11 	31.7 	5.3e-08 	20.4	
RIFIN-A.hmm 	PfGN01_060006400 	3.9e-93 	300.6 	1.5e-50 	160.6	
RIFIN-B.hmm 	PfGN01_060006500 	3.8e-103 	333.2 	1.7e-59 	189.8	
RIFIN-A.hmm 	PfGN01_060006500 	4.8e-149 	484.4 	5.4e-149 	484.3	
STEVOR1.hmm 	PfGN01_060006500 	4e-12 	33.9 	1.5e-10 	28.7	
RIFIN-B.hmm 	PfGN01_060023400 	1.4e-111 	360.9 	8.4e-62 	197.4	
STEVOR1.hmm 	PfGN01_060023400 	2.6e-17 	50.9 	1.7e-13 	38.4	
RIFIN-A.hmm 	PfGN01_060023400 	5e-141 	458.1 	5.6e-141 	457.9	
RIFIN-A.hmm 	PfGN01_060038000 	1.7e-143 	466.2 	1.9e-143 	466.0	
RIFIN-B.hmm 	PfGN01_060038000 	3.9e-106 	343.0 	6.2e-64 	204.4	
STEVOR1.hmm 	PfGN01_060038000 	4.5e-13 	37.0 	4.5e-10 	27.1	
RIFIN-A.hmm 	PfGN01_060038200 	1.4e-98 	318.5 	2.5e-62 	199.3	
RIFIN-B.hmm 	PfGN01_060038200 	3.6e-138 	448.3 	4.1e-138 	448.1	
STEVOR1.hmm 	PfGN01_060038200 	6.7e-11 	29.9 	5.1e-08 	20.4	
RIFIN-A.hmm 	PfGN01_060038300 	1.5e-163 	532.2 	1.7e-163 	532.0	
STEVOR1.hmm 	PfGN01_060038300 	2.9e-14 	40.9 	2.6e-10 	28.0	
RIFIN-B.hmm 	PfGN01_060038300 	4.9e-114 	369.0 	3.3e-69 	221.7	
RIFIN-A.hmm 	PfGN01_060038500 	2.2e-103 	334.3 	1.5e-61 	196.7	
RIFIN-B.hmm 	PfGN01_060038500 	4.8e-134 	434.8 	5.3e-134 	434.6	
STEVOR1.hmm 	PfGN01_060038500 	6.6e-13 	36.4 	2.3e-08 	21.5	
RIFIN-A.hmm 	PfGN01_070005400 	2.2e-142 	462.6 	2.4e-142 	462.4	
STEVOR1.hmm 	PfGN01_070005400 	2.6e-15 	44.4 	2.4e-09 	24.8	
RIFIN-B.hmm 	PfGN01_070005400 	7.5e-106 	342.1 	4.3e-57 	181.9	
STEVOR1.hmm 	PfGN01_070005600 	1.4e-167 	544.4 	1.6e-167 	544.2	
RIFIN-A.hmm 	PfGN01_070005600 	6.3e-10 	26.9 	3.1e-08 	21.4	
RIFIN-B.hmm 	PfGN01_070005600 	8.8e-12 	33.0 	6.5e-11 	30.1	
RIFIN-A.hmm 	PfGN01_070005700 	2.1e-98 	317.9 	3.3e-52 	166.0	
RIFIN-B.hmm 	PfGN01_070005700 	3.7e-134 	435.1 	4.1e-134 	435.0	
