RIFIN-B.hmm 	Pf7G8_000005100 	1.4e-87 	282.0 	1.2e-45 	144.3	
STEVOR1.hmm 	Pf7G8_020005700 	4.3e-16 	46.9 	3.1e-10 	27.7	
RIFIN-A.hmm 	Pf7G8_020005700 	5.1e-142 	461.3 	5.7e-142 	461.2	
STEVOR1.hmm 	Pf7G8_020005800 	2.5e-14 	41.1 	4e-11 	30.6	
RIFIN-A.hmm 	Pf7G8_020005800 	7.8e-93 	299.6 	2e-53 	170.0	
RIFIN-B.hmm 	Pf7G8_020005800 	9.1e-149 	483.1 	1e-148 	483.0	
RIFIN-B.hmm 	Pf7G8_020005900 	5.5e-92 	296.5 	4e-49 	155.7	
RIFIN-A.hmm 	Pf7G8_020005900 	5.6e-134 	434.9 	6.3e-134 	434.7	
STEVOR1.hmm 	Pf7G8_020005900 	7.5e-15 	42.9 	2e-12 	34.9	
RIFIN-A.hmm 	Pf7G8_020006000 	1.7e-113 	367.6 	1.8e-65 	209.6	
STEVOR1.hmm 	Pf7G8_020006000 	2.4e-15 	44.4 	9.1e-11 	29.4	
RIFIN-B.hmm 	Pf7G8_020006000 	3.6e-101 	326.7 	4e-101 	326.6	
STEVOR1.hmm 	Pf7G8_020006100 	5.1e-176 	572.1 	5.7e-176 	571.9	
RIFIN-A.hmm 	Pf7G8_020006100 	5.4e-11 	30.5 	9.2e-11 	29.7	
RIFIN-B.hmm 	Pf7G8_020006100 	8e-13 	36.4 	1.9e-12 	35.2	
STEVOR1.hmm 	Pf7G8_020025900 	1.6e-107 	347.2 	1.7e-107 	347.0	
RIFIN-B.hmm 	Pf7G8_020025900 	3.4e-12 	34.3 	3.4e-09 	24.5	
RIFIN-A.hmm 	Pf7G8_020025900 	7.9e-12 	33.2 	2.2e-09 	25.2	
STEVOR1.hmm 	Pf7G8_020026600 	3.3e-17 	50.6 	8.7e-11 	29.5	
RIFIN-B.hmm 	Pf7G8_020026600 	4e-101 	326.6 	9.2e-54 	170.9	
RIFIN-A.hmm 	Pf7G8_020026600 	4e-134 	435.4 	4.5e-134 	435.2	
RIFIN-B.hmm 	Pf7G8_020026700 	3.2e-143 	464.9 	3.6e-143 	464.8	
STEVOR1.hmm 	Pf7G8_020026700 	3e-16 	47.4 	3e-10 	27.7	
RIFIN-A.hmm 	Pf7G8_020026700 	9.8e-100 	322.3 	1.5e-54 	173.7	
STEVOR1.hmm 	Pf7G8_020027000 	1.2e-10 	29.1 	6e-07 	16.9	
RIFIN-A.hmm 	Pf7G8_020027000 	2.8e-152 	495.1 	3.1e-152 	494.9	
RIFIN-B.hmm 	Pf7G8_020027000 	3.4e-100 	323.5 	5.5e-55 	175.0	
RIFIN-B.hmm 	Pf7G8_030006000 	1e-102 	331.8 	4.9e-57 	181.7	
STEVOR1.hmm 	Pf7G8_030006000 	2.9e-14 	40.9 	1e-09 	25.9	
RIFIN-A.hmm 	Pf7G8_030006000 	6e-154 	500.6 	6.7e-154 	500.4	
RIFIN-B.hmm 	Pf7G8_030006100 	1.3e-100 	324.9 	2e-55 	176.4	
RIFIN-A.hmm 	Pf7G8_030006100 	4.5e-134 	435.2 	5.4e-134 	434.9	
STEVOR1.hmm 	Pf7G8_030006100 	5.6e-21 	63.0 	1.6e-17 	51.6	
RIFIN-B.hmm 	Pf7G8_030006200 	2.1e-12 	35.0 	2.1e-12 	35.0	
RIFIN-A.hmm 	Pf7G8_030006200 	3.8e-12 	34.3 	2e-11 	31.9	
STEVOR1.hmm 	Pf7G8_030006200 	8e-164 	532.0 	8.9e-164 	531.9	
STEVOR1.hmm 	Pf7G8_030006300 	1.5e-10 	28.8 	1.7e-08 	22.0	
RIFIN-A.hmm 	Pf7G8_030006300 	2.4e-104 	337.4 	9.6e-65 	207.2	
RIFIN-B.hmm 	Pf7G8_030006300 	6.3e-145 	470.5 	7.1e-145 	470.4	
STEVOR1.hmm 	Pf7G8_030006500 	8.5e-29 	88.6 	6.8e-21 	62.7	
STEVOR1.hmm 	Pf7G8_030006700 	1.7e-27 	84.3 	3.5e-27 	83.4	
RIFIN-B.hmm 	Pf7G8_030006700 	5e-08 	20.6 	5e-08 	20.6	
RIFIN-A.hmm 	Pf7G8_030030300 	3.2e-150 	488.3 	3.6e-150 	488.1	
RIFIN-B.hmm 	Pf7G8_030030300 	3.8e-103 	333.2 	1.4e-56 	180.2	
STEVOR1.hmm 	Pf7G8_030030300 	6e-16 	46.4 	2.2e-12 	34.8	
RIFIN-B.hmm 	Pf7G8_030030500 	1.1e-111 	361.3 	3.5e-105 	339.9	
RIFIN-A.hmm 	Pf7G8_030030500 	1.1e-80 	259.6 	6.9e-47 	148.5	
STEVOR1.hmm 	Pf7G8_030030500 	5.8e-07 	16.9 	5.8e-07 	16.9	
RIFIN-A.hmm 	Pf7G8_040005700 	1.3e-156 	509.4 	1.4e-156 	509.2	
STEVOR1.hmm 	Pf7G8_040005700 	1.8e-15 	44.9 	3.1e-10 	27.7	
RIFIN-B.hmm 	Pf7G8_040005700 	9.3e-118 	381.2 	1e-68 	220.1	
STEVOR1.hmm 	Pf7G8_040005800 	1.1e-10 	29.1 	7.9e-08 	19.8	
RIFIN-B.hmm 	Pf7G8_040005800 	1.2e-106 	344.7 	1.4e-65 	209.8	
RIFIN-A.hmm 	Pf7G8_040005800 	2.7e-146 	475.4 	3.1e-146 	475.2	
RIFIN-B.hmm 	Pf7G8_040005900 	2.4e-138 	448.9 	2.7e-138 	448.7	
STEVOR1.hmm 	Pf7G8_040005900 	3.1e-17 	50.7 	6.7e-12 	33.2	
RIFIN-A.hmm 	Pf7G8_040005900 	7.8e-104 	335.8 	9e-59 	187.6	
RIFIN-B.hmm 	Pf7G8_040006100 	1.5e-100 	324.7 	3.7e-57 	182.1	
RIFIN-A.hmm 	Pf7G8_040006100 	6.4e-142 	461.0 	7.1e-142 	460.9	
STEVOR1.hmm 	Pf7G8_040006100 	6.5e-11 	29.9 	8.5e-08 	19.7	
RIFIN-B.hmm 	Pf7G8_040006200 	2.4e-106 	343.7 	1e-60 	193.8	
RIFIN-A.hmm 	Pf7G8_040006200 	3.6e-137 	445.4 	4e-137 	445.2	
STEVOR1.hmm 	Pf7G8_040006200 	4.1e-14 	40.4 	5.6e-10 	26.8	
RIFIN-A.hmm 	Pf7G8_040006400 	1.9e-45 	143.8 	2.6e-44 	140.0	
STEVOR1.hmm 	Pf7G8_040006400 	2e-08 	21.7 	2.4e-08 	21.5	
RIFIN-B.hmm 	Pf7G8_040006400 	4.2e-38 	119.5 	2e-30 	94.3	
STEVOR1.hmm 	Pf7G8_040007400 	1.2e-16 	48.7 	1.8e-14 	41.6	
RIFIN-B.hmm 	Pf7G8_040007400 	2.9e-90 	290.9 	4.6e-51 	162.1	
RIFIN-A.hmm 	Pf7G8_040007400 	6.8e-116 	375.4 	2.9e-115 	373.4	
STEVOR1.hmm 	Pf7G8_040007600 	1.9e-08 	21.8 	2.4e-06 	14.9	
RIFIN-A.hmm 	Pf7G8_040007600 	2.5e-99 	320.9 	1.1e-69 	223.5	
RIFIN-B.hmm 	Pf7G8_040007600 	3.2e-76 	244.7 	7.3e-43 	135.1	
STEVOR1.hmm 	Pf7G8_040018000 	1.8e-16 	48.2 	3e-11 	31.0	
RIFIN-A.hmm 	Pf7G8_040018000 	3.1e-134 	435.7 	3.5e-134 	435.6	
RIFIN-B.hmm 	Pf7G8_040018000 	8.1e-106 	342.0 	1.1e-56 	180.6	
STEVOR1.hmm 	Pf7G8_040018100 	2e-15 	44.7 	6.6e-11 	29.9	
RIFIN-A.hmm 	Pf7G8_040018100 	4.1e-135 	438.6 	4.6e-135 	438.4	
RIFIN-B.hmm 	Pf7G8_040018100 	9.9e-117 	377.9 	3.7e-66 	211.7	
RIFIN-A.hmm 	Pf7G8_040025800 	2.8e-103 	333.9 	3.3e-103 	333.7	
STEVOR1.hmm 	Pf7G8_040025800 	5.5e-10 	26.9 	5.5e-10 	26.9	
RIFIN-B.hmm 	Pf7G8_040025800 	6.6e-79 	253.6 	1.1e-54 	174.0	
STEVOR1.hmm 	Pf7G8_040030000 	1.3e-116 	377.0 	1.5e-116 	376.8	
RIFIN-A.hmm 	Pf7G8_040030000 	1e-10 	29.6 	1.5e-07 	19.1	
RIFIN-B.hmm 	Pf7G8_040030000 	8.5e-07 	16.6 	8.5e-07 	16.6	
RIFIN-B.hmm 	Pf7G8_040030100 	3.7e-112 	362.9 	4.4e-112 	362.6	
RIFIN-A.hmm 	Pf7G8_040030100 	4.1e-77 	247.9 	1.7e-42 	134.1	
STEVOR1.hmm 	Pf7G8_040030100 	8.4e-08 	19.7 	4.3e-06 	14.1	
RIFIN-B.hmm 	Pf7G8_040030200 	1.1e-100 	325.1 	5.1e-53 	168.5	
RIFIN-A.hmm 	Pf7G8_040030200 	2.1e-146 	475.8 	2.3e-146 	475.6	
STEVOR1.hmm 	Pf7G8_040030200 	4.4e-15 	43.6 	2.2e-11 	31.5	
RIFIN-A.hmm 	Pf7G8_040030300 	1.8e-151 	492.4 	2.1e-151 	492.2	
RIFIN-B.hmm 	Pf7G8_040030300 	2.7e-120 	389.6 	3.4e-63 	201.9	
STEVOR1.hmm 	Pf7G8_040030300 	5.5e-11 	30.1 	7.9e-08 	19.8	
RIFIN-B.hmm 	Pf7G8_040030400 	2.1e-99 	320.9 	4e-53 	168.8	
RIFIN-A.hmm 	Pf7G8_040030400 	2.4e-145 	472.3 	2.7e-145 	472.1	
STEVOR1.hmm 	Pf7G8_040030400 	5.5e-10 	26.9 	2.2e-07 	18.3	
STEVOR1.hmm 	Pf7G8_040030500 	3.8e-10 	27.4 	3.7e-07 	17.6	
RIFIN-A.hmm 	Pf7G8_040030500 	5.5e-142 	461.2 	6.1e-142 	461.1	
RIFIN-B.hmm 	Pf7G8_040030500 	5.7e-108 	349.1 	2e-60 	192.9	
STEVOR1.hmm 	Pf7G8_040030600 	1.6e-165 	537.6 	1.8e-165 	537.5	
RIFIN-A.hmm 	Pf7G8_040030600 	2.2e-13 	38.3 	1.6e-10 	28.9	
RIFIN-B.hmm 	Pf7G8_040030600 	9.5e-14 	39.5 	3.2e-11 	31.2	
STEVOR1.hmm 	Pf7G8_040030700 	4e-12 	33.9 	1.1e-08 	22.7	
RIFIN-B.hmm 	Pf7G8_040030700 	5.7e-115 	372.1 	1.4e-68 	219.6	
RIFIN-A.hmm 	Pf7G8_040030700 	5.7e-153 	497.4 	6.4e-153 	497.2	
STEVOR1.hmm 	Pf7G8_050005400 	1.1e-10 	29.2 	3.9e-08 	20.8	
RIFIN-B.hmm 	Pf7G8_050005400 	2.9e-111 	359.9 	1.7e-63 	202.9	
RIFIN-A.hmm 	Pf7G8_050005400 	5.1e-156 	507.4 	5.7e-156 	507.2	
STEVOR1.hmm 	Pf7G8_050005600 	1.4e-13 	38.6 	1.6e-09 	25.3	
RIFIN-A.hmm 	Pf7G8_050005600 	2.2e-147 	479.0 	2.5e-147 	478.8	
RIFIN-B.hmm 	Pf7G8_050005600 	5.7e-112 	362.2 	1.1e-67 	216.7	
RIFIN-B.hmm 	Pf7G8_050005700 	1.3e-114 	370.9 	1.4e-64 	206.5	
RIFIN-A.hmm 	Pf7G8_050005700 	1.6e-157 	512.3 	1.8e-157 	512.2	
STEVOR1.hmm 	Pf7G8_050005700 	2.2e-11 	31.4 	5.9e-08 	20.2	
STEVOR1.hmm 	Pf7G8_050005800 	1.2e-14 	42.2 	5.2e-10 	26.9	
RIFIN-A.hmm 	Pf7G8_050005800 	4e-92 	297.2 	2.5e-53 	169.7	
RIFIN-B.hmm 	Pf7G8_050005800 	5.3e-130 	421.5 	5.9e-130 	421.3	
RIFIN-A.hmm 	Pf7G8_050005900 	2.1e-135 	439.6 	2.3e-135 	439.4	
STEVOR1.hmm 	Pf7G8_050005900 	3.6e-14 	40.6 	5.4e-10 	26.9	
RIFIN-B.hmm 	Pf7G8_050005900 	3e-102 	330.3 	8.8e-56 	177.6	
RIFIN-B.hmm 	Pf7G8_050006000 	1.4e-95 	308.3 	8.6e-53 	167.8	
RIFIN-A.hmm 	Pf7G8_050006000 	2.4e-137 	446.0 	2.6e-137 	445.8	
STEVOR1.hmm 	Pf7G8_050006000 	3.7e-10 	27.4 	1.1e-07 	19.3	
STEVOR1.hmm 	Pf7G8_050006100 	1.8e-12 	35.0 	1.4e-08 	22.3	
RIFIN-B.hmm 	Pf7G8_050006100 	2.7e-139 	452.0 	3e-139 	451.8	
RIFIN-A.hmm 	Pf7G8_050006100 	5.7e-93 	300.0 	2.7e-49 	156.4	
STEVOR1.hmm 	Pf7G8_050037600 	1e-16 	49.0 	5e-11 	30.3	
RIFIN-B.hmm 	Pf7G8_050037600 	4.1e-100 	323.3 	3e-53 	169.3	
RIFIN-A.hmm 	Pf7G8_050037600 	4.6e-135 	438.5 	5.2e-135 	438.3	
RIFIN-A.hmm 	Pf7G8_050038000 	5.9e-138 	448.0 	6.7e-138 	447.8	
RIFIN-B.hmm 	Pf7G8_050038000 	6e-97 	312.9 	1.1e-50 	160.8	
STEVOR1.hmm 	Pf7G8_050038000 	9e-13 	36.0 	1.5e-09 	25.4	
RIFIN-B.hmm 	Pf7G8_050038100 	1.4e-102 	331.3 	3.7e-57 	182.1	
STEVOR1.hmm 	Pf7G8_050038100 	4.8e-13 	36.9 	2e-08 	21.8	
RIFIN-A.hmm 	Pf7G8_050038100 	8.7e-147 	477.0 	9.7e-147 	476.9	
RIFIN-B.hmm 	Pf7G8_050038300 	1.2e-101 	328.3 	3.2e-56 	179.0	
STEVOR1.hmm 	Pf7G8_050038300 	2e-08 	21.7 	8.7e-08 	19.6	
RIFIN-A.hmm 	Pf7G8_050038300 	4.2e-152 	494.5 	4.7e-152 	494.3	
RIFIN-A.hmm 	Pf7G8_060005600 	2.1e-140 	456.0 	2.3e-140 	455.9	
RIFIN-B.hmm 	Pf7G8_060005600 	3.2e-94 	303.9 	2.9e-52 	166.0	
STEVOR1.hmm 	Pf7G8_060005600 	3.8e-15 	43.8 	7.8e-11 	29.7	
RIFIN-B.hmm 	Pf7G8_070005300 	1.3e-117 	380.8 	1.3e-68 	219.8	
STEVOR1.hmm 	Pf7G8_070005300 	4e-15 	43.7 	6.6e-10 	26.6	
RIFIN-A.hmm 	Pf7G8_070005300 	9.8e-163 	529.5 	1.1e-162 	529.3	
STEVOR1.hmm 	Pf7G8_070005400 	3.7e-14 	40.6 	3.5e-09 	24.2	
RIFIN-B.hmm 	Pf7G8_070005400 	6.5e-141 	457.3 	7.3e-141 	457.2	
RIFIN-A.hmm 	Pf7G8_070005400 	7e-102 	329.3 	2.1e-63 	202.8	
RIFIN-A.hmm 	Pf7G8_070005600 	1.9e-152 	495.6 	2.1e-152 	495.5	
STEVOR1.hmm 	Pf7G8_070005600 	4.4e-13 	37.0 	5.7e-09 	23.5	
RIFIN-B.hmm 	Pf7G8_070005600 	5e-100 	323.0 	3.2e-54 	172.4	
RIFIN-A.hmm 	Pf7G8_070005700 	2.1e-144 	469.2 	2.4e-144 	469.0	
RIFIN-B.hmm 	Pf7G8_070005700 	2.9e-107 	346.7 	2.9e-61 	195.6	
STEVOR1.hmm 	Pf7G8_070005700 	3.2e-15 	44.0 	1.8e-13 	38.3	
STEVOR1.hmm 	Pf7G8_070005800 	1.3e-163 	531.3 	1.5e-163 	531.2	
RIFIN-A.hmm 	Pf7G8_070005800 	2.1e-12 	35.1 	8.5e-10 	26.5	
RIFIN-B.hmm 	Pf7G8_070005800 	3.8e-13 	37.5 	1.5e-11 	32.3	
RIFIN-A.hmm 	Pf7G8_070006400 	1.1e-156 	509.5 	1.3e-156 	509.4	
STEVOR1.hmm 	Pf7G8_070006400 	1.6e-16 	48.3 	5.9e-12 	33.3	
RIFIN-B.hmm 	Pf7G8_070006400 	4.5e-110 	356.0 	1e-61 	197.0	
RIFIN-A.hmm 	Pf7G8_070006500 	2e-96 	311.4 	2e-53 	170.0	
STEVOR1.hmm 	Pf7G8_070006500 	4e-11 	30.6 	1.5e-07 	18.8	
RIFIN-B.hmm 	Pf7G8_070006500 	5.5e-136 	441.1 	6.2e-136 	441.0	
RIFIN-B.hmm 	Pf7G8_070006600 	5.9e-111 	358.9 	1.1e-62 	200.3	
STEVOR1.hmm 	Pf7G8_070006600 	5.9e-11 	30.0 	1.6e-08 	22.0	
RIFIN-A.hmm 	Pf7G8_070006600 	5e-151 	491.0 	5.6e-151 	490.8	
RIFIN-B.hmm 	Pf7G8_070006700 	2.1e-135 	439.3 	2.3e-135 	439.1	
RIFIN-A.hmm 	Pf7G8_070006700 	8.1e-111 	358.7 	4.2e-64 	205.1	
STEVOR1.hmm 	Pf7G8_070006700 	9.7e-10 	26.1 	3.1e-07 	17.8	
STEVOR1.hmm 	Pf7G8_070006800 	1.1e-10 	29.2 	1.7e-08 	22.0	
RIFIN-B.hmm 	Pf7G8_070006800 	3.6e-129 	418.7 	4.1e-129 	418.6	
RIFIN-A.hmm 	Pf7G8_070006800 	6.1e-94 	303.2 	3.1e-54 	172.7	
STEVOR1.hmm 	Pf7G8_070006900 	1.3e-10 	28.9 	2.7e-08 	21.3	
RIFIN-A.hmm 	Pf7G8_070006900 	1.4e-150 	489.5 	1.6e-150 	489.3	
RIFIN-B.hmm 	Pf7G8_070006900 	1.9e-117 	380.2 	1.2e-68 	219.9	
STEVOR1.hmm 	Pf7G8_070007100 	3.2e-10 	27.6 	1.7e-07 	18.7	
RIFIN-B.hmm 	Pf7G8_070007100 	3.9e-139 	451.5 	4.4e-139 	451.3	
RIFIN-A.hmm 	Pf7G8_070007100 	5.9e-96 	309.8 	3.8e-52 	165.8	
RIFIN-B.hmm 	Pf7G8_070007200 	1.4e-77 	249.2 	3.6e-42 	132.8	
RIFIN-A.hmm 	Pf7G8_070007200 	7.8e-107 	345.6 	1.4e-106 	344.8	
RIFIN-B.hmm 	Pf7G8_070017200 	3.1e-130 	422.2 	1.3e-91 	295.4	
RIFIN-A.hmm 	Pf7G8_070017200 	4.6e-86 	277.3 	9.6e-45 	141.5	
STEVOR1.hmm 	Pf7G8_070017200 	5e-10 	27.0 	5e-08 	20.4	
RIFIN-B.hmm 	Pf7G8_070017500 	3.5e-29 	90.2 	1.7e-17 	51.8	
RIFIN-A.hmm 	Pf7G8_070017500 	5.1e-51 	162.1 	8.2e-39 	121.9	
RIFIN-B.hmm 	Pf7G8_070017800 	1.4e-97 	314.9 	1.7e-55 	176.6	
STEVOR1.hmm 	Pf7G8_070017800 	2.8e-15 	44.2 	2.4e-11 	31.3	
RIFIN-A.hmm 	Pf7G8_070017800 	3.5e-132 	429.0 	4e-132 	428.8	
STEVOR1.hmm 	Pf7G8_070017900 	1.5e-15 	45.1 	3.6e-11 	30.7	
RIFIN-B.hmm 	Pf7G8_070017900 	2.3e-102 	330.7 	8.5e-54 	171.1	
RIFIN-A.hmm 	Pf7G8_070017900 	3.6e-132 	429.0 	4.2e-129 	418.9	
STEVOR1.hmm 	Pf7G8_070018400 	2.4e-16 	47.8 	6.3e-12 	33.2	
RIFIN-B.hmm 	Pf7G8_070018400 	4.4e-101 	326.4 	1.7e-58 	186.5	
RIFIN-A.hmm 	Pf7G8_070018400 	5.6e-135 	438.2 	6.3e-135 	438.0	
RIFIN-B.hmm 	Pf7G8_070036800 	1.7e-86 	278.5 	4.2e-48 	152.4	
STEVOR1.hmm 	Pf7G8_070036800 	3.4e-06 	14.4 	3.4e-06 	14.4	
RIFIN-A.hmm 	Pf7G8_070036800 	6e-62 	198.0 	7.4e-38 	118.8	
RIFIN-B.hmm 	Pf7G8_070036900 	3.8e-11 	30.9 	8.5e-10 	26.5	
STEVOR1.hmm 	Pf7G8_070036900 	5.4e-157 	509.6 	1e-156 	508.7	
RIFIN-A.hmm 	Pf7G8_070036900 	5.9e-11 	30.3 	6e-09 	23.7	
RIFIN-B.hmm 	Pf7G8_070037100 	1e-112 	364.6 	2.5e-65 	208.9	
STEVOR1.hmm 	Pf7G8_070037100 	6.2e-13 	36.6 	1.3e-08 	22.4	
RIFIN-A.hmm 	Pf7G8_070037100 	6.4e-154 	500.5 	7.2e-154 	500.3	
RIFIN-A.hmm 	Pf7G8_070037200 	1.4e-134 	436.8 	1.8e-134 	436.5	
RIFIN-B.hmm 	Pf7G8_070037200 	1.5e-88 	285.2 	5e-50 	158.7	
STEVOR1.hmm 	Pf7G8_070037200 	6.8e-13 	36.4 	2.2e-09 	24.9	
RIFIN-B.hmm 	Pf7G8_080005500 	1.2e-102 	331.6 	1.1e-54 	174.0	
RIFIN-A.hmm 	Pf7G8_080005500 	3.7e-143 	465.1 	4.1e-143 	464.9	
STEVOR1.hmm 	Pf7G8_080005500 	5.7e-11 	30.1 	1.2e-08 	22.4	
STEVOR1.hmm 	Pf7G8_080005600 	1.2e-11 	32.3 	1.3e-08 	22.4	
RIFIN-B.hmm 	Pf7G8_080005600 	3e-108 	350.0 	4.9e-58 	185.0	
RIFIN-A.hmm 	Pf7G8_080005600 	4.1e-148 	481.4 	4.6e-148 	481.2	
STEVOR1.hmm 	Pf7G8_080005700 	1.7e-18 	54.8 	3e-12 	34.3	
RIFIN-B.hmm 	Pf7G8_080005700 	2.3e-133 	432.5 	2.5e-133 	432.4	
RIFIN-A.hmm 	Pf7G8_080005700 	9.6e-93 	299.3 	1.6e-54 	173.6	
STEVOR1.hmm 	Pf7G8_080005800 	2.1e-12 	34.8 	5.9e-08 	20.2	
RIFIN-A.hmm 	Pf7G8_080005800 	3.3e-144 	468.5 	3.8e-144 	468.3	
RIFIN-B.hmm 	Pf7G8_080005800 	4.7e-98 	316.5 	4.5e-53 	168.7	
RIFIN-B.hmm 	Pf7G8_080014000 	1.6e-32 	101.1 	8e-25 	75.8	
RIFIN-A.hmm 	Pf7G8_080014000 	9.8e-52 	164.4 	1.2e-51 	164.1	
RIFIN-A.hmm 	Pf7G8_080037100 	2.2e-06 	15.3 	0.0004 	7.9	
STEVOR1.hmm 	Pf7G8_080037100 	4.4e-88 	283.3 	4.9e-88 	283.2	
STEVOR1.hmm 	Pf7G8_080037400 	1.1e-168 	548.0 	1.2e-168 	547.9	
RIFIN-A.hmm 	Pf7G8_080037400 	2.1e-12 	35.1 	8.2e-10 	26.6	
RIFIN-B.hmm 	Pf7G8_080037400 	6.8e-14 	39.9 	6.2e-11 	30.2	
RIFIN-A.hmm 	Pf7G8_080037500 	1.7e-148 	482.6 	1.9e-148 	482.5	
RIFIN-B.hmm 	Pf7G8_080037500 	2e-103 	334.2 	2.4e-59 	189.3	
STEVOR1.hmm 	Pf7G8_080037500 	4.3e-13 	37.1 	7.4e-09 	23.2	
STEVOR1.hmm 	Pf7G8_080037600 	1.2e-12 	35.6 	9.1e-09 	22.9	
RIFIN-B.hmm 	Pf7G8_080037600 	1.3e-100 	324.9 	8.7e-53 	167.7	
RIFIN-A.hmm 	Pf7G8_080037600 	5.7e-145 	471.0 	6.4e-145 	470.9	
STEVOR1.hmm 	Pf7G8_080037900 	1e-15 	45.7 	8.6e-11 	29.5	
RIFIN-B.hmm 	Pf7G8_080037900 	4.5e-133 	431.6 	5e-133 	431.4	
RIFIN-A.hmm 	Pf7G8_080037900 	4.9e-101 	326.6 	3.3e-55 	175.8	
STEVOR1.hmm 	Pf7G8_080038000 	1.2e-10 	29.0 	6.7e-08 	20.0	
RIFIN-A.hmm 	Pf7G8_080038000 	1.3e-148 	483.1 	1.4e-148 	482.9	
RIFIN-B.hmm 	Pf7G8_080038000 	9.2e-114 	368.1 	9.2e-67 	213.7	
STEVOR1.hmm 	Pf7G8_080038200 	1.3e-10 	28.9 	6.6e-08 	20.0	
RIFIN-A.hmm 	Pf7G8_080038200 	1.4e-146 	476.3 	1.6e-146 	476.1	
RIFIN-B.hmm 	Pf7G8_080038200 	5.7e-108 	349.1 	1.2e-58 	187.0	
STEVOR1.hmm 	Pf7G8_090005700 	1.4e-07 	19.0 	2e-06 	15.2	
RIFIN-A.hmm 	Pf7G8_090005700 	2.7e-141 	458.9 	3.1e-141 	458.8	
RIFIN-B.hmm 	Pf7G8_090005700 	8.1e-99 	319.0 	2.4e-53 	169.6	
STEVOR1.hmm 	Pf7G8_090005900 	1.6e-163 	531.1 	1.8e-163 	530.9	
RIFIN-B.hmm 	Pf7G8_090005900 	1.9e-13 	38.4 	2e-10 	28.5	
RIFIN-A.hmm 	Pf7G8_090005900 	8e-11 	29.9 	6.9e-09 	23.5	
STEVOR1.hmm 	Pf7G8_090006000 	2.3e-13 	38.0 	2e-09 	25.0	
RIFIN-A.hmm 	Pf7G8_090006000 	4.4e-145 	471.4 	4.9e-145 	471.2	
RIFIN-B.hmm 	Pf7G8_090006000 	6.6e-103 	332.4 	2.9e-61 	195.6	
STEVOR1.hmm 	Pf7G8_090006100 	2.3e-08 	21.5 	5.1e-07 	17.1	
RIFIN-B.hmm 	Pf7G8_090006100 	2.5e-142 	461.9 	2.8e-142 	461.8	
RIFIN-A.hmm 	Pf7G8_090006100 	2.8e-102 	330.6 	3.9e-57 	182.2	
RIFIN-B.hmm 	Pf7G8_090006300 	0.0018 	5.7 	0.0004 	7.8	
STEVOR1.hmm 	Pf7G8_090006300 	3.1e-25 	77.0 	4.1e-21 	63.4	
RIFIN-A.hmm 	Pf7G8_090006400 	1.1e-149 	486.5 	1.3e-149 	486.3	
