RIFIN-B.hmm 	PfGB4_000005300 	1.9e-07 	18.7 	3e-05 	11.5	
RIFIN-A.hmm 	PfGB4_000008100 	3.1e-150 	488.4 	3.5e-150 	488.2	
RIFIN-A.hmm 	PfGB4_000008300 	1.3e-139 	453.4 	1.4e-139 	453.3	
STEVOR1.hmm 	PfGB4_000008300 	2.4e-08 	21.5 	6.5e-07 	16.8	
RIFIN-B.hmm 	PfGB4_000008300 	2.7e-97 	314.0 	5.4e-52 	165.1	
RIFIN-A.hmm 	PfGB4_000010700 	1.3e-94 	305.4 	1.2e-59 	190.5	
RIFIN-B.hmm 	PfGB4_000010700 	3.7e-127 	412.1 	4.1e-127 	412.0	
STEVOR1.hmm 	PfGB4_000010700 	4.7e-11 	30.4 	1.8e-08 	21.9	
RIFIN-A.hmm 	PfGB4_000010800 	1.1e-148 	483.3 	1.2e-148 	483.1	
RIFIN-B.hmm 	PfGB4_000010800 	1.8e-118 	383.6 	7.1e-69 	220.6	
STEVOR1.hmm 	PfGB4_000010800 	2.2e-13 	38.0 	1.5e-08 	22.2	
STEVOR1.hmm 	PfGB4_000010900 	5.4e-11 	30.2 	4.4e-08 	20.6	
RIFIN-B.hmm 	PfGB4_000010900 	5.8e-113 	365.5 	8.7e-69 	220.3	
RIFIN-A.hmm 	PfGB4_000010900 	6.5e-158 	513.6 	7.2e-158 	513.4	
RIFIN-B.hmm 	PfGB4_000012400 	1.9e-12 	35.2 	1.9e-12 	35.2	
STEVOR1.hmm 	PfGB4_000012400 	3.2e-176 	572.8 	3.6e-176 	572.6	
RIFIN-A.hmm 	PfGB4_000012400 	9.2e-11 	29.7 	9.2e-11 	29.7	
STEVOR1.hmm 	PfGB4_000012500 	1.8e-16 	48.2 	1e-10 	29.3	
RIFIN-B.hmm 	PfGB4_000012500 	4.7e-103 	332.9 	2.6e-54 	172.7	
RIFIN-A.hmm 	PfGB4_000012500 	8.4e-138 	447.5 	9.4e-138 	447.3	
STEVOR1.hmm 	PfGB4_000012600 	2e-15 	44.7 	2.3e-09 	24.8	
RIFIN-B.hmm 	PfGB4_000012600 	5.5e-93 	299.8 	4.2e-50 	158.9	
RIFIN-A.hmm 	PfGB4_000012600 	7e-132 	428.0 	7.8e-132 	427.8	
STEVOR1.hmm 	PfGB4_000012700 	2.1e-47 	149.7 	2.7e-47 	149.4	
RIFIN-A.hmm 	PfGB4_000012700 	2.2e-05 	12.0 	3.2e-05 	11.5	
RIFIN-B.hmm 	PfGB4_000012700 	2.9e-06 	14.8 	2.6e-06 	15.0	
RIFIN-A.hmm 	PfGB4_000012900 	2.4e-94 	304.6 	4.4e-55 	175.4	
RIFIN-B.hmm 	PfGB4_000012900 	2.5e-143 	465.2 	2.8e-143 	465.1	
STEVOR1.hmm 	PfGB4_000012900 	9e-12 	32.7 	1.9e-08 	21.8	
STEVOR1.hmm 	PfGB4_000013300 	1.1e-08 	22.6 	1.7e-06 	15.4	
RIFIN-A.hmm 	PfGB4_000013300 	5.9e-150 	487.4 	6.6e-150 	487.3	
RIFIN-B.hmm 	PfGB4_000013300 	7.4e-100 	322.4 	1.1e-53 	170.7	
STEVOR1.hmm 	PfGB4_000013400 	1.6e-11 	31.9 	2.8e-08 	21.3	
RIFIN-B.hmm 	PfGB4_000013400 	2.1e-148 	481.9 	2.3e-148 	481.8	
RIFIN-A.hmm 	PfGB4_000013400 	3e-98 	317.4 	1.1e-62 	200.5	
RIFIN-A.hmm 	PfGB4_000013500 	1.5e-125 	407.2 	1.6e-125 	407.0	
STEVOR1.hmm 	PfGB4_000013500 	1.7e-08 	22.0 	3.7e-07 	17.6	
RIFIN-B.hmm 	PfGB4_000013500 	2.1e-89 	288.1 	2e-48 	153.4	
RIFIN-A.hmm 	PfGB4_000013600 	3.1e-89 	287.8 	1.6e-51 	163.8	
RIFIN-B.hmm 	PfGB4_000013600 	3.9e-140 	454.8 	4.4e-140 	454.6	
STEVOR1.hmm 	PfGB4_000013600 	5.5e-15 	43.3 	5.5e-10 	26.9	
STEVOR1.hmm 	PfGB4_000013700 	2.1e-14 	41.4 	4.3e-12 	33.8	
RIFIN-B.hmm 	PfGB4_000013700 	3.6e-91 	293.8 	1.5e-48 	153.8	
RIFIN-A.hmm 	PfGB4_000013700 	5.8e-140 	454.6 	6.6e-140 	454.4	
STEVOR1.hmm 	PfGB4_000014800 	1.2e-07 	19.2 	1.2e-07 	19.2	
RIFIN-A.hmm 	PfGB4_000014800 	1.6e-81 	262.4 	1e-61 	197.3	
RIFIN-B.hmm 	PfGB4_000014800 	1.8e-105 	340.8 	2e-105 	340.7	
STEVOR1.hmm 	PfGB4_000015000 	2.8e-15 	44.2 	1.2e-09 	25.8	
RIFIN-B.hmm 	PfGB4_000015000 	3.3e-104 	336.7 	1.3e-57 	183.6	
RIFIN-A.hmm 	PfGB4_000015000 	4.8e-147 	477.9 	5.3e-147 	477.7	
RIFIN-B.hmm 	PfGB4_000015200 	2.1e-135 	439.3 	2.3e-135 	439.1	
RIFIN-A.hmm 	PfGB4_000015200 	8.1e-111 	358.7 	4.2e-64 	205.1	
STEVOR1.hmm 	PfGB4_000015200 	9.7e-10 	26.1 	3.1e-07 	17.8	
STEVOR1.hmm 	PfGB4_000015300 	1.9e-09 	25.1 	2.1e-07 	18.4	
RIFIN-A.hmm 	PfGB4_000015300 	2.8e-149 	485.2 	3.1e-149 	485.0	
RIFIN-B.hmm 	PfGB4_000015300 	6.2e-98 	316.1 	2.1e-53 	169.8	
STEVOR1.hmm 	PfGB4_000015400 	2.3e-10 	28.1 	2.3e-07 	18.2	
RIFIN-B.hmm 	PfGB4_000015400 	3.1e-132 	428.8 	3.5e-132 	428.6	
RIFIN-A.hmm 	PfGB4_000015400 	3.2e-104 	337.0 	4.1e-62 	198.6	
STEVOR1.hmm 	PfGB4_000015500 	1.1e-13 	39.0 	1.2e-09 	25.7	
RIFIN-B.hmm 	PfGB4_000015500 	1.2e-139 	453.1 	1.4e-139 	452.9	
RIFIN-A.hmm 	PfGB4_000015500 	1.7e-96 	311.6 	4.7e-61 	195.1	
RIFIN-A.hmm 	PfGB4_000015600 	1e-151 	493.2 	1.1e-151 	493.1	
RIFIN-B.hmm 	PfGB4_000015600 	3.4e-104 	336.7 	8.9e-59 	187.4	
STEVOR1.hmm 	PfGB4_000015600 	9.1e-15 	42.6 	1.8e-09 	25.2	
STEVOR1.hmm 	PfGB4_000015700 	1.3e-17 	52.0 	1.2e-12 	35.6	
RIFIN-A.hmm 	PfGB4_000015700 	1.8e-99 	321.4 	1.4e-61 	196.8	
RIFIN-B.hmm 	PfGB4_000015700 	7.4e-139 	450.6 	8.4e-139 	450.4	
STEVOR1.hmm 	PfGB4_000015800 	1.5e-12 	35.3 	3.8e-08 	20.8	
RIFIN-A.hmm 	PfGB4_000015800 	1.6e-146 	476.1 	1.8e-146 	475.9	
RIFIN-B.hmm 	PfGB4_000015800 	4e-102 	329.9 	8.5e-58 	184.2	
RIFIN-A.hmm 	PfGB4_000016000 	3.5e-144 	468.5 	3.9e-144 	468.3	
RIFIN-B.hmm 	PfGB4_000016000 	6.2e-100 	322.7 	1.4e-55 	176.9	
STEVOR1.hmm 	PfGB4_000016000 	9e-11 	29.5 	5.2e-08 	20.4	
RIFIN-B.hmm 	PfGB4_000016700 	1.1e-107 	348.1 	2.9e-58 	185.7	
STEVOR1.hmm 	PfGB4_000016700 	4e-14 	40.5 	1.4e-08 	22.3	
RIFIN-A.hmm 	PfGB4_000016700 	5.3e-157 	510.6 	5.9e-157 	510.4	
STEVOR1.hmm 	PfGB4_000016800 	3.7e-14 	40.6 	3.5e-09 	24.2	
RIFIN-B.hmm 	PfGB4_000016800 	6.5e-141 	457.3 	7.3e-141 	457.2	
RIFIN-A.hmm 	PfGB4_000016800 	7e-102 	329.3 	2.1e-63 	202.8	
STEVOR1.hmm 	PfGB4_000017000 	1.3e-12 	35.5 	1.6e-09 	25.3	
RIFIN-A.hmm 	PfGB4_000017000 	1.6e-127 	413.7 	2e-127 	413.3	
RIFIN-B.hmm 	PfGB4_000017000 	2.8e-83 	268.0 	6.8e-50 	158.2	
RIFIN-B.hmm 	PfGB4_000017100 	1.1e-09 	26.1 	3.7e-07 	17.8	
STEVOR1.hmm 	PfGB4_000017100 	4.1e-142 	460.7 	5.3e-142 	460.4	
RIFIN-A.hmm 	PfGB4_000017100 	8.3e-09 	23.3 	6.2e-07 	17.1	
RIFIN-B.hmm 	PfGB4_000017200 	1.1e-99 	321.8 	7.5e-54 	171.2	
RIFIN-A.hmm 	PfGB4_000017200 	3e-146 	475.2 	3.4e-146 	475.1	
STEVOR1.hmm 	PfGB4_000017200 	9.1e-08 	19.6 	6.9e-07 	16.7	
RIFIN-B.hmm 	PfGB4_000017500 	2.5e-11 	31.5 	1e-09 	26.2	
STEVOR1.hmm 	PfGB4_000017500 	4e-166 	539.6 	4.5e-166 	539.4	
RIFIN-A.hmm 	PfGB4_000017500 	6.6e-10 	26.9 	1.6e-07 	19.0	
STEVOR1.hmm 	PfGB4_000017600 	1.8e-16 	48.2 	7.5e-10 	26.4	
RIFIN-B.hmm 	PfGB4_000017600 	4.5e-146 	474.3 	5.1e-146 	474.1	
RIFIN-A.hmm 	PfGB4_000017600 	4.8e-90 	290.4 	1.8e-52 	166.8	
STEVOR1.hmm 	PfGB4_000017700 	1.5e-12 	35.3 	3.2e-10 	27.6	
RIFIN-A.hmm 	PfGB4_000017700 	4.2e-138 	448.5 	4.7e-138 	448.3	
RIFIN-B.hmm 	PfGB4_000017700 	4.6e-104 	336.2 	6.3e-60 	191.2	
STEVOR1.hmm 	PfGB4_000018700 	6.7e-07 	16.7 	1.1e-05 	12.7	
RIFIN-B.hmm 	PfGB4_000018700 	7.2e-101 	325.7 	9e-56 	177.5	
RIFIN-A.hmm 	PfGB4_000018700 	7.5e-149 	483.8 	8.4e-149 	483.6	
STEVOR1.hmm 	PfGB4_000019600 	1.3e-11 	32.2 	4.7e-08 	20.5	
RIFIN-A.hmm 	PfGB4_000019600 	5.5e-160 	520.4 	6.2e-160 	520.2	
RIFIN-B.hmm 	PfGB4_000019600 	9.2e-112 	361.5 	5.1e-65 	207.9	
RIFIN-B.hmm 	PfGB4_010005600 	1.2e-100 	325.1 	2e-52 	166.6	
RIFIN-A.hmm 	PfGB4_010005600 	1.4e-145 	473.0 	1.6e-145 	472.8	
STEVOR1.hmm 	PfGB4_010005600 	4.7e-11 	30.4 	4.9e-08 	20.4	
RIFIN-A.hmm 	PfGB4_010005700 	1.5e-143 	466.4 	1.7e-143 	466.2	
RIFIN-B.hmm 	PfGB4_010005700 	1.6e-96 	311.5 	2.4e-53 	169.6	
STEVOR1.hmm 	PfGB4_010005700 	6.3e-07 	16.8 	2.1e-06 	15.1	
RIFIN-B.hmm 	PfGB4_010006000 	5.9e-14 	40.1 	1.8e-12 	35.3	
STEVOR1.hmm 	PfGB4_010006000 	7.9e-161 	522.2 	1e-160 	521.8	
RIFIN-A.hmm 	PfGB4_010006000 	8.3e-12 	33.1 	8.3e-10 	26.6	
RIFIN-B.hmm 	PfGB4_010006100 	3e-140 	455.1 	3.4e-140 	455.0	
RIFIN-A.hmm 	PfGB4_010006100 	6.4e-99 	319.6 	3.3e-54 	172.6	
STEVOR1.hmm 	PfGB4_010006100 	9.9e-13 	35.9 	7.3e-10 	26.5	
STEVOR1.hmm 	PfGB4_010006200 	1.6e-15 	45.0 	2e-11 	31.6	
RIFIN-B.hmm 	PfGB4_010006200 	3.9e-152 	494.2 	4.4e-152 	494.0	
RIFIN-A.hmm 	PfGB4_010006200 	5.6e-101 	326.4 	8.6e-61 	194.2	
STEVOR1.hmm 	PfGB4_010018300 	1.2e-14 	42.1 	3.1e-09 	24.4	
RIFIN-B.hmm 	PfGB4_010018300 	1.9e-133 	432.8 	2.1e-133 	432.7	
RIFIN-A.hmm 	PfGB4_010018300 	3e-92 	297.7 	4.3e-54 	172.2	
RIFIN-B.hmm 	PfGB4_010018900 	1.2e-103 	334.8 	1.2e-57 	183.7	
RIFIN-A.hmm 	PfGB4_010018900 	1.3e-149 	486.3 	1.4e-149 	486.2	
STEVOR1.hmm 	PfGB4_010018900 	1.8e-11 	31.7 	5.6e-08 	20.3	
STEVOR1.hmm 	PfGB4_010019000 	2.4e-12 	34.6 	8.4e-08 	19.7	
RIFIN-A.hmm 	PfGB4_010019000 	5.7e-156 	507.2 	6.4e-156 	507.0	
RIFIN-B.hmm 	PfGB4_010019000 	5.8e-112 	362.2 	1.5e-61 	196.6	
RIFIN-B.hmm 	PfGB4_010019300 	2.9e-103 	333.6 	1.7e-54 	173.3	
STEVOR1.hmm 	PfGB4_010019300 	2e-07 	18.4 	2.3e-06 	15.0	
RIFIN-A.hmm 	PfGB4_010019300 	3.6e-146 	475.0 	4e-146 	474.8	
STEVOR1.hmm 	PfGB4_020024100 	1.6e-107 	347.2 	1.7e-107 	347.0	
RIFIN-B.hmm 	PfGB4_020024100 	3.4e-12 	34.3 	3.4e-09 	24.5	
RIFIN-A.hmm 	PfGB4_020024100 	7.9e-12 	33.2 	2.2e-09 	25.2	
RIFIN-B.hmm 	PfGB4_030005900 	2.1e-97 	314.3 	2.9e-53 	169.3	
STEVOR1.hmm 	PfGB4_030005900 	6.1e-08 	20.1 	4e-07 	17.5	
RIFIN-A.hmm 	PfGB4_030005900 	6.8e-145 	470.8 	7.6e-145 	470.6	
RIFIN-A.hmm 	PfGB4_030006100 	1.5e-146 	476.2 	1.7e-146 	476.0	
RIFIN-B.hmm 	PfGB4_030006100 	1e-103 	335.1 	1.1e-57 	183.9	
STEVOR1.hmm 	PfGB4_030006100 	8.8e-12 	32.8 	2.6e-08 	21.4	
RIFIN-A.hmm 	PfGB4_030006200 	1.9e-97 	314.8 	2.4e-60 	192.7	
STEVOR1.hmm 	PfGB4_030006200 	2.4e-13 	37.9 	3.9e-09 	24.1	
RIFIN-B.hmm 	PfGB4_030006200 	3e-141 	458.4 	3.5e-141 	458.2	
RIFIN-B.hmm 	PfGB4_030006400 	1.4e-102 	331.3 	5.3e-57 	181.6	
STEVOR1.hmm 	PfGB4_030006400 	3.9e-13 	37.2 	1.7e-08 	22.0	
RIFIN-A.hmm 	PfGB4_030006400 	4.9e-142 	461.4 	5.4e-142 	461.2	
STEVOR1.hmm 	PfGB4_030006500 	1e-16 	49.0 	7.4e-12 	33.0	
RIFIN-B.hmm 	PfGB4_030006500 	3.4e-102 	330.1 	1e-56 	180.6	
RIFIN-A.hmm 	PfGB4_030006500 	4.4e-147 	478.0 	5e-147 	477.8	
RIFIN-A.hmm 	PfGB4_030006700 	6.8e-97 	312.9 	9.5e-97 	312.5	
RIFIN-B.hmm 	PfGB4_030006700 	8.8e-59 	187.4 	2.5e-38 	120.2	
STEVOR1.hmm 	PfGB4_030006700 	9.8e-08 	19.5 	9.8e-08 	19.5	
STEVOR1.hmm 	PfGB4_030006800 	1.7e-27 	84.3 	3.5e-27 	83.4	
RIFIN-B.hmm 	PfGB4_030006800 	5e-08 	20.6 	5e-08 	20.6	
STEVOR1.hmm 	PfGB4_030030100 	1.2e-12 	35.6 	7.8e-09 	23.1	
RIFIN-B.hmm 	PfGB4_030030100 	1.4e-99 	321.5 	3.9e-54 	172.2	
RIFIN-A.hmm 	PfGB4_030030100 	9e-140 	453.9 	1e-139 	453.8	
RIFIN-B.hmm 	PfGB4_030030200 	1.1e-98 	318.6 	4.9e-53 	168.5	
STEVOR1.hmm 	PfGB4_030030200 	1.3e-10 	29.0 	3.5e-07 	17.6	
RIFIN-A.hmm 	PfGB4_030030200 	3.3e-141 	458.7 	3.7e-141 	458.5	
STEVOR1.hmm 	PfGB4_030030300 	1.1e-13 	39.1 	6.6e-10 	26.6	
RIFIN-B.hmm 	PfGB4_030030300 	2.2e-134 	435.8 	2.5e-134 	435.7	
RIFIN-A.hmm 	PfGB4_030030300 	6.5e-89 	286.7 	2e-47 	150.2	
STEVOR1.hmm 	PfGB4_030030400 	2.4e-168 	546.9 	2.6e-168 	546.8	
RIFIN-A.hmm 	PfGB4_030030400 	3.4e-14 	41.0 	1.4e-11 	32.4	
RIFIN-B.hmm 	PfGB4_030030400 	6.5e-15 	43.3 	1.5e-12 	35.5	
RIFIN-B.hmm 	PfGB4_030030700 	1.8e-100 	324.4 	2.4e-54 	172.9	
RIFIN-A.hmm 	PfGB4_030030700 	1e-144 	470.2 	1.2e-144 	470.0	
STEVOR1.hmm 	PfGB4_030030700 	5e-12 	33.6 	5.4e-08 	20.3	
STEVOR1.hmm 	PfGB4_040005700 	4.5e-13 	37.0 	1.5e-08 	22.1	
RIFIN-A.hmm 	PfGB4_040005700 	6.1e-156 	507.1 	7.3e-156 	506.8	
RIFIN-B.hmm 	PfGB4_040005700 	9e-110 	355.0 	2e-62 	199.4	
RIFIN-A.hmm 	PfGB4_040005900 	1e-148 	483.4 	1.1e-148 	483.2	
RIFIN-B.hmm 	PfGB4_040005900 	2.4e-104 	337.2 	7.2e-60 	191.0	
STEVOR1.hmm 	PfGB4_040005900 	8.9e-12 	32.8 	1.4e-07 	18.9	
STEVOR1.hmm 	PfGB4_040006100 	1.1e-11 	32.4 	1e-08 	22.7	
RIFIN-B.hmm 	PfGB4_040006100 	2.1e-102 	330.8 	2.3e-53 	169.6	
RIFIN-A.hmm 	PfGB4_040006100 	3.1e-145 	471.9 	3.4e-145 	471.8	
RIFIN-A.hmm 	PfGB4_040006300 	1.3e-145 	473.1 	1.5e-145 	472.9	
STEVOR1.hmm 	PfGB4_040006300 	3.6e-13 	37.3 	2.2e-08 	21.6	
RIFIN-B.hmm 	PfGB4_040006300 	4.8e-101 	326.3 	1.5e-57 	183.3	
RIFIN-B.hmm 	PfGB4_040006400 	1.1e-98 	318.6 	2.3e-56 	179.5	
RIFIN-A.hmm 	PfGB4_040006400 	1.7e-140 	456.4 	1.9e-140 	456.2	
STEVOR1.hmm 	PfGB4_040006400 	2.5e-15 	44.4 	2.2e-10 	28.2	
RIFIN-B.hmm 	PfGB4_040006700 	4e-44 	139.3 	2.1e-30 	94.2	
RIFIN-A.hmm 	PfGB4_040006700 	6.8e-53 	168.2 	9.4e-53 	167.8	
STEVOR1.hmm 	PfGB4_040006700 	9.6e-09 	22.8 	2.6e-08 	21.4	
STEVOR1.hmm 	PfGB4_040007600 	2.7e-13 	37.7 	3e-10 	27.7	
RIFIN-A.hmm 	PfGB4_040007600 	6.3e-116 	375.5 	2.7e-115 	373.5	
RIFIN-B.hmm 	PfGB4_040007600 	8.6e-89 	286.0 	1.8e-49 	156.8	
STEVOR1.hmm 	PfGB4_040007800 	0.00023 	8.4 	0.084 	-0.0	
RIFIN-A.hmm 	PfGB4_040007800 	1.1e-97 	315.6 	2.2e-69 	222.4	
RIFIN-B.hmm 	PfGB4_040007800 	2.8e-73 	235.1 	3.5e-41 	129.6	
RIFIN-B.hmm 	PfGB4_040018300 	3.4e-21 	63.9 	3.9e-15 	44.0	
RIFIN-A.hmm 	PfGB4_040018300 	5.9e-46 	145.4 	9.6e-46 	144.7	
RIFIN-B.hmm 	PfGB4_040018500 	1.1e-112 	364.6 	2e-61 	196.1	
RIFIN-A.hmm 	PfGB4_040018500 	1.1e-151 	493.1 	1.3e-151 	492.9	
STEVOR1.hmm 	PfGB4_040018500 	1.8e-13 	38.3 	1.3e-09 	25.7	
STEVOR1.hmm 	PfGB4_040030300 	4.5e-164 	532.9 	5e-164 	532.7	
RIFIN-B.hmm 	PfGB4_040030300 	4.6e-14 	40.5 	2e-10 	28.5	
RIFIN-A.hmm 	PfGB4_040030300 	7.4e-12 	33.3 	3.9e-10 	27.7	
STEVOR1.hmm 	PfGB4_040030400 	5e-17 	50.0 	1.1e-12 	35.7	
RIFIN-B.hmm 	PfGB4_040030400 	8.1e-91 	292.7 	5.7e-51 	161.8	
RIFIN-A.hmm 	PfGB4_040030400 	8e-125 	404.8 	9e-125 	404.6	
RIFIN-A.hmm 	PfGB4_040030500 	3.8e-132 	428.9 	4.3e-132 	428.7	
RIFIN-B.hmm 	PfGB4_040030500 	5.5e-91 	293.3 	2.1e-47 	150.0	
STEVOR1.hmm 	PfGB4_040030500 	9.9e-15 	42.4 	5.9e-10 	26.8	
RIFIN-A.hmm 	PfGB4_040030700 	1.2e-98 	318.7 	1.9e-60 	193.1	
STEVOR1.hmm 	PfGB4_040030700 	2e-11 	31.6 	2e-08 	21.7	
RIFIN-B.hmm 	PfGB4_040030700 	6.2e-138 	447.5 	7.1e-138 	447.3	
STEVOR1.hmm 	PfGB4_040030800 	3.8e-13 	37.3 	5e-08 	20.4	
RIFIN-A.hmm 	PfGB4_040030800 	8.9e-158 	513.2 	1e-157 	513.0	
RIFIN-B.hmm 	PfGB4_040030800 	9e-114 	368.1 	4.6e-66 	211.4	
STEVOR1.hmm 	PfGB4_040030900 	1.2e-11 	32.3 	7.3e-08 	19.9	
RIFIN-B.hmm 	PfGB4_040030900 	3.4e-123 	399.1 	3.9e-123 	398.9	
RIFIN-A.hmm 	PfGB4_040030900 	9.9e-97 	312.4 	1e-56 	180.8	
STEVOR1.hmm 	PfGB4_040031000 	2e-11 	31.6 	1.1e-07 	19.4	
RIFIN-A.hmm 	PfGB4_040031000 	4.2e-99 	320.2 	1.7e-55 	176.8	
RIFIN-B.hmm 	PfGB4_040031000 	9.9e-124 	400.9 	1.1e-123 	400.7	
RIFIN-A.hmm 	PfGB4_040031100 	1.6e-102 	331.5 	1.8e-62 	199.8	
RIFIN-B.hmm 	PfGB4_040031100 	6.7e-150 	486.9 	7.6e-150 	486.7	
STEVOR1.hmm 	PfGB4_040031100 	6.8e-11 	29.8 	1.1e-07 	19.3	
RIFIN-A.hmm 	PfGB4_040031200 	2.7e-148 	482.0 	3e-148 	481.8	
STEVOR1.hmm 	PfGB4_040031200 	7.6e-13 	36.3 	2.4e-08 	21.5	
RIFIN-B.hmm 	PfGB4_040031200 	9.7e-99 	318.7 	6.8e-54 	171.4	
RIFIN-A.hmm 	PfGB4_040031400 	2.9e-158 	514.7 	3.3e-158 	514.6	
RIFIN-B.hmm 	PfGB4_040031400 	6.4e-108 	348.9 	1.2e-62 	200.1	
STEVOR1.hmm 	PfGB4_040031400 	7e-13 	36.4 	5.6e-09 	23.6	
RIFIN-B.hmm 	PfGB4_050005500 	1e-101 	328.6 	4.5e-59 	188.4	
STEVOR1.hmm 	PfGB4_050005500 	3.4e-14 	40.7 	4.8e-09 	23.8	
RIFIN-A.hmm 	PfGB4_050005500 	8.5e-149 	483.6 	9.6e-149 	483.5	
RIFIN-B.hmm 	PfGB4_050005600 	2.6e-125 	406.0 	3e-125 	405.8	
STEVOR1.hmm 	PfGB4_050005600 	2.7e-10 	27.9 	5.7e-08 	20.2	
RIFIN-A.hmm 	PfGB4_050005600 	8.3e-89 	286.4 	6.6e-56 	178.2	
RIFIN-B.hmm 	PfGB4_050005700 	4.2e-106 	342.9 	2.8e-62 	198.9	
RIFIN-A.hmm 	PfGB4_050005700 	4.9e-155 	504.2 	5.4e-155 	504.0	
STEVOR1.hmm 	PfGB4_050005700 	6.3e-10 	26.7 	9.1e-09 	22.9	
RIFIN-A.hmm 	PfGB4_050005900 	2.7e-12 	34.8 	2.3e-08 	21.8	
RIFIN-B.hmm 	PfGB4_050005900 	3.9e-14 	40.7 	2.3e-09 	25.0	
STEVOR1.hmm 	PfGB4_050005900 	4.3e-170 	552.7 	4.8e-170 	552.5	
RIFIN-B.hmm 	PfGB4_050006000 	1.1e-134 	436.9 	1.2e-134 	436.7	
RIFIN-A.hmm 	PfGB4_050006000 	2.2e-95 	308.0 	8.4e-52 	164.7	
STEVOR1.hmm 	PfGB4_050006000 	2e-16 	48.0 	3.4e-10 	27.5	
STEVOR1.hmm 	PfGB4_050038400 	1.1e-18 	55.4 	7.3e-13 	36.3	
RIFIN-B.hmm 	PfGB4_050038400 	3.4e-101 	326.8 	2.1e-53 	169.8	
RIFIN-A.hmm 	PfGB4_050038400 	5.9e-136 	441.4 	6.6e-136 	441.2	
