	Genome	Gene	Type	Cluster	Occupancy
60	3D7	PF3D7_0701100	RIFIN-A	PF3D7_0701100	4
61	3D7	PF3D7_0701800	RIFIN-A	PF3D7_0701800	15
62	3D7	PF3D7_0713000	RIFIN-A	PF3D7_0713000	14
63	3D7	PF3D7_0732200	RIFIN-A	PF3D7_0732200	2
64	3D7	PF3D7_0732300	RIFIN-A	PF3D7_0732300	2
65	3D7	PF3D7_0732400	RIFIN-A	PF3D7_0732400	7
66	3D7	PF3D7_0732500	RIFIN-A	PF3D7_0732500	2
67	3D7	PF3D7_0732700	RIFIN-B	PF3D7_0732700	2
68	3D7	PF3D7_0732900	RIFIN-A	PF3D7_0732900	2
69	3D7	PF3D7_0800400	RIFIN-A	PF3D7_0800400	1
70	3D7	PF3D7_0800500	RIFIN-A	PF3D7_0800500	3
71	3D7	PF3D7_0808800	RIFIN-A	PF3D7_0808800	5
72	3D7	PF3D7_0808900	RIFIN-A	PF3D7_0808900	4
73	3D7	PF3D7_0832500	RIFIN-A	PF3D7_0832500	2
74	3D7	PF3D7_0832800	RIFIN-B	PF3D7_0832800	4
75	3D7	PF3D7_0833000	RIFIN-A	PF3D7_0833000	3
76	3D7	PF3D7_0833100	RIFIN-A	PF3D7_0833100	3
77	3D7	PF3D7_0833200	RIFIN-B	PF3D7_0833200	2
78	3D7	PF3D7_0833400	RIFIN-A	PF3D7_0833400	6
79	3D7	PF3D7_0900200	RIFIN-A	PF3D7_0900200	8
80	3D7	PF3D7_0900300	RIFIN-B	PF3D7_0900300	9
81	3D7	PF3D7_0900400	RIFIN-A	PF3D7_0900400	6
82	3D7	PF3D7_0900500	RIFIN-B	PF3D7_0900500	2
83	3D7	PF3D7_0900600	RIFIN-A	PF3D7_0900600	2
84	3D7	PF3D7_0900700	RIFIN-A	PF3D7_0900700	2
85	3D7	PF3D7_0901000	RIFIN-B	PF3D7_0901000	2
86	3D7	PF3D7_0901100	RIFIN-A	PF3D7_0901100	2
87	3D7	PF3D7_0901300	RIFIN-A	PF3D7_0901300	2
88	3D7	PF3D7_0901400	RIFIN-A	PF3D7_0901400	3
89	3D7	PF3D7_0901500	RIFIN-A	PF3D7_0901500	3
90	3D7	PF3D7_0937300	RIFIN-A	PF3D7_0937300	4
91	3D7	PF3D7_0937400	RIFIN-B	PF3D7_0937400	4
92	3D7	PF3D7_0937500	RIFIN-A	PF3D7_0937500	3
93	3D7	PF3D7_0937700	RIFIN-A	PF3D7_0937700	6
94	3D7	PF3D7_1000200	RIFIN-A	PF3D7_1000200	3
95	3D7	PF3D7_1000300	RIFIN-B	PF3D7_1000300	2
96	3D7	PF3D7_1000400	RIFIN-A	PF3D7_1000400	2
97	3D7	PF3D7_1000500	RIFIN-A	PF3D7_1000500	4
98	3D7	PF3D7_1000600	RIFIN-B	PF3D7_1000600	8
99	3D7	PF3D7_1040000	RIFIN-A	PF3D7_1040000	4
100	3D7	PF3D7_1040100	RIFIN-B	PF3D7_1040100	4
101	3D7	PF3D7_1040300	RIFIN-A	PF3D7_1040300	2
102	3D7	PF3D7_1040400	RIFIN-B	PF3D7_1040400	2
103	3D7	PF3D7_1040500	RIFIN-A	PF3D7_1040500	2
104	3D7	PF3D7_1040600	RIFIN-B	PF3D7_1040600	3
105	3D7	PF3D7_1040700	RIFIN-A	PF3D7_1040700	3
106	3D7	PF3D7_1040800	RIFIN-B	PF3D7_1040800	3
107	3D7	PF3D7_1040900	RIFIN-B	PF3D7_1040900	2
108	3D7	PF3D7_1041000	RIFIN-A	PF3D7_1041000	2
109	3D7	PF3D7_1041100	RIFIN-B	PF3D7_1041100	2
110	3D7	PF3D7_1041200	RIFIN-A	PF3D7_1041200	2
111	3D7	PF3D7_1100300	RIFIN-A	PF3D7_1100300	3
112	3D7	PF3D7_1100400	RIFIN-A	PF3D7_1100400	2
113	3D7	PF3D7_1100500	RIFIN-A	PF3D7_1100500	2
114	3D7	PF3D7_1101100	RIFIN-A	PF3D7_1101100	4
115	3D7	PF3D7_1101200	RIFIN-B	PF3D7_1101200	1
116	3D7	PF3D7_1101300	RIFIN-A	PF3D7_1101300	1
117	3D7	PF3D7_1149800	RIFIN-B	PF3D7_1149800	6
118	3D7	PF3D7_1150000	RIFIN-A	PF3D7_1150000	2
119	3D7	PF3D7_1150200	RIFIN-A	PF3D7_1150200	3
120	3D7	PF3D7_1150300	RIFIN-A	PF3D7_1150300	3
121	3D7	PF3D7_1200200	RIFIN-A	PF3D7_1200200	3
122	3D7	PF3D7_1200300	RIFIN-B	PF3D7_1200300	3
123	3D7	PF3D7_1200500	RIFIN-A	PF3D7_1200500	3
124	3D7	PF3D7_1253700	RIFIN-A	PF3D7_1253700	13
125	3D7	PF3D7_1254000	RIFIN-B	PF3D7_1254000	3
126	3D7	PF3D7_1254200	RIFIN-A	PF3D7_1254200	3
127	3D7	PF3D7_1254400	RIFIN-A	PF3D7_1254400	2
128	3D7	PF3D7_1254500	RIFIN-B	PF3D7_1254500	4
129	3D7	PF3D7_1254700	RIFIN-A	PF3D7_1254700	5
130	3D7	PF3D7_1254800	RIFIN-A	PF3D7_1254800	5
131	3D7	PF3D7_1255000	RIFIN-B	PF3D7_1255000	2
132	3D7	PF3D7_1255100	RIFIN-A	PF3D7_1255100	3
133	3D7	PF3D7_1300200	RIFIN-A	PF3D7_1300200	2
134	3D7	PF3D7_1300400	RIFIN-A	PF3D7_1300400	16
135	3D7	PF3D7_1300500	RIFIN-A	PF3D7_1300500	3
136	3D7	PF3D7_1300600	RIFIN-B	PF3D7_1300600	2
137	3D7	PF3D7_1300700	RIFIN-A	PF3D7_1300700	2
138	3D7	PF3D7_1372600	RIFIN-B	PF3D7_1372600	15
139	3D7	PF3D7_1372700	RIFIN-A	PF3D7_1372700	3
140	3D7	PF3D7_1373000	RIFIN-A	PF3D7_1373000	8
141	3D7	PF3D7_1373100	RIFIN-A	PF3D7_1373100	2
142	3D7	PF3D7_1373300	RIFIN-B	PF3D7_1373300	1
143	3D7	PF3D7_1373400	RIFIN-A	PF3D7_1373400	3
144	3D7	PF3D7_1400200	RIFIN-A	PF3D7_1400200	2
145	3D7	PF3D7_1400300	RIFIN-B	PF3D7_1400300	2
146	3D7	PF3D7_1400400	RIFIN-A	PF3D7_1400400	2
147	3D7	PF3D7_1400500	RIFIN-B	PF3D7_1400500	2
148	3D7	PF3D7_1400600	RIFIN-A	PF3D7_1400600	3
149	3D7	PF3D7_1400800	RIFIN-B	PF3D7_1400800	2
150	3D7	PF3D7_1479400	RIFIN-B	PF3D7_1479400	3
151	3D7	PF3D7_1479600	RIFIN-B	PF3D7_1479600	2
152	3D7	PF3D7_1479700	RIFIN-A	PF3D7_1479700	2
153	3D7	PF3D7_1479800	RIFIN-B	PF3D7_1479800	2
154	3D7	PF3D7_1480000	RIFIN-A	PF3D7_1480000	2
155	7G8-2019	Pf7G8-2_000006400	RIFIN-A	Pf7G8-2_000006400	2
156	7G8-2019	Pf7G8-2_000035400	RIFIN-A	Pf7G8-2_000035400	2
157	7G8-2019	Pf7G8-2_000035600	RIFIN-A	PfDd2_010019300	6
158	7G8-2019	Pf7G8-2_000035800	RIFIN-A	PfDd2_140083700	3
159	7G8-2019	Pf7G8-2_000035900	RIFIN-A	Pf7G8-2_000035900	2
160	7G8-2019	Pf7G8-2_000036000	RIFIN-B	Pf7G8-2_000036000	6
161	7G8-2019	Pf7G8-2_000048300	RIFIN-B	PF3D7_0114700	16
162	7G8-2019	Pf7G8-2_000049200	RIFIN-B	Pf7G8-2_000049200	3
163	7G8-2019	Pf7G8-2_000049300	RIFIN-A	Pf7G8-2_000049300	9
164	7G8-2019	Pf7G8-2_000069800	RIFIN-A	PfDd2_100045800	8
165	7G8-2019	Pf7G8-2_000069900	RIFIN-A	PfDd2_130078300	4
166	7G8-2019	Pf7G8-2_000070100	RIFIN-B	Pf7G8-2_000070100	2
167	7G8-2019	Pf7G8-2_000093800	RIFIN-A	Pf7G8-2_000093800	2
168	7G8-2019	Pf7G8-2_000094100	RIFIN-A	Pf7G8-2_000094100	6
169	7G8-2019	Pf7G8-2_000094200	RIFIN-A	Pf7G8-2_000094200	2
170	7G8-2019	Pf7G8-2_000094500	RIFIN-A	Pf7G8-2_000094500	2
171	7G8-2019	Pf7G8-2_000095800	RIFIN-A	PF3D7_0402500	16
172	7G8-2019	Pf7G8-2_000106000	RIFIN-A	PF3D7_0413200	10
173	7G8-2019	Pf7G8-2_000106100	RIFIN-A	PF3D7_0413300	10
174	7G8-2019	Pf7G8-2_000113700	RIFIN-A	PF3D7_0421500	12
175	7G8-2019	Pf7G8-2_000117900	RIFIN-A	Pf7G8-2_000117900	6
176	7G8-2019	Pf7G8-2_000118000	RIFIN-A	Pf7G8-2_000118000	2
177	7G8-2019	Pf7G8-2_000118100	RIFIN-A	PfDd2_060005500	4
178	7G8-2019	Pf7G8-2_000118200	RIFIN-A	Pf7G8-2_000118200	2
179	7G8-2019	Pf7G8-2_000118500	RIFIN-A	Pf7G8-2_000118500	2
180	7G8-2019	Pf7G8-2_000119300	RIFIN-A	Pf7G8-2_000119300	3
181	7G8-2019	Pf7G8-2_000119500	RIFIN-A	Pf7G8-2_000119500	3
182	7G8-2019	Pf7G8-2_000119600	RIFIN-A	Pf7G8-2_000119600	2
183	7G8-2019	Pf7G8-2_000119700	RIFIN-B	Pf7G8-2_000119700	3
184	7G8-2019	Pf7G8-2_000119800	RIFIN-A	Pf7G8-2_000119800	2
185	7G8-2019	Pf7G8-2_000119900	RIFIN-A	Pf7G8-2_000119900	2
186	7G8-2019	Pf7G8-2_000152100	RIFIN-A	Pf7G8-2_000152100	2
187	7G8-2019	Pf7G8-2_000152200	RIFIN-A	PF3D7_1300400	16
188	7G8-2019	Pf7G8-2_000152400	RIFIN-A	Pf7G8-2_000152400	2
189	7G8-2019	Pf7G8-2_000153000	RIFIN-A	Pf7G8-2_000153000	2
190	7G8-2019	Pf7G8-2_000183500	RIFIN-A	Pf7G8-2_000183500	4
191	7G8-2019	Pf7G8-2_000183800	RIFIN-B	Pf7G8-2_000183800	1
192	7G8-2019	Pf7G8-2_000184300	RIFIN-A	Pf7G8-2_000184300	3
193	7G8-2019	Pf7G8-2_000184400	RIFIN-B	Pf7G8-2_000184400	3
194	7G8-2019	Pf7G8-2_000184700	RIFIN-A	Pf7G8-2_000184700	3
195	7G8-2019	Pf7G8-2_000185300	RIFIN-A	PfDd2_040031100	3
196	7G8-2019	Pf7G8-2_000185400	RIFIN-B	Pf7G8-2_000185400	2
197	7G8-2019	Pf7G8-2_000185500	RIFIN-A	PfDd2_140005000	4
198	7G8-2019	Pf7G8-2_000185800	RIFIN-A	Pf7G8-2_000185800	2
199	7G8-2019	Pf7G8-2_000186100	RIFIN-A	PF3D7_0701800	15
200	7G8-2019	Pf7G8-2_000196300	RIFIN-A	Pf7G8-2_000196300	7
201	7G8-2019	Pf7G8-2_000196400	RIFIN-A	Pf7G8-2_000196400	7
202	7G8-2019	Pf7G8-2_000196900	RIFIN-A	PF3D7_0713000	14
203	7G8-2019	Pf7G8-2_000215600	RIFIN-A	Pf7G8-2_000215600	2
204	7G8-2019	Pf7G8-2_000215700	RIFIN-A	Pf7G8-2_000215700	9
205	7G8-2019	Pf7G8-2_000216100	RIFIN-A	Pf7G8-2_000216100	2
206	7G8-2019	Pf7G8-2_000216200	RIFIN-A	Pf7G8-2_000216200	3
207	7G8-2019	Pf7G8-2_000216300	RIFIN-B	Pf7G8-2_000216300	3
208	7G8-2019	Pf7G8-2_000247400	RIFIN-A	Pf7G8-2_000247400	2
209	7G8-2019	Pf7G8-2_000247800	RIFIN-B	Pf7G8-2_000247800	3
210	7G8-2019	Pf7G8-2_000247900	RIFIN-A	Pf7G8-2_000247900	2
211	7G8-2019	Pf7G8-2_000249000	RIFIN-A	Pf7G8-2_000249000	2
212	7G8-2019	Pf7G8-2_000249300	RIFIN-A	Pf7G8-2_000249300	2
213	7G8-2019	Pf7G8-2_000249700	RIFIN-A	PfDd2_090006900	6
214	7G8-2019	Pf7G8-2_000285500	RIFIN-B	PfDd2_090042600	9
215	7G8-2019	Pf7G8-2_000285600	RIFIN-A	PfDd2_090042700	6
216	7G8-2019	Pf7G8-2_000285700	RIFIN-A	Pf7G8-2_000285700	5
217	7G8-2019	Pf7G8-2_000286500	RIFIN-A	Pf7G8-2_000286500	2
218	7G8-2019	Pf7G8-2_000324700	RIFIN-A	Pf7G8-2_000324700	2
219	7G8-2019	Pf7G8-2_000324800	RIFIN-A	Pf7G8-2_000324800	3
220	7G8-2019	Pf7G8-2_000324900	RIFIN-B	Pf7G8-2_000324900	3
221	7G8-2019	Pf7G8-2_000325000	RIFIN-B	Pf7G8-2_000325000	6
222	7G8-2019	Pf7G8-2_000371900	RIFIN-A	PfDd2_040006200	9
223	7G8-2019	Pf7G8-2_000372200	RIFIN-A	PfDd2_040005800	4
224	7G8-2019	Pf7G8-2_000389900	RIFIN-A	Pf7G8-2_000389900	3
225	7G8-2019	Pf7G8-2_000390000	RIFIN-A	Pf7G8-2_000390000	3
226	7G8-2019	Pf7G8-2_000403200	RIFIN-B	Pf7G8-2_000403200	4
227	7G8-2019	Pf7G8-2_000403300	RIFIN-A	Pf7G8-2_000403300	4
228	7G8-2019	Pf7G8-2_000474500	RIFIN-A	PF3D7_1253700	13
229	7G8-2019	Pf7G8-2_000474900	RIFIN-A	Pf7G8-2_000474900	2
230	7G8-2019	Pf7G8-2_000475400	RIFIN-A	Pf7G8-2_000475400	2
231	7G8-2019	Pf7G8-2_000475500	RIFIN-A	Pf7G8-2_000475500	2
232	7G8-2019	Pf7G8-2_000475900	RIFIN-B	Pf7G8-2_000475900	2
233	7G8-2019	Pf7G8-2_000476000	RIFIN-B	PfDd2_140005200	5
234	7G8-2019	Pf7G8-2_000552600	RIFIN-B	Pf7G8-2_000552600	5
235	7G8-2019	Pf7G8-2_000552800	RIFIN-A	PfDd2_060036800	4
236	7G8	Pf7G8_010005500	RIFIN-A	Pf7G8-2_000035400	2
237	7G8	Pf7G8_010005700	RIFIN-A	PfDd2_010019300	6
238	7G8	Pf7G8_010005800	RIFIN-A	Pf7G8-2_000035700:pseudogene	2
239	7G8	Pf7G8_010005900	RIFIN-A	PfDd2_140083700	3
240	7G8	Pf7G8_010006000	RIFIN-A	Pf7G8-2_000035900	2
241	7G8	Pf7G8_010006100	RIFIN-B	Pf7G8-2_000036000	6
242	7G8	Pf7G8_010018600	RIFIN-B	PF3D7_0114700	16
243	7G8	Pf7G8_020005700	RIFIN-A	PfDd2_010005400	10
244	7G8	Pf7G8_020005800	RIFIN-B	Pf7G8-2_000049200	3
245	7G8	Pf7G8_020005900	RIFIN-A	Pf7G8-2_000049300	9
246	7G8	Pf7G8_020026600	RIFIN-A	Pf7G8_020026600	1
247	7G8	Pf7G8_020026700	RIFIN-B	Pf7G8_020026700	1
248	7G8	Pf7G8_020027000	RIFIN-A	Pf7G8-2_000183500	4
249	7G8	Pf7G8_030006000	RIFIN-A	PfDd2_100045800	8
250	7G8	Pf7G8_030006100	RIFIN-A	PfDd2_130078300	4
251	7G8	Pf7G8_030006300	RIFIN-B	Pf7G8-2_000070100	2
252	7G8	Pf7G8_030030300	RIFIN-A	Pf7G8-2_000093800	2
253	7G8	Pf7G8_030030500	RIFIN-B	PF3D7_0500400	6
254	7G8	Pf7G8_040005700	RIFIN-A	Pf7G8-2_000094100	6
255	7G8	Pf7G8_040005800	RIFIN-A	Pf7G8-2_000094200	2
256	7G8	Pf7G8_040005900	RIFIN-B	Pf7G8-2_000094300:pseudogene	3
257	7G8	Pf7G8_040006100	RIFIN-A	Pf7G8-2_000094500	2
258	7G8	Pf7G8_040006200	RIFIN-A	Pf7G8-2_000094600:pseudogene	2
259	7G8	Pf7G8_040007400	RIFIN-A	PF3D7_0402500	16
260	7G8	Pf7G8_040018000	RIFIN-A	PF3D7_0413200	10
261	7G8	Pf7G8_040018100	RIFIN-A	PF3D7_0413300	10
262	7G8	Pf7G8_040025800	RIFIN-A	PF3D7_0421500	12
263	7G8	Pf7G8_040030100	RIFIN-B	Pf7G8_040030100	1
264	7G8	Pf7G8_040030200	RIFIN-A	Pf7G8-2_000117900	6
265	7G8	Pf7G8_040030300	RIFIN-A	Pf7G8-2_000118000	2
266	7G8	Pf7G8_040030400	RIFIN-A	PfDd2_060005500	4
267	7G8	Pf7G8_040030500	RIFIN-A	Pf7G8-2_000118200	2
268	7G8	Pf7G8_040030700	RIFIN-A	Pf7G8-2_000118500	2
269	7G8	Pf7G8_050005400	RIFIN-A	Pf7G8-2_000119300	3
270	7G8	Pf7G8_050005600	RIFIN-A	Pf7G8-2_000119500	3
271	7G8	Pf7G8_050005700	RIFIN-A	Pf7G8-2_000119600	2
272	7G8	Pf7G8_050005800	RIFIN-B	Pf7G8-2_000119700	3
273	7G8	Pf7G8_050005900	RIFIN-A	Pf7G8-2_000119800	2
274	7G8	Pf7G8_050006000	RIFIN-A	Pf7G8-2_000119900	2
275	7G8	Pf7G8_050006100	RIFIN-B	Pf7G8-2_000120000:pseudogene	4
276	7G8	Pf7G8_050038000	RIFIN-A	Pf7G8-2_000152100	2
277	7G8	Pf7G8_050038100	RIFIN-A	PF3D7_1300400	16
278	7G8	Pf7G8_050038300	RIFIN-A	Pf7G8-2_000152400	2
279	7G8	Pf7G8_060005600	RIFIN-A	Pf7G8-2_000153000	2
280	7G8	Pf7G8_070005300	RIFIN-A	Pf7G8-2_000184300	3
281	7G8	Pf7G8_070005400	RIFIN-B	Pf7G8-2_000184400	3
282	7G8	Pf7G8_070005600	RIFIN-A	Pf7G8-2_000184600:pseudogene	5
283	7G8	Pf7G8_070005700	RIFIN-A	Pf7G8-2_000184700	3
284	7G8	Pf7G8_070006400	RIFIN-A	PfDd2_040031100	3
285	7G8	Pf7G8_070006500	RIFIN-B	Pf7G8-2_000185400	2
286	7G8	Pf7G8_070006600	RIFIN-A	PfDd2_140005000	4
287	7G8	Pf7G8_070006700	RIFIN-B	PfDd2_140005100	4
288	7G8	Pf7G8_070006800	RIFIN-B	Pf7G8-2_000185700:pseudogene	2
289	7G8	Pf7G8_070006900	RIFIN-A	Pf7G8-2_000185800	2
290	7G8	Pf7G8_070007100	RIFIN-B	Pf7G8-2_000186000:pseudogene	2
291	7G8	Pf7G8_070007200	RIFIN-A	PF3D7_0701800	15
292	7G8	Pf7G8_070017200	RIFIN-B	Pf7G8-2_000196000:pseudogene	5
293	7G8	Pf7G8_070017800	RIFIN-A	Pf7G8-2_000196300	7
294	7G8	Pf7G8_070017900	RIFIN-A	Pf7G8-2_000196400	7
295	7G8	Pf7G8_070018400	RIFIN-A	PF3D7_0713000	14
296	7G8	Pf7G8_070037100	RIFIN-A	Pf7G8-2_000215600	2
297	7G8	Pf7G8_070037200	RIFIN-A	Pf7G8-2_000215700	9
298	7G8	Pf7G8_080005500	RIFIN-A	Pf7G8-2_000216100	2
299	7G8	Pf7G8_080005600	RIFIN-A	Pf7G8-2_000216200	3
300	7G8	Pf7G8_080005700	RIFIN-B	Pf7G8-2_000216300	3
301	7G8	Pf7G8_080005800	RIFIN-A	Pf7G8-2_000216400:pseudogene	6
302	7G8	Pf7G8_080037500	RIFIN-A	Pf7G8-2_000247400	2
303	7G8	Pf7G8_080037600	RIFIN-A	Pf7G8-2_000247500:pseudogene	2
304	7G8	Pf7G8_080037900	RIFIN-B	Pf7G8-2_000247800	3
305	7G8	Pf7G8_080038000	RIFIN-A	Pf7G8-2_000247900	2
306	7G8	Pf7G8_080038200	RIFIN-A	Pf7G8-2_000248100:pseudogene	4
307	7G8	Pf7G8_090005700	RIFIN-A	Pf7G8-2_000249000	2
308	7G8	Pf7G8_090006000	RIFIN-A	Pf7G8-2_000249300	2
309	7G8	Pf7G8_090006100	RIFIN-B	Pf7G8-2_000249400:pseudogene	3
310	7G8	Pf7G8_090006400	RIFIN-A	PfDd2_090006900	6
311	7G8	Pf7G8_090042400	RIFIN-B	PfDd2_090042600	9
312	7G8	Pf7G8_090042500	RIFIN-A	PfDd2_090042700	6
313	7G8	Pf7G8_090042700	RIFIN-A	Pf7G8-2_000285700	5
314	7G8	Pf7G8_100005200	RIFIN-A	Pf7G8-2_000286500	2
315	7G8	Pf7G8_110005100	RIFIN-A	Pf7G8-2_000324700	2
316	7G8	Pf7G8_110005200	RIFIN-A	Pf7G8-2_000324800	3
317	7G8	Pf7G8_110005300	RIFIN-B	Pf7G8-2_000324900	3
318	7G8	Pf7G8_110052900	RIFIN-A	PfDd2_040006200	9
319	7G8	Pf7G8_110053400	RIFIN-A	Pf7G8-2_000372300:pseudogene	2
320	7G8	Pf7G8_110053500	RIFIN-B	Pf7G8-2_000372500:pseudogene	2
321	7G8	Pf7G8_120005500	RIFIN-A	Pf7G8-2_000006400	2
322	7G8	Pf7G8_120045900	RIFIN-A	Pf7G8-2_000389900	3
323	7G8	Pf7G8_120046000	RIFIN-A	Pf7G8-2_000390000	3
324	7G8	Pf7G8_120059600	RIFIN-B	PF3D7_1372600	15
325	7G8	Pf7G8_120059700	RIFIN-A	PfDd2_130077800	9
326	7G8	Pf7G8_120059800	RIFIN-B	Pf7G8-2_000403200	4
327	7G8	Pf7G8_120059900	RIFIN-A	Pf7G8-2_000403300	4
328	7G8	Pf7G8_130005000	RIFIN-A	Pf7G8-2_000403900:pseudogene	2
329	7G8	Pf7G8_130076600	RIFIN-A	PF3D7_1253700	13
330	7G8	Pf7G8_140005100	RIFIN-A	Pf7G8-2_000475100:pseudogene	2
331	7G8	Pf7G8_140005200	RIFIN-B	Pf7G8-2_000475200:pseudogene	2
332	7G8	Pf7G8_140005400	RIFIN-A	Pf7G8-2_000475400	2
333	7G8	Pf7G8_140005500	RIFIN-A	Pf7G8-2_000475500	2
334	7G8	Pf7G8_140005700	RIFIN-B	Pf7G8-2_000475700:pseudogene	2
335	7G8	Pf7G8_140005800	RIFIN-A	Pf7G8-2_000475800:pseudogene	2
336	7G8	Pf7G8_140005900	RIFIN-B	Pf7G8-2_000475900	2
337	7G8	Pf7G8_140006000	RIFIN-B	PfDd2_140005200	5
338	7G8	Pf7G8_140084300	RIFIN-B	Pf7G8-2_000552600	5
339	7G8	Pf7G8_140084500	RIFIN-A	PfDd2_060036800	4
340	CD01	PfCD01_000005900	RIFIN-A	PF3D7_1373000	8
341	CD01	PfCD01_000006100	RIFIN-A	PfCD01_000006100	1
342	CD01	PfCD01_000006300	RIFIN-B	PfCD01_000006300	4
343	CD01	PfCD01_000006400	RIFIN-A	PfCD01_000006400	1
344	CD01	PfCD01_000006500	RIFIN-A	PfCD01_000006500	1
345	CD01	PfCD01_000007400	RIFIN-A	PfCD01_000007400	1
346	CD01	PfCD01_000007600	RIFIN-B	PfCD01_000007600	1
347	CD01	PfCD01_000007800	RIFIN-A	PfCD01_000007800	2
348	CD01	PfCD01_000008400	RIFIN-A	PfCD01_000008400	3
349	CD01	PfCD01_000008700	RIFIN-B	PfCD01_000008700	1
350	CD01	PfCD01_000010400	RIFIN-A	PfCD01_000010400	1
351	CD01	PfCD01_010006100	RIFIN-A	PfDd2_100045400	6
352	CD01	PfCD01_010006400	RIFIN-B	PfDd2_010005700	7
353	CD01	PfCD01_010018600	RIFIN-B	PF3D7_0114700	16
354	CD01	PfCD01_010019200	RIFIN-A	PF3D7_0115200	6
355	CD01	PfCD01_010019300	RIFIN-B	PfCD01_010019300	1
