RIFIN-B.hmm 	PfNF54_010005700 	1.4e-104 	338.0 	2.1e-58 	186.2	
RIFIN-A.hmm 	PfNF54_020005500 	1.5e-153 	499.2 	1.7e-153 	499.0	
STEVOR1.hmm 	PfNF54_020005500 	2e-08 	21.7 	5.3e-07 	17.1	
RIFIN-B.hmm 	PfNF54_020005500 	8.3e-100 	322.3 	1.1e-53 	170.6	
RIFIN-A.hmm 	PfNF54_020005600 	1.1e-137 	447.1 	1.2e-137 	446.9	
RIFIN-B.hmm 	PfNF54_020005600 	7.2e-110 	355.3 	1e-59 	190.5	
STEVOR1.hmm 	PfNF54_020005600 	8.4e-17 	49.3 	1.4e-12 	35.4	
STEVOR1.hmm 	PfNF54_020005700 	1.7e-09 	25.3 	3e-08 	21.2	
RIFIN-B.hmm 	PfNF54_020005700 	3.6e-112 	362.9 	2.9e-65 	208.7	
RIFIN-A.hmm 	PfNF54_020005700 	3e-147 	478.5 	3.4e-147 	478.4	
STEVOR1.hmm 	PfNF54_020005900 	1.3e-42 	134.0 	1.4e-42 	133.9	
RIFIN-B.hmm 	PfNF54_020005900 	1.9e-10 	28.6 	2e-10 	28.5	
RIFIN-A.hmm 	PfNF54_020005900 	4.2e-09 	24.3 	4.6e-09 	24.1	
RIFIN-A.hmm 	PfNF54_020006000 	1.2e-96 	312.1 	5.2e-57 	181.8	
RIFIN-B.hmm 	PfNF54_020006000 	1.3e-144 	469.5 	1.5e-144 	469.3	
STEVOR1.hmm 	PfNF54_020006000 	3.7e-11 	30.7 	7.5e-08 	19.8	
RIFIN-A.hmm 	PfNF54_020006200 	3.1e-138 	448.9 	3.5e-138 	448.7	
RIFIN-B.hmm 	PfNF54_020006200 	3.7e-104 	336.5 	1.6e-54 	173.4	
STEVOR1.hmm 	PfNF54_020006200 	8.2e-17 	49.3 	1e-10 	29.3	
RIFIN-B.hmm 	PfNF54_020006300 	1.3e-12 	35.8 	1.9e-12 	35.2	
STEVOR1.hmm 	PfNF54_020006300 	4e-176 	572.4 	4.5e-176 	572.3	
RIFIN-A.hmm 	PfNF54_020006300 	9.2e-11 	29.7 	9.2e-11 	29.7	
RIFIN-B.hmm 	PfNF54_020025500 	1.6e-12 	35.4 	3.1e-09 	24.6	
STEVOR1.hmm 	PfNF54_020025500 	2.1e-107 	346.8 	2.4e-107 	346.6	
RIFIN-A.hmm 	PfNF54_020025500 	4.2e-12 	34.1 	2e-09 	25.3	
STEVOR1.hmm 	PfNF54_020026500 	1.9e-14 	41.5 	8.8e-10 	26.2	
RIFIN-B.hmm 	PfNF54_020026500 	2.7e-147 	478.3 	3e-147 	478.2	
RIFIN-A.hmm 	PfNF54_020026500 	2.7e-99 	320.9 	7.8e-58 	184.5	
RIFIN-A.hmm 	PfNF54_020026600 	2.5e-147 	478.8 	2.8e-147 	478.6	
RIFIN-B.hmm 	PfNF54_020026600 	2.7e-95 	307.4 	9.5e-55 	174.2	
STEVOR1.hmm 	PfNF54_020026600 	4.4e-11 	30.5 	1.8e-08 	21.9	
RIFIN-A.hmm 	PfNF54_020026700 	1.3e-102 	331.8 	5e-59 	188.4	
STEVOR1.hmm 	PfNF54_020026700 	1.4e-12 	35.4 	1.1e-08 	22.6	
RIFIN-B.hmm 	PfNF54_020026700 	2.3e-151 	491.7 	2.8e-151 	491.4	
RIFIN-B.hmm 	PfNF54_020026800 	1.3e-12 	35.7 	9.2e-11 	29.6	
STEVOR1.hmm 	PfNF54_020026800 	1.9e-166 	540.7 	2.1e-166 	540.5	
RIFIN-A.hmm 	PfNF54_020026800 	2.6e-12 	34.8 	1.2e-09 	26.0	
STEVOR1.hmm 	PfNF54_020027100 	1.5e-10 	28.7 	6.1e-07 	16.9	
RIFIN-A.hmm 	PfNF54_020027100 	6.2e-150 	487.4 	7e-150 	487.2	
RIFIN-B.hmm 	PfNF54_020027100 	7.8e-105 	338.8 	4.5e-59 	188.4	
STEVOR1.hmm 	PfNF54_020027200 	1.3e-14 	42.0 	1.6e-09 	25.3	
RIFIN-B.hmm 	PfNF54_020027200 	1.4e-152 	495.6 	1.6e-152 	495.5	
RIFIN-A.hmm 	PfNF54_020027200 	3.4e-99 	320.5 	3.5e-63 	202.1	
RIFIN-B.hmm 	PfNF54_020027400 	1.3e-102 	331.5 	1.5e-56 	180.1	
RIFIN-A.hmm 	PfNF54_020027400 	1.6e-148 	482.7 	1.9e-148 	482.5	
STEVOR1.hmm 	PfNF54_020027400 	1.9e-12 	35.0 	3.7e-08 	20.9	
RIFIN-A.hmm 	PfNF54_030005400 	2e-147 	479.1 	2.2e-147 	479.0	
RIFIN-B.hmm 	PfNF54_030005400 	3.3e-105 	340.0 	2.6e-58 	185.9	
STEVOR1.hmm 	PfNF54_030005400 	3.5e-10 	27.5 	1.3e-07 	19.0	
RIFIN-A.hmm 	PfNF54_030005600 	1.5e-13 	38.8 	1.3e-10 	29.2	
RIFIN-B.hmm 	PfNF54_030005600 	2.6e-13 	38.0 	5.1e-12 	33.8	
STEVOR1.hmm 	PfNF54_030005600 	3.7e-167 	543.0 	4.1e-167 	542.9	
STEVOR1.hmm 	PfNF54_030005700 	3.7e-14 	40.6 	3.5e-09 	24.2	
RIFIN-B.hmm 	PfNF54_030005700 	6.5e-141 	457.3 	7.3e-141 	457.2	
RIFIN-A.hmm 	PfNF54_030005700 	7e-102 	329.3 	2.1e-63 	202.8	
STEVOR1.hmm 	PfNF54_030005900 	1.4e-11 	32.1 	1.2e-07 	19.1	
RIFIN-A.hmm 	PfNF54_030005900 	2.3e-143 	465.7 	2.6e-143 	465.6	
RIFIN-B.hmm 	PfNF54_030005900 	5.8e-96 	309.6 	1.5e-51 	163.7	
STEVOR1.hmm 	PfNF54_030006100 	1.7e-27 	84.3 	3.5e-27 	83.4	
RIFIN-B.hmm 	PfNF54_030006100 	5e-08 	20.6 	5e-08 	20.6	
RIFIN-B.hmm 	PfNF54_030029700 	1.5e-98 	318.1 	2.9e-56 	179.2	
RIFIN-A.hmm 	PfNF54_030029700 	1.7e-138 	449.7 	1.9e-138 	449.6	
STEVOR1.hmm 	PfNF54_030029700 	6e-15 	43.2 	2.8e-10 	27.8	
STEVOR1.hmm 	PfNF54_030029800 	2e-13 	38.2 	1.2e-08 	22.5	
RIFIN-B.hmm 	PfNF54_030029800 	4.3e-141 	457.9 	4.9e-141 	457.7	
RIFIN-A.hmm 	PfNF54_030029800 	5.1e-105 	339.7 	1.1e-62 	200.5	
RIFIN-A.hmm 	PfNF54_030030200 	1.1e-156 	509.6 	1.2e-156 	509.4	
RIFIN-B.hmm 	PfNF54_030030200 	2.9e-118 	382.9 	4.8e-68 	217.9	
STEVOR1.hmm 	PfNF54_030030200 	3.1e-12 	34.2 	1.4e-08 	22.3	
RIFIN-B.hmm 	PfNF54_040005800 	1.4e-105 	341.2 	5.7e-64 	204.5	
STEVOR1.hmm 	PfNF54_040005800 	1e-08 	22.7 	4e-07 	17.5	
RIFIN-A.hmm 	PfNF54_040005800 	3.2e-156 	508.1 	3.5e-156 	507.9	
RIFIN-A.hmm 	PfNF54_040006000 	1.1e-152 	496.4 	1.2e-152 	496.2	
STEVOR1.hmm 	PfNF54_040006000 	1.3e-12 	35.5 	1.6e-08 	22.1	
RIFIN-B.hmm 	PfNF54_040006000 	9.5e-107 	345.1 	2.8e-62 	198.9	
RIFIN-A.hmm 	PfNF54_040006100 	1.1e-154 	503.0 	1.2e-154 	502.9	
STEVOR1.hmm 	PfNF54_040006100 	1.7e-12 	35.1 	2.3e-08 	21.5	
RIFIN-B.hmm 	PfNF54_040006100 	2.8e-99 	320.5 	5.4e-51 	161.8	
RIFIN-A.hmm 	PfNF54_040006200 	1.5e-11 	32.3 	4.9e-10 	27.3	
STEVOR1.hmm 	PfNF54_040006200 	1e-153 	498.8 	1.9e-153 	498.0	
RIFIN-B.hmm 	PfNF54_040006200 	4.2e-11 	30.8 	4.5e-11 	30.7	
RIFIN-A.hmm 	PfNF54_040006300 	1.1e-146 	476.7 	1.2e-146 	476.6	
RIFIN-B.hmm 	PfNF54_040006300 	1.2e-103 	334.9 	5.6e-60 	191.4	
STEVOR1.hmm 	PfNF54_040006300 	2.6e-10 	27.9 	9.8e-08 	19.5	
RIFIN-A.hmm 	PfNF54_040006400 	1.1e-95 	308.9 	5.7e-52 	165.2	
RIFIN-B.hmm 	PfNF54_040006400 	1.8e-139 	452.6 	2e-139 	452.4	
STEVOR1.hmm 	PfNF54_040006400 	4.5e-17 	50.1 	1.6e-10 	28.6	
RIFIN-B.hmm 	PfNF54_040006600 	1.2e-106 	344.7 	3.9e-59 	188.6	
RIFIN-A.hmm 	PfNF54_040006600 	1.2e-150 	489.7 	1.4e-150 	489.5	
STEVOR1.hmm 	PfNF54_040006600 	8.4e-11 	29.5 	8.4e-07 	16.4	
RIFIN-A.hmm 	PfNF54_040006700 	3.8e-147 	478.2 	4.3e-147 	478.0	
RIFIN-B.hmm 	PfNF54_040006700 	5.2e-99 	319.6 	8.3e-58 	184.2	
STEVOR1.hmm 	PfNF54_040006700 	5.9e-11 	30.0 	3.8e-08 	20.8	
RIFIN-B.hmm 	PfNF54_040006800 	2.2e-93 	301.2 	9.9e-50 	157.7	
STEVOR1.hmm 	PfNF54_040006800 	2.4e-18 	54.3 	8.4e-13 	36.1	
RIFIN-A.hmm 	PfNF54_040006800 	3.6e-132 	429.0 	4.3e-132 	428.7	
STEVOR1.hmm 	PfNF54_040006900 	1.6e-131 	426.0 	1.2e-88 	285.2	
RIFIN-A.hmm 	PfNF54_040006900 	2.5e-11 	31.5 	2.3e-09 	25.1	
RIFIN-B.hmm 	PfNF54_040006900 	8.3e-14 	39.6 	1.6e-11 	32.2	
RIFIN-A.hmm 	PfNF54_040007000 	1.1e-48 	154.4 	3e-48 	153.0	
STEVOR1.hmm 	PfNF54_040007000 	1.2e-09 	25.7 	7.5e-09 	23.1	
RIFIN-B.hmm 	PfNF54_040007000 	1.7e-43 	137.2 	4.3e-31 	96.4	
RIFIN-B.hmm 	PfNF54_040007900 	2.6e-52 	166.2 	3.1e-52 	165.9	
RIFIN-A.hmm 	PfNF54_040007900 	3.6e-63 	202.0 	4e-63 	201.9	
STEVOR1.hmm 	PfNF54_040007900 	7.6e-16 	46.1 	8.8e-16 	45.9	
RIFIN-A.hmm 	PfNF54_040008000 	1.3e-39 	124.6 	8.9e-39 	121.8	
STEVOR1.hmm 	PfNF54_040008000 	1.7e-06 	15.4 	3.3e-06 	14.5	
RIFIN-B.hmm 	PfNF54_040008000 	2e-39 	123.9 	5.4e-39 	122.4	
RIFIN-A.hmm 	PfNF54_040008100 	1.7e-07 	19.0 	3.3e-07 	18.0	
RIFIN-B.hmm 	PfNF54_040008100 	2.5e-06 	15.1 	2.5e-06 	15.1	
STEVOR1.hmm 	PfNF54_040008100 	2e-106 	343.6 	2.2e-106 	343.4	
RIFIN-B.hmm 	PfNF54_040018100 	2.4e-32 	100.6 	1.2e-24 	75.3	
RIFIN-A.hmm 	PfNF54_040018100 	2e-51 	163.4 	2.4e-51 	163.1	
RIFIN-B.hmm 	PfNF54_040018700 	1.9e-106 	344.1 	1e-56 	180.6	
STEVOR1.hmm 	PfNF54_040018700 	2.5e-16 	47.7 	3.3e-11 	30.9	
RIFIN-A.hmm 	PfNF54_040018700 	5.4e-134 	434.9 	6.1e-134 	434.8	
STEVOR1.hmm 	PfNF54_040018800 	1.9e-13 	38.3 	8.4e-09 	23.0	
RIFIN-B.hmm 	PfNF54_040018800 	2.5e-116 	376.5 	3.5e-65 	208.5	
RIFIN-A.hmm 	PfNF54_040018800 	3.1e-135 	439.0 	3.4e-135 	438.9	
RIFIN-A.hmm 	PfNF54_040026800 	2.9e-97 	314.2 	1e-56 	180.8	
STEVOR1.hmm 	PfNF54_040026800 	4.3e-10 	27.2 	5.2e-08 	20.4	
RIFIN-B.hmm 	PfNF54_040026800 	4e-143 	464.6 	4.6e-143 	464.4	
RIFIN-A.hmm 	PfNF54_040030900 	1.2e-10 	29.3 	2.3e-07 	18.5	
STEVOR1.hmm 	PfNF54_040030900 	4.1e-116 	375.4 	4.6e-116 	375.2	
RIFIN-B.hmm 	PfNF54_040030900 	4.5e-07 	17.5 	6.3e-06 	13.8	
RIFIN-A.hmm 	PfNF54_040031100 	1.1e-127 	414.2 	1.3e-127 	414.0	
RIFIN-B.hmm 	PfNF54_040031100 	3.6e-90 	290.6 	3.4e-49 	155.9	
STEVOR1.hmm 	PfNF54_040031100 	5.5e-12 	33.4 	5.6e-08 	20.3	
RIFIN-B.hmm 	PfNF54_040031300 	1.1e-102 	331.7 	1.1e-58 	187.2	
RIFIN-A.hmm 	PfNF54_040031300 	1.9e-147 	479.2 	2.2e-147 	479.0	
STEVOR1.hmm 	PfNF54_040031300 	2.6e-10 	28.0 	1e-07 	19.4	
STEVOR1.hmm 	PfNF54_050005200 	1.3e-08 	22.3 	3e-07 	17.9	
RIFIN-B.hmm 	PfNF54_050005200 	1.4e-103 	334.7 	5.1e-63 	201.3	
RIFIN-A.hmm 	PfNF54_050005200 	5.5e-147 	477.7 	6.2e-147 	477.5	
STEVOR1.hmm 	PfNF54_050005300 	1.7e-15 	45.0 	3.8e-12 	34.0	
RIFIN-B.hmm 	PfNF54_050005300 	2.7e-131 	425.7 	3e-131 	425.6	
RIFIN-A.hmm 	PfNF54_050005300 	6.1e-92 	296.6 	8.4e-49 	154.8	
RIFIN-B.hmm 	PfNF54_050036700 	1.8e-130 	423.0 	2e-130 	422.8	
STEVOR1.hmm 	PfNF54_050036700 	2.1e-15 	44.7 	3.5e-10 	27.5	
RIFIN-A.hmm 	PfNF54_050036700 	3.4e-98 	317.2 	1.6e-54 	173.6	
RIFIN-B.hmm 	PfNF54_060005100 	3.2e-109 	353.2 	2.3e-63 	202.5	
RIFIN-A.hmm 	PfNF54_060005100 	5.2e-161 	523.8 	5.8e-161 	523.6	
STEVOR1.hmm 	PfNF54_060005100 	9.2e-11 	29.4 	8.6e-09 	22.9	
STEVOR1.hmm 	PfNF54_060005300 	5.8e-14 	39.9 	7.6e-10 	26.4	
RIFIN-B.hmm 	PfNF54_060005300 	7.1e-109 	352.1 	2.9e-63 	202.1	
RIFIN-A.hmm 	PfNF54_060005300 	9.7e-153 	496.6 	1.1e-152 	496.4	
RIFIN-B.hmm 	PfNF54_060005500 	1.1e-95 	308.7 	1.9e-51 	163.3	
RIFIN-A.hmm 	PfNF54_060005500 	2.8e-142 	462.2 	3.1e-142 	462.0	
STEVOR1.hmm 	PfNF54_060005500 	9.1e-08 	19.6 	1.4e-06 	15.7	
STEVOR1.hmm 	PfNF54_060005600 	2e-14 	41.5 	6.2e-10 	26.7	
RIFIN-B.hmm 	PfNF54_060005600 	7.9e-131 	424.2 	4.2e-128 	415.2	
RIFIN-A.hmm 	PfNF54_060005600 	8.2e-99 	319.3 	4.8e-54 	172.0	
RIFIN-B.hmm 	PfNF54_060022600 	1.3e-14 	42.2 	3.3e-11 	31.1	
RIFIN-A.hmm 	PfNF54_060022600 	1.4e-13 	39.0 	4.1e-10 	27.6	
STEVOR1.hmm 	PfNF54_060022600 	8e-164 	532.0 	9e-164 	531.9	
RIFIN-B.hmm 	PfNF54_060022700 	1.1e-89 	289.0 	1.1e-53 	170.7	
STEVOR1.hmm 	PfNF54_060022700 	2.6e-16 	47.6 	6.8e-11 	29.9	
RIFIN-A.hmm 	PfNF54_060022700 	7.8e-110 	355.5 	1.1e-109 	355.0	
RIFIN-B.hmm 	PfNF54_060037100 	2.8e-136 	442.1 	3.2e-136 	441.9	
STEVOR1.hmm 	PfNF54_060037100 	3.3e-10 	27.6 	5.7e-08 	20.3	
RIFIN-A.hmm 	PfNF54_060037100 	5e-104 	336.4 	3.9e-63 	201.9	
STEVOR1.hmm 	PfNF54_060037200 	2.6e-168 	546.8 	2.9e-168 	546.6	
RIFIN-B.hmm 	PfNF54_060037200 	2e-13 	38.4 	2e-13 	38.4	
RIFIN-A.hmm 	PfNF54_060037200 	9e-15 	42.9 	3.6e-12 	34.3	
RIFIN-B.hmm 	PfNF54_060037300 	4.3e-104 	336.3 	3.4e-60 	192.1	
STEVOR1.hmm 	PfNF54_060037300 	8.3e-10 	26.3 	2e-08 	21.8	
RIFIN-A.hmm 	PfNF54_060037300 	9.2e-145 	470.4 	1e-144 	470.2	
RIFIN-A.hmm 	PfNF54_060037400 	1.2e-120 	391.1 	1.6e-120 	390.6	
RIFIN-B.hmm 	PfNF54_060037400 	2.5e-80 	258.2 	1.9e-73 	235.6	
STEVOR1.hmm 	PfNF54_060037400 	4.1e-17 	50.3 	3.1e-12 	34.2	
RIFIN-B.hmm 	PfNF54_060037500 	1.7e-105 	340.9 	8.1e-60 	190.8	
STEVOR1.hmm 	PfNF54_060037500 	2.3e-11 	31.4 	2.2e-08 	21.6	
RIFIN-A.hmm 	PfNF54_060037500 	3.8e-155 	504.5 	4.2e-155 	504.4	
RIFIN-A.hmm 	PfNF54_060037600 	1.1e-92 	299.1 	1.5e-56 	180.3	
STEVOR1.hmm 	PfNF54_060037600 	2.8e-14 	41.0 	2.4e-09 	24.8	
RIFIN-B.hmm 	PfNF54_060037600 	4.5e-134 	434.8 	5.3e-134 	434.6	
RIFIN-A.hmm 	PfNF54_060037700 	1.5e-163 	532.2 	1.6e-163 	532.0	
RIFIN-B.hmm 	PfNF54_060037700 	1.7e-118 	383.7 	5.5e-67 	214.4	
STEVOR1.hmm 	PfNF54_060037700 	2e-13 	38.2 	2.7e-09 	24.6	
RIFIN-B.hmm 	PfNF54_060037900 	3.8e-131 	425.2 	3.3e-94 	303.9	
STEVOR1.hmm 	PfNF54_060037900 	7.8e-10 	26.4 	4e-07 	17.5	
RIFIN-A.hmm 	PfNF54_060037900 	9.9e-90 	289.4 	1.4e-48 	154.1	
RIFIN-B.hmm 	PfNF54_060038000 	2.9e-109 	353.3 	4.3e-61 	195.0	
RIFIN-A.hmm 	PfNF54_060038000 	3e-158 	514.7 	3.4e-158 	514.5	
STEVOR1.hmm 	PfNF54_060038000 	6.8e-14 	39.7 	4.3e-09 	23.9	
RIFIN-B.hmm 	PfNF54_070005600 	2.3e-92 	297.8 	2.2e-50 	159.8	
STEVOR1.hmm 	PfNF54_070005600 	7.3e-14 	39.6 	6e-11 	30.0	
RIFIN-A.hmm 	PfNF54_070005600 	8.9e-136 	440.8 	1.2e-135 	440.4	
RIFIN-A.hmm 	PfNF54_070005700 	1.7e-117 	380.7 	2e-117 	380.5	
STEVOR1.hmm 	PfNF54_070005700 	2.4e-11 	31.3 	2.3e-10 	28.1	
RIFIN-B.hmm 	PfNF54_070005700 	8.8e-85 	272.9 	7.1e-48 	151.6	
RIFIN-B.hmm 	PfNF54_070005800 	1.1e-14 	42.6 	6.4e-12 	33.5	
STEVOR1.hmm 	PfNF54_070005800 	1.6e-167 	544.2 	1.8e-167 	544.0	
RIFIN-A.hmm 	PfNF54_070005800 	2.3e-13 	38.3 	3.2e-10 	27.9	
RIFIN-B.hmm 	PfNF54_070005900 	1.6e-96 	311.5 	1.2e-53 	170.6	
RIFIN-A.hmm 	PfNF54_070005900 	1.7e-129 	420.1 	2e-129 	420.0	
STEVOR1.hmm 	PfNF54_070005900 	5.2e-18 	53.2 	2.1e-13 	38.1	
RIFIN-A.hmm 	PfNF54_070006700 	1.4e-115 	374.4 	2.3e-115 	373.7	
RIFIN-B.hmm 	PfNF54_070006700 	4.8e-87 	280.3 	2.4e-48 	153.2	
STEVOR1.hmm 	PfNF54_070006700 	6.8e-12 	33.1 	9.7e-08 	19.5	
RIFIN-B.hmm 	PfNF54_070016600 	1.9e-34 	107.5 	1.4e-26 	81.6	
RIFIN-A.hmm 	PfNF54_070016600 	2e-54 	173.3 	2.5e-54 	173.0	
STEVOR1.hmm 	PfNF54_070017400 	3.2e-16 	47.4 	7.2e-13 	36.3	
RIFIN-B.hmm 	PfNF54_070017400 	7.5e-94 	302.7 	6.3e-51 	161.6	
RIFIN-A.hmm 	PfNF54_070017400 	8.2e-127 	411.3 	9.3e-127 	411.2	
RIFIN-B.hmm 	PfNF54_070035800 	2.4e-11 	31.6 	3.6e-10 	27.7	
RIFIN-A.hmm 	PfNF54_070035800 	4.5e-11 	30.7 	3e-09 	24.7	
STEVOR1.hmm 	PfNF54_070035800 	7.5e-171 	555.1 	8.4e-171 	555.0	
STEVOR1.hmm 	PfNF54_070036000 	1.2e-07 	19.2 	2.4e-07 	18.2	
RIFIN-A.hmm 	PfNF54_070036000 	1e-151 	493.2 	1.2e-151 	493.0	
RIFIN-B.hmm 	PfNF54_070036000 	4.3e-106 	342.9 	3.6e-61 	195.3	
RIFIN-B.hmm 	PfNF54_070036100 	2.1e-105 	340.6 	2.7e-59 	189.1	
STEVOR1.hmm 	PfNF54_070036100 	2.2e-14 	41.3 	3.1e-09 	24.4	
RIFIN-A.hmm 	PfNF54_070036100 	4.9e-135 	438.4 	5.5e-135 	438.2	
STEVOR1.hmm 	PfNF54_070036200 	1.1e-12 	35.8 	4.4e-11 	30.5	
RIFIN-B.hmm 	PfNF54_070036200 	1.1e-93 	302.2 	5.4e-56 	178.3	
RIFIN-A.hmm 	PfNF54_070036200 	6.9e-136 	441.2 	7.7e-136 	441.0	
RIFIN-B.hmm 	PfNF54_070036300 	3.3e-100 	323.6 	5.3e-52 	165.2	
RIFIN-A.hmm 	PfNF54_070036300 	5.6e-144 	467.8 	6.3e-144 	467.6	
STEVOR1.hmm 	PfNF54_070036300 	6e-17 	49.7 	3.8e-13 	37.2	
RIFIN-A.hmm 	PfNF54_070036500 	1.5e-98 	318.4 	4.8e-61 	195.0	
STEVOR1.hmm 	PfNF54_070036500 	4.6e-14 	40.2 	6.1e-09 	23.4	
RIFIN-B.hmm 	PfNF54_070036500 	6.9e-138 	447.4 	7.9e-138 	447.2	
RIFIN-A.hmm 	PfNF54_070036700 	2e-145 	472.6 	2.2e-145 	472.4	
STEVOR1.hmm 	PfNF54_070036700 	3.1e-15 	44.1 	1.8e-09 	25.2	
RIFIN-B.hmm 	PfNF54_070036700 	9.8e-105 	338.4 	7.8e-58 	184.3	
STEVOR1.hmm 	PfNF54_080012800 	1.4e-12 	35.4 	5.9e-09 	23.5	
RIFIN-B.hmm 	PfNF54_080012800 	2.4e-104 	337.2 	3.6e-57 	182.1	
RIFIN-A.hmm 	PfNF54_080012800 	8e-128 	414.7 	9.6e-128 	414.4	
RIFIN-A.hmm 	PfNF54_080012900 	1.1e-129 	420.8 	1.3e-129 	420.6	
STEVOR1.hmm 	PfNF54_080012900 	1.1e-16 	48.9 	1.9e-12 	34.9	
RIFIN-B.hmm 	PfNF54_080012900 	3e-93 	300.7 	6.7e-52 	164.8	
STEVOR1.hmm 	PfNF54_080035500 	1e-88 	285.4 	1.1e-88 	285.3	
RIFIN-B.hmm 	PfNF54_080035800 	1.4e-13 	38.9 	1.2e-10 	29.3	
STEVOR1.hmm 	PfNF54_080035800 	4.8e-168 	545.9 	5.4e-168 	545.8	
