STEVOR1.hmm 	PfIT_000006900 	1.8e-11 	31.8 	4.5e-08 	20.6	
RIFIN-A.hmm 	PfIT_020005500 	2.1e-146 	475.7 	2.4e-146 	475.6	
STEVOR1.hmm 	PfIT_020005500 	3.1e-08 	21.1 	1.6e-06 	15.5	
RIFIN-B.hmm 	PfIT_020005500 	4e-87 	280.6 	1.8e-45 	143.7	
RIFIN-A.hmm 	PfIT_020005600 	2.7e-87 	281.4 	3.2e-49 	156.2	
RIFIN-B.hmm 	PfIT_020005600 	4.8e-128 	415.0 	5.4e-128 	414.9	
STEVOR1.hmm 	PfIT_020005600 	6.2e-15 	43.1 	2.6e-10 	27.9	
RIFIN-B.hmm 	PfIT_020005700 	1e-104 	338.4 	3.1e-58 	185.7	
STEVOR1.hmm 	PfIT_020005700 	2.4e-13 	37.9 	3.8e-10 	27.4	
RIFIN-A.hmm 	PfIT_020005700 	3.2e-148 	481.7 	3.6e-148 	481.6	
RIFIN-B.hmm 	PfIT_020005800 	1.2e-136 	443.3 	1.3e-136 	443.2	
STEVOR1.hmm 	PfIT_020005800 	3.7e-12 	34.0 	1.9e-08 	21.8	
RIFIN-A.hmm 	PfIT_020005800 	4.4e-90 	290.5 	4.3e-53 	168.9	
RIFIN-A.hmm 	PfIT_020006000 	1.7e-150 	489.3 	1.8e-150 	489.1	
RIFIN-B.hmm 	PfIT_020006000 	3.5e-100 	323.5 	3.7e-54 	172.2	
STEVOR1.hmm 	PfIT_020006000 	6.4e-13 	36.5 	2.6e-08 	21.4	
RIFIN-A.hmm 	PfIT_020006100 	1.1e-14 	42.6 	2.1e-11 	31.8	
STEVOR1.hmm 	PfIT_020006100 	5.6e-165 	535.8 	6.3e-165 	535.7	
RIFIN-B.hmm 	PfIT_020006100 	5.9e-16 	46.7 	6.9e-13 	36.6	
STEVOR1.hmm 	PfIT_020025900 	1.6e-107 	347.2 	1.7e-107 	347.0	
RIFIN-B.hmm 	PfIT_020025900 	3.4e-12 	34.3 	3.4e-09 	24.5	
RIFIN-A.hmm 	PfIT_020025900 	7.9e-12 	33.2 	2.2e-09 	25.2	
STEVOR1.hmm 	PfIT_020026800 	1.4e-11 	32.1 	1.3e-08 	22.4	
RIFIN-B.hmm 	PfIT_020026800 	1e-104 	338.4 	4.7e-64 	204.8	
RIFIN-A.hmm 	PfIT_020026800 	4.3e-145 	471.5 	4.8e-145 	471.3	
STEVOR1.hmm 	PfIT_020026900 	1.3e-09 	25.7 	1.8e-06 	15.3	
RIFIN-A.hmm 	PfIT_020026900 	1.7e-108 	351.1 	8.1e-62 	197.6	
RIFIN-B.hmm 	PfIT_020026900 	6.4e-134 	434.4 	7.1e-134 	434.2	
STEVOR1.hmm 	PfIT_020027000 	1.8e-165 	537.5 	2e-165 	537.3	
RIFIN-B.hmm 	PfIT_020027000 	2.1e-13 	38.3 	1.3e-09 	25.8	
RIFIN-A.hmm 	PfIT_020027000 	4.1e-11 	30.8 	3.6e-08 	21.2	
RIFIN-A.hmm 	PfIT_020027100 	3.6e-138 	448.7 	4.3e-138 	448.4	
RIFIN-B.hmm 	PfIT_020027100 	4.1e-103 	333.1 	5.6e-56 	178.2	
STEVOR1.hmm 	PfIT_020027100 	8.2e-14 	39.4 	2.7e-08 	21.3	
STEVOR1.hmm 	PfIT_020027200 	2.9e-16 	47.5 	4.9e-10 	27.0	
RIFIN-B.hmm 	PfIT_020027200 	2e-136 	442.6 	2.2e-136 	442.4	
RIFIN-A.hmm 	PfIT_020027200 	7.8e-96 	309.5 	1.9e-51 	163.5	
RIFIN-A.hmm 	PfIT_020027300 	3.4e-13 	37.7 	1.9e-10 	28.7	
RIFIN-B.hmm 	PfIT_020027300 	3.8e-15 	44.0 	1.8e-11 	32.0	
STEVOR1.hmm 	PfIT_020027300 	8.5e-166 	538.5 	9.5e-166 	538.4	
STEVOR1.hmm 	PfIT_020027500 	1.3e-08 	22.4 	1.4e-08 	22.2	
RIFIN-A.hmm 	PfIT_020027500 	1.9e-153 	498.9 	2.1e-153 	498.8	
RIFIN-B.hmm 	PfIT_020027500 	3.8e-98 	316.8 	7.9e-52 	164.6	
RIFIN-A.hmm 	PfIT_030005200 	3.1e-153 	498.2 	3.5e-153 	498.1	
STEVOR1.hmm 	PfIT_030005200 	4.2e-11 	30.5 	7.2e-08 	19.9	
RIFIN-B.hmm 	PfIT_030005200 	4.9e-98 	316.4 	5.2e-53 	168.5	
RIFIN-B.hmm 	PfIT_030005300 	1.8e-137 	446.0 	2e-137 	445.8	
RIFIN-A.hmm 	PfIT_030005300 	3.7e-99 	320.4 	5.8e-61 	194.8	
STEVOR1.hmm 	PfIT_030005300 	8.8e-12 	32.8 	1.9e-08 	21.8	
STEVOR1.hmm 	PfIT_030005500 	3e-11 	31.0 	1.1e-07 	19.3	
RIFIN-B.hmm 	PfIT_030005500 	4e-98 	316.7 	2.9e-54 	172.6	
RIFIN-A.hmm 	PfIT_030005500 	6.7e-140 	454.4 	7.5e-140 	454.2	
RIFIN-A.hmm 	PfIT_030005600 	1.7e-121 	393.8 	2.4e-121 	393.4	
RIFIN-B.hmm 	PfIT_030005600 	3e-79 	254.7 	2.4e-47 	149.9	
STEVOR1.hmm 	PfIT_030005600 	9.2e-17 	49.1 	1.6e-14 	41.8	
STEVOR1.hmm 	PfIT_030005700 	1.7e-27 	84.3 	3.5e-27 	83.4	
RIFIN-B.hmm 	PfIT_030005700 	5e-08 	20.6 	5e-08 	20.6	
STEVOR1.hmm 	PfIT_030029300 	1.7e-15 	45.0 	3.4e-10 	27.6	
RIFIN-A.hmm 	PfIT_030029300 	2.2e-137 	446.1 	2.5e-137 	445.9	
RIFIN-B.hmm 	PfIT_030029300 	4e-98 	316.7 	3.6e-51 	162.4	
RIFIN-B.hmm 	PfIT_030029400 	1.7e-13 	38.6 	1.7e-13 	38.6	
RIFIN-A.hmm 	PfIT_030029400 	1.9e-14 	41.8 	9.8e-12 	32.9	
STEVOR1.hmm 	PfIT_030029400 	3.1e-165 	536.7 	3.5e-165 	536.5	
STEVOR1.hmm 	PfIT_030029500 	3.1e-14 	40.8 	4.3e-10 	27.2	
RIFIN-A.hmm 	PfIT_030029500 	7.2e-144 	467.4 	8.1e-144 	467.2	
RIFIN-B.hmm 	PfIT_030029500 	8.7e-111 	358.3 	6.5e-58 	184.6	
STEVOR1.hmm 	PfIT_030029600 	4.5e-14 	40.3 	2.9e-09 	24.5	
RIFIN-B.hmm 	PfIT_030029600 	7.7e-112 	361.8 	5.9e-67 	214.3	
RIFIN-A.hmm 	PfIT_030029600 	9.2e-149 	483.5 	1e-148 	483.3	
STEVOR1.hmm 	PfIT_040005500 	1.3e-13 	38.8 	4.8e-09 	23.8	
RIFIN-A.hmm 	PfIT_040005500 	1.8e-130 	423.3 	2.1e-130 	423.1	
RIFIN-B.hmm 	PfIT_040005500 	9.5e-90 	289.2 	1.4e-48 	153.9	
STEVOR1.hmm 	PfIT_040005600 	1.2e-16 	48.8 	2.2e-11 	31.4	
RIFIN-A.hmm 	PfIT_040005600 	2.7e-100 	324.1 	2e-61 	196.3	
RIFIN-B.hmm 	PfIT_040005600 	8.6e-151 	489.8 	9.6e-151 	489.6	
STEVOR1.hmm 	PfIT_040006000 	1.1e-08 	22.6 	2.7e-08 	21.3	
RIFIN-A.hmm 	PfIT_040006000 	1.1e-47 	151.1 	4.1e-47 	149.2	
RIFIN-B.hmm 	PfIT_040006000 	1.8e-38 	120.7 	2.7e-30 	93.8	
STEVOR1.hmm 	PfIT_040006900 	3.7e-17 	50.4 	6.8e-14 	39.7	
RIFIN-B.hmm 	PfIT_040006900 	5.6e-90 	290.0 	4.6e-51 	162.1	
RIFIN-A.hmm 	PfIT_040006900 	7.7e-116 	375.2 	3.3e-115 	373.2	
STEVOR1.hmm 	PfIT_040007000 	1.7e-106 	343.8 	2e-106 	343.6	
RIFIN-B.hmm 	PfIT_040007000 	2.4e-06 	15.1 	2.4e-06 	15.1	
RIFIN-A.hmm 	PfIT_040007000 	8e-08 	20.0 	3.2e-07 	18.1	
STEVOR1.hmm 	PfIT_040007100 	1.3e-06 	15.8 	1.3e-06 	15.8	
RIFIN-A.hmm 	PfIT_040007100 	3.7e-108 	350.0 	7.7e-108 	348.9	
RIFIN-B.hmm 	PfIT_040007100 	7.7e-81 	259.9 	3.9e-43 	136.0	
RIFIN-A.hmm 	PfIT_040017500 	1.4e-136 	443.4 	1.6e-136 	443.2	
STEVOR1.hmm 	PfIT_040017500 	1.9e-14 	41.5 	1.5e-11 	32.0	
RIFIN-B.hmm 	PfIT_040017500 	6e-107 	345.7 	2.8e-58 	185.8	
RIFIN-B.hmm 	PfIT_040017600 	1.6e-116 	377.2 	5.6e-66 	211.1	
RIFIN-A.hmm 	PfIT_040017600 	4.9e-135 	438.4 	5.5e-135 	438.2	
STEVOR1.hmm 	PfIT_040017600 	9.2e-16 	45.8 	9.3e-11 	29.4	
RIFIN-A.hmm 	PfIT_040030100 	0.00023 	8.7 	0.00017 	9.1	
STEVOR1.hmm 	PfIT_040030100 	2.8e-38 	119.8 	4.9e-38 	119.0	
RIFIN-B.hmm 	PfIT_040030300 	1.2e-137 	446.5 	1.4e-137 	446.4	
RIFIN-A.hmm 	PfIT_040030300 	4.1e-109 	353.1 	7.4e-64 	204.3	
STEVOR1.hmm 	PfIT_040030300 	5.6e-09 	23.6 	3.2e-07 	17.8	
RIFIN-B.hmm 	PfIT_040030400 	1.2e-102 	331.6 	8e-54 	171.1	
RIFIN-A.hmm 	PfIT_040030400 	1.7e-141 	459.6 	1.9e-141 	459.5	
STEVOR1.hmm 	PfIT_040030400 	5.9e-12 	33.3 	1.6e-08 	22.0	
STEVOR1.hmm 	PfIT_050005600 	1.9e-11 	31.6 	7.7e-08 	19.8	
RIFIN-B.hmm 	PfIT_050005600 	2.2e-97 	314.3 	2.3e-55 	176.2	
RIFIN-A.hmm 	PfIT_050005600 	4.7e-146 	474.6 	5.3e-146 	474.4	
RIFIN-B.hmm 	PfIT_050005700 	1.5e-127 	413.5 	1.6e-127 	413.3	
RIFIN-A.hmm 	PfIT_050005700 	2.9e-102 	330.6 	1.4e-57 	183.6	
STEVOR1.hmm 	PfIT_050005700 	6.7e-10 	26.6 	1e-08 	22.7	
STEVOR1.hmm 	PfIT_050005800 	2.6e-14 	41.1 	2.2e-09 	24.9	
RIFIN-B.hmm 	PfIT_050005800 	2.8e-108 	350.1 	5.5e-62 	198.0	
RIFIN-A.hmm 	PfIT_050005800 	6.9e-148 	480.6 	7.9e-148 	480.4	
STEVOR1.hmm 	PfIT_050005900 	3.4e-09 	24.3 	4.7e-08 	20.5	
RIFIN-B.hmm 	PfIT_050005900 	8.5e-138 	447.1 	9.5e-138 	446.9	
RIFIN-A.hmm 	PfIT_050005900 	9.8e-105 	338.7 	2.1e-63 	202.8	
RIFIN-A.hmm 	PfIT_050006000 	1.5e-94 	305.2 	1.4e-52 	167.2	
STEVOR1.hmm 	PfIT_050006000 	1.9e-08 	21.8 	1.3e-07 	19.1	
RIFIN-B.hmm 	PfIT_050006000 	2.1e-137 	445.8 	2.3e-137 	445.6	
RIFIN-A.hmm 	PfIT_050037500 	2.5e-132 	429.5 	2.8e-132 	429.3	
RIFIN-B.hmm 	PfIT_050037500 	2.6e-99 	320.6 	2.6e-54 	172.8	
STEVOR1.hmm 	PfIT_050037500 	2.7e-15 	44.3 	6.8e-10 	26.6	
RIFIN-A.hmm 	PfIT_050037600 	2.8e-102 	330.7 	1.7e-58 	186.7	
STEVOR1.hmm 	PfIT_050037600 	7.4e-16 	46.1 	3.7e-10 	27.4	
RIFIN-B.hmm 	PfIT_050037600 	7e-135 	437.5 	7.9e-135 	437.3	
RIFIN-B.hmm 	PfIT_050038100 	1.7e-109 	354.1 	3e-58 	185.7	
STEVOR1.hmm 	PfIT_050038100 	3e-12 	34.3 	1.6e-08 	22.1	
RIFIN-A.hmm 	PfIT_050038100 	9.9e-139 	450.5 	1.2e-138 	450.3	
RIFIN-B.hmm 	PfIT_050038200 	6e-94 	303.0 	8.5e-51 	161.2	
STEVOR1.hmm 	PfIT_050038200 	8e-12 	32.9 	1.4e-09 	25.5	
RIFIN-A.hmm 	PfIT_050038200 	9.5e-138 	447.3 	1.1e-137 	447.1	
STEVOR1.hmm 	PfIT_050038300 	4.2e-16 	47.0 	3.5e-10 	27.5	
RIFIN-A.hmm 	PfIT_050038300 	7.2e-101 	326.0 	1.2e-64 	206.9	
RIFIN-B.hmm 	PfIT_050038300 	9e-148 	479.9 	1e-147 	479.7	
RIFIN-A.hmm 	PfIT_050038400 	4.4e-144 	468.1 	4.9e-144 	468.0	
RIFIN-B.hmm 	PfIT_050038400 	5.8e-97 	312.9 	1.8e-50 	160.1	
STEVOR1.hmm 	PfIT_050038400 	9.5e-13 	35.9 	1.2e-08 	22.5	
RIFIN-B.hmm 	PfIT_060035500 	1.5e-102 	331.2 	1.9e-58 	186.3	
RIFIN-A.hmm 	PfIT_060035500 	1.6e-140 	456.4 	1.8e-140 	456.2	
STEVOR1.hmm 	PfIT_060035500 	1.9e-16 	48.1 	3.3e-13 	37.4	
RIFIN-A.hmm 	PfIT_060035600 	2.2e-103 	334.3 	3.3e-60 	192.3	
RIFIN-B.hmm 	PfIT_060035600 	4.8e-147 	477.5 	5.4e-147 	477.3	
STEVOR1.hmm 	PfIT_060035600 	5.8e-13 	36.6 	8.6e-10 	26.2	
RIFIN-A.hmm 	PfIT_060035700 	1.1e-99 	322.2 	5.7e-56 	178.4	
STEVOR1.hmm 	PfIT_060035700 	3.2e-17 	50.6 	1.7e-12 	35.1	
RIFIN-B.hmm 	PfIT_060035700 	4.2e-147 	477.7 	4.7e-147 	477.5	
RIFIN-B.hmm 	PfIT_060035800 	1e-13 	39.3 	4.2e-11 	30.8	
RIFIN-A.hmm 	PfIT_060035800 	5.1e-11 	30.6 	2.2e-09 	25.2	
STEVOR1.hmm 	PfIT_060035800 	6.4e-171 	555.4 	7.1e-171 	555.2	
RIFIN-A.hmm 	PfIT_060035900 	1.1e-146 	476.7 	1.2e-146 	476.5	
STEVOR1.hmm 	PfIT_060035900 	1.3e-09 	25.6 	2.1e-09 	25.0	
RIFIN-B.hmm 	PfIT_060035900 	2.9e-119 	386.2 	2.2e-72 	232.1	
RIFIN-B.hmm 	PfIT_060036400 	3.1e-08 	21.3 	1.1e-07 	19.6	
STEVOR1.hmm 	PfIT_060036400 	3.9e-159 	516.7 	4.4e-159 	516.5	
RIFIN-A.hmm 	PfIT_060036400 	7e-10 	26.8 	2e-07 	18.7	
RIFIN-A.hmm 	PfIT_060036500 	4.7e-132 	428.6 	5.3e-132 	428.4	
STEVOR1.hmm 	PfIT_060036500 	6.9e-14 	39.7 	4e-11 	30.6	
RIFIN-B.hmm 	PfIT_060036500 	6.9e-92 	296.2 	1.5e-48 	153.8	
STEVOR1.hmm 	PfIT_060036600 	1.1e-13 	39.0 	1.4e-08 	22.2	
RIFIN-B.hmm 	PfIT_060036600 	1.3e-102 	331.5 	2.1e-57 	182.9	
RIFIN-A.hmm 	PfIT_060036600 	2.6e-144 	468.9 	2.9e-144 	468.7	
RIFIN-B.hmm 	PfIT_070006000 	1.9e-102 	330.9 	7.1e-58 	184.4	
RIFIN-A.hmm 	PfIT_070006000 	2.5e-153 	498.5 	2.8e-153 	498.4	
STEVOR1.hmm 	PfIT_070006000 	2.9e-12 	34.4 	6.8e-08 	20.0	
RIFIN-B.hmm 	PfIT_070006100 	3.3e-141 	458.3 	3.7e-141 	458.1	
STEVOR1.hmm 	PfIT_070006100 	3.5e-13 	37.4 	6e-09 	23.5	
RIFIN-A.hmm 	PfIT_070006100 	4.2e-97 	313.6 	7.9e-61 	194.3	
RIFIN-B.hmm 	PfIT_070006200 	1.2e-101 	328.4 	6.1e-56 	178.1	
RIFIN-A.hmm 	PfIT_070006200 	2.6e-139 	452.4 	2.9e-139 	452.3	
STEVOR1.hmm 	PfIT_070006200 	2.9e-06 	14.7 	2.9e-06 	14.7	
RIFIN-A.hmm 	PfIT_070006300 	1.5e-10 	29.0 	2.1e-07 	18.7	
STEVOR1.hmm 	PfIT_070006300 	4.2e-168 	546.1 	4.7e-168 	545.9	
RIFIN-B.hmm 	PfIT_070006300 	7.2e-12 	33.3 	2e-10 	28.5	
RIFIN-A.hmm 	PfIT_070006400 	4.6e-137 	445.0 	5.3e-137 	444.8	
STEVOR1.hmm 	PfIT_070006400 	6.7e-09 	23.3 	7.3e-06 	13.3	
RIFIN-B.hmm 	PfIT_070006400 	8.8e-94 	302.4 	4.4e-50 	158.8	
RIFIN-A.hmm 	PfIT_070006500 	2.2e-08 	21.9 	1.9e-05 	12.2	
STEVOR1.hmm 	PfIT_070006500 	2e-144 	468.3 	1.5e-139 	452.3	
RIFIN-B.hmm 	PfIT_070006500 	3.4e-06 	14.6 	1.6e-05 	12.5	
STEVOR1.hmm 	PfIT_070006600 	5.3e-14 	40.0 	1.7e-09 	25.3	
RIFIN-A.hmm 	PfIT_070006600 	7.5e-99 	319.4 	3.2e-53 	169.3	
RIFIN-B.hmm 	PfIT_070006600 	9.9e-133 	430.4 	1.1e-132 	430.3	
RIFIN-A.hmm 	PfIT_070006700 	1.2e-116 	377.9 	2e-116 	377.2	
STEVOR1.hmm 	PfIT_070006700 	1.7e-10 	28.6 	8.6e-07 	16.4	
RIFIN-B.hmm 	PfIT_070006700 	3.1e-87 	280.9 	2.4e-48 	153.2	
RIFIN-B.hmm 	PfIT_070017300 	1.6e-92 	298.4 	1.9e-51 	163.4	
RIFIN-A.hmm 	PfIT_070017300 	2.4e-126 	409.8 	2.7e-126 	409.6	
STEVOR1.hmm 	PfIT_070017300 	4.2e-15 	43.7 	6.8e-11 	29.8	
STEVOR1.hmm 	PfIT_070035700 	1.5e-09 	25.4 	1.3e-06 	15.8	
RIFIN-B.hmm 	PfIT_070035700 	2.9e-109 	353.3 	5.4e-71 	227.6	
RIFIN-A.hmm 	PfIT_070035700 	5.7e-83 	267.1 	5e-59 	188.4	
STEVOR1.hmm 	PfIT_070035800 	2.2e-162 	527.3 	2.5e-162 	527.1	
RIFIN-A.hmm 	PfIT_070035800 	6.5e-12 	33.5 	4.4e-09 	24.2	
RIFIN-B.hmm 	PfIT_070035800 	7.5e-14 	39.8 	7.6e-12 	33.2	
RIFIN-B.hmm 	PfIT_070036000 	2.6e-116 	376.5 	3e-69 	221.8	
STEVOR1.hmm 	PfIT_070036000 	6.8e-09 	23.3 	5.4e-08 	20.3	
RIFIN-A.hmm 	PfIT_070036000 	9e-140 	454.0 	1e-139 	453.8	
RIFIN-B.hmm 	PfIT_070036100 	1.6e-95 	308.1 	4.2e-51 	162.2	
STEVOR1.hmm 	PfIT_070036100 	2.6e-12 	34.5 	2.6e-08 	21.4	
RIFIN-A.hmm 	PfIT_070036100 	3.6e-133 	432.2 	4.1e-133 	432.1	
STEVOR1.hmm 	PfIT_070036300 	1.3e-10 	28.9 	7.8e-09 	23.1	
RIFIN-A.hmm 	PfIT_070036300 	1.8e-92 	298.4 	8.7e-56 	177.8	
RIFIN-B.hmm 	PfIT_070036300 	4.7e-132 	428.2 	5.5e-132 	428.0	
STEVOR1.hmm 	PfIT_080005100 	1.7e-09 	25.3 	7.5e-07 	16.6	
RIFIN-B.hmm 	PfIT_080005100 	3.8e-92 	297.1 	5.1e-50 	158.6	
RIFIN-A.hmm 	PfIT_080005100 	7.6e-146 	473.9 	9.1e-146 	473.7	
RIFIN-B.hmm 	PfIT_080005300 	1.4e-13 	38.9 	3.2e-11 	31.2	
RIFIN-A.hmm 	PfIT_080005300 	5.2e-14 	40.4 	6e-10 	27.0	
STEVOR1.hmm 	PfIT_080005300 	6.4e-171 	555.4 	7.2e-171 	555.2	
STEVOR1.hmm 	PfIT_080005400 	1.3e-12 	35.5 	1.6e-08 	22.0	
RIFIN-B.hmm 	PfIT_080005400 	1.5e-145 	472.6 	1.7e-145 	472.4	
RIFIN-A.hmm 	PfIT_080005400 	3.4e-100 	323.8 	7.8e-63 	200.9	
STEVOR1.hmm 	PfIT_080005500 	1.8e-10 	28.4 	4.7e-08 	20.5	
RIFIN-B.hmm 	PfIT_080005500 	2e-105 	340.7 	8.5e-57 	180.9	
RIFIN-A.hmm 	PfIT_080005500 	5.3e-137 	444.8 	5.9e-137 	444.7	
STEVOR1.hmm 	PfIT_080005600 	2.7e-12 	34.4 	1.4e-08 	22.3	
RIFIN-A.hmm 	PfIT_080005600 	3.1e-94 	304.2 	4.5e-54 	172.1	
RIFIN-B.hmm 	PfIT_080005600 	5.7e-136 	441.1 	6.5e-136 	440.9	
RIFIN-B.hmm 	PfIT_080005800 	1.4e-110 	357.6 	1.9e-64 	206.1	
STEVOR1.hmm 	PfIT_080005800 	1.8e-13 	38.3 	2.4e-09 	24.8	
RIFIN-A.hmm 	PfIT_080005800 	1.9e-155 	505.5 	2.1e-155 	505.3	
STEVOR1.hmm 	PfIT_080036900 	2.5e-82 	264.4 	1.1e-81 	262.4	
RIFIN-B.hmm 	PfIT_080037200 	2.8e-13 	37.9 	1.8e-10 	28.7	
STEVOR1.hmm 	PfIT_080037200 	2e-167 	543.9 	2.2e-167 	543.8	
RIFIN-A.hmm 	PfIT_080037200 	5.3e-14 	40.4 	3.5e-10 	27.8	
RIFIN-A.hmm 	PfIT_080037300 	3.2e-131 	425.8 	3.6e-131 	425.7	
STEVOR1.hmm 	PfIT_080037300 	7.2e-11 	29.8 	3.1e-08 	21.1	
RIFIN-B.hmm 	PfIT_080037300 	9.9e-97 	312.1 	5.5e-52 	165.1	
RIFIN-A.hmm 	PfIT_090005200 	2.4e-147 	478.8 	2.7e-147 	478.7	
RIFIN-B.hmm 	PfIT_090005200 	2.5e-103 	333.8 	1.6e-57 	183.3	
STEVOR1.hmm 	PfIT_090005200 	2.6e-13 	37.8 	2e-08 	21.7	
RIFIN-B.hmm 	PfIT_090005300 	2.6e-100 	323.9 	1.1e-54 	174.0	
STEVOR1.hmm 	PfIT_090005300 	2.6e-12 	34.5 	1.6e-09 	25.3	
RIFIN-A.hmm 	PfIT_090005300 	9.3e-153 	496.6 	1e-152 	496.5	
RIFIN-A.hmm 	PfIT_090005400 	2.1e-95 	308.0 	2.5e-56 	179.5	
RIFIN-B.hmm 	PfIT_090005400 	2.4e-136 	442.3 	2.8e-136 	442.1	
