RIFIN-B.hmm 	PfHB3_000006500 	1.4e-104 	338.0 	2e-59 	189.6	
RIFIN-B.hmm 	PfHB3_010006000 	1.8e-103 	334.3 	1.5e-57 	183.4	
STEVOR1.hmm 	PfHB3_010006000 	4.3e-10 	27.2 	3.1e-07 	17.8	
RIFIN-A.hmm 	PfHB3_010006100 	1.2e-99 	322.0 	3e-54 	172.7	
STEVOR1.hmm 	PfHB3_010006100 	1.7e-15 	44.9 	6.2e-10 	26.7	
RIFIN-B.hmm 	PfHB3_010006100 	6.2e-149 	483.7 	6.9e-149 	483.5	
STEVOR1.hmm 	PfHB3_010019000 	2.5e-10 	28.0 	2.5e-10 	28.0	
RIFIN-B.hmm 	PfHB3_010019000 	5.3e-98 	316.3 	5.1e-60 	191.5	
RIFIN-A.hmm 	PfHB3_010019000 	5.9e-126 	408.5 	2.7e-125 	406.3	
RIFIN-B.hmm 	PfHB3_010019100 	1.4e-129 	420.1 	1.6e-129 	419.9	
RIFIN-A.hmm 	PfHB3_010019100 	1.4e-98 	318.5 	2.8e-55 	176.1	
STEVOR1.hmm 	PfHB3_010019100 	6.6e-16 	46.3 	1.6e-11 	31.9	
RIFIN-B.hmm 	PfHB3_010019400 	1.5e-109 	354.2 	7e-62 	197.6	
STEVOR1.hmm 	PfHB3_010019400 	3.4e-11 	30.8 	4.7e-08 	20.5	
RIFIN-A.hmm 	PfHB3_010019400 	3.7e-153 	498.0 	4.1e-153 	497.8	
STEVOR1.hmm 	PfHB3_020005800 	1e-13 	39.1 	8.8e-09 	22.9	
RIFIN-B.hmm 	PfHB3_020005800 	5.8e-104 	335.9 	2.5e-57 	182.6	
RIFIN-A.hmm 	PfHB3_020005800 	5.8e-153 	497.3 	6.6e-153 	497.1	
RIFIN-A.hmm 	PfHB3_020006000 	1.4e-131 	427.0 	1.7e-131 	426.8	
STEVOR1.hmm 	PfHB3_020006000 	1.6e-12 	35.2 	1.2e-07 	19.2	
RIFIN-B.hmm 	PfHB3_020006000 	1e-93 	302.2 	1.3e-50 	160.6	
RIFIN-A.hmm 	PfHB3_020006100 	2.9e-11 	31.3 	3.1e-10 	28.0	
STEVOR1.hmm 	PfHB3_020006100 	4.7e-160 	519.7 	5.3e-160 	519.5	
RIFIN-B.hmm 	PfHB3_020006100 	8.4e-13 	36.3 	1.2e-11 	32.6	
RIFIN-A.hmm 	PfHB3_020026400 	1.5e-144 	469.7 	1.6e-144 	469.5	
STEVOR1.hmm 	PfHB3_020026400 	6.6e-11 	29.9 	1.1e-07 	19.4	
RIFIN-B.hmm 	PfHB3_020026400 	8.2e-107 	345.3 	4.7e-59 	188.3	
RIFIN-A.hmm 	PfHB3_030028200 	1.3e-143 	466.6 	1.4e-143 	466.5	
RIFIN-B.hmm 	PfHB3_030028200 	3.2e-104 	336.8 	7.5e-59 	187.7	
STEVOR1.hmm 	PfHB3_030028200 	3.3e-09 	24.3 	1.9e-08 	21.8	
STEVOR1.hmm 	PfHB3_030028300 	1.5e-12 	35.3 	1.9e-09 	25.1	
RIFIN-A.hmm 	PfHB3_030028300 	2.5e-106 	344.0 	8e-63 	200.9	
RIFIN-B.hmm 	PfHB3_030028300 	8.1e-150 	486.6 	9.1e-150 	486.4	
STEVOR1.hmm 	PfHB3_030028400 	1.6e-18 	54.9 	6.4e-11 	29.9	
RIFIN-B.hmm 	PfHB3_030028400 	3.1e-145 	471.5 	3.5e-145 	471.4	
RIFIN-A.hmm 	PfHB3_030028400 	9.8e-101 	325.6 	6.1e-56 	178.3	
RIFIN-A.hmm 	PfHB3_030028500 	4e-148 	481.4 	4.5e-148 	481.2	
RIFIN-B.hmm 	PfHB3_030028500 	7.3e-108 	348.7 	4.7e-61 	194.9	
STEVOR1.hmm 	PfHB3_030028500 	9.9e-12 	32.6 	9.4e-09 	22.8	
STEVOR1.hmm 	PfHB3_030028600 	1e-12 	35.8 	7.1e-09 	23.2	
RIFIN-B.hmm 	PfHB3_030028600 	2.7e-102 	330.4 	1.5e-55 	176.8	
RIFIN-A.hmm 	PfHB3_030028600 	9.7e-149 	483.4 	1.1e-148 	483.3	
RIFIN-B.hmm 	PfHB3_030028900 	1.6e-100 	324.6 	6e-54 	171.6	
RIFIN-A.hmm 	PfHB3_030028900 	3.4e-139 	452.1 	3.8e-139 	451.9	
STEVOR1.hmm 	PfHB3_030028900 	4.8e-14 	40.2 	1.4e-08 	22.3	
RIFIN-A.hmm 	PfHB3_030029000 	2.3e-09 	25.1 	2.2e-08 	21.9	
RIFIN-B.hmm 	PfHB3_030029000 	8.3e-12 	33.1 	3.3e-10 	27.8	
STEVOR1.hmm 	PfHB3_030029000 	8.3e-170 	551.7 	9.3e-170 	551.5	
STEVOR1.hmm 	PfHB3_030029200 	5.7e-10 	26.8 	1.4e-07 	19.0	
RIFIN-B.hmm 	PfHB3_030029200 	7.1e-99 	319.2 	5.2e-53 	168.5	
RIFIN-A.hmm 	PfHB3_030029200 	9.1e-157 	509.8 	1e-156 	509.7	
STEVOR1.hmm 	PfHB3_030029300 	1.8e-12 	35.0 	2.2e-09 	24.9	
RIFIN-A.hmm 	PfHB3_030029300 	4.8e-141 	458.1 	5.4e-141 	458.0	
RIFIN-B.hmm 	PfHB3_030029300 	7.2e-100 	322.5 	3.7e-53 	168.9	
STEVOR1.hmm 	PfHB3_040005100 	6.2e-12 	33.3 	1.1e-07 	19.3	
RIFIN-B.hmm 	PfHB3_040005100 	6.3e-99 	319.3 	4.9e-54 	171.8	
RIFIN-A.hmm 	PfHB3_040005100 	6.7e-148 	480.7 	7.5e-148 	480.5	
STEVOR1.hmm 	PfHB3_040005200 	1.6e-11 	31.9 	2.5e-10 	28.0	
RIFIN-A.hmm 	PfHB3_040005200 	3.8e-112 	363.1 	1.1e-70 	226.7	
RIFIN-B.hmm 	PfHB3_040005200 	9.3e-96 	308.9 	1e-95 	308.8	
STEVOR1.hmm 	PfHB3_040005400 	1.4e-08 	22.3 	3.3e-08 	21.0	
RIFIN-B.hmm 	PfHB3_040005400 	1.6e-42 	134.0 	3.9e-29 	90.0	
RIFIN-A.hmm 	PfHB3_040005400 	4e-53 	169.0 	5.8e-53 	168.5	
RIFIN-B.hmm 	PfHB3_040006300 	1.2e-88 	285.5 	2e-49 	156.7	
RIFIN-A.hmm 	PfHB3_040006300 	1e-115 	374.8 	4.5e-115 	372.7	
STEVOR1.hmm 	PfHB3_040006300 	2.1e-12 	34.8 	1.8e-10 	28.4	
STEVOR1.hmm 	PfHB3_040006500 	2.7e-08 	21.3 	9.5e-06 	13.0	
RIFIN-A.hmm 	PfHB3_040006500 	4.3e-98 	316.9 	1.1e-69 	223.5	
RIFIN-B.hmm 	PfHB3_040006500 	5e-75 	240.8 	7.8e-43 	135.0	
RIFIN-B.hmm 	PfHB3_040017000 	2.3e-47 	149.9 	7e-38 	118.7	
RIFIN-A.hmm 	PfHB3_040017000 	2.4e-71 	228.9 	3.2e-71 	228.5	
STEVOR1.hmm 	PfHB3_040017000 	3 	-5.1 	0.0074 	3.4	
RIFIN-B.hmm 	PfHB3_040017200 	1.2e-112 	364.5 	2.1e-61 	196.0	
STEVOR1.hmm 	PfHB3_040017200 	1.3e-13 	38.8 	9.6e-10 	26.1	
RIFIN-A.hmm 	PfHB3_040017200 	1.3e-151 	492.9 	1.4e-151 	492.7	
RIFIN-B.hmm 	PfHB3_040024900 	1.2e-78 	252.7 	1e-54 	174.0	
RIFIN-A.hmm 	PfHB3_040024900 	4.4e-103 	333.3 	5.2e-103 	333.1	
STEVOR1.hmm 	PfHB3_040024900 	5.4e-10 	26.9 	5.4e-10 	26.9	
STEVOR1.hmm 	PfHB3_040029000 	1.4e-06 	15.6 	7.6e-05 	10.0	
RIFIN-B.hmm 	PfHB3_040029000 	3e-109 	353.3 	3.6e-109 	353.0	
RIFIN-A.hmm 	PfHB3_040029000 	7e-77 	247.1 	1.7e-48 	153.8	
RIFIN-B.hmm 	PfHB3_040029100 	1.7e-97 	314.6 	1.8e-51 	163.4	
RIFIN-A.hmm 	PfHB3_040029100 	1.8e-149 	485.8 	2e-149 	485.7	
STEVOR1.hmm 	PfHB3_040029100 	4.4e-10 	27.2 	4.6e-07 	17.3	
STEVOR1.hmm 	PfHB3_040029200 	2.2e-08 	21.6 	2.2e-08 	21.6	
RIFIN-A.hmm 	PfHB3_040029200 	5.9e-80 	257.2 	8e-62 	197.6	
RIFIN-B.hmm 	PfHB3_040029200 	9.1e-103 	332.0 	1e-102 	331.8	
STEVOR1.hmm 	PfHB3_040029400 	2.8e-10 	27.8 	5.6e-08 	20.3	
RIFIN-A.hmm 	PfHB3_040029400 	4.9e-155 	504.1 	5.5e-155 	504.0	
RIFIN-B.hmm 	PfHB3_040029400 	6.7e-102 	329.1 	6.4e-56 	178.0	
RIFIN-A.hmm 	PfHB3_050005300 	1.4e-143 	466.5 	1.5e-143 	466.3	
RIFIN-B.hmm 	PfHB3_050005300 	2.9e-100 	323.8 	3.6e-55 	175.6	
STEVOR1.hmm 	PfHB3_050005300 	3.9e-14 	40.5 	6.1e-09 	23.4	
RIFIN-A.hmm 	PfHB3_050005400 	1.5e-121 	394.0 	9.8e-121 	391.3	
RIFIN-B.hmm 	PfHB3_050005400 	2.7e-92 	297.5 	5.5e-54 	171.7	
STEVOR1.hmm 	PfHB3_050005400 	3.1e-15 	44.1 	1.4e-12 	35.4	
RIFIN-A.hmm 	PfHB3_050005500 	3.1e-07 	18.1 	5.5e-07 	17.3	
RIFIN-B.hmm 	PfHB3_050005500 	5.5e-10 	27.1 	2.5e-09 	24.9	
STEVOR1.hmm 	PfHB3_050005500 	7.7e-163 	528.8 	8.6e-163 	528.7	
RIFIN-A.hmm 	PfHB3_050005600 	3.5e-14 	40.9 	1.4e-10 	29.2	
STEVOR1.hmm 	PfHB3_050005600 	4e-165 	536.3 	4.4e-165 	536.2	
RIFIN-B.hmm 	PfHB3_050005600 	9.7e-16 	46.0 	7.1e-12 	33.3	
STEVOR1.hmm 	PfHB3_050005700 	3.2e-16 	47.4 	1e-10 	29.3	
RIFIN-B.hmm 	PfHB3_050005700 	3.3e-132 	428.7 	3.7e-132 	428.6	
RIFIN-A.hmm 	PfHB3_050005700 	6.1e-99 	319.7 	8.5e-53 	167.9	
STEVOR1.hmm 	PfHB3_050005800 	1.3e-16 	48.7 	1.1e-10 	29.1	
RIFIN-A.hmm 	PfHB3_050005800 	4.6e-97 	313.5 	5.5e-54 	171.8	
RIFIN-B.hmm 	PfHB3_050005800 	9.7e-142 	460.0 	1.1e-141 	459.9	
RIFIN-B.hmm 	PfHB3_050037600 	2.4e-131 	425.9 	2.6e-131 	425.7	
STEVOR1.hmm 	PfHB3_050037600 	5.6e-15 	43.2 	1.8e-09 	25.2	
RIFIN-A.hmm 	PfHB3_050037600 	7.5e-99 	319.4 	1.6e-54 	173.6	
STEVOR1.hmm 	PfHB3_050037900 	1.5e-11 	32.0 	1.1e-08 	22.6	
RIFIN-A.hmm 	PfHB3_050037900 	5.2e-144 	467.9 	5.8e-144 	467.7	
RIFIN-B.hmm 	PfHB3_050037900 	8e-94 	302.6 	6.6e-52 	164.8	
STEVOR1.hmm 	PfHB3_050038100 	2.4e-15 	44.5 	9.5e-11 	29.4	
RIFIN-A.hmm 	PfHB3_050038100 	4.4e-143 	464.8 	4.9e-143 	464.7	
RIFIN-B.hmm 	PfHB3_050038100 	4.5e-113 	365.8 	1.3e-63 	203.4	
RIFIN-A.hmm 	PfHB3_050038200 	1.4e-132 	430.3 	1.6e-132 	430.1	
RIFIN-B.hmm 	PfHB3_050038200 	1.8e-98 	317.9 	1.2e-52 	167.2	
STEVOR1.hmm 	PfHB3_050038200 	6.4e-12 	33.2 	1.1e-09 	25.9	
RIFIN-B.hmm 	PfHB3_050038300 	1.3e-139 	453.0 	1.5e-139 	452.8	
STEVOR1.hmm 	PfHB3_050038300 	2.7e-08 	21.3 	7.1e-07 	16.7	
RIFIN-A.hmm 	PfHB3_050038300 	3.5e-109 	353.4 	7.7e-63 	201.0	
RIFIN-B.hmm 	PfHB3_050038400 	2.3e-97 	314.2 	1.7e-53 	170.1	
STEVOR1.hmm 	PfHB3_050038400 	5e-08 	20.4 	2.4e-07 	18.2	
RIFIN-A.hmm 	PfHB3_050038400 	8.9e-142 	460.5 	1e-141 	460.4	
RIFIN-B.hmm 	PfHB3_060021900 	1.9e-112 	363.8 	1.1e-62 	200.3	
RIFIN-A.hmm 	PfHB3_060021900 	3e-141 	458.8 	3.4e-141 	458.6	
STEVOR1.hmm 	PfHB3_060021900 	5.2e-17 	49.9 	1.2e-13 	38.9	
RIFIN-B.hmm 	PfHB3_060035900 	1.5e-102 	331.2 	1.9e-58 	186.3	
RIFIN-A.hmm 	PfHB3_060035900 	1.6e-140 	456.4 	1.8e-140 	456.2	
STEVOR1.hmm 	PfHB3_060035900 	1.9e-16 	48.1 	3.3e-13 	37.4	
RIFIN-A.hmm 	PfHB3_060036000 	2.2e-103 	334.3 	3.3e-60 	192.3	
RIFIN-B.hmm 	PfHB3_060036000 	4.8e-147 	477.5 	5.4e-147 	477.3	
STEVOR1.hmm 	PfHB3_060036000 	5.8e-13 	36.6 	8.6e-10 	26.2	
STEVOR1.hmm 	PfHB3_060036100 	4.4e-18 	53.5 	2.2e-12 	34.7	
RIFIN-A.hmm 	PfHB3_060036100 	7.4e-101 	326.0 	4.4e-57 	182.0	
RIFIN-B.hmm 	PfHB3_060036100 	9.1e-144 	466.7 	1e-143 	466.5	
RIFIN-B.hmm 	PfHB3_060036200 	1.3e-12 	35.7 	5.1e-11 	30.5	
STEVOR1.hmm 	PfHB3_060036200 	1.6e-171 	557.4 	1.7e-171 	557.2	
RIFIN-A.hmm 	PfHB3_060036200 	4.9e-10 	27.3 	2.1e-09 	25.2	
STEVOR1.hmm 	PfHB3_060036300 	1.3e-09 	25.7 	2.7e-07 	18.0	
RIFIN-B.hmm 	PfHB3_060036300 	1.6e-102 	331.2 	9.8e-57 	180.7	
RIFIN-A.hmm 	PfHB3_060036300 	9.5e-142 	460.4 	1.1e-141 	460.3	
RIFIN-A.hmm 	PfHB3_060036400 	1.4e-138 	450.0 	1.6e-138 	449.9	
RIFIN-B.hmm 	PfHB3_060036400 	2.2e-101 	327.4 	9.8e-56 	177.4	
STEVOR1.hmm 	PfHB3_060036400 	2.4e-15 	44.4 	1.2e-12 	35.6	
STEVOR1.hmm 	PfHB3_060036500 	2.9e-16 	47.5 	2e-12 	34.8	
RIFIN-A.hmm 	PfHB3_060036500 	3e-149 	485.1 	3.3e-149 	485.0	
RIFIN-B.hmm 	PfHB3_060036500 	5.7e-96 	309.6 	4.9e-52 	165.3	
STEVOR1.hmm 	PfHB3_060036600 	1e-11 	32.6 	1.7e-08 	22.0	
RIFIN-B.hmm 	PfHB3_060036600 	2.6e-99 	320.6 	8.4e-56 	177.6	
RIFIN-A.hmm 	PfHB3_060036600 	4.7e-139 	451.6 	5.3e-139 	451.4	
STEVOR1.hmm 	PfHB3_060036800 	2.7e-13 	37.7 	2.3e-09 	24.8	
RIFIN-A.hmm 	PfHB3_060036800 	4e-143 	465.0 	4.5e-143 	464.8	
RIFIN-B.hmm 	PfHB3_060036800 	7.7e-113 	365.1 	2.1e-63 	202.6	
RIFIN-B.hmm 	PfHB3_060036900 	1.2e-104 	338.2 	2.2e-56 	179.5	
RIFIN-A.hmm 	PfHB3_060036900 	2.3e-147 	478.9 	2.6e-147 	478.7	
STEVOR1.hmm 	PfHB3_060036900 	7.7e-10 	26.4 	5.6e-08 	20.3	
RIFIN-B.hmm 	PfHB3_070005400 	1.3e-93 	301.9 	1.7e-49 	156.9	
STEVOR1.hmm 	PfHB3_070005400 	5e-16 	46.7 	9e-11 	29.4	
RIFIN-A.hmm 	PfHB3_070005400 	6.9e-135 	437.9 	8.4e-135 	437.6	
RIFIN-A.hmm 	PfHB3_070005600 	3.3e-131 	425.8 	3.7e-131 	425.6	
RIFIN-B.hmm 	PfHB3_070005600 	4.2e-103 	333.1 	3.5e-63 	201.9	
STEVOR1.hmm 	PfHB3_070005600 	6.1e-11 	30.0 	3.7e-08 	20.9	
RIFIN-B.hmm 	PfHB3_070005700 	1.1e-13 	39.2 	1.4e-12 	35.6	
STEVOR1.hmm 	PfHB3_070005700 	1.3e-160 	521.6 	1.4e-160 	521.4	
RIFIN-A.hmm 	PfHB3_070005700 	2.1e-12 	35.1 	1.4e-09 	25.8	
RIFIN-A.hmm 	PfHB3_070005800 	4.5e-123 	399.0 	6.4e-123 	398.5	
RIFIN-B.hmm 	PfHB3_070005800 	4.9e-87 	280.3 	2.2e-53 	169.7	
STEVOR1.hmm 	PfHB3_070005800 	5.1e-07 	17.1 	5.1e-07 	17.1	
RIFIN-B.hmm 	PfHB3_070016200 	1.4e-101 	328.1 	1.7e-58 	186.5	
STEVOR1.hmm 	PfHB3_070016200 	3.3e-15 	44.0 	9e-11 	29.4	
RIFIN-A.hmm 	PfHB3_070016200 	6.1e-136 	441.3 	6.9e-136 	441.2	
STEVOR1.hmm 	PfHB3_070034600 	3.3e-06 	14.4 	1e-05 	12.9	
RIFIN-A.hmm 	PfHB3_070034600 	3.4e-70 	225.1 	1.4e-46 	147.5	
RIFIN-B.hmm 	PfHB3_070034600 	6.8e-95 	306.1 	3.5e-57 	182.2	
RIFIN-B.hmm 	PfHB3_070034700 	1.3e-12 	35.7 	3.6e-10 	27.7	
RIFIN-A.hmm 	PfHB3_070034700 	2.3e-13 	38.3 	3.7e-10 	27.7	
STEVOR1.hmm 	PfHB3_070034700 	4.3e-174 	565.8 	4.8e-174 	565.6	
RIFIN-B.hmm 	PfHB3_070034900 	1e-114 	371.2 	3.5e-68 	218.3	
RIFIN-A.hmm 	PfHB3_070034900 	2.3e-156 	508.5 	2.5e-156 	508.4	
STEVOR1.hmm 	PfHB3_070034900 	9.2e-09 	22.8 	8.9e-07 	16.3	
RIFIN-A.hmm 	PfHB3_080005200 	1.8e-146 	476.0 	2e-146 	475.8	
RIFIN-B.hmm 	PfHB3_080005200 	1e-102 	331.8 	5.8e-58 	184.8	
STEVOR1.hmm 	PfHB3_080005200 	5.2e-13 	36.8 	3.8e-08 	20.8	
RIFIN-A.hmm 	PfHB3_080005300 	1.9e-96 	311.5 	7.9e-52 	164.7	
RIFIN-B.hmm 	PfHB3_080005300 	5.2e-147 	477.4 	5.8e-147 	477.2	
STEVOR1.hmm 	PfHB3_080005300 	6.3e-14 	39.8 	2e-10 	28.3	
RIFIN-B.hmm 	PfHB3_080005400 	1.2e-105 	341.4 	5.4e-59 	188.1	
RIFIN-A.hmm 	PfHB3_080005400 	3.6e-155 	504.6 	4e-155 	504.4	
STEVOR1.hmm 	PfHB3_080005400 	4.8e-08 	20.5 	2.6e-07 	18.1	
RIFIN-B.hmm 	PfHB3_080005500 	1.2e-13 	39.1 	5.3e-12 	33.7	
RIFIN-A.hmm 	PfHB3_080005500 	7.1e-13 	36.6 	7.2e-11 	30.1	
STEVOR1.hmm 	PfHB3_080005500 	7e-167 	542.1 	7.8e-167 	541.9	
RIFIN-A.hmm 	PfHB3_080005600 	1.1e-142 	463.5 	1.3e-142 	463.3	
RIFIN-B.hmm 	PfHB3_080005600 	2.3e-98 	317.5 	3.1e-54 	172.5	
STEVOR1.hmm 	PfHB3_080005600 	6.3e-14 	39.8 	1.9e-09 	25.1	
STEVOR1.hmm 	PfHB3_080013700 	1.3e-15 	45.4 	1.9e-12 	35.0	
RIFIN-B.hmm 	PfHB3_080013700 	1e-114 	371.2 	7.9e-63 	200.7	
RIFIN-A.hmm 	PfHB3_080013700 	9.2e-152 	493.4 	1e-151 	493.2	
STEVOR1.hmm 	PfHB3_080013900 	2.7e-18 	54.1 	2.3e-14 	41.2	
RIFIN-B.hmm 	PfHB3_080013900 	3.9e-113 	366.0 	1.2e-58 	187.0	
RIFIN-A.hmm 	PfHB3_080013900 	3e-140 	455.5 	3.3e-140 	455.4	
STEVOR1.hmm 	PfHB3_080014300 	2.2e-13 	38.0 	1.3e-10 	28.9	
RIFIN-B.hmm 	PfHB3_080014300 	3.5e-106 	343.2 	2.8e-57 	182.5	
RIFIN-A.hmm 	PfHB3_080014300 	6.9e-135 	437.9 	7.8e-135 	437.7	
RIFIN-B.hmm 	PfHB3_080014400 	1.4e-96 	311.6 	1.1e-56 	180.5	
RIFIN-A.hmm 	PfHB3_080014400 	8.2e-134 	434.3 	9.2e-134 	434.2	
STEVOR1.hmm 	PfHB3_080014400 	8.2e-17 	49.3 	2.8e-12 	34.4	
STEVOR1.hmm 	PfHB3_080037300 	1.3e-81 	262.1 	5.5e-81 	260.0	
RIFIN-B.hmm 	PfHB3_080037500 	1.8e-84 	271.8 	1.5e-46 	147.3	
STEVOR1.hmm 	PfHB3_080037500 	3.2e-17 	50.6 	1.4e-13 	38.7	
RIFIN-A.hmm 	PfHB3_080037500 	3.3e-119 	386.3 	4e-119 	386.1	
RIFIN-A.hmm 	PfHB3_090005600 	2.3e-149 	485.5 	2.6e-149 	485.3	
STEVOR1.hmm 	PfHB3_090005600 	4.5e-11 	30.4 	1.4e-07 	18.9	
RIFIN-B.hmm 	PfHB3_090005600 	8.6e-107 	345.2 	6e-63 	201.1	
STEVOR1.hmm 	PfHB3_090005900 	4.6e-12 	33.7 	1.5e-08 	22.2	
RIFIN-A.hmm 	PfHB3_090005900 	4.6e-148 	481.2 	5.2e-148 	481.0	
RIFIN-B.hmm 	PfHB3_090005900 	8.6e-109 	351.8 	1.8e-62 	199.6	
STEVOR1.hmm 	PfHB3_090006000 	1.6e-12 	35.2 	6.6e-09 	23.3	
RIFIN-B.hmm 	PfHB3_090006000 	4.6e-101 	326.4 	7.1e-58 	184.4	
RIFIN-A.hmm 	PfHB3_090006000 	8.2e-151 	490.3 	9.2e-151 	490.1	
RIFIN-A.hmm 	PfHB3_090006100 	1.4e-146 	476.3 	1.6e-146 	476.1	
RIFIN-B.hmm 	PfHB3_090006100 	1.6e-98 	318.0 	1.1e-53 	170.7	
STEVOR1.hmm 	PfHB3_090006100 	2.1e-18 	54.5 	4.5e-12 	33.7	
RIFIN-A.hmm 	PfHB3_090006200 	1.3e-91 	295.6 	4.3e-54 	172.2	
STEVOR1.hmm 	PfHB3_090006200 	1.5e-17 	51.7 	1.3e-10 	28.9	
RIFIN-B.hmm 	PfHB3_090006200 	3.3e-141 	458.3 	3.7e-141 	458.1	
RIFIN-A.hmm 	PfHB3_090006300 	1.1e-140 	456.9 	1.3e-140 	456.8	
RIFIN-B.hmm 	PfHB3_090006300 	1.2e-101 	328.2 	1.3e-59 	190.1	
STEVOR1.hmm 	PfHB3_090006300 	3.6e-14 	40.6 	1.4e-12 	35.4	
RIFIN-B.hmm 	PfHB3_090006400 	1e-14 	42.7 	1.2e-10 	29.2	
RIFIN-A.hmm 	PfHB3_090006400 	7.9e-12 	33.2 	1.2e-09 	26.0	
STEVOR1.hmm 	PfHB3_090006400 	9.2e-165 	535.1 	1e-164 	535.0	
RIFIN-B.hmm 	PfHB3_100005000 	2.6e-64 	205.6 	3.6e-51 	162.4	
RIFIN-A.hmm 	PfHB3_100005000 	6.6e-103 	332.7 	7.3e-103 	332.6	
STEVOR1.hmm 	PfHB3_100005000 	9.4e-08 	19.5 	1.2e-07 	19.2	
RIFIN-B.hmm 	PfHB3_100005100 	1e-142 	463.2 	1.2e-142 	463.1	
STEVOR1.hmm 	PfHB3_100005100 	7.8e-13 	36.2 	2.4e-09 	24.8	
RIFIN-A.hmm 	PfHB3_100005100 	9.2e-99 	319.1 	2.1e-60 	193.0	
RIFIN-B.hmm 	PfHB3_100005300 	1.1e-08 	22.8 	2.4e-08 	21.7	
STEVOR1.hmm 	PfHB3_100005300 	2.1e-106 	343.5 	2.6e-106 	343.2	
RIFIN-A.hmm 	PfHB3_100005300 	7.1e-11 	30.1 	3.2e-07 	18.1	
RIFIN-A.hmm 	PfHB3_100043900 	2.2e-16 	48.2 	3.6e-12 	34.3	
STEVOR1.hmm 	PfHB3_100043900 	3.7e-153 	497.0 	4.1e-153 	496.9	
RIFIN-B.hmm 	PfHB3_100043900 	4.3e-20 	60.3 	8.2e-15 	42.9	
RIFIN-B.hmm 	PfHB3_100044000 	3.8e-131 	425.2 	4.3e-131 	425.1	
STEVOR1.hmm 	PfHB3_100044000 	4.5e-17 	50.1 	9.4e-17 	49.1	
RIFIN-A.hmm 	PfHB3_100044000 	9.5e-89 	286.2 	1.8e-47 	150.4	
STEVOR1.hmm 	PfHB3_100044300 	3.4e-15 	44.0 	1.4e-10 	28.8	
RIFIN-B.hmm 	PfHB3_100044300 	5.6e-111 	359.0 	1.2e-64 	206.7	
RIFIN-A.hmm 	PfHB3_100044300 	6.9e-147 	477.4 	7.7e-147 	477.2	
