RIFIN-A.hmm 	PfSN01_000005100 	1.5e-124 	403.8 	1.8e-124 	403.6	
RIFIN-B.hmm 	PfSN01_000016100 	3.1e-107 	346.7 	1.3e-59 	190.2	
RIFIN-A.hmm 	PfSN01_000016100 	7.8e-156 	506.8 	8.7e-156 	506.6	
STEVOR1.hmm 	PfSN01_000016100 	9.1e-13 	36.0 	1.3e-09 	25.7	
RIFIN-B.hmm 	PfSN01_000017200 	1.9e-93 	301.4 	9.6e-49 	154.4	
STEVOR1.hmm 	PfSN01_000017200 	2.1e-13 	38.1 	1.9e-10 	28.4	
RIFIN-A.hmm 	PfSN01_000017200 	4.2e-139 	451.7 	4.8e-139 	451.6	
STEVOR1.hmm 	PfSN01_000018300 	1.2e-14 	42.2 	4.1e-10 	27.3	
RIFIN-A.hmm 	PfSN01_000018300 	1.8e-141 	459.5 	2e-141 	459.4	
RIFIN-B.hmm 	PfSN01_000018300 	9e-117 	378.0 	5.7e-69 	220.9	
RIFIN-A.hmm 	PfSN01_000018600 	1.5e-12 	35.6 	5.8e-10 	27.1	
STEVOR1.hmm 	PfSN01_000018600 	2.6e-167 	543.5 	2.9e-167 	543.3	
RIFIN-B.hmm 	PfSN01_000018600 	5.9e-14 	40.1 	7.1e-11 	30.0	
STEVOR1.hmm 	PfSN01_000018700 	1e-13 	39.1 	2.3e-08 	21.5	
RIFIN-B.hmm 	PfSN01_000018700 	2.3e-148 	481.8 	2.5e-148 	481.7	
RIFIN-A.hmm 	PfSN01_000018700 	5.4e-103 	333.0 	1.5e-54 	173.7	
RIFIN-B.hmm 	PfSN01_000020800 	2.4e-116 	376.6 	2e-64 	206.0	
RIFIN-A.hmm 	PfSN01_000020800 	4.5e-153 	497.7 	5e-153 	497.5	
STEVOR1.hmm 	PfSN01_000020800 	6.3e-13 	36.5 	1.8e-08 	21.9	
RIFIN-B.hmm 	PfSN01_000021000 	5.4e-104 	336.0 	1.2e-58 	187.0	
RIFIN-A.hmm 	PfSN01_000021000 	8.3e-148 	480.4 	9.3e-148 	480.2	
STEVOR1.hmm 	PfSN01_000021000 	9.6e-14 	39.2 	7.3e-09 	23.2	
STEVOR1.hmm 	PfSN01_000021100 	1.1e-18 	55.4 	1.4e-12 	35.4	
RIFIN-B.hmm 	PfSN01_000021100 	2.3e-90 	291.2 	8.3e-48 	151.4	
RIFIN-A.hmm 	PfSN01_000021100 	3.5e-126 	409.3 	4.2e-126 	409.0	
RIFIN-A.hmm 	PfSN01_000021200 	3.1e-138 	448.9 	3.5e-138 	448.7	
RIFIN-B.hmm 	PfSN01_000021200 	3.7e-104 	336.5 	1.6e-54 	173.4	
STEVOR1.hmm 	PfSN01_000021200 	8.2e-17 	49.3 	1e-10 	29.3	
RIFIN-B.hmm 	PfSN01_000021300 	1.1e-12 	36.0 	1.9e-12 	35.2	
STEVOR1.hmm 	PfSN01_000021300 	4.7e-176 	572.2 	5.3e-176 	572.1	
RIFIN-A.hmm 	PfSN01_000021300 	8.7e-11 	29.8 	9.2e-11 	29.7	
STEVOR1.hmm 	PfSN01_010005000 	1.5e-121 	393.2 	1.7e-121 	393.1	
STEVOR1.hmm 	PfSN01_010017100 	1.4e-14 	41.9 	3.1e-09 	24.4	
RIFIN-A.hmm 	PfSN01_010017100 	3.1e-92 	297.6 	3.6e-54 	172.5	
RIFIN-B.hmm 	PfSN01_010017100 	9.8e-134 	433.7 	1.1e-133 	433.6	
RIFIN-A.hmm 	PfSN01_010017800 	1.9e-149 	485.8 	2.1e-149 	485.6	
RIFIN-B.hmm 	PfSN01_010017800 	5.8e-101 	326.1 	4.2e-54 	172.0	
STEVOR1.hmm 	PfSN01_010017800 	6.3e-13 	36.5 	9.7e-09 	22.8	
STEVOR1.hmm 	PfSN01_010017900 	2.2e-13 	38.0 	4.3e-10 	27.2	
RIFIN-B.hmm 	PfSN01_010017900 	6.4e-151 	490.2 	7.2e-151 	490.0	
RIFIN-A.hmm 	PfSN01_010017900 	9.2e-107 	345.4 	1.6e-63 	203.2	
STEVOR1.hmm 	PfSN01_010018000 	1.2e-166 	541.3 	1.4e-166 	541.1	
RIFIN-B.hmm 	PfSN01_010018000 	5.2e-12 	33.7 	5.2e-12 	33.7	
RIFIN-A.hmm 	PfSN01_010018000 	5.7e-10 	27.1 	1.4e-09 	25.8	
RIFIN-A.hmm 	PfSN01_010018300 	1.7e-133 	433.3 	1.9e-133 	433.1	
RIFIN-B.hmm 	PfSN01_010018300 	1.7e-96 	311.4 	7.4e-52 	164.7	
STEVOR1.hmm 	PfSN01_010018300 	2.5e-13 	37.9 	1e-08 	22.7	
RIFIN-A.hmm 	PfSN01_030005100 	2.5e-155 	505.1 	2.8e-155 	504.9	
RIFIN-B.hmm 	PfSN01_030005100 	3.6e-100 	323.4 	7.9e-55 	174.4	
STEVOR1.hmm 	PfSN01_030005100 	4.4e-09 	23.9 	7.3e-08 	19.9	
RIFIN-B.hmm 	PfSN01_030005400 	3.1e-110 	356.5 	3.5e-110 	356.3	
RIFIN-A.hmm 	PfSN01_030005400 	3.5e-122 	396.1 	7.8e-73 	233.8	
STEVOR1.hmm 	PfSN01_030005400 	5.3e-09 	23.6 	7.3e-08 	19.9	
STEVOR1.hmm 	PfSN01_030005600 	1.8e-168 	547.3 	2e-168 	547.1	
RIFIN-A.hmm 	PfSN01_030005600 	3.7e-08 	21.2 	6.3e-08 	20.4	
RIFIN-B.hmm 	PfSN01_030005600 	4.8e-10 	27.3 	3.9e-08 	21.0	
RIFIN-B.hmm 	PfSN01_030005700 	3.1e-110 	356.5 	3.5e-110 	356.3	
RIFIN-A.hmm 	PfSN01_030005700 	3.5e-122 	396.1 	7.8e-73 	233.8	
STEVOR1.hmm 	PfSN01_030005700 	5.3e-09 	23.6 	7.3e-08 	19.9	
STEVOR1.hmm 	PfSN01_030005900 	1.8e-168 	547.3 	2e-168 	547.1	
RIFIN-A.hmm 	PfSN01_030005900 	3.7e-08 	21.2 	6.3e-08 	20.4	
RIFIN-B.hmm 	PfSN01_030005900 	4.8e-10 	27.3 	3.9e-08 	21.0	
RIFIN-A.hmm 	PfSN01_030006000 	1.2e-105 	341.7 	3.7e-66 	211.9	
RIFIN-B.hmm 	PfSN01_030006000 	5.4e-142 	460.9 	6.1e-142 	460.7	
STEVOR1.hmm 	PfSN01_030006000 	6.4e-13 	36.5 	1.2e-08 	22.5	
RIFIN-B.hmm 	PfSN01_030006200 	2.6e-100 	323.9 	1.9e-53 	169.9	
STEVOR1.hmm 	PfSN01_030006200 	5.2e-11 	30.2 	7.1e-09 	23.2	
RIFIN-A.hmm 	PfSN01_030006200 	7e-149 	483.9 	7.9e-149 	483.7	
STEVOR1.hmm 	PfSN01_030006300 	3e-17 	50.7 	5.2e-12 	33.5	
RIFIN-A.hmm 	PfSN01_030006300 	4.7e-121 	392.4 	6.3e-121 	392.0	
RIFIN-B.hmm 	PfSN01_030006300 	4.8e-79 	254.0 	1.8e-47 	150.3	
STEVOR1.hmm 	PfSN01_030006400 	1.7e-27 	84.3 	3.5e-27 	83.4	
RIFIN-B.hmm 	PfSN01_030006400 	5e-08 	20.6 	5e-08 	20.6	
STEVOR1.hmm 	PfSN01_030030200 	1.1e-18 	55.4 	1e-12 	35.8	
RIFIN-A.hmm 	PfSN01_030030200 	1.7e-101 	328.1 	1.9e-53 	170.1	
RIFIN-B.hmm 	PfSN01_030030200 	6.2e-145 	470.5 	6.9e-145 	470.4	
RIFIN-B.hmm 	PfSN01_030030300 	2.3e-13 	38.2 	3.1e-10 	27.9	
RIFIN-A.hmm 	PfSN01_030030300 	7.1e-12 	33.4 	5.1e-09 	24.0	
STEVOR1.hmm 	PfSN01_030030300 	8.4e-163 	528.7 	1e-162 	528.4	
RIFIN-A.hmm 	PfSN01_030030400 	1.6e-154 	502.5 	1.8e-154 	502.3	
STEVOR1.hmm 	PfSN01_030030400 	2.1e-09 	24.9 	3.1e-06 	14.5	
RIFIN-B.hmm 	PfSN01_030030400 	6.6e-99 	319.3 	8.1e-52 	164.6	
STEVOR1.hmm 	PfSN01_030031100 	1.1e-10 	29.2 	4.1e-09 	24.0	
RIFIN-B.hmm 	PfSN01_030031100 	2.8e-136 	442.1 	3.1e-136 	441.9	
RIFIN-A.hmm 	PfSN01_030031100 	2.9e-93 	301.0 	7.6e-53 	168.1	
RIFIN-B.hmm 	PfSN01_030031200 	1.2e-102 	331.6 	1.9e-56 	179.8	
STEVOR1.hmm 	PfSN01_030031200 	6.8e-12 	33.1 	2e-08 	21.7	
RIFIN-A.hmm 	PfSN01_030031200 	7.3e-141 	457.5 	8.2e-141 	457.4	
STEVOR1.hmm 	PfSN01_030031300 	1.2e-11 	32.3 	7.3e-09 	23.2	
RIFIN-A.hmm 	PfSN01_030031300 	1.7e-97 	314.9 	6.2e-61 	194.7	
RIFIN-B.hmm 	PfSN01_030031300 	2e-140 	455.7 	2.3e-140 	455.5	
RIFIN-B.hmm 	PfSN01_030031400 	1.4e-106 	344.5 	1.5e-57 	183.4	
STEVOR1.hmm 	PfSN01_030031400 	6.6e-13 	36.5 	5.2e-09 	23.7	
RIFIN-A.hmm 	PfSN01_030031400 	6.8e-147 	477.4 	7.7e-147 	477.2	
STEVOR1.hmm 	PfSN01_040005300 	1.8e-10 	28.4 	9.7e-08 	19.5	
RIFIN-B.hmm 	PfSN01_040005300 	6.7e-100 	322.5 	4.6e-53 	168.7	
RIFIN-A.hmm 	PfSN01_040005300 	7.2e-153 	497.0 	8.1e-153 	496.8	
RIFIN-B.hmm 	PfSN01_040005500 	1.7e-96 	311.3 	1.8e-51 	163.4	
STEVOR1.hmm 	PfSN01_040005500 	3e-14 	40.9 	1.8e-10 	28.4	
RIFIN-A.hmm 	PfSN01_040005500 	5.4e-138 	448.1 	6.2e-138 	447.9	
RIFIN-B.hmm 	PfSN01_040005700 	1.1e-148 	482.9 	1.2e-148 	482.7	
STEVOR1.hmm 	PfSN01_040005700 	1.4e-17 	51.8 	1.9e-10 	28.4	
RIFIN-A.hmm 	PfSN01_040005700 	4.5e-104 	336.5 	7.4e-57 	181.3	
RIFIN-B.hmm 	PfSN01_040005800 	1.9e-134 	436.0 	2.3e-134 	435.8	
STEVOR1.hmm 	PfSN01_040005800 	2.7e-15 	44.3 	5.6e-11 	30.1	
RIFIN-A.hmm 	PfSN01_040005800 	4.9e-93 	300.3 	1.6e-56 	180.2	
RIFIN-B.hmm 	PfSN01_040006300 	1.3e-43 	137.6 	2e-30 	94.2	
RIFIN-A.hmm 	PfSN01_040006300 	2.2e-49 	156.7 	4.4e-49 	155.7	
STEVOR1.hmm 	PfSN01_040006300 	4.9e-09 	23.7 	2.5e-08 	21.4	
RIFIN-B.hmm 	PfSN01_040007200 	2.9e-89 	287.6 	2e-49 	156.7	
STEVOR1.hmm 	PfSN01_040007200 	5.2e-13 	36.8 	5.6e-10 	26.8	
RIFIN-A.hmm 	PfSN01_040007200 	6.4e-117 	378.8 	2.6e-116 	376.8	
STEVOR1.hmm 	PfSN01_040007400 	0.00016 	9.0 	0.017 	2.3	
RIFIN-B.hmm 	PfSN01_040007400 	1.4e-74 	239.3 	4.5e-41 	129.3	
RIFIN-A.hmm 	PfSN01_040007400 	2.7e-98 	317.5 	3.7e-69 	221.7	
RIFIN-B.hmm 	PfSN01_040017600 	3e-34 	106.8 	1.2e-28 	88.4	
RIFIN-A.hmm 	PfSN01_040017600 	4.2e-52 	165.6 	5.3e-52 	165.3	
STEVOR1.hmm 	PfSN01_040017900 	1.3e-14 	42.0 	1.6e-11 	31.9	
RIFIN-A.hmm 	PfSN01_040017900 	2.4e-134 	436.1 	2.7e-134 	435.9	
RIFIN-B.hmm 	PfSN01_040017900 	6.5e-105 	339.0 	5.8e-55 	174.9	
RIFIN-A.hmm 	PfSN01_040018000 	1.1e-134 	437.2 	1.3e-134 	437.0	
STEVOR1.hmm 	PfSN01_040018000 	2.4e-15 	44.5 	8.1e-10 	26.3	
RIFIN-B.hmm 	PfSN01_040018000 	2e-115 	373.6 	3.6e-63 	201.8	
RIFIN-B.hmm 	PfSN01_040025700 	1.3e-14 	42.2 	3.3e-11 	31.1	
RIFIN-A.hmm 	PfSN01_040025700 	1.4e-13 	39.0 	4.1e-10 	27.6	
STEVOR1.hmm 	PfSN01_040025700 	8e-164 	532.0 	9e-164 	531.9	
STEVOR1.hmm 	PfSN01_040025800 	2.7e-14 	41.0 	9.8e-09 	22.8	
RIFIN-B.hmm 	PfSN01_040025800 	5.8e-83 	266.9 	4.8e-47 	148.9	
RIFIN-A.hmm 	PfSN01_040025800 	7.2e-104 	335.9 	1e-103 	335.4	
STEVOR1.hmm 	PfSN01_040026000 	1.7e-15 	45.0 	2.2e-12 	34.7	
RIFIN-B.hmm 	PfSN01_040026000 	3.4e-104 	336.7 	1.6e-60 	193.2	
RIFIN-A.hmm 	PfSN01_040026000 	9.9e-131 	424.2 	1.1e-130 	424.1	
STEVOR1.hmm 	PfSN01_040030200 	4.5e-164 	532.9 	5e-164 	532.7	
RIFIN-B.hmm 	PfSN01_040030200 	4.6e-14 	40.5 	2e-10 	28.5	
RIFIN-A.hmm 	PfSN01_040030200 	7.4e-12 	33.3 	3.9e-10 	27.7	
STEVOR1.hmm 	PfSN01_040030300 	5e-17 	50.0 	1.1e-12 	35.7	
RIFIN-B.hmm 	PfSN01_040030300 	8.1e-91 	292.7 	5.7e-51 	161.8	
RIFIN-A.hmm 	PfSN01_040030300 	8e-125 	404.8 	9e-125 	404.6	
RIFIN-B.hmm 	PfSN01_040030400 	1.8e-83 	268.6 	2.2e-50 	159.8	
RIFIN-A.hmm 	PfSN01_040030400 	2.1e-127 	413.3 	2.6e-127 	413.0	
STEVOR1.hmm 	PfSN01_040030400 	3.9e-15 	43.8 	2e-11 	31.6	
RIFIN-A.hmm 	PfSN01_040030500 	3.8e-103 	333.5 	4.2e-63 	201.8	
STEVOR1.hmm 	PfSN01_040030500 	6e-13 	36.6 	6.6e-09 	23.3	
RIFIN-B.hmm 	PfSN01_040030500 	8.9e-147 	476.6 	1e-146 	476.4	
STEVOR1.hmm 	PfSN01_050005100 	4.6e-13 	37.0 	3.4e-08 	21.0	
RIFIN-A.hmm 	PfSN01_050005100 	4.6e-148 	481.2 	5.2e-148 	481.0	
RIFIN-B.hmm 	PfSN01_050005100 	9e-103 	332.0 	1.9e-58 	186.4	
RIFIN-A.hmm 	PfSN01_050005200 	1.4e-127 	413.8 	1.7e-127 	413.5	
STEVOR1.hmm 	PfSN01_050005200 	6.9e-20 	59.4 	5.8e-13 	36.6	
RIFIN-B.hmm 	PfSN01_050005200 	9.3e-90 	289.2 	7.4e-47 	148.2	
RIFIN-B.hmm 	PfSN01_050005300 	2.1e-92 	297.9 	1.1e-48 	154.3	
STEVOR1.hmm 	PfSN01_050005300 	2.2e-16 	47.9 	7.2e-14 	39.6	
RIFIN-A.hmm 	PfSN01_050005300 	7.3e-123 	398.3 	8.2e-123 	398.2	
STEVOR1.hmm 	PfSN01_050005500 	6.5e-13 	36.5 	3.7e-08 	20.9	
RIFIN-B.hmm 	PfSN01_050005500 	6e-101 	326.0 	3.1e-56 	179.1	
RIFIN-A.hmm 	PfSN01_050005500 	7.8e-148 	480.5 	8.8e-148 	480.3	
RIFIN-A.hmm 	PfSN01_050005600 	1.4e-127 	413.8 	1.7e-127 	413.5	
STEVOR1.hmm 	PfSN01_050005600 	6.9e-20 	59.4 	5.8e-13 	36.6	
RIFIN-B.hmm 	PfSN01_050005600 	9.3e-90 	289.2 	7.4e-47 	148.2	
RIFIN-B.hmm 	PfSN01_050005700 	2.4e-106 	343.8 	8.8e-63 	200.6	
RIFIN-A.hmm 	PfSN01_050005700 	4.4e-138 	448.4 	4.9e-138 	448.2	
STEVOR1.hmm 	PfSN01_050005700 	4.4e-16 	46.9 	6.3e-12 	33.2	
RIFIN-A.hmm 	PfSN01_050005800 	4.2e-12 	34.1 	3.1e-09 	24.7	
STEVOR1.hmm 	PfSN01_050005800 	4.2e-169 	549.4 	4.7e-169 	549.2	
RIFIN-B.hmm 	PfSN01_050005800 	5.3e-17 	50.1 	2.8e-12 	34.6	
RIFIN-A.hmm 	PfSN01_050005900 	2.1e-156 	508.6 	2.4e-156 	508.4	
STEVOR1.hmm 	PfSN01_050005900 	5.1e-14 	40.1 	5.1e-09 	23.7	
RIFIN-B.hmm 	PfSN01_050005900 	6.6e-118 	381.7 	2.5e-67 	215.5	
RIFIN-B.hmm 	PfSN01_050006000 	4.3e-92 	296.9 	7e-48 	151.6	
RIFIN-A.hmm 	PfSN01_050006000 	4.4e-138 	448.4 	5e-138 	448.2	
STEVOR1.hmm 	PfSN01_050006000 	4.6e-15 	43.5 	6.3e-11 	30.0	
RIFIN-B.hmm 	PfSN01_050006100 	1.8e-143 	465.8 	2e-143 	465.6	
STEVOR1.hmm 	PfSN01_050006100 	3.7e-14 	40.6 	3.5e-10 	27.5	
RIFIN-A.hmm 	PfSN01_050006100 	7.9e-95 	306.1 	2.5e-55 	176.2	
RIFIN-B.hmm 	PfSN01_050037400 	2.4e-131 	425.9 	2.6e-131 	425.7	
STEVOR1.hmm 	PfSN01_050037400 	5.6e-15 	43.2 	1.8e-09 	25.2	
RIFIN-A.hmm 	PfSN01_050037400 	7.5e-99 	319.4 	1.6e-54 	173.6	
RIFIN-A.hmm 	PfSN01_050037700 	2.4e-147 	478.8 	2.7e-147 	478.7	
RIFIN-B.hmm 	PfSN01_050037700 	3.1e-106 	343.4 	3e-59 	189.0	
STEVOR1.hmm 	PfSN01_050037700 	6.2e-12 	33.3 	3.8e-08 	20.8	
STEVOR1.hmm 	PfSN01_060005200 	1e-10 	29.2 	3.1e-07 	17.8	
RIFIN-B.hmm 	PfSN01_060005200 	2.2e-104 	337.3 	2e-57 	182.9	
RIFIN-A.hmm 	PfSN01_060005200 	7.3e-147 	477.3 	8.3e-147 	477.1	
STEVOR1.hmm 	PfSN01_060005500 	1.4e-14 	42.0 	9.1e-10 	26.1	
RIFIN-B.hmm 	PfSN01_060005500 	1.6e-131 	426.4 	1.8e-131 	426.3	
RIFIN-A.hmm 	PfSN01_060005500 	5.9e-92 	296.7 	2e-50 	160.1	
RIFIN-B.hmm 	PfSN01_060022600 	1.5e-123 	400.3 	1.2e-63 	203.4	
STEVOR1.hmm 	PfSN01_060022600 	1.7e-16 	48.2 	4e-12 	33.9	
RIFIN-A.hmm 	PfSN01_060022600 	6.4e-148 	480.7 	7.1e-148 	480.6	
RIFIN-B.hmm 	PfSN01_060036800 	1.4e-101 	328.0 	1.3e-57 	183.6	
RIFIN-A.hmm 	PfSN01_060036800 	1.6e-136 	443.3 	1.8e-136 	443.1	
STEVOR1.hmm 	PfSN01_060036800 	6.2e-16 	46.4 	1.7e-10 	28.6	
STEVOR1.hmm 	PfSN01_060036900 	1.7e-15 	44.9 	1.9e-10 	28.4	
RIFIN-B.hmm 	PfSN01_060036900 	5.3e-142 	460.9 	5.9e-142 	460.7	
RIFIN-A.hmm 	PfSN01_060036900 	8.1e-111 	358.7 	8.5e-66 	210.7	
RIFIN-A.hmm 	PfSN01_060037000 	1.1e-11 	32.7 	3e-11 	31.3	
STEVOR1.hmm 	PfSN01_060037000 	4.6e-167 	542.7 	5.1e-167 	542.5	
RIFIN-B.hmm 	PfSN01_060037000 	5.7e-13 	36.9 	4.2e-12 	34.1	
STEVOR1.hmm 	PfSN01_060037300 	1.4e-08 	22.3 	3.8e-07 	17.5	
RIFIN-B.hmm 	PfSN01_060037300 	2.1e-99 	320.9 	4.2e-52 	165.5	
RIFIN-A.hmm 	PfSN01_060037300 	5e-153 	497.5 	5.6e-153 	497.4	
STEVOR1.hmm 	PfSN01_060037400 	2.5e-12 	34.5 	1.5e-08 	22.2	
RIFIN-B.hmm 	PfSN01_060037400 	3.5e-97 	313.6 	1.8e-60 	193.0	
