RIFIN-A.hmm 	PfCD01_000005600 	1.5e-13 	38.9 	6.5e-10 	26.9	
RIFIN-A.hmm 	PfCD01_010019300 	6.7e-102 	329.4 	9.9e-62 	197.3	
RIFIN-B.hmm 	PfCD01_010019300 	9.3e-147 	476.5 	1.1e-146 	476.4	
RIFIN-B.hmm 	PfCD01_010019400 	4.3e-101 	326.5 	1.5e-53 	170.2	
STEVOR1.hmm 	PfCD01_010019400 	6.3e-11 	30.0 	4e-09 	24.0	
RIFIN-A.hmm 	PfCD01_010019400 	8.3e-152 	493.5 	9.3e-152 	493.4	
STEVOR1.hmm 	PfCD01_020006100 	3.7e-11 	30.7 	1.3e-08 	22.3	
RIFIN-B.hmm 	PfCD01_020006100 	6.1e-116 	375.3 	8.1e-73 	233.6	
RIFIN-A.hmm 	PfCD01_020006100 	6.2e-158 	513.7 	6.9e-158 	513.5	
RIFIN-B.hmm 	PfCD01_020006200 	6.5e-142 	460.6 	7.4e-142 	460.4	
STEVOR1.hmm 	PfCD01_020006200 	6.8e-12 	33.1 	4.4e-08 	20.6	
RIFIN-A.hmm 	PfCD01_020006200 	7.3e-101 	326.0 	6e-64 	204.6	
RIFIN-B.hmm 	PfCD01_020006300 	3.3e-101 	326.9 	8.4e-55 	174.4	
RIFIN-A.hmm 	PfCD01_020006300 	5.7e-152 	494.1 	6.4e-152 	493.9	
STEVOR1.hmm 	PfCD01_020006300 	7.4e-14 	39.6 	3e-09 	24.4	
RIFIN-A.hmm 	PfCD01_020006400 	1.1e-14 	42.6 	2.1e-11 	31.8	
STEVOR1.hmm 	PfCD01_020006400 	5.6e-165 	535.8 	6.3e-165 	535.7	
RIFIN-B.hmm 	PfCD01_020006400 	5.9e-16 	46.7 	6.9e-13 	36.6	
STEVOR1.hmm 	PfCD01_020026100 	1.6e-107 	347.2 	1.7e-107 	347.0	
RIFIN-B.hmm 	PfCD01_020026100 	3.4e-12 	34.3 	3.4e-09 	24.5	
RIFIN-A.hmm 	PfCD01_020026100 	7.9e-12 	33.2 	2.2e-09 	25.2	
RIFIN-A.hmm 	PfCD01_020026600 	2.4e-06 	15.2 	2.4e-06 	15.2	
STEVOR1.hmm 	PfCD01_020026600 	3.4e-101 	326.4 	3.8e-101 	326.2	
RIFIN-B.hmm 	PfCD01_020026700 	3.8e-117 	379.2 	8.4e-68 	217.1	
RIFIN-A.hmm 	PfCD01_020026700 	4.5e-154 	501.0 	5.1e-154 	500.8	
STEVOR1.hmm 	PfCD01_020026700 	5.3e-13 	36.8 	3.6e-08 	20.9	
RIFIN-A.hmm 	PfCD01_020026800 	2.8e-154 	501.6 	3.2e-154 	501.5	
STEVOR1.hmm 	PfCD01_020026800 	8.6e-13 	36.1 	2.2e-08 	21.6	
RIFIN-B.hmm 	PfCD01_020026800 	9.5e-103 	331.9 	2.4e-59 	189.3	
STEVOR1.hmm 	PfCD01_020027000 	2.9e-14 	40.9 	7.9e-11 	29.6	
RIFIN-B.hmm 	PfCD01_020027000 	3.2e-152 	494.5 	3.6e-152 	494.3	
RIFIN-A.hmm 	PfCD01_020027000 	9.6e-102 	328.9 	5.9e-63 	201.3	
RIFIN-A.hmm 	PfCD01_020027100 	1.2e-145 	473.3 	1.3e-145 	473.1	
RIFIN-B.hmm 	PfCD01_020027100 	2.5e-104 	337.1 	3.1e-58 	185.6	
STEVOR1.hmm 	PfCD01_020027100 	6.7e-09 	23.3 	6.1e-07 	16.9	
RIFIN-A.hmm 	PfCD01_030005600 	1.9e-151 	492.4 	2.1e-151 	492.2	
STEVOR1.hmm 	PfCD01_030005600 	3.5e-11 	30.8 	3.6e-08 	20.9	
RIFIN-B.hmm 	PfCD01_030005600 	3e-113 	366.4 	1.2e-64 	206.7	
RIFIN-A.hmm 	PfCD01_030005700 	1.5e-11 	32.3 	4.9e-10 	27.3	
STEVOR1.hmm 	PfCD01_030005700 	2.5e-153 	497.6 	4.6e-153 	496.7	
RIFIN-B.hmm 	PfCD01_030005700 	4.5e-11 	30.7 	4.5e-11 	30.7	
RIFIN-A.hmm 	PfCD01_030005800 	1.1e-149 	486.5 	1.2e-149 	486.4	
STEVOR1.hmm 	PfCD01_030005800 	1.8e-12 	35.1 	2.7e-08 	21.3	
RIFIN-B.hmm 	PfCD01_030005800 	2.9e-102 	330.3 	6.3e-53 	168.2	
RIFIN-B.hmm 	PfCD01_030006000 	3.2e-16 	47.6 	8e-13 	36.4	
RIFIN-A.hmm 	PfCD01_030006000 	3.9e-15 	44.1 	1.9e-11 	32.0	
STEVOR1.hmm 	PfCD01_030006000 	5.5e-166 	539.2 	6.1e-166 	539.0	
RIFIN-A.hmm 	PfCD01_030006100 	1.2e-94 	305.5 	1.7e-51 	163.7	
STEVOR1.hmm 	PfCD01_030006100 	1e-16 	49.0 	6.7e-10 	26.6	
RIFIN-B.hmm 	PfCD01_030006100 	2.7e-144 	468.4 	3e-144 	468.3	
RIFIN-B.hmm 	PfCD01_030006200 	1.3e-84 	272.3 	1.6e-49 	157.0	
STEVOR1.hmm 	PfCD01_030006200 	1.4e-13 	38.7 	5.9e-09 	23.5	
RIFIN-A.hmm 	PfCD01_030006200 	4.4e-130 	422.1 	6e-130 	421.6	
STEVOR1.hmm 	PfCD01_030006300 	9.9e-14 	39.2 	1.9e-13 	38.2	
RIFIN-A.hmm 	PfCD01_030029900 	3.6e-148 	481.6 	4e-148 	481.4	
STEVOR1.hmm 	PfCD01_030029900 	6.1e-13 	36.6 	2.7e-10 	27.9	
RIFIN-B.hmm 	PfCD01_030029900 	6.3e-106 	342.3 	1.6e-63 	203.0	
RIFIN-B.hmm 	PfCD01_030030000 	2.4e-104 	337.1 	7.7e-54 	171.2	
RIFIN-A.hmm 	PfCD01_030030000 	5.5e-136 	441.5 	6.2e-136 	441.3	
STEVOR1.hmm 	PfCD01_030030000 	6.2e-11 	30.0 	3.9e-07 	17.5	
STEVOR1.hmm 	PfCD01_030030100 	3.3e-09 	24.3 	6.9e-07 	16.7	
RIFIN-B.hmm 	PfCD01_030030100 	5.8e-137 	444.3 	6.5e-137 	444.2	
RIFIN-A.hmm 	PfCD01_030030100 	9.7e-93 	299.3 	1.1e-50 	160.9	
RIFIN-B.hmm 	PfCD01_030030200 	1.1e-99 	321.9 	9.1e-53 	167.7	
RIFIN-A.hmm 	PfCD01_030030200 	1.5e-143 	466.3 	1.7e-143 	466.2	
STEVOR1.hmm 	PfCD01_030030200 	7.5e-10 	26.4 	4.8e-07 	17.2	
RIFIN-A.hmm 	PfCD01_030030300 	3.9e-158 	514.3 	4.4e-158 	514.2	
RIFIN-B.hmm 	PfCD01_030030300 	7.3e-105 	338.9 	1.8e-59 	189.7	
STEVOR1.hmm 	PfCD01_030030300 	8.5e-08 	19.7 	6.7e-07 	16.7	
STEVOR1.hmm 	PfCD01_030030400 	1.3e-10 	28.9 	5.8e-09 	23.5	
RIFIN-B.hmm 	PfCD01_030030400 	1.4e-101 	328.1 	2.7e-54 	172.7	
RIFIN-A.hmm 	PfCD01_030030400 	1.8e-150 	489.2 	2e-150 	489.0	
STEVOR1.hmm 	PfCD01_040005100 	1.8e-14 	41.6 	1.5e-09 	25.5	
RIFIN-B.hmm 	PfCD01_040005100 	2.2e-119 	386.6 	2.9e-68 	218.6	
RIFIN-A.hmm 	PfCD01_040005100 	2.9e-156 	508.2 	3.2e-156 	508.0	
STEVOR1.hmm 	PfCD01_040005400 	1.5e-09 	25.4 	1.7e-09 	25.3	
RIFIN-B.hmm 	PfCD01_040005400 	3.1e-117 	379.5 	4.6e-69 	221.2	
RIFIN-A.hmm 	PfCD01_040005400 	4.5e-153 	497.7 	5e-153 	497.5	
STEVOR1.hmm 	PfCD01_040005600 	1.5e-15 	45.1 	4.9e-10 	27.0	
RIFIN-B.hmm 	PfCD01_040005600 	3.3e-135 	438.6 	3.7e-135 	438.4	
RIFIN-A.hmm 	PfCD01_040005600 	4.1e-98 	317.0 	2.3e-52 	166.5	
RIFIN-A.hmm 	PfCD01_040005700 	1.7e-89 	288.6 	3.7e-53 	169.1	
RIFIN-B.hmm 	PfCD01_040005700 	2.7e-141 	458.6 	3e-141 	458.4	
STEVOR1.hmm 	PfCD01_040005700 	3.1e-11 	31.0 	5.2e-09 	23.7	
RIFIN-A.hmm 	PfCD01_040005900 	2.2e-141 	459.2 	2.5e-141 	459.1	
STEVOR1.hmm 	PfCD01_040005900 	3.2e-14 	40.8 	1.2e-08 	22.4	
RIFIN-B.hmm 	PfCD01_040005900 	3.7e-104 	336.6 	3.9e-56 	178.8	
RIFIN-A.hmm 	PfCD01_040006000 	2.3e-113 	367.1 	2.8e-70 	225.4	
RIFIN-B.hmm 	PfCD01_040006000 	5.5e-97 	313.0 	6.2e-97 	312.8	
STEVOR1.hmm 	PfCD01_040006000 	8.1e-11 	29.6 	2.5e-09 	24.7	
STEVOR1.hmm 	PfCD01_040006200 	1.1e-08 	22.5 	2.7e-08 	21.3	
RIFIN-B.hmm 	PfCD01_040006200 	1.3e-43 	137.6 	2.8e-30 	93.8	
RIFIN-A.hmm 	PfCD01_040006200 	1.6e-48 	153.9 	3.7e-48 	152.7	
RIFIN-A.hmm 	PfCD01_040007200 	4.5e-116 	376.0 	1.9e-115 	374.0	
STEVOR1.hmm 	PfCD01_040007200 	4.5e-12 	33.7 	5.2e-10 	27.0	
RIFIN-B.hmm 	PfCD01_040007200 	6.1e-88 	283.2 	2.1e-49 	156.6	
STEVOR1.hmm 	PfCD01_040007400 	1.1e-07 	19.3 	1.1e-07 	19.3	
RIFIN-A.hmm 	PfCD01_040007400 	2.1e-98 	317.9 	2.1e-69 	222.5	
RIFIN-B.hmm 	PfCD01_040007400 	5.7e-75 	240.6 	3.8e-41 	129.5	
RIFIN-B.hmm 	PfCD01_040017600 	1.1e-45 	144.3 	3.8e-38 	119.6	
RIFIN-A.hmm 	PfCD01_040017600 	5.1e-66 	211.4 	7e-66 	211.0	
RIFIN-B.hmm 	PfCD01_040018000 	1.1e-45 	144.3 	3.8e-38 	119.6	
RIFIN-A.hmm 	PfCD01_040018000 	5.1e-66 	211.4 	7e-66 	211.0	
RIFIN-A.hmm 	PfCD01_040018500 	2.7e-144 	468.8 	3e-144 	468.7	
RIFIN-B.hmm 	PfCD01_040018500 	3.3e-111 	359.7 	2.6e-59 	189.2	
STEVOR1.hmm 	PfCD01_040018500 	5.3e-16 	46.6 	1.3e-11 	32.2	
RIFIN-A.hmm 	PfCD01_040018600 	1.3e-134 	437.0 	1.5e-134 	436.8	
RIFIN-B.hmm 	PfCD01_040018600 	2.3e-115 	373.3 	4.2e-63 	201.6	
STEVOR1.hmm 	PfCD01_040018600 	2.3e-15 	44.5 	8.1e-10 	26.3	
RIFIN-A.hmm 	PfCD01_040026700 	2.8e-103 	333.9 	3.3e-103 	333.7	
STEVOR1.hmm 	PfCD01_040026700 	5.5e-10 	26.9 	5.5e-10 	26.9	
RIFIN-B.hmm 	PfCD01_040026700 	6.6e-79 	253.6 	1.1e-54 	174.0	
STEVOR1.hmm 	PfCD01_040030700 	3.3e-116 	375.7 	3.7e-116 	375.5	
RIFIN-A.hmm 	PfCD01_040030700 	6.4e-10 	26.9 	1.3e-06 	16.1	
RIFIN-B.hmm 	PfCD01_040030700 	8e-07 	16.7 	8e-07 	16.7	
RIFIN-A.hmm 	PfCD01_040030800 	1.6e-77 	249.3 	1.6e-42 	134.1	
RIFIN-B.hmm 	PfCD01_040030800 	2.4e-112 	363.4 	2.9e-112 	363.2	
STEVOR1.hmm 	PfCD01_040030800 	4.6e-08 	20.5 	1.6e-06 	15.5	
RIFIN-B.hmm 	PfCD01_040030900 	1.3e-95 	308.5 	8.1e-53 	167.8	
STEVOR1.hmm 	PfCD01_040030900 	2.7e-08 	21.3 	2.5e-06 	14.8	
RIFIN-A.hmm 	PfCD01_040030900 	9.4e-151 	490.1 	1e-150 	489.9	
RIFIN-A.hmm 	PfCD01_040031000 	1.2e-153 	499.6 	1.3e-153 	499.4	
RIFIN-B.hmm 	PfCD01_040031000 	1e-107 	348.2 	1.2e-59 	190.3	
STEVOR1.hmm 	PfCD01_040031000 	4.7e-11 	30.4 	2.2e-09 	24.9	
RIFIN-B.hmm 	PfCD01_050005700 	2.7e-113 	366.6 	4.6e-61 	194.9	
RIFIN-A.hmm 	PfCD01_050005700 	3.6e-155 	504.6 	4e-155 	504.4	
STEVOR1.hmm 	PfCD01_050005700 	3.7e-14 	40.6 	2.9e-09 	24.5	
RIFIN-A.hmm 	PfCD01_050005800 	1.1e-146 	476.7 	1.2e-146 	476.5	
RIFIN-B.hmm 	PfCD01_050005800 	1.3e-111 	361.1 	4.1e-62 	198.4	
STEVOR1.hmm 	PfCD01_050005800 	6.7e-15 	43.0 	2.1e-11 	31.5	
RIFIN-B.hmm 	PfCD01_050005900 	1.8e-12 	35.3 	1.8e-11 	32.0	
RIFIN-A.hmm 	PfCD01_050005900 	2.9e-10 	28.1 	1.7e-09 	25.5	
STEVOR1.hmm 	PfCD01_050005900 	5.7e-169 	549.0 	6.4e-169 	548.8	
RIFIN-A.hmm 	PfCD01_050006000 	2.7e-100 	324.1 	4.9e-63 	201.6	
RIFIN-B.hmm 	PfCD01_050006000 	3.2e-147 	478.0 	3.6e-147 	477.9	
STEVOR1.hmm 	PfCD01_050006000 	8.2e-17 	49.3 	3.7e-11 	30.7	
RIFIN-B.hmm 	PfCD01_050006700 	1.9e-105 	340.8 	5.3e-58 	184.9	
RIFIN-A.hmm 	PfCD01_050006700 	4.5e-141 	458.2 	5.1e-141 	458.1	
STEVOR1.hmm 	PfCD01_050006700 	8e-13 	36.2 	3.1e-08 	21.1	
RIFIN-B.hmm 	PfCD01_050006800 	1.4e-10 	29.0 	2.2e-09 	25.1	
RIFIN-A.hmm 	PfCD01_050006800 	3.4e-09 	24.5 	3.6e-07 	17.9	
STEVOR1.hmm 	PfCD01_050006800 	3.9e-162 	526.5 	4.7e-162 	526.2	
STEVOR1.hmm 	PfCD01_050006900 	2.7e-12 	34.5 	2.5e-08 	21.4	
RIFIN-A.hmm 	PfCD01_050006900 	3.6e-157 	511.2 	4e-157 	511.0	
RIFIN-B.hmm 	PfCD01_050006900 	6.6e-106 	342.3 	3.6e-58 	185.4	
RIFIN-A.hmm 	PfCD01_050007000 	3.1e-96 	310.8 	6.2e-53 	168.4	
RIFIN-B.hmm 	PfCD01_050007000 	6.3e-140 	454.1 	7e-140 	453.9	
STEVOR1.hmm 	PfCD01_050007000 	8.6e-09 	22.9 	6.3e-08 	20.1	
STEVOR1.hmm 	PfCD01_050007100 	2.8e-13 	37.7 	1.9e-09 	25.1	
RIFIN-A.hmm 	PfCD01_050007100 	3.6e-146 	475.0 	4e-146 	474.8	
RIFIN-B.hmm 	PfCD01_050007100 	6.7e-110 	355.4 	1.4e-63 	203.2	
STEVOR1.hmm 	PfCD01_050007200 	1.7e-09 	25.3 	2.5e-08 	21.4	
RIFIN-B.hmm 	PfCD01_050007200 	6.9e-138 	447.4 	7.8e-138 	447.2	
RIFIN-A.hmm 	PfCD01_050007200 	9e-105 	338.8 	2e-63 	202.9	
STEVOR1.hmm 	PfCD01_050007300 	1.6e-12 	35.2 	3.7e-09 	24.1	
RIFIN-B.hmm 	PfCD01_050007300 	1.6e-144 	469.2 	1.8e-144 	469.0	
RIFIN-A.hmm 	PfCD01_050007300 	1.9e-95 	308.2 	2.4e-52 	166.5	
STEVOR1.hmm 	PfCD01_050039200 	2.2e-10 	28.2 	7.7e-07 	16.5	
RIFIN-B.hmm 	PfCD01_050039200 	2.8e-102 	330.4 	3.8e-53 	168.9	
RIFIN-A.hmm 	PfCD01_050039200 	4.5e-141 	458.2 	5e-141 	458.1	
RIFIN-B.hmm 	PfCD01_050039300 	1.1e-102 	331.7 	1.8e-56 	179.8	
RIFIN-A.hmm 	PfCD01_050039300 	2.5e-145 	472.2 	2.9e-145 	472.0	
STEVOR1.hmm 	PfCD01_050039300 	3.8e-14 	40.5 	3e-09 	24.4	
STEVOR1.hmm 	PfCD01_050039500 	1.3e-15 	45.4 	5.7e-10 	26.8	
RIFIN-A.hmm 	PfCD01_050039500 	1.7e-155 	505.6 	2e-155 	505.5	
RIFIN-B.hmm 	PfCD01_050039500 	4.1e-112 	362.7 	7.3e-63 	200.8	
STEVOR1.hmm 	PfCD01_060005400 	1.2e-15 	45.5 	6.3e-11 	30.0	
RIFIN-A.hmm 	PfCD01_060005400 	2.3e-155 	505.2 	2.6e-155 	505.0	
RIFIN-B.hmm 	PfCD01_060005400 	6.3e-110 	355.5 	2e-62 	199.4	
RIFIN-A.hmm 	PfCD01_060005700 	1e-162 	529.4 	1.1e-162 	529.3	
STEVOR1.hmm 	PfCD01_060005700 	4.3e-10 	27.2 	1.5e-07 	18.8	
RIFIN-B.hmm 	PfCD01_060005700 	9.1e-117 	378.0 	1.5e-69 	222.8	
RIFIN-B.hmm 	PfCD01_060005900 	1.7e-12 	35.4 	5.1e-12 	33.8	
STEVOR1.hmm 	PfCD01_060005900 	2.8e-157 	510.6 	3.7e-157 	510.2	
RIFIN-A.hmm 	PfCD01_060005900 	3.3e-12 	34.4 	4.8e-11 	30.6	
RIFIN-B.hmm 	PfCD01_060006000 	2.3e-153 	498.2 	2.6e-153 	498.1	
RIFIN-A.hmm 	PfCD01_060006000 	7.6e-110 	355.5 	5.5e-62 	198.1	
STEVOR1.hmm 	PfCD01_060006000 	8.7e-13 	36.1 	9.7e-09 	22.8	
RIFIN-B.hmm 	PfCD01_060006100 	1.7e-132 	429.7 	1.9e-132 	429.5	
STEVOR1.hmm 	PfCD01_060006100 	1.7e-19 	58.1 	3.2e-12 	34.2	
RIFIN-A.hmm 	PfCD01_060006100 	8.6e-95 	306.0 	1.7e-50 	160.4	
STEVOR1.hmm 	PfCD01_060006200 	1.2e-17 	52.0 	9.4e-12 	32.7	
RIFIN-A.hmm 	PfCD01_060006200 	1.9e-137 	446.3 	2.2e-137 	446.1	
RIFIN-B.hmm 	PfCD01_060006200 	3.9e-105 	339.7 	1.5e-55 	176.8	
STEVOR1.hmm 	PfCD01_060023100 	2.3e-17 	51.1 	6.4e-13 	36.5	
RIFIN-A.hmm 	PfCD01_060023100 	3e-141 	458.8 	3.4e-141 	458.6	
RIFIN-B.hmm 	PfCD01_060023100 	4.2e-113 	366.0 	2.5e-63 	202.4	
RIFIN-A.hmm 	PfCD01_070005400 	1.3e-142 	463.3 	1.5e-142 	463.1	
STEVOR1.hmm 	PfCD01_070005400 	3.5e-08 	20.9 	8.8e-08 	19.6	
RIFIN-B.hmm 	PfCD01_070005400 	8.7e-98 	315.6 	7.7e-53 	167.9	
RIFIN-B.hmm 	PfCD01_070005500 	1.8e-10 	28.7 	7.1e-09 	23.4	
RIFIN-A.hmm 	PfCD01_070005500 	5.8e-10 	27.1 	3.7e-09 	24.4	
STEVOR1.hmm 	PfCD01_070005500 	7e-165 	535.5 	7.8e-165 	535.4	
RIFIN-A.hmm 	PfCD01_070005700 	1.3e-115 	374.5 	2.5e-115 	373.6	
RIFIN-B.hmm 	PfCD01_070005700 	1e-86 	279.3 	2.4e-48 	153.2	
STEVOR1.hmm 	PfCD01_070005700 	8e-10 	26.3 	5.9e-07 	16.9	
RIFIN-B.hmm 	PfCD01_070015900 	1.8e-33 	104.2 	1.4e-25 	78.3	
RIFIN-A.hmm 	PfCD01_070015900 	2e-53 	170.0 	2.4e-53 	169.7	
RIFIN-A.hmm 	PfCD01_070016200 	1.5e-52 	167.1 	1.9e-52 	166.8	
RIFIN-B.hmm 	PfCD01_070016200 	6.3e-34 	105.8 	5e-24 	73.2	
RIFIN-A.hmm 	PfCD01_070016500 	1.9e-09 	25.4 	1.4e-07 	19.3	
STEVOR1.hmm 	PfCD01_070016500 	1e-153 	498.9 	1.1e-153 	498.7	
RIFIN-B.hmm 	PfCD01_070016500 	2.2e-12 	34.9 	2.1e-10 	28.5	
RIFIN-B.hmm 	PfCD01_070016600 	1.5e-97 	314.8 	1.7e-55 	176.6	
STEVOR1.hmm 	PfCD01_070016600 	7.2e-16 	46.2 	6.1e-12 	33.3	
RIFIN-A.hmm 	PfCD01_070016600 	7.8e-132 	427.8 	8.7e-132 	427.7	
RIFIN-B.hmm 	PfCD01_070017000 	5.3e-79 	253.9 	1.3e-54 	173.7	
STEVOR1.hmm 	PfCD01_070017000 	5.9e-10 	26.8 	5.9e-10 	26.8	
RIFIN-A.hmm 	PfCD01_070017000 	8.3e-103 	332.4 	9.7e-103 	332.2	
RIFIN-B.hmm 	PfCD01_070035200 	4.9e-142 	461.0 	5.5e-142 	460.9	
STEVOR1.hmm 	PfCD01_070035200 	5.2e-12 	33.5 	5e-09 	23.7	
RIFIN-A.hmm 	PfCD01_070035200 	5.8e-106 	342.8 	2.9e-63 	202.4	
RIFIN-A.hmm 	PfCD01_070035300 	1.5e-11 	32.3 	3.5e-09 	24.5	
RIFIN-B.hmm 	PfCD01_070035300 	1.7e-12 	35.3 	3.8e-11 	30.9	
STEVOR1.hmm 	PfCD01_070035300 	5.9e-159 	516.1 	6.6e-159 	515.9	
RIFIN-A.hmm 	PfCD01_070035400 	1.6e-143 	466.2 	1.8e-143 	466.1	
RIFIN-B.hmm 	PfCD01_070035400 	2.2e-105 	340.6 	3.7e-55 	175.5	
STEVOR1.hmm 	PfCD01_070035400 	3e-15 	44.1 	1.5e-11 	32.0	
RIFIN-A.hmm 	PfCD01_070035500 	1.3e-144 	469.9 	1.4e-144 	469.7	
STEVOR1.hmm 	PfCD01_070035500 	1.6e-11 	31.9 	6.8e-08 	20.0	
RIFIN-B.hmm 	PfCD01_070035500 	2.2e-107 	347.2 	1.2e-62 	200.2	
RIFIN-B.hmm 	PfCD01_070035700 	1.1e-97 	315.3 	4.3e-53 	168.8	
STEVOR1.hmm 	PfCD01_070035700 	3.6e-07 	17.6 	3.6e-07 	17.6	
