STEVOR1.hmm 	Pf7G8-2_000005800 	1.8e-14 	41.6 	7.3e-11 	29.8	
RIFIN-B.hmm 	Pf7G8-2_000048300 	1.6e-132 	429.8 	1.8e-132 	429.6	
RIFIN-A.hmm 	Pf7G8-2_000048300 	7.1e-92 	296.4 	6.5e-54 	171.6	
STEVOR1.hmm 	Pf7G8-2_000049200 	2.5e-14 	41.1 	4e-11 	30.6	
RIFIN-A.hmm 	Pf7G8-2_000049200 	7.8e-93 	299.6 	2e-53 	170.0	
RIFIN-B.hmm 	Pf7G8-2_000049200 	9.1e-149 	483.1 	1e-148 	483.0	
RIFIN-B.hmm 	Pf7G8-2_000049300 	5.5e-92 	296.5 	4e-49 	155.7	
RIFIN-A.hmm 	Pf7G8-2_000049300 	5.6e-134 	434.9 	6.3e-134 	434.7	
STEVOR1.hmm 	Pf7G8-2_000049300 	7.5e-15 	42.9 	2e-12 	34.9	
STEVOR1.hmm 	Pf7G8-2_000049500 	5.1e-176 	572.1 	5.7e-176 	571.9	
RIFIN-A.hmm 	Pf7G8-2_000049500 	5.4e-11 	30.5 	9.2e-11 	29.7	
RIFIN-B.hmm 	Pf7G8-2_000049500 	8e-13 	36.4 	1.9e-12 	35.2	
STEVOR1.hmm 	Pf7G8-2_000068700 	1.6e-107 	347.2 	1.7e-107 	347.0	
RIFIN-B.hmm 	Pf7G8-2_000068700 	3.4e-12 	34.3 	3.4e-09 	24.5	
RIFIN-A.hmm 	Pf7G8-2_000068700 	7.9e-12 	33.2 	2.2e-09 	25.2	
RIFIN-B.hmm 	Pf7G8-2_000069800 	1e-102 	331.8 	4.9e-57 	181.7	
STEVOR1.hmm 	Pf7G8-2_000069800 	2.9e-14 	40.9 	1e-09 	25.9	
RIFIN-A.hmm 	Pf7G8-2_000069800 	6e-154 	500.6 	6.7e-154 	500.4	
RIFIN-B.hmm 	Pf7G8-2_000069900 	1.3e-100 	324.9 	2e-55 	176.4	
RIFIN-A.hmm 	Pf7G8-2_000069900 	4.5e-134 	435.2 	5.4e-134 	434.9	
STEVOR1.hmm 	Pf7G8-2_000069900 	5.6e-21 	63.0 	1.6e-17 	51.6	
RIFIN-B.hmm 	Pf7G8-2_000070000 	2.1e-12 	35.0 	2.1e-12 	35.0	
RIFIN-A.hmm 	Pf7G8-2_000070000 	3.8e-12 	34.3 	2e-11 	31.9	
STEVOR1.hmm 	Pf7G8-2_000070000 	8e-164 	532.0 	8.9e-164 	531.9	
STEVOR1.hmm 	Pf7G8-2_000070100 	1.5e-10 	28.8 	1.7e-08 	22.0	
RIFIN-A.hmm 	Pf7G8-2_000070100 	2.4e-104 	337.4 	9.6e-65 	207.2	
RIFIN-B.hmm 	Pf7G8-2_000070100 	6.3e-145 	470.5 	7.1e-145 	470.4	
STEVOR1.hmm 	Pf7G8-2_000070300 	8.5e-29 	88.6 	6.8e-21 	62.7	
STEVOR1.hmm 	Pf7G8-2_000070500 	1.7e-27 	84.3 	3.5e-27 	83.4	
RIFIN-B.hmm 	Pf7G8-2_000070500 	5e-08 	20.6 	5e-08 	20.6	
RIFIN-A.hmm 	Pf7G8-2_000093800 	3.2e-150 	488.3 	3.6e-150 	488.1	
RIFIN-B.hmm 	Pf7G8-2_000093800 	3.8e-103 	333.2 	1.4e-56 	180.2	
STEVOR1.hmm 	Pf7G8-2_000093800 	6e-16 	46.4 	2.2e-12 	34.8	
RIFIN-A.hmm 	Pf7G8-2_000094100 	1.3e-156 	509.4 	1.4e-156 	509.2	
STEVOR1.hmm 	Pf7G8-2_000094100 	1.8e-15 	44.9 	3.1e-10 	27.7	
RIFIN-B.hmm 	Pf7G8-2_000094100 	9.3e-118 	381.2 	1e-68 	220.1	
STEVOR1.hmm 	Pf7G8-2_000094200 	1.1e-10 	29.1 	7.9e-08 	19.8	
RIFIN-B.hmm 	Pf7G8-2_000094200 	1.2e-106 	344.7 	1.4e-65 	209.8	
RIFIN-A.hmm 	Pf7G8-2_000094200 	2.7e-146 	475.4 	3.1e-146 	475.2	
RIFIN-B.hmm 	Pf7G8-2_000094500 	1.5e-100 	324.7 	3.7e-57 	182.1	
RIFIN-A.hmm 	Pf7G8-2_000094500 	6.4e-142 	461.0 	7.1e-142 	460.9	
STEVOR1.hmm 	Pf7G8-2_000094500 	6.5e-11 	29.9 	8.5e-08 	19.7	
RIFIN-B.hmm 	Pf7G8-2_000094700 	1.1e-13 	39.2 	3.5e-11 	31.0	
RIFIN-A.hmm 	Pf7G8-2_000094700 	3e-11 	31.3 	2.3e-09 	25.1	
STEVOR1.hmm 	Pf7G8-2_000094700 	7.9e-132 	427.0 	6e-89 	286.2	
RIFIN-A.hmm 	Pf7G8-2_000094800 	1.9e-45 	143.8 	2.6e-44 	140.0	
STEVOR1.hmm 	Pf7G8-2_000094800 	2e-08 	21.7 	2.4e-08 	21.5	
RIFIN-B.hmm 	Pf7G8-2_000094800 	4.2e-38 	119.5 	2e-30 	94.3	
STEVOR1.hmm 	Pf7G8-2_000095800 	1.2e-16 	48.7 	1.8e-14 	41.6	
RIFIN-B.hmm 	Pf7G8-2_000095800 	2.9e-90 	290.9 	4.6e-51 	162.1	
RIFIN-A.hmm 	Pf7G8-2_000095800 	6.8e-116 	375.4 	2.9e-115 	373.4	
STEVOR1.hmm 	Pf7G8-2_000106000 	1.8e-16 	48.2 	3e-11 	31.0	
RIFIN-A.hmm 	Pf7G8-2_000106000 	3.1e-134 	435.7 	3.5e-134 	435.6	
RIFIN-B.hmm 	Pf7G8-2_000106000 	8.1e-106 	342.0 	1.1e-56 	180.6	
STEVOR1.hmm 	Pf7G8-2_000106100 	2e-15 	44.7 	6.6e-11 	29.9	
RIFIN-A.hmm 	Pf7G8-2_000106100 	4.1e-135 	438.6 	4.6e-135 	438.4	
RIFIN-B.hmm 	Pf7G8-2_000106100 	9.9e-117 	377.9 	3.7e-66 	211.7	
RIFIN-A.hmm 	Pf7G8-2_000113700 	2.8e-103 	333.9 	3.3e-103 	333.7	
STEVOR1.hmm 	Pf7G8-2_000113700 	5.5e-10 	26.9 	5.5e-10 	26.9	
RIFIN-B.hmm 	Pf7G8-2_000113700 	6.6e-79 	253.6 	1.1e-54 	174.0	
STEVOR1.hmm 	Pf7G8-2_000117700 	1.3e-116 	377.0 	1.5e-116 	376.8	
RIFIN-A.hmm 	Pf7G8-2_000117700 	1e-10 	29.6 	1.5e-07 	19.1	
RIFIN-B.hmm 	Pf7G8-2_000117700 	8.5e-07 	16.6 	8.5e-07 	16.6	
RIFIN-B.hmm 	Pf7G8-2_000117900 	1.1e-100 	325.1 	5.1e-53 	168.5	
RIFIN-A.hmm 	Pf7G8-2_000117900 	2.1e-146 	475.8 	2.3e-146 	475.6	
STEVOR1.hmm 	Pf7G8-2_000117900 	4.4e-15 	43.6 	2.2e-11 	31.5	
RIFIN-B.hmm 	Pf7G8-2_000118000 	1.9e-123 	400.0 	6.3e-64 	204.3	
RIFIN-A.hmm 	Pf7G8-2_000118000 	6e-150 	487.4 	6.7e-150 	487.3	
STEVOR1.hmm 	Pf7G8-2_000118000 	8.6e-14 	39.4 	1.2e-10 	29.1	
RIFIN-B.hmm 	Pf7G8-2_000118100 	2.1e-99 	320.9 	4e-53 	168.8	
RIFIN-A.hmm 	Pf7G8-2_000118100 	2.4e-145 	472.3 	2.7e-145 	472.1	
STEVOR1.hmm 	Pf7G8-2_000118100 	5.5e-10 	26.9 	2.2e-07 	18.3	
STEVOR1.hmm 	Pf7G8-2_000118200 	3.8e-10 	27.4 	3.7e-07 	17.6	
RIFIN-A.hmm 	Pf7G8-2_000118200 	5.5e-142 	461.2 	6.1e-142 	461.1	
RIFIN-B.hmm 	Pf7G8-2_000118200 	5.7e-108 	349.1 	2e-60 	192.9	
STEVOR1.hmm 	Pf7G8-2_000118300 	1.6e-165 	537.6 	1.8e-165 	537.5	
RIFIN-A.hmm 	Pf7G8-2_000118300 	2.2e-13 	38.3 	1.6e-10 	28.9	
RIFIN-B.hmm 	Pf7G8-2_000118300 	9.5e-14 	39.5 	3.2e-11 	31.2	
STEVOR1.hmm 	Pf7G8-2_000118500 	4e-12 	33.9 	1.1e-08 	22.7	
RIFIN-B.hmm 	Pf7G8-2_000118500 	5.7e-115 	372.1 	1.4e-68 	219.6	
RIFIN-A.hmm 	Pf7G8-2_000118500 	5.7e-153 	497.4 	6.4e-153 	497.2	
STEVOR1.hmm 	Pf7G8-2_000119300 	1.1e-10 	29.2 	3.9e-08 	20.8	
RIFIN-B.hmm 	Pf7G8-2_000119300 	2.9e-111 	359.9 	1.7e-63 	202.9	
RIFIN-A.hmm 	Pf7G8-2_000119300 	5.1e-156 	507.4 	5.7e-156 	507.2	
STEVOR1.hmm 	Pf7G8-2_000119500 	1.4e-13 	38.6 	1.6e-09 	25.3	
RIFIN-A.hmm 	Pf7G8-2_000119500 	2.2e-147 	479.0 	2.5e-147 	478.8	
RIFIN-B.hmm 	Pf7G8-2_000119500 	5.7e-112 	362.2 	1.1e-67 	216.7	
RIFIN-B.hmm 	Pf7G8-2_000119600 	1.3e-114 	370.9 	1.4e-64 	206.5	
RIFIN-A.hmm 	Pf7G8-2_000119600 	1.6e-157 	512.3 	1.8e-157 	512.2	
STEVOR1.hmm 	Pf7G8-2_000119600 	2.2e-11 	31.4 	5.9e-08 	20.2	
STEVOR1.hmm 	Pf7G8-2_000119700 	1.2e-14 	42.2 	5.2e-10 	26.9	
RIFIN-A.hmm 	Pf7G8-2_000119700 	4e-92 	297.2 	2.5e-53 	169.7	
RIFIN-B.hmm 	Pf7G8-2_000119700 	5.3e-130 	421.5 	5.9e-130 	421.3	
RIFIN-A.hmm 	Pf7G8-2_000119800 	2.1e-135 	439.6 	2.3e-135 	439.4	
STEVOR1.hmm 	Pf7G8-2_000119800 	3.6e-14 	40.6 	5.4e-10 	26.9	
RIFIN-B.hmm 	Pf7G8-2_000119800 	3e-102 	330.3 	8.8e-56 	177.6	
RIFIN-B.hmm 	Pf7G8-2_000119900 	1.4e-95 	308.3 	8.6e-53 	167.8	
RIFIN-A.hmm 	Pf7G8-2_000119900 	2.4e-137 	446.0 	2.6e-137 	445.8	
STEVOR1.hmm 	Pf7G8-2_000119900 	3.7e-10 	27.4 	1.1e-07 	19.3	
STEVOR1.hmm 	Pf7G8-2_000151600 	1e-16 	49.0 	5e-11 	30.3	
RIFIN-B.hmm 	Pf7G8-2_000151600 	4.1e-100 	323.3 	3e-53 	169.3	
RIFIN-A.hmm 	Pf7G8-2_000151600 	4.6e-135 	438.5 	5.2e-135 	438.3	
RIFIN-A.hmm 	Pf7G8-2_000152100 	5.9e-138 	448.0 	6.7e-138 	447.8	
RIFIN-B.hmm 	Pf7G8-2_000152100 	6e-97 	312.9 	1.1e-50 	160.8	
STEVOR1.hmm 	Pf7G8-2_000152100 	9e-13 	36.0 	1.5e-09 	25.4	
RIFIN-B.hmm 	Pf7G8-2_000152200 	1.4e-102 	331.3 	3.7e-57 	182.1	
STEVOR1.hmm 	Pf7G8-2_000152200 	4.8e-13 	36.9 	2e-08 	21.8	
RIFIN-A.hmm 	Pf7G8-2_000152200 	8.7e-147 	477.0 	9.7e-147 	476.9	
RIFIN-B.hmm 	Pf7G8-2_000152400 	1.2e-101 	328.3 	3.2e-56 	179.0	
STEVOR1.hmm 	Pf7G8-2_000152400 	2e-08 	21.7 	8.7e-08 	19.6	
RIFIN-A.hmm 	Pf7G8-2_000152400 	4.2e-152 	494.5 	4.7e-152 	494.3	
RIFIN-A.hmm 	Pf7G8-2_000153000 	2.1e-140 	456.0 	2.3e-140 	455.9	
RIFIN-B.hmm 	Pf7G8-2_000153000 	3.2e-94 	303.9 	2.9e-52 	166.0	
STEVOR1.hmm 	Pf7G8-2_000153000 	3.8e-15 	43.8 	7.8e-11 	29.7	
RIFIN-B.hmm 	Pf7G8-2_000183500 	1e-72 	233.3 	3.5e-55 	175.6	
RIFIN-A.hmm 	Pf7G8-2_000183500 	4.9e-119 	385.8 	5.5e-119 	385.6	
STEVOR1.hmm 	Pf7G8-2_000183500 	5.5e-07 	17.0 	5.5e-07 	17.0	
RIFIN-B.hmm 	Pf7G8-2_000183800 	3.2e-143 	464.9 	3.6e-143 	464.8	
STEVOR1.hmm 	Pf7G8-2_000183800 	3e-16 	47.4 	3e-10 	27.7	
RIFIN-A.hmm 	Pf7G8-2_000183800 	9.8e-100 	322.3 	1.5e-54 	173.7	
RIFIN-B.hmm 	Pf7G8-2_000184300 	1.3e-117 	380.8 	1.3e-68 	219.8	
STEVOR1.hmm 	Pf7G8-2_000184300 	4e-15 	43.7 	6.6e-10 	26.6	
RIFIN-A.hmm 	Pf7G8-2_000184300 	9.8e-163 	529.5 	1.1e-162 	529.3	
STEVOR1.hmm 	Pf7G8-2_000184400 	3.7e-14 	40.6 	3.5e-09 	24.2	
RIFIN-B.hmm 	Pf7G8-2_000184400 	6.5e-141 	457.3 	7.3e-141 	457.2	
RIFIN-A.hmm 	Pf7G8-2_000184400 	7e-102 	329.3 	2.1e-63 	202.8	
RIFIN-A.hmm 	Pf7G8-2_000184700 	2.1e-144 	469.2 	2.4e-144 	469.0	
RIFIN-B.hmm 	Pf7G8-2_000184700 	2.9e-107 	346.7 	2.9e-61 	195.6	
STEVOR1.hmm 	Pf7G8-2_000184700 	3.2e-15 	44.0 	1.8e-13 	38.3	
RIFIN-A.hmm 	Pf7G8-2_000185300 	1.1e-156 	509.5 	1.3e-156 	509.4	
STEVOR1.hmm 	Pf7G8-2_000185300 	1.6e-16 	48.3 	5.9e-12 	33.3	
RIFIN-B.hmm 	Pf7G8-2_000185300 	4.5e-110 	356.0 	1e-61 	197.0	
RIFIN-A.hmm 	Pf7G8-2_000185400 	2e-96 	311.4 	2e-53 	170.0	
STEVOR1.hmm 	Pf7G8-2_000185400 	4e-11 	30.6 	1.5e-07 	18.8	
RIFIN-B.hmm 	Pf7G8-2_000185400 	5.5e-136 	441.1 	6.2e-136 	441.0	
STEVOR1.hmm 	Pf7G8-2_000185500 	4.6e-14 	40.3 	5e-10 	27.0	
RIFIN-A.hmm 	Pf7G8-2_000185500 	4.7e-150 	487.8 	5.3e-150 	487.6	
RIFIN-B.hmm 	Pf7G8-2_000185500 	6.4e-112 	362.1 	1.1e-62 	200.2	
STEVOR1.hmm 	Pf7G8-2_000185800 	1.3e-10 	28.9 	2.7e-08 	21.3	
RIFIN-A.hmm 	Pf7G8-2_000185800 	1.4e-150 	489.5 	1.6e-150 	489.3	
RIFIN-B.hmm 	Pf7G8-2_000185800 	1.9e-117 	380.2 	1.2e-68 	219.9	
RIFIN-B.hmm 	Pf7G8-2_000185900 	1.3e-10 	29.1 	1.7e-08 	22.2	
RIFIN-A.hmm 	Pf7G8-2_000185900 	2.5e-12 	34.9 	3.6e-09 	24.5	
STEVOR1.hmm 	Pf7G8-2_000185900 	4.1e-154 	500.2 	4.8e-154 	500.0	
STEVOR1.hmm 	Pf7G8-2_000186100 	1.1e-09 	25.9 	6.5e-07 	16.8	
RIFIN-B.hmm 	Pf7G8-2_000186100 	5e-87 	280.3 	2.4e-48 	153.2	
RIFIN-A.hmm 	Pf7G8-2_000186100 	6.1e-116 	375.6 	1e-115 	374.8	
RIFIN-B.hmm 	Pf7G8-2_000196300 	1.4e-97 	314.9 	1.7e-55 	176.6	
STEVOR1.hmm 	Pf7G8-2_000196300 	2.8e-15 	44.2 	2.4e-11 	31.3	
RIFIN-A.hmm 	Pf7G8-2_000196300 	3.5e-132 	429.0 	4e-132 	428.8	
STEVOR1.hmm 	Pf7G8-2_000196400 	1.3e-15 	45.3 	3.7e-11 	30.7	
RIFIN-B.hmm 	Pf7G8-2_000196400 	1.4e-103 	334.7 	8.6e-54 	171.0	
RIFIN-A.hmm 	Pf7G8-2_000196400 	5.1e-133 	431.7 	3.4e-131 	425.7	
STEVOR1.hmm 	Pf7G8-2_000196900 	2.4e-16 	47.8 	6.3e-12 	33.2	
RIFIN-B.hmm 	Pf7G8-2_000196900 	4.4e-101 	326.4 	1.7e-58 	186.5	
RIFIN-A.hmm 	Pf7G8-2_000196900 	5.6e-135 	438.2 	6.3e-135 	438.0	
RIFIN-B.hmm 	Pf7G8-2_000215400 	3.8e-11 	30.9 	8.5e-10 	26.5	
STEVOR1.hmm 	Pf7G8-2_000215400 	5.4e-157 	509.6 	1e-156 	508.7	
RIFIN-A.hmm 	Pf7G8-2_000215400 	5.9e-11 	30.3 	6e-09 	23.7	
RIFIN-B.hmm 	Pf7G8-2_000215600 	1e-112 	364.6 	2.5e-65 	208.9	
STEVOR1.hmm 	Pf7G8-2_000215600 	6.2e-13 	36.6 	1.3e-08 	22.4	
RIFIN-A.hmm 	Pf7G8-2_000215600 	6.4e-154 	500.5 	7.2e-154 	500.3	
RIFIN-A.hmm 	Pf7G8-2_000215700 	1.4e-134 	436.8 	1.8e-134 	436.5	
RIFIN-B.hmm 	Pf7G8-2_000215700 	1.5e-88 	285.2 	5e-50 	158.7	
STEVOR1.hmm 	Pf7G8-2_000215700 	6.8e-13 	36.4 	2.2e-09 	24.9	
RIFIN-B.hmm 	Pf7G8-2_000216100 	1.2e-102 	331.6 	1.1e-54 	174.0	
RIFIN-A.hmm 	Pf7G8-2_000216100 	3.7e-143 	465.1 	4.1e-143 	464.9	
STEVOR1.hmm 	Pf7G8-2_000216100 	5.7e-11 	30.1 	1.2e-08 	22.4	
STEVOR1.hmm 	Pf7G8-2_000216200 	1.2e-11 	32.3 	1.3e-08 	22.4	
RIFIN-B.hmm 	Pf7G8-2_000216200 	3e-108 	350.0 	4.9e-58 	185.0	
RIFIN-A.hmm 	Pf7G8-2_000216200 	4.1e-148 	481.4 	4.6e-148 	481.2	
STEVOR1.hmm 	Pf7G8-2_000216300 	1.7e-18 	54.8 	3e-12 	34.3	
RIFIN-B.hmm 	Pf7G8-2_000216300 	2.3e-133 	432.5 	2.5e-133 	432.4	
RIFIN-A.hmm 	Pf7G8-2_000216300 	9.6e-93 	299.3 	1.6e-54 	173.6	
RIFIN-B.hmm 	Pf7G8-2_000224400 	1.6e-32 	101.1 	8e-25 	75.8	
RIFIN-A.hmm 	Pf7G8-2_000224400 	9.8e-52 	164.4 	1.2e-51 	164.1	
RIFIN-A.hmm 	Pf7G8-2_000247000 	2.2e-06 	15.3 	0.0004 	7.9	
STEVOR1.hmm 	Pf7G8-2_000247000 	4.4e-88 	283.3 	4.9e-88 	283.2	
STEVOR1.hmm 	Pf7G8-2_000247300 	1.1e-168 	548.0 	1.2e-168 	547.9	
RIFIN-A.hmm 	Pf7G8-2_000247300 	2.1e-12 	35.1 	8.2e-10 	26.6	
RIFIN-B.hmm 	Pf7G8-2_000247300 	6.8e-14 	39.9 	6.2e-11 	30.2	
RIFIN-A.hmm 	Pf7G8-2_000247400 	1.7e-148 	482.6 	1.9e-148 	482.5	
RIFIN-B.hmm 	Pf7G8-2_000247400 	2e-103 	334.2 	2.4e-59 	189.3	
STEVOR1.hmm 	Pf7G8-2_000247400 	4.3e-13 	37.1 	7.4e-09 	23.2	
STEVOR1.hmm 	Pf7G8-2_000247800 	1e-15 	45.7 	8.6e-11 	29.5	
RIFIN-B.hmm 	Pf7G8-2_000247800 	4.5e-133 	431.6 	5e-133 	431.4	
RIFIN-A.hmm 	Pf7G8-2_000247800 	4.9e-101 	326.6 	3.3e-55 	175.8	
STEVOR1.hmm 	Pf7G8-2_000247900 	1.2e-10 	29.0 	6.7e-08 	20.0	
RIFIN-A.hmm 	Pf7G8-2_000247900 	1.3e-148 	483.1 	1.4e-148 	482.9	
RIFIN-B.hmm 	Pf7G8-2_000247900 	9.2e-114 	368.1 	9.2e-67 	213.7	
STEVOR1.hmm 	Pf7G8-2_000249000 	1.4e-07 	19.0 	2e-06 	15.2	
RIFIN-A.hmm 	Pf7G8-2_000249000 	2.7e-141 	458.9 	3.1e-141 	458.8	
RIFIN-B.hmm 	Pf7G8-2_000249000 	8.1e-99 	319.0 	2.4e-53 	169.6	
STEVOR1.hmm 	Pf7G8-2_000249200 	1.6e-163 	531.1 	1.8e-163 	530.9	
RIFIN-B.hmm 	Pf7G8-2_000249200 	1.9e-13 	38.4 	2e-10 	28.5	
RIFIN-A.hmm 	Pf7G8-2_000249200 	8e-11 	29.9 	6.9e-09 	23.5	
STEVOR1.hmm 	Pf7G8-2_000249300 	2.3e-13 	38.0 	2e-09 	25.0	
RIFIN-A.hmm 	Pf7G8-2_000249300 	4.4e-145 	471.4 	4.9e-145 	471.2	
RIFIN-B.hmm 	Pf7G8-2_000249300 	6.6e-103 	332.4 	2.9e-61 	195.6	
RIFIN-A.hmm 	Pf7G8-2_000249700 	1.1e-149 	486.5 	1.3e-149 	486.3	
STEVOR1.hmm 	Pf7G8-2_000249700 	1.2e-16 	48.8 	6.3e-12 	33.2	
RIFIN-B.hmm 	Pf7G8-2_000249700 	6.6e-107 	345.6 	1.7e-64 	206.2	
RIFIN-B.hmm 	Pf7G8-2_000249800 	1.2e-13 	39.1 	9.6e-11 	29.6	
RIFIN-A.hmm 	Pf7G8-2_000249800 	3.7e-11 	31.0 	1.2e-09 	26.0	
STEVOR1.hmm 	Pf7G8-2_000249800 	9.7e-166 	538.3 	1.1e-165 	538.2	
STEVOR1.hmm 	Pf7G8-2_000285500 	1.2e-15 	45.5 	1e-10 	29.3	
RIFIN-B.hmm 	Pf7G8-2_000285500 	1.5e-140 	456.1 	1.7e-140 	456.0	
RIFIN-A.hmm 	Pf7G8-2_000285500 	1.6e-107 	347.9 	9.1e-60 	190.9	
STEVOR1.hmm 	Pf7G8-2_000285600 	1.5e-11 	32.0 	1.9e-07 	18.5	
RIFIN-B.hmm 	Pf7G8-2_000285600 	1.8e-110 	357.3 	6.9e-61 	194.3	
RIFIN-A.hmm 	Pf7G8-2_000285600 	6.6e-144 	467.5 	7.4e-144 	467.4	
RIFIN-A.hmm 	Pf7G8-2_000285700 	5e-155 	504.1 	5.6e-155 	504.0	
STEVOR1.hmm 	Pf7G8-2_000285700 	6.9e-13 	36.4 	9.7e-09 	22.8	
RIFIN-B.hmm 	Pf7G8-2_000285700 	7.9e-100 	322.3 	2.7e-53 	169.4	
RIFIN-B.hmm 	Pf7G8-2_000286500 	2.1e-84 	271.6 	3.3e-48 	152.7	
STEVOR1.hmm 	Pf7G8-2_000286500 	3.6e-11 	30.8 	3.2e-10 	27.6	
RIFIN-A.hmm 	Pf7G8-2_000286500 	8.6e-111 	358.6 	8.2e-110 	355.4	
RIFIN-B.hmm 	Pf7G8-2_000324700 	2.2e-109 	353.7 	1.1e-63 	203.5	
STEVOR1.hmm 	Pf7G8-2_000324700 	2.4e-16 	47.8 	4.6e-12 	33.7	
RIFIN-A.hmm 	Pf7G8-2_000324700 	7.5e-150 	487.1 	8.5e-150 	486.9	
RIFIN-B.hmm 	Pf7G8-2_000324800 	1.7e-84 	272.0 	5.3e-48 	152.0	
STEVOR1.hmm 	Pf7G8-2_000324800 	3.3e-19 	57.1 	1.4e-13 	38.7	
RIFIN-A.hmm 	Pf7G8-2_000324800 	6.3e-118 	382.1 	7.1e-118 	381.9	
STEVOR1.hmm 	Pf7G8-2_000324900 	2.5e-14 	41.1 	9.4e-10 	26.1	
RIFIN-B.hmm 	Pf7G8-2_000324900 	2.7e-142 	461.9 	3e-142 	461.7	
RIFIN-A.hmm 	Pf7G8-2_000324900 	3.4e-98 	317.2 	5.9e-55 	175.0	
STEVOR1.hmm 	Pf7G8-2_000325000 	1.7e-08 	22.0 	1.7e-08 	22.0	
RIFIN-A.hmm 	Pf7G8-2_000325000 	2.9e-69 	222.1 	1.4e-49 	157.4	
RIFIN-B.hmm 	Pf7G8-2_000325000 	4.7e-93 	300.1 	5.3e-93 	299.9	
RIFIN-B.hmm 	Pf7G8-2_000371900 	1.7e-91 	294.9 	8.8e-51 	161.1	
RIFIN-A.hmm 	Pf7G8-2_000371900 	2.4e-130 	423.0 	2.7e-130 	422.8	
STEVOR1.hmm 	Pf7G8-2_000371900 	3.9e-12 	33.9 	2e-09 	25.0	
STEVOR1.hmm 	Pf7G8-2_000372200 	1.4e-07 	19.0 	2.6e-07 	18.1	
RIFIN-A.hmm 	Pf7G8-2_000372200 	1.7e-120 	390.5 	8.5e-120 	388.3	
RIFIN-B.hmm 	Pf7G8-2_000372200 	4.7e-93 	300.1 	8.1e-52 	164.5	
RIFIN-B.hmm 	Pf7G8-2_000389900 	1.4e-63 	203.2 	1.8e-57 	183.1	
RIFIN-A.hmm 	Pf7G8-2_000389900 	1.7e-88 	285.3 	2.3e-88 	284.9	
STEVOR1.hmm 	Pf7G8-2_000389900 	1.9e-08 	21.8 	1.9e-08 	21.8	
RIFIN-B.hmm 	Pf7G8-2_000390000 	1.4e-93 	301.8 	3.3e-51 	162.5	
STEVOR1.hmm 	Pf7G8-2_000390000 	5.4e-15 	43.3 	6.8e-12 	33.1	
RIFIN-A.hmm 	Pf7G8-2_000390000 	8.2e-130 	421.2 	9.3e-130 	421.0	
RIFIN-B.hmm 	Pf7G8-2_000403200 	1.5e-133 	433.2 	1.6e-133 	433.0	
RIFIN-A.hmm 	Pf7G8-2_000403200 	1.7e-88 	285.3 	3.7e-52 	165.8	
