Cluster	Gene
PF3D7_0425000	PfGA01_040029300,PfGA01_040029400
PF3D7_0425000	PfNF166_040030300,PfNF166_040030400
PF3D7_0425000	PfNF54_040030300,PfNF54_040030400
PF3D7_0509900	PfGB4_050015200,PfGB4_050015300
PF3D7_0532700	PfNF54_050036500,PfNF54_050036600
PF3D7_0532900	PfDd2_050037300,PfDd2_050037400
PF3D7_0532900	Pf7G8_050037600,Pf7G8_050037700
PF3D7_0532900	PfIT_050037500,PfIT_050037600
PF3D7_0532900	Pf7G8-2_000151600,Pf7G8-2_000151700:pseudogene
PF3D7_0532900	PfGB4_050038400,PfGB4_050038500
PF3D7_0532900	PfKH01_050037600,PfKH01_050037700
PF3D7_0532900	PfGN01_050037200,PfGN01_050037300
PF3D7_0532900	PfNF166_050037400,PfNF166_050037500
PF3D7_0533100	Pf7G8-2_000151900,Pf7G8-2_000152000
PF3D7_0533100	PfNF166_050037700,PfNF166_050037800
PF3D7_0601400	PfNF54_060006100,PfNF54_060006200
PF3D7_0609600	PfGB4_060013400,PfGB4_060013500
PF3D7_0609900	PfGB4_060013600,PfGB4_060013700,PfGB4_060013800
PF3D7_0617400	PfNF54_060022400,PfNF54_060022500
PF3D7_0700700	PfNF166_000021800,PfNF166_000021900
PF3D7_0732400	PfKH01_020006200,PfKH01_020006400
PF3D7_0800700	PfDd2_080006000,PfDd2_080006200
PF3D7_0800700	PfIT_000012300,PfIT_000012400,PfIT_000012500
PF3D7_0800700	PfKH01_000032500,PfKH01_000032600,PfKH01_000032700
PF3D7_0800700	PfNF166_000018600,PfNF166_000018700
PF3D7_0831900	Pf7G8_080036900,Pf7G8_080037000
PF3D7_0831900	PfHB3_080037100,PfHB3_080037200
PF3D7_0831900	PfIT_080036700,PfIT_080036800
PF3D7_0831900	PfKH02_080037200,PfKH02_080037300
PF3D7_0831900	Pf7G8-2_000246800,Pf7G8-2_000246900:pseudogene
PF3D7_0831900	PfKH01_080036900,PfKH01_080037000
PF3D7_0831900	PfGN01_080037400,PfGN01_080037500
PF3D7_0831900	PfCD01_080037400,PfCD01_080037500
PF3D7_0831900	PfNF166_080035300,PfNF166_080035400:pseudogene
PF3D7_1005500	PfNF54_100010800:pseudogene,PfNF54_100010700:pseudogene
PF3D7_1010400	PfDd2_100015700,PfDd2_100015800
PF3D7_1016300	PfKE01_100021600,PfKE01_100021700
PF3D7_1020700,PF3D7_1020800	PfDd2_100026100,PfDd2_100026200
PF3D7_1020700,PF3D7_1020800	Pf7G8_100025200,Pf7G8_100025300
PF3D7_1020700,PF3D7_1020800	PfHB3_100025200,PfHB3_100025300
PF3D7_1020700,PF3D7_1020800	PfIT_100024800,PfIT_100024900
PF3D7_1020700,PF3D7_1020800	PfKH02_100026200,PfKH02_100026300
PF3D7_1020700,PF3D7_1020800	PfKE01_100026100,PfKE01_100026200
PF3D7_1020700,PF3D7_1020800	Pf7G8-2_000306300,Pf7G8-2_000306400
PF3D7_1020700,PF3D7_1020800	PfGB4_100025800,PfGB4_100025900
PF3D7_1020700,PF3D7_1020800	PfKH01_100025300,PfKH01_100025400
PF3D7_1020700,PF3D7_1020800	PF3D7_1020700,PF3D7_1020800
PF3D7_1020700,PF3D7_1020800	PfGA01_100026100,PfGA01_100026200
PF3D7_1020700,PF3D7_1020800	PfGN01_100026300,PfGN01_100026400
PF3D7_1020700,PF3D7_1020800	PfCD01_100026000,PfCD01_100026100
PF3D7_1020700,PF3D7_1020800	PfSN01_100026200,PfSN01_100026300
PF3D7_1020700,PF3D7_1020800	PfNF166_100025600,PfNF166_100025700
PF3D7_1036400	PfSN01_100041500,PfSN01_100041600
PF3D7_1040000	PfKH01_100044100,PfKH01_100044200
PF3D7_1101900	Pf7G8-2_000325500,Pf7G8-2_000325600
PF3D7_1200600,PF3D7_1200610	PF3D7_1200600,PF3D7_1200610
PF3D7_1200600,PF3D7_1200610	PfNF54_120005700,PfNF54_120005800
PF3D7_1223600	Pf7G8_120028200,Pf7G8_120028300
PF3D7_1224000	PfDd2_120028400,PfDd2_120028500
PF3D7_1224000	PfKH02_120029000,PfKH02_120029100
PF3D7_1224000	PfNF54_120028500:pseudogene,PfNF54_120028700
PF3D7_1240700	PfDd2_120045800,PfDd2_120046000
PF3D7_1240700	PfGB4_120045700,PfGB4_120046000
PF3D7_1244900	PfCD01_120049700,PfCD01_120049800
PF3D7_1253900	Pf7G8_130076800,Pf7G8_130076900
PF3D7_1254800	PfKE01_140005700,PfKE01_140005800
PF3D7_1301800	Pf7G8-2_000404800,Pf7G8-2_000404900
PF3D7_1301800	PfNF54_130006900,PfNF54_130007000
PF3D7_1353000	PfDd2_130058800,PfDd2_130058900
PF3D7_1353000	PfKE01_130058600,PfKE01_130058700
PF3D7_1353000	Pf7G8-2_000455400,Pf7G8-2_000455500
PF3D7_1353000	PfGB4_130058900,PfGB4_130059000
PF3D7_1353000	PfKH01_130057000,PfKH01_130057100
PF3D7_1353000	PfGA01_130059100,PfGA01_130059200
PF3D7_1353000	PfGN01_130059700,PfGN01_130059800
PF3D7_1353000	PfCD01_130058600,PfCD01_130058700
PF3D7_1353000	PfNF166_130057900,PfNF166_130058000
PF3D7_1353000	PfNF54_130057600,PfNF54_130057700
PF3D7_1355100	Pf7G8-2_000457500,Pf7G8-2_000457600
PF3D7_1355100	PfNF166_130060000,PfNF166_130060100
PF3D7_1355100	PfNF54_130059700,PfNF54_130059800
PF3D7_1371600	Pf7G8_130075400,Pf7G8_130075500
PF3D7_1371600	Pf7G8-2_000473300,Pf7G8-2_000473400
PF3D7_1371600	PfGB4_130076800,PfGB4_130076900
PF3D7_1371600	PfCD01_130076500,PfCD01_130076600
PF3D7_1372900	PfGB4_000017300,PfGB4_000017400
PF3D7_1372900	PfKH01_000029100,PfKH01_000029200
PF3D7_1372900	PfCD01_000005700,PfCD01_000005800
PF3D7_1373500	PfNF54_130075900,PfNF54_130076000
PF3D7_1417400	PfDd2_140022000,PfDd2_140022100
PF3D7_1417400	PfGB4_140023600,PfGB4_140023700
PF3D7_1417400	PfNF54_140022400,PfNF54_140022500
PF3D7_1440200,PF3D7_1440300	PfDd2_140044650,PfDd2_140044700
PF3D7_1440200,PF3D7_1440300	Pf7G8_140045450,Pf7G8_140045500
PF3D7_1440200,PF3D7_1440300	PfHB3_140045950,PfHB3_140046000
PF3D7_1440200,PF3D7_1440300	PfIT_140046650,PfIT_140046700
PF3D7_1440200,PF3D7_1440300	PfKH02_140045950,PfKH02_140046000
PF3D7_1440200,PF3D7_1440300	PfKE01_140045150,PfKE01_140045200
PF3D7_1440200,PF3D7_1440300	Pf7G8-2_000514000,Pf7G8-2_000514100
PF3D7_1440200,PF3D7_1440300	PfGB4_140046350,PfGB4_140046400
PF3D7_1440200,PF3D7_1440300	PfKH01_140045750,PfKH01_140045800
PF3D7_1440200,PF3D7_1440300	PF3D7_1440200,PF3D7_1440300
PF3D7_1440200,PF3D7_1440300	PfGA01_140045750,PfGA01_140045800
PF3D7_1440200,PF3D7_1440300	PfGN01_140045550,PfGN01_140045600
PF3D7_1440200,PF3D7_1440300	PfCD01_140045650,PfCD01_140045700
PF3D7_1440200,PF3D7_1440300	PfSN01_140047450,PfSN01_140047500
PF3D7_1440200,PF3D7_1440300	PfNF166_140043100,PfNF166_140043200:pseudogene
PF3D7_1477900	PfNF54_140081200,PfNF54_140081300
PF3D7_1479300	Pf7G8_140084100,Pf7G8_140084200
PF3D7_API02200,PF3D7_API02300	PfDd2_000007850,PfDd2_000007900
PF3D7_API02200,PF3D7_API02300	Pf7G8_000008450,Pf7G8_000008500
PF3D7_API02200,PF3D7_API02300	PfHB3_000014950,PfHB3_000015000
PF3D7_API02200,PF3D7_API02300	PfIT_000017550,PfIT_000017600
PF3D7_API02200,PF3D7_API02300	PfKH02_000015250,PfKH02_000015300
PF3D7_API02200,PF3D7_API02300	PfKE01_000013850,PfKE01_000013900
PF3D7_API02200,PF3D7_API02300	PfGB4_000023750,PfGB4_000023800
PF3D7_API02200,PF3D7_API02300	PfKH01_000053150,PfKH01_000053200
PF3D7_API02200,PF3D7_API02300	PF3D7_API02200,PF3D7_API02300
PF3D7_API02200,PF3D7_API02300	PfGA01_000014650,PfGA01_000014700
PF3D7_API02200,PF3D7_API02300	PfGN01_000026250,PfGN01_000026300
PF3D7_API02200,PF3D7_API02300	PfSN01_000026450,PfSN01_000026500
PF3D7_API04200	PfGB4_000025400,PfGB4_000025450
Pf7G8-2_000006500	Pf7G8-2_000006500,Pf7G8-2_000006600
Pf7G8-2_000049300	PfNF166_020006200,PfNF166_020006400
PfDd2_100045800	PfHB3_090005900,PfHB3_090006000
Pf7G8-2_000119100	Pf7G8-2_000119100,Pf7G8-2_000119200:pseudogene
Pf7G8-2_000325700	PfNF166_100043700,PfNF166_100043800
PfDd2_110027900	Pf7G8-2_000347600,Pf7G8-2_000347700
Pf7G8_040017800	PfHB3_040016700,PfHB3_040017000
Pf7G8_070017500	PfCD01_040017600,PfCD01_040018000
PfDd2_010005700	PfGB4_010006100,PfGB4_010006200
PfCD01_020006300	PfGN01_020006300,PfGN01_020006400
PfDd2_080014200	PfKE01_080014400,PfKE01_080014500
PfCD01_120024200	PfKH01_120025600,PfKH01_120025700
PfGA01_120046300	PfKE01_120045700,PfKE01_120046100
PfGN01_040005900	PfGN01_040005900,PfGN01_040006000
