Unnamed: 0.1	Gene ID	Genome	Chromosome	Start Position	End Position	Product Description	Cluster	Occupancy	Genes in cluster	Number of genes unmapped	Percentage of genes unmapped	Location
40	Pf7G8-2_000466300	7G8-2019	VBRD01000019.1	2511165	2511707	Reticulon, putative	PfDd2_130069700	15	PfDd2_130069700, Pf7G8_130068400, PfHB3_130070300, PfIT_130069200, PfKH02_130066800, PfKE01_130069500, Pf7G8-2_000466300, PfGB4_130069800, PfKH01_130067900, PfGA01_130070000, PfGN01_130070600, PfCD01_130069500, PfSN01_130066900, PfNF166_130068800, PfNF54_130068500	15	100.0	Core
41	Pf7G8_010005600	7G8	Pf7G8_01	51269	63783	erythrocyte membrane protein 1, PfEMP1	Pf7G8-2_000035500	3	Pf7G8_010005600, Pf7G8-2_000035500, PfGB4_100004900	2	66.66666666666666	Subtelomeric/Variable
42	Pf7G8_010005900	7G8	Pf7G8_01	72809	74017	rifin	PfDd2_140083700	3	PfDd2_140083700, Pf7G8_010005900, Pf7G8-2_000035800	2	66.66666666666666	Subtelomeric/Variable
43	Pf7G8_030005900	7G8	Pf7G8_03	29590	40048	erythrocyte membrane protein 1, PfEMP1	Pf7G8-2_000069700	2	Pf7G8_030005900, Pf7G8-2_000069700	2	100.0	Subtelomeric/Variable
44	Pf7G8_030006100	7G8	Pf7G8_03	46960	48141	rifin	PfDd2_130078300	4	PfDd2_130078300, Pf7G8_030006100, PfIT_120059900, Pf7G8-2_000069900	4	100.0	Subtelomeric/Variable
45	Pf7G8_040017600	7G8	Pf7G8_04	514649	522776	erythrocyte membrane protein 1, PfEMP1	Pf7G8-2_000105800	3	Pf7G8_040017600, Pf7G8-2_000105800, PfGB4_040017800	2	66.66666666666666	Core
46	Pf7G8_040025600	7G8	Pf7G8_04	873644	881510	erythrocyte membrane protein 1, PfEMP1	Pf7G8-2_000113600	4	Pf7G8_040025600, PfKE01_040027600, Pf7G8-2_000113600, PfKH01_000028300	4	100.0	Core
47	Pf7G8_040030800	7G8	Pf7G8_04	1079156	1089513	erythrocyte membrane protein 1, PfEMP1	Pf7G8-2_000118600	4	Pf7G8_040030800, PfIT_080005000, Pf7G8-2_000118600, PfNF166_050005600	2	50.0	Subtelomeric/Variable
48	Pf7G8_050006000	7G8	Pf7G8_05	51310	52566	rifin	Pf7G8-2_000119900	2	Pf7G8_050006000, Pf7G8-2_000119900	2	100.0	Subtelomeric/Variable
49	Pf7G8_050006100	7G8	Pf7G8_05	54683	55800	rifin	Pf7G8-2_000120000:pseudogene	4	Pf7G8_050006100, PfIT_050006000, Pf7G8-2_000120000:pseudogene, PfGN01_050005700	3	75.0	Subtelomeric/Variable
50	Pf7G8_050038000	7G8	Pf7G8_05	1370223	1371375	rifin	Pf7G8-2_000152100	2	Pf7G8_050038000, Pf7G8-2_000152100	2	100.0	Subtelomeric/Variable
51	Pf7G8_050038400	7G8	Pf7G8_05	1392160	1402284	erythrocyte membrane protein 1, PfEMP1	Pf7G8-2_000152500	2	Pf7G8_050038400, Pf7G8-2_000152500	2	100.0	Subtelomeric/Variable
52	Pf7G8_060005400	7G8	Pf7G8_06	22753	32482	erythrocyte membrane protein 1 (PfEMP1), pseudogene	Pf7G8-2_000152900:pseudogene	2	Pf7G8_060005400, Pf7G8-2_000152900:pseudogene	1	50.0	Subtelomeric/Variable
53	Pf7G8_060005600	7G8	Pf7G8_06	34388	35640	rifin	Pf7G8-2_000153000	2	Pf7G8_060005600, Pf7G8-2_000153000	2	100.0	Subtelomeric/Variable
54	Pf7G8_060022500	7G8	Pf7G8_06	715374	723779	erythrocyte membrane protein 1, PfEMP1	Pf7G8-2_000169900	7	Pf7G8_060022500, PfHB3_060021800, PfIT_060021400, PfKH02_060023700, Pf7G8-2_000169900, PfKH01_060024600, PfGN01_060023300	6	85.71428571428571	Core
55	Pf7G8_070006000	7G8	Pf7G8_07	56875	57686	Plasmodium exported protein, unknown function	Pf7G8-2_000185000	4	Pf7G8_070006000, PfIT_060036200, Pf7G8-2_000185000, PfCD01_000008100	4	100.0	Subtelomeric/Variable
56	Pf7G8_070006200	7G8	Pf7G8_07	62068	62605	hypothetical protein	Pf7G8_070006200	3	Pf7G8_070006200, PfIT_100043300, PfGA01_040030000	3	100.0	Subtelomeric/Variable
57	Pf7G8_070006900	7G8	Pf7G8_07	92982	94215	rifin	Pf7G8-2_000185800	2	Pf7G8_070006900, Pf7G8-2_000185800	2	100.0	Subtelomeric/Variable
58	Pf7G8_070017100	7G8	Pf7G8_07	539128	549191	erythrocyte membrane protein 1, PfEMP1	Pf7G8-2_000195900	5	Pf7G8_070017100, PfKE01_070015300, Pf7G8-2_000195900, PfKH01_080013900, PfCD01_070015600	4	80.0	Core
59	Pf7G8_070017800	7G8	Pf7G8_07	581018	582139	rifin	Pf7G8-2_000196300	7	Pf7G8_070017800, PfKH02_040026200, PfKE01_040019200, Pf7G8-2_000196300, PfGB4_070017400, PfKH01_070016000, PfCD01_070016600	4	57.14285714285714	Subtelomeric/Variable
60	Pf7G8_070017900	7G8	Pf7G8_07	584056	585310	rifin	Pf7G8-2_000196400	7	Pf7G8_070017900, PfKE01_040019300, Pf7G8-2_000196400, PfGB4_070017500, PfKH01_070016100, PfCD01_070016700, PfNF166_070016500	2	28.57142857142857	Subtelomeric/Variable
61	Pf7G8_080005400	7G8	Pf7G8_08	18769	27375	erythrocyte membrane protein 1, PfEMP1	Pf7G8-2_000216000	3	Pf7G8_080005400, PfHB3_010019600, Pf7G8-2_000216000	3	100.0	Subtelomeric/Variable
62	Pf7G8_080005600	7G8	Pf7G8_08	32315	33554	rifin	Pf7G8-2_000216200	3	Pf7G8_080005600, PfKE01_040006400, Pf7G8-2_000216200	1	33.33333333333333	Subtelomeric/Variable
63	Pf7G8_080005800	7G8	Pf7G8_08	39188	40548	rifin	Pf7G8-2_000216400:pseudogene	6	Pf7G8_080005800, PfIT_000012000, PfKH02_080006100, Pf7G8-2_000216400:pseudogene, PfCD01_080005700, PfSN01_010017800	3	50.0	Subtelomeric/Variable
64	Pf7G8_080013900	7G8	Pf7G8_08	422121	432019	erythrocyte membrane protein 1, PfEMP1	Pf7G8-2_000224300	2	Pf7G8_080013900, Pf7G8-2_000224300	2	100.0	Subtelomeric/Variable
65	Pf7G8_080038100	7G8	Pf7G8_08	1405736	1406741	rifin	PfDd2_050005200	4	PfDd2_050005200, Pf7G8_080038100, Pf7G8-2_000248000:pseudogene, PfKH01_010006200	2	50.0	Subtelomeric/Variable
66	Pf7G8_090005600	7G8	Pf7G8_09	41601	50973	erythrocyte membrane protein 1, PfEMP1	Pf7G8-2_000248900	2	Pf7G8_090005600, Pf7G8-2_000248900	2	100.0	Subtelomeric/Variable
67	Pf7G8_090042400	7G8	Pf7G8_09	1471327	1472420	rifin	PfDd2_090042600	9	PfDd2_090042600, Pf7G8_090042400, PfHB3_000011300, PfKH02_090042400, Pf7G8-2_000285500, PfGB4_000010700, PfKH01_090041700, PfCD01_090042000, PfNF166_090041600	5	55.55555555555556	Subtelomeric/Variable
68	Pf7G8_090042800	7G8	Pf7G8_09	1481489	1491351	erythrocyte membrane protein 1, PfEMP1	Pf7G8-2_000285800	2	Pf7G8_090042800, Pf7G8-2_000285800	2	100.0	Subtelomeric/Variable
69	Pf7G8_100005100	7G8	Pf7G8_10	4428	5064	hypothetical protein	Pf7G8-2_000286400	2	Pf7G8_100005100, Pf7G8-2_000286400	2	100.0	Core
70	Pf7G8_100039500	7G8	Pf7G8_10	1347655	1351737	S-antigen	Pf7G8-2_000320500	2	Pf7G8_100039500, Pf7G8-2_000320500	2	100.0	Core
71	Pf7G8_100043300	7G8	Pf7G8_10	1529995	1531404	hypothetical protein	Pf7G8_100043300	3	Pf7G8_100043300, PfHB3_100043300, PfIT_100043000	3	100.0	Subtelomeric/Variable
72	Pf7G8_100043700	7G8	Pf7G8_10	1553963	1554720	Plasmodium exported protein, unknown function	Pf7G8_100043700	4	Pf7G8_100043700, PfHB3_100043600, PfGA01_040030100, PfSN01_140007000	1	25.0	Subtelomeric/Variable
73	Pf7G8_100043800	7G8	Pf7G8_10	1556187	1556995	Plasmodium exported protein, unknown function	Pf7G8_100043800	4	Pf7G8_100043800, PfHB3_100043700, PfGA01_040030200, PfSN01_140006900	4	100.0	Subtelomeric/Variable
74	Pf7G8_110005100	7G8	Pf7G8_11	6971	8176	rifin	Pf7G8-2_000324700	2	Pf7G8_110005100, Pf7G8-2_000324700	2	100.0	Subtelomeric/Variable
75	Pf7G8_110028600	7G8	Pf7G8_11	916959	921014	hypothetical protein	PfDd2_110027900	7	PfDd2_110027900, Pf7G8_110028600, PfHB3_110028200, PfIT_110029200, PfKH02_110030000, Pf7G8-2_000347600, Pf7G8-2_000347700, PfKH01_110029000	6	85.71428571428571	Core
76	Pf7G8_120005400	7G8	Pf7G8_12	30287	41620	erythrocyte membrane protein 1, PfEMP1	Pf7G8-2_000006300	2	Pf7G8_120005400, Pf7G8-2_000006300	2	100.0	Subtelomeric/Variable
77	Pf7G8_120005500	7G8	Pf7G8_12	43501	44844	rifin	Pf7G8-2_000006400	2	Pf7G8_120005500, Pf7G8-2_000006400	2	100.0	Subtelomeric/Variable
78	Pf7G8_120024100	7G8	Pf7G8_12	767303	776329	erythrocyte membrane protein 1, PfEMP1	Pf7G8-2_000025000	2	Pf7G8_120024100, Pf7G8-2_000025000	2	100.0	Core
79	Pf7G8_120045700	7G8	Pf7G8_12	1728321	1735817	erythrocyte membrane protein 1, PfEMP1	Pf7G8-2_000389700	4	Pf7G8_120045700, PfHB3_120045000, Pf7G8-2_000389700, PfGB4_120045400	2	50.0	Core
80	Pf7G8_120045800	7G8	Pf7G8_12	1737330	1747113	erythrocyte membrane protein 1, PfEMP1	PfDd2_120045300	4	PfDd2_120045300, Pf7G8_120045800, PfKH02_040017600, Pf7G8-2_000389800	3	75.0	Subtelomeric/Variable
81	Pf7G8_120046600	7G8	Pf7G8_12	1782132	1789799	erythrocyte membrane protein 1, PfEMP1	Pf7G8-2_000390300	2	Pf7G8_120046600, Pf7G8-2_000390300	2	100.0	Subtelomeric/Variable
82	Pf7G8_120059150	7G8	Pf7G8_12	2242784	2243761	Plasmodium exported protein (PHISTa), unknown function	Pf7G8_120059150	10	Pf7G8_120059150, PfHB3_120058250, PfIT_120058800, PfKH02_120058150, PfKE01_120058900, PfGB4_120058800, PfKH01_120059550, PfGA01_120058900, PfGN01_120059700, PfSN01_120058900	9	90.0	Core
83	Pf7G8_120060000	7G8	Pf7G8_12	2273021	2284597	erythrocyte membrane protein 1, PfEMP1	Pf7G8-2_000403400	2	Pf7G8_120060000, Pf7G8-2_000403400	2	100.0	Subtelomeric/Variable
84	Pf7G8_130006400	7G8	Pf7G8_13	65649	66683	hypothetical protein	PfDd2_130007800	11	PfDd2_130007800, Pf7G8_130006400, PfHB3_130008300, PfIT_130007200, PfKE01_130007600, PfGB4_130007900, PfKH01_130006200, PfGA01_130008000, PfGN01_130008700, PfCD01_130007500, PfSN01_130005000	11	100.0	Core
85	Pf7G8_130068400	7G8	Pf7G8_13	2512021	2512527	hypothetical protein	PfDd2_130069700	15	PfDd2_130069700, Pf7G8_130068400, PfHB3_130070300, PfIT_130069200, PfKH02_130066800, PfKE01_130069500, Pf7G8-2_000466300, PfGB4_130069800, PfKH01_130067900, PfGA01_130070000, PfGN01_130070600, PfCD01_130069500, PfSN01_130066900, PfNF166_130068800, PfNF54_130068500	15	100.0	Core
86	PfCD01_000006100	CD01	PfCD01_00_1	33890	35046	rifin	PfCD01_000006100	1	PfCD01_000006100	1	100.0	Subtelomeric/Variable
87	PfCD01_000006400	CD01	PfCD01_00_1	43452	44778	rifin	PfCD01_000006400	1	PfCD01_000006400	1	100.0	Subtelomeric/Variable
88	PfCD01_000006600	CD01	PfCD01_00_1	50312	57457	erythrocyte membrane protein 1, PfEMP1	Pf7G8-2_000094000	10	Pf7G8_040005600, PfKE01_100005500, Pf7G8-2_000094000, PfGB4_000006900, PfKH01_000028900, PfGA01_040005600, PfGN01_080038400, PfCD01_000006600, PfSN01_000005600, PfNF166_040007200	4	40.0	Subtelomeric/Variable
89	PfCD01_000007600	CD01	PfCD01_00_2	28975	30180	rifin	PfCD01_000007600	1	PfCD01_000007600	1	100.0	Subtelomeric/Variable
90	PfCD01_000008100	CD01	PfCD01_00_2	43960	44771	hypothetical protein	Pf7G8-2_000185000	4	Pf7G8_070006000, PfIT_060036200, Pf7G8-2_000185000, PfCD01_000008100	4	100.0	Subtelomeric/Variable
91	PfCD01_000008700	CD01	PfCD01_00_2	71329	72418	rifin	PfCD01_000008700	1	PfCD01_000008700	1	100.0	Subtelomeric/Variable
92	PfCD01_000009400	CD01	PfCD01_00_4	192	5544	erythrocyte membrane protein 1, PfEMP1	PfCD01_000009400	1	PfCD01_000009400	1	100.0	Subtelomeric/Variable
93	PfCD01_010019500	CD01	PfCD01_01	570544	579284	erythrocyte membrane protein 1, PfEMP1	PfCD01_010019500	1	PfCD01_010019500	1	100.0	Subtelomeric/Variable
94	PfCD01_020006000	CD01	PfCD01_02	32133	37395	erythrocyte membrane protein 1, PfEMP1	PfCD01_020006000	2	PfGB4_000019700, PfCD01_020006000	1	50.0	Subtelomeric/Variable
95	PfCD01_020026700	CD01	PfCD01_02	866031	867270	rifin	PfCD01_020026700	1	PfCD01_020026700	1	100.0	Core
96	PfCD01_030030500	CD01	PfCD01_03	1034531	1046155	erythrocyte membrane protein 1, PfEMP1	PfCD01_030030500	1	PfCD01_030030500	1	100.0	Subtelomeric/Variable
97	PfCD01_040005300	CD01	PfCD01_04	15364	25278	erythrocyte membrane protein 1, PfEMP1	PfCD01_040005300	3	PfKH01_050005600, PfCD01_040005300, PfSN01_130075300	2	66.66666666666666	Subtelomeric/Variable
98	PfCD01_040005700	CD01	PfCD01_04	37865	38930	rifin	PfCD01_040005700	1	PfCD01_040005700	1	100.0	Subtelomeric/Variable
99	PfCD01_040005900	CD01	PfCD01_04	43615	44884	rifin	PfCD01_040005900	3	PfGB4_040006400, PfCD01_040005900, PfSN01_040006000	3	100.0	Subtelomeric/Variable
100	PfCD01_040017400	CD01	PfCD01_04	507729	516810	erythrocyte membrane protein 1, PfEMP1	PfCD01_040017400	4	PfHB3_040016500, PfIT_040017000, PfGA01_040017300, PfCD01_040017400	1	25.0	Core
101	PfCD01_040026200	CD01	PfCD01_04	905043	913912	erythrocyte membrane protein 1, PfEMP1	PfCD01_040026200	2	PfKH02_040025700, PfCD01_040026200	2	100.0	Core
102	PfCD01_040026500	CD01	PfCD01_04	928935	937661	erythrocyte membrane protein 1, PfEMP1	PfCD01_040026500	1	PfCD01_040026500	1	100.0	Subtelomeric/Variable
103	PfCD01_040031100	CD01	PfCD01_04	1120270	1130480	erythrocyte membrane protein 1, PfEMP1	PfCD01_040031100	1	PfCD01_040031100	1	100.0	Subtelomeric/Variable
104	PfCD01_050007000	CD01	PfCD01_05	73596	74696	rifin	PfCD01_050007000	1	PfCD01_050007000	1	100.0	Subtelomeric/Variable
105	PfCD01_050039400	CD01	PfCD01_05	1402540	1414055	erythrocyte membrane protein 1, PfEMP1	PfCD01_050039400	1	PfCD01_050039400	1	100.0	Subtelomeric/Variable
106	PfCD01_050039600	CD01	PfCD01_05	1419459	1426737	erythrocyte membrane protein 1, PfEMP1	PfCD01_050039600	4	PfIT_070005800, PfCD01_050039600, PfSN01_000012600, PfNF166_090042600	2	50.0	Subtelomeric/Variable
107	PfCD01_060005300	CD01	PfCD01_06	16963	24493	erythrocyte membrane protein 1, PfEMP1	PfCD01_060005300	1	PfCD01_060005300	1	100.0	Subtelomeric/Variable
108	PfCD01_070005300	CD01	PfCD01_07	22783	30469	erythrocyte membrane protein 1, PfEMP1	PfCD01_070005300	1	PfCD01_070005300	1	100.0	Subtelomeric/Variable
109	PfCD01_070016600	CD01	PfCD01_07	533025	534146	rifin	Pf7G8-2_000196300	7	Pf7G8_070017800, PfKH02_040026200, PfKE01_040019200, Pf7G8-2_000196300, PfGB4_070017400, PfKH01_070016000, PfCD01_070016600	4	57.14285714285714	Subtelomeric/Variable
110	PfCD01_070035800	CD01	PfCD01_07	1355464	1367296	erythrocyte membrane protein 1, PfEMP1	PfCD01_070035800	4	PfHB3_000008700, PfKH01_040027700, PfGN01_020005900, PfCD01_070035800	3	75.0	Subtelomeric/Variable
111	PfCD01_070035900	CD01	PfCD01_07	1368816	1376573	erythrocyte membrane protein 1 (PfEMP1), pseudogene	PfCD01_070035900	1	PfCD01_070035900	1	100.0	Subtelomeric/Variable
112	PfCD01_080005400	CD01	PfCD01_08	39896	48792	erythrocyte membrane protein 1, PfEMP1	PfCD01_080005400	4	PfGB4_000018400, PfGA01_080036000, PfGN01_000022600, PfCD01_080005400	4	100.0	Subtelomeric/Variable
113	PfCD01_080005500	CD01	PfCD01_08	50865	60545	erythrocyte membrane protein 1, PfEMP1	PfCD01_080005500	1	PfCD01_080005500	1	100.0	Subtelomeric/Variable
114	PfCD01_080013800	CD01	PfCD01_08	450298	457843	erythrocyte membrane protein 1, PfEMP1	PfCD01_080013800	1	PfCD01_080013800	1	100.0	Subtelomeric/Variable
115	PfCD01_080038400	CD01	PfCD01_08	1457438	1458546	rifin	PfCD01_080038400	4	PfIT_040030500, PfKH02_010005500, PfKE01_070005100, PfCD01_080038400	1	25.0	Subtelomeric/Variable
116	PfCD01_080038700	CD01	PfCD01_08	1467123	1468261	rifin	PfCD01_080038700	1	PfCD01_080038700	1	100.0	Subtelomeric/Variable
117	PfCD01_090005600	CD01	PfCD01_09	35644	45698	erythrocyte membrane protein 1, PfEMP1	PfCD01_090005600	2	PfKH02_100045500, PfCD01_090005600	1	50.0	Subtelomeric/Variable
