source:/mnt/hc-storage/users/freyja/get_pangenes/inputs_for_growth_pangenes/PlasmoDB68_PfalciparumNF135C10_0taxa_2neigh_algMmap_/PlasmoDB-68PfalciparumNF135C10	PlasmoDB-68_PfalciparumNF135C10	PlasmoDB-68_Pfalciparum7G8-2019	PlasmoDB-68_PfalciparumIT	PlasmoDB-68_Pfalciparum7G8	PlasmoDB-68_PfalciparumNF166	PlasmoDB-68_PfalciparumDd2	PlasmoDB-68_PfalciparumHB3	PlasmoDB-68_PfalciparumKH02	PlasmoDB-68_Pfalciparum3D7	PlasmoDB-68_PfalciparumSD01	PlasmoDB-68_PfalciparumKE01	PlasmoDB-68_PfalciparumNF54	PlasmoDB-68_PfalciparumSN01	PlasmoDB-68_PfalciparumGB4	PlasmoDB-68_PfalciparumKH01	PlasmoDB-68_PfalciparumGN01	PlasmoDB-68_PfalciparumGA01	PlasmoDB-68_PfalciparumCD01	PlasmoDB-68_PfalciparumTG01	PlasmoDB-68_PfalciparumML01	
PfNF135_010008900	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010009000	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010009100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010009200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010009300	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010009400	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010009500	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010009600	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010009700	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010009800	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010009900	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010010000	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010010100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010010200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010010300	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010010400	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010010500	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010010600	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010010700	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010010800	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010010900	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010011000	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	
PfNF135_010011100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010011200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010011300	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010011400	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010011500	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010011600	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010011700	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010011800	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010011900	1	1	0	0	1	1	1	1	1	0	1	0	1	0	1	1	0	0	1	0	
PfNF135_010012000	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	
PfNF135_010012100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010012200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010012300	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010012400	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010012500	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010012600	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010012700	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010012800	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010012900	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010013000	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010013100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010013200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010013300	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010013400	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010013500	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010013600	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010013700	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010013800	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010013900	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010014000	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010014100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010014200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010014300	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	
PfNF135_010014400	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010014500	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010014600	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PF3D7_0110600	0	2	1	2	0	2	2	1	1	1	1	0	1	1	1	1	1	0	0	1	
PfNF135_010014800	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010014900	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010015000	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010015100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010015200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010015300	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010015400	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010015500	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010015600	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010015700	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010015800	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	
PfNF135_010015900	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010016000	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	
PfNF135_010016100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010016200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010016700	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010016800	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	
PfNF135_010016900	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	
PfNF135_010017000	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	
PfNF135_010017100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010017200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	
PfNF135_010017300	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	
PfNF135_010017500	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PF3D7_0113800	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010017700	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010017800	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	
PfNF135_010017900	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010018000	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	
PfNF135_010018200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010018400	1	1	1	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	2	1	
PfNF135_010018500	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_010018700	1	0	0	0	1	1	1	1	1	1	1	3	1	1	0	1	0	1	1	1	
PfNF135_010018800	1	0	0	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	
PF3D7_0115200	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0	0	0	1	0	0	
PF3D7_0115300	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	
PF3D7_0115400	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	
PF3D7_0115600	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	
PF3D7_0115700	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	
PF3D7_0200100	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	
PF3D7_0200200	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	
PfNF135_120006200	1	0	1	1	0	0	1	1	1	2	1	1	0	1	1	1	1	1	1	1	
PfNF135_100005500	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	
PF3D7_0200500	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	
PF3D7_0200600	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	
PfNF135_010005800	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	1	0	
PF3D7_0201000	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	
PfNF135_050005600	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	1	0	1	1	
PfNF135_020007600	1	0	0	1	0	0	0	0	1	1	0	1	1	1	1	1	1	0	1	1	
PfNF135_020007700	1	1	0	1	1	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	
PfNF135_020007800	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	
PfNF135_020007900	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	
PfNF135_020008000	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	
PfNF135_020008100	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	
PfNF135_020008200	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	
PfNF135_020008300	1	1	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	
PfNF135_020008400	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	
PfNF135_020008500	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	
PfNF135_020008600	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	
PfNF135_020008700	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	
PfNF135_020008800	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020008900	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020009000	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	
PfNF135_020009100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020009200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020009300	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020009400	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	
PfNF135_020009500	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	
PfNF135_020009600	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020009700	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020009800	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020010000	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020010100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020010200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020010300	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	
PfNF135_020010400	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020010500	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020010600	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020010700	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020010800	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020010900	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020011000	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020011100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020011200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020011300	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020011400	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	
PfNF135_020011500	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020011600	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020011700	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020011800	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020011900	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020012000	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020012100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020012200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020012300	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020012400	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020012500	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020012600	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020012700	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020012800	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020012900	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020013000	1	1	1	1	1	0	0	0	1	1	0	1	0	1	0	1	0	0	1	1	
PfNF135_020013100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020013200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020013300	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020013400	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020013500	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020013600	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020013700	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020013800	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020013900	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020014000	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020014100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020014200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020014300	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	
PfNF135_020014400	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020014500	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PF3D7_0208400	0	0	0	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	
PfNF135_020014700	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020014800	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020014900	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020015000	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PF3D7_0208900	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	
PfNF135_020015200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020015300	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020015400	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020015500	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020015600	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020015700	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020015800	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020015900	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020016000	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020016100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020016200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020016300	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020016400	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020016500	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020016600	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020016700	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020016800	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020016900	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020017000	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020017100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020017200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020017300	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020017400	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	1	
PfNF135_020017500	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020017600	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PF3D7_0211700	0	0	1	1	1	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	
PfNF135_020017800	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020017900	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020018000	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020018100	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	
PfNF135_020018200	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020018300	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020018400	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020018500	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020018600	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
PfNF135_020018700	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
