Gene ID	source_id	Genomic Location (Gene)	Product Description	Selected Samples that match	Sum of Unique Peptides (Within Samples)	Unique Peptides (Across Samples)
PF3D7_0109950	PF3D7_0109950.1	Pf3D7_01_v3:386,708..388,186(+)	respiratory chain complex 2 associated protein 3	7	25	5
PF3D7_0110000	PF3D7_0110000.1	Pf3D7_01_v3:388,192..389,559(+)	conserved Plasmodium protein, unknown function	1	1	1
PF3D7_0110100	PF3D7_0110100.1	Pf3D7_01_v3:388,887..392,185(-)	selenocysteine-specific elongation factor, putative	1	2	2
PF3D7_0110200	PF3D7_0110200.1	Pf3D7_01_v3:392,323..393,620(+)	FAD-linked sulfhydryl oxidase ERV1, putative	2	2	2
PF3D7_0110400	PF3D7_0110400.1	Pf3D7_01_v3:393,695..395,222(-)	DNA-directed RNA polymerase II subunit RPB9, putative	9	21	8
PF3D7_0110500	PF3D7_0110500.1	Pf3D7_01_v3:396,580..403,838(+)	bromodomain protein 3, putative	13	34	29
PF3D7_0110600	PF3D7_0110600.1	Pf3D7_01_v3:405,007..412,453(+)	phosphatidylinositol-4-phosphate 5-kinase	13	100	73
PF3D7_0110700	PF3D7_0110700.1	Pf3D7_01_v3:413,076..417,001(-)	chromatin assembly factor 1 subunit C, putative	21	181	39
PF3D7_0110800	PF3D7_0110800.1	Pf3D7_01_v3:417,254..420,218(+)	transcription initiation factor TFIIB, putative	10	47	14
PF3D7_0110900	PF3D7_0110900.1	Pf3D7_01_v3:419,727..420,942(-)	adenylate kinase-like protein 1	8	18	11
PF3D7_0111000	PF3D7_0111000.1	Pf3D7_01_v3:421,025..428,878(-)	kinesin-8B, putative	10	108	52
PF3D7_0111300	PF3D7_0111300.1	Pf3D7_01_v3:431,167..436,457(-)	P-loop containing nucleoside triphosphate hydrolase, putative	5	72	36
PF3D7_0111400	PF3D7_0111400.1	Pf3D7_01_v3:436,179..439,368(+)	conserved Plasmodium protein, unknown function	10	31	23
PF3D7_0111500	PF3D7_0111500.1	Pf3D7_01_v3:439,395..442,195(-)	UMP-CMP kinase, putative	16	104	24
PF3D7_0111600	PF3D7_0111600.1	Pf3D7_01_v3:442,380..443,473(-)	conserved Plasmodium protein, unknown function	4	4	2
PF3D7_0111800	PF3D7_0111800.1	Pf3D7_01_v3:444,710..449,954(+)	eukaryotic translation initiation factor 4E, putative	7	15	9
PF3D7_0111900	PF3D7_0111900.1	Pf3D7_01_v3:449,966..450,646(-)	mitochondrial distribution and morphology protein, putative	3	4	4
PF3D7_0112000	PF3D7_0112000.1	Pf3D7_01_v3:450,831..453,195(-)	TatD-like deoxyribonuclease	12	62	26
PF3D7_0112100	PF3D7_0112100.1	Pf3D7_01_v3:454,847..455,338(+)	PIMMS1 protein	1	1	1
PF3D7_0112200	PF3D7_0112200.1	Pf3D7_01_v3:463,764..471,891(+)	multidrug resistance-associated protein 1	8	54	41
PF3D7_0113000	PF3D7_0113000.1	Pf3D7_01_v3:487,239..490,901(-)	glutamic acid-rich protein GARP	15	74	27
PF3D7_0113100	PF3D7_0113100.1	Pf3D7_01_v3:494,941..500,347(+)	surface-associated interspersed protein 1.1 (SURFIN 1.1)	3	3	3
PF3D7_0113200	PF3D7_0113200.1	Pf3D7_01_v3:500,888..503,795(-)	Plasmodium exported protein, unknown function	10	20	18
PF3D7_0113700	PF3D7_0113700.1	Pf3D7_01_v3:519,766..523,106(+)	heat shock protein 40, type II	2	3	2
PF3D7_0113800	PF3D7_0113800.1	Pf3D7_01_v3:526,530..536,562(+)	DBL containing protein, unknown function	1	2	2
PF3D7_0113900	PF3D7_0113900.1	Pf3D7_01_v3:536,783..538,156(-)	CX3CL1-binding protein 1	18	55	10
PF3D7_0114000	PF3D7_0114000.1	Pf3D7_01_v3:541,805..547,544(+)	exported protein family 1	10	162	61
PF3D7_0114100	PF3D7_0114100.1	Pf3D7_01_v3:547,245..548,669(-)	Pfmc-2TM Maurer's cleft two transmembrane protein	5	8	6
PF3D7_0114500	PF3D7_0114500.1	Pf3D7_01_v3:557,700..558,946(-)	Plasmodium exported protein (hyp10), unknown function	1	1	1
PF3D7_0114700	PF3D7_0114700.1	Pf3D7_01_v3:563,703..564,842(-)	rifin	3	5	4
PF3D7_0115000	PF3D7_0115000.1	Pf3D7_01_v3:577,704..583,789(+)	surface-associated interspersed protein 1.3 (SURFIN 1.3)	1	2	2
PF3D7_0115100	PF3D7_0115100.1	Pf3D7_01_v3:587,391..588,394(+)	Plasmodium exported protein (PHISTa), unknown function	6	71	27
PF3D7_0115200	PF3D7_0115200.1	Pf3D7_01_v3:591,849..593,187(+)	rifin	2	2	2
PF3D7_0115600	PF3D7_0115600.1	Pf3D7_01_v3:604,162..605,531(+)	rifin	1	2	2
PF3D7_0115700	PF3D7_0115700.1	Pf3D7_01_v3:607,390..614,893(-)	erythrocyte membrane protein 1, PfEMP1	1	3	3
PF3D7_0200100	PF3D7_0200100.1	Pf3D7_02_v3:25,232..31,168(+)	erythrocyte membrane protein 1, PfEMP1	1	2	2
PF3D7_0200500	PF3D7_0200500.1	Pf3D7_02_v3:41,515..42,858(-)	rifin	1	3	3
PF3D7_0200700	PF3D7_0200700.1	Pf3D7_02_v3:48,923..50,147(-)	rifin	1	1	1
PF3D7_0201200	PF3D7_0201200.1	Pf3D7_02_v3:63,157..64,376(+)	rifin	1	3	3
PF3D7_0201300	PF3D7_0201300.1	Pf3D7_02_v3:66,529..67,545(+)	stevor	1	1	1
PF3D7_0201500	PF3D7_0201500.1	Pf3D7_02_v3:72,155..76,714(-)	Plasmodium exported protein (hyp9), unknown function	3	9	5
PF3D7_0201600	PF3D7_0201600.1	Pf3D7_02_v3:76,725..79,448(-)	PHISTb domain-containing RESA-like protein 1	2	6	6
PF3D7_0201700	PF3D7_0201700.1	Pf3D7_02_v3:80,851..84,937(-)	DnaJ protein, putative	5	12	8
PF3D7_0201800	PF3D7_0201800.1	Pf3D7_02_v3:86,183..89,482(-)	knob associated heat shock protein 40	10	42	22
PF3D7_0201900	PF3D7_0201900.1	Pf3D7_02_v3:90,205..100,157(-)	erythrocyte membrane protein 3	16	57	32
PF3D7_0202000	PF3D7_0202000.1	Pf3D7_02_v3:102,137..106,662(-)	knob-associated histidine-rich protein	33	295	101
PF3D7_0202100	PF3D7_0202100.1	Pf3D7_02_v3:108,217..111,658(-)	liver stage associated protein 2	5	5	5
PF3D7_0202200	PF3D7_0202200.1	Pf3D7_02_v3:111,818..115,064(-)	EMP1-trafficking protein	11	36	15
PF3D7_0202400	PF3D7_0202400.1	Pf3D7_02_v3:118,835..125,090(+)	translation-enhancing factor	19	109	50
PF3D7_0202500	PF3D7_0202500.1	Pf3D7_02_v3:127,203..129,089(+)	early transcribed membrane protein 2	16	27	9
PF3D7_0202600	PF3D7_0202600.1	Pf3D7_02_v3:129,336..134,329(-)	nucleic acid-binding protein, putative	5	9	9
PF3D7_0202600	PF3D7_0202600.2	Pf3D7_02_v3:129,336..134,329(-)	nucleic acid-binding protein, putative	5	9	9
PF3D7_0202700	PF3D7_0202700.1	Pf3D7_02_v3:134,779..137,615(+)	octaprenyl pyrophosphate synthase	1	1	1
PF3D7_0203000	PF3D7_0203000.1	Pf3D7_02_v3:141,269..148,515(-)	repetitive organellar protein, putative	11	39	33
PF3D7_0203100	PF3D7_0203100.1	Pf3D7_02_v3:148,914..157,296(-)	protein kinase, putative	4	14	13
PF3D7_0203200	PF3D7_0203200.1	Pf3D7_02_v3:157,937..159,891(-)	conserved Plasmodium protein, unknown function	3	4	4
PF3D7_0203400	PF3D7_0203400.1	Pf3D7_02_v3:161,491..163,864(-)	conserved protein, unknown function	9	15	10
PF3D7_0203600	PF3D7_0203600.1	Pf3D7_02_v3:165,912..168,559(+)	conserved Plasmodium protein, unknown function	4	12	10
PF3D7_0203700	PF3D7_0203700.1	Pf3D7_02_v3:168,580..170,767(-)	protein MAK16, putative	2	2	2
PF3D7_0203900	PF3D7_0203900.1	Pf3D7_02_v3:176,370..178,737(+)	5'-3' exonuclease, putative	1	1	1
PF3D7_0204000	PF3D7_0204000.1	Pf3D7_02_v3:178,955..181,941(+)	condensin-2 complex subunit H2, putative	4	33	23
PF3D7_0204100	PF3D7_0204100.1	Pf3D7_02_v3:181,749..189,877(-)	Sel1 repeat-containing protein, putative	9	52	34
PF3D7_0204200	PF3D7_0204200.1	Pf3D7_02_v3:192,755..194,248(+)	translocation protein SEC66, putative	19	74	16
PF3D7_0204300	PF3D7_0204300.1	Pf3D7_02_v3:194,272..197,151(-)	conserved Plasmodium protein, unknown function	3	4	4
PF3D7_0204400	PF3D7_0204400.1	Pf3D7_02_v3:197,153..198,043(-)	dynein light chain, putative	3	6	3
PF3D7_0204500	PF3D7_0204500.1	Pf3D7_02_v3:198,353..199,613(-)	aspartate transaminase	18	96	24
PF3D7_0204700	PF3D7_0204700.1	Pf3D7_02_v3:204,784..207,425(-)	hexose transporter	32	150	19
PF3D7_0204900	PF3D7_0204900.1	Pf3D7_02_v3:211,067..212,635(+)	2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial, putative	8	37	8
PF3D7_0205000	PF3D7_0205000.1	Pf3D7_02_v3:212,672..214,714(-)	conserved Plasmodium protein, unknown function	1	1	1
PF3D7_0205100	PF3D7_0205100.1	Pf3D7_02_v3:214,838..217,843(-)	conserved Plasmodium protein, unknown function	4	23	12
PF3D7_0205200	PF3D7_0205200.1	Pf3D7_02_v3:217,882..218,907(-)	MORN repeat protein, putative	4	26	11
PF3D7_0205300	PF3D7_0205300.1	Pf3D7_02_v3:219,690..222,256(+)	conserved Plasmodium protein, unknown function	4	16	13
PF3D7_0205400	PF3D7_0205400.1	Pf3D7_02_v3:222,830..225,455(+)	PCI domain-containing protein, putative	8	15	8
PF3D7_0205500	PF3D7_0205500.1	Pf3D7_02_v3:225,212..226,438(-)	DNA-directed RNA polymerase II 16 kDa subunit, putative	7	13	5
PF3D7_0205600	PF3D7_0205600.1	Pf3D7_02_v3:227,756..230,583(+)	conserved Plasmodium protein, unknown function	6	73	30
PF3D7_0205800	PF3D7_0205800.1	Pf3D7_02_v3:232,642..233,918(-)	PH domain-containing protein, putative	2	2	2
PF3D7_0205900	PF3D7_0205900.1	Pf3D7_02_v3:234,461..239,124(+)	26S proteasome regulatory subunit RPN1, putative	25	399	81
PF3D7_0206000	PF3D7_0206000.1	Pf3D7_02_v3:239,146..244,604(-)	DNA repair protein RAD2, putative	6	10	9
PF3D7_0206200	PF3D7_0206200.1	Pf3D7_02_v3:248,880..251,521(+)	pantothenate transporter	7	22	13
PF3D7_0206500	PF3D7_0206500.1	Pf3D7_02_v3:262,727..268,003(-)	conserved Plasmodium protein, unknown function	6	9	9
PF3D7_0206700	PF3D7_0206700.1	Pf3D7_02_v3:271,374..274,711(+)	adenylosuccinate lyase	18	96	24
PF3D7_0206800	PF3D7_0206800.1	Pf3D7_02_v3:271,576..274,917(-)	merozoite surface protein 2	5	21	10
PF3D7_0206900	PF3D7_0206900.1	Pf3D7_02_v3:274,946..276,712(-)	merozoite surface protein 5	2	5	5
PF3D7_0206900	PF3D7_0206900.2	Pf3D7_02_v3:274,946..276,712(-)	merozoite surface protein 5	3	6	6
PF3D7_0207000	PF3D7_0207000.1	Pf3D7_02_v3:276,725..279,258(-)	merozoite surface protein 4	1	3	3
PF3D7_0207100	PF3D7_0207100.1	Pf3D7_02_v3:281,275..287,696(+)	conserved Plasmodium protein, unknown function	8	30	26
PF3D7_0207200	PF3D7_0207200.1	Pf3D7_02_v3:287,423..288,941(-)	iron-sulfur assembly protein, putative	3	7	3
PF3D7_0207300	PF3D7_0207300.1	Pf3D7_02_v3:290,168..292,703(-)	serine repeat antigen 8	8	134	65
PF3D7_0207400	PF3D7_0207400.1	Pf3D7_02_v3:293,896..297,980(-)	serine repeat antigen 7	7	40	24
PF3D7_0207500	PF3D7_0207500.1	Pf3D7_02_v3:298,380..302,820(-)	serine repeat antigen 6	12	161	67
PF3D7_0207600	PF3D7_0207600.1	Pf3D7_02_v3:303,409..307,376(-)	serine repeat antigen 5	22	399	138
PF3D7_0207700	PF3D7_0207700.1	Pf3D7_02_v3:308,628..312,348(-)	serine repeat antigen 4	7	125	71
PF3D7_0207800	PF3D7_0207800.1	Pf3D7_02_v3:312,990..316,944(-)	serine repeat antigen 3	8	50	32
PF3D7_0207900	PF3D7_0207900.1	Pf3D7_02_v3:317,422..321,552(-)	serine repeat antigen 2	3	7	7
PF3D7_0208000	PF3D7_0208000.1	Pf3D7_02_v3:322,329..326,390(-)	serine repeat antigen 1	1	1	1
PF3D7_0208100	PF3D7_0208100.1	Pf3D7_02_v3:327,442..335,433(+)	C2 domain-containing protein 5, putative	11	45	38
PF3D7_0208200	PF3D7_0208200.1	Pf3D7_02_v3:335,421..337,000(-)	KRR1 small subunit processome component, putative	8	14	10
PF3D7_0208300	PF3D7_0208300.1	Pf3D7_02_v3:337,310..343,223(+)	conserved Plasmodium protein, unknown function	1	1	1
PF3D7_0208400	PF3D7_0208400.1	Pf3D7_02_v3:342,081..351,139(-)	histidine phosphatase, putative	3	7	6
PF3D7_0208500	PF3D7_0208500.1	Pf3D7_02_v3:351,650..354,043(+)	acyl carrier protein	6	10	3
PF3D7_0208600	PF3D7_0208600.1	Pf3D7_02_v3:354,341..356,448(+)	ribosome-recycling factor	1	1	1
PF3D7_0208700	PF3D7_0208700.1	Pf3D7_02_v3:356,196..358,035(-)	SHS2 domain-containing protein, putative	6	19	8
PF3D7_0208800	PF3D7_0208800.1	Pf3D7_02_v3:358,084..360,086(+)	protein P22, putative	15	67	16
PF3D7_0208900	PF3D7_0208900.1	Pf3D7_02_v3:360,828..368,354(+)	6-cysteine protein P230p	8	245	121
PF3D7_0209000	PF3D7_0209000.1	Pf3D7_02_v3:369,351..380,156(+)	6-cysteine protein P230	10	1110	352
PF3D7_0209100	PF3D7_0209100.1	Pf3D7_02_v3:380,935..384,245(-)	patatin-like phospholipase 1	11	39	25
PF3D7_0209200	PF3D7_0209200.1	Pf3D7_02_v3:384,529..386,885(-)	exosome complex component MTR3, putative	7	16	9
PF3D7_0209300	PF3D7_0209300.1	Pf3D7_02_v3:386,930..388,236(+)	2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	3	6	4
PF3D7_0209400	PF3D7_0209400.1	Pf3D7_02_v3:388,216..391,107(-)	ARMT1-like domain-containing protein, putative	10	97	29
PF3D7_0209500	PF3D7_0209500.1	Pf3D7_02_v3:391,238..392,887(-)	conserved Plasmodium protein, unknown function	9	50	36
PF3D7_0209600	PF3D7_0209600.1	Pf3D7_02_v3:393,969..399,286(-)	transporter, putative	2	2	2
PF3D7_0209800	PF3D7_0209800.1	Pf3D7_02_v3:403,095..406,706(-)	ATP-dependent RNA helicase UAP56	35	367	63
PF3D7_0210000	PF3D7_0210000.1	Pf3D7_02_v3:409,983..411,199(+)	secretory complex protein 61 gamma subunit	14	25	8
PF3D7_0210100	PF3D7_0210100.1	Pf3D7_02_v3:411,419..412,963(+)	60S ribosomal protein L37ae, putative	23	57	11
PF3D7_0210100	PF3D7_0210100.2	Pf3D7_02_v3:411,419..412,963(+)	60S ribosomal protein L37ae, putative	1	1	1
PF3D7_0210200	PF3D7_0210200.1	Pf3D7_02_v3:412,948..421,861(-)	conserved Plasmodium protein, unknown function	14	175	80
PF3D7_0210300	PF3D7_0210300.1	Pf3D7_02_v3:422,574..425,116(-)	monocarboxylate transporter, putative	2	4	4
PF3D7_0210500	PF3D7_0210500.1	Pf3D7_02_v3:427,161..431,611(+)	conserved Plasmodium protein, unknown function	1	1	1
PF3D7_0210600	PF3D7_0210600.1	Pf3D7_02_v3:431,716..434,231(-)	protein CERLI1	5	13	11
PF3D7_0210700	PF3D7_0210700.1	Pf3D7_02_v3:435,985..437,173(+)	syntaxin, Qa-SNARE family	7	21	10
PF3D7_0210900	PF3D7_0210900.1	Pf3D7_02_v3:441,381..443,570(-)	conserved Plasmodium protein, unknown function	23	74	28
PF3D7_0211100	PF3D7_0211100.1	Pf3D7_02_v3:451,526..455,367(+)	conserved Plasmodium protein, unknown function	1	1	1
PF3D7_0211200	PF3D7_0211200.1	Pf3D7_02_v3:455,265..456,900(-)	ras-related protein Rab-5A	12	66	14
PF3D7_0211400	PF3D7_0211400.1	Pf3D7_02_v3:458,932..461,640(-)	beta-ketoacyl-ACP synthase III	2	4	4
PF3D7_0211500	PF3D7_0211500.1	Pf3D7_02_v3:463,147..467,352(+)	GAF domain-related protein, putative	4	15	9
PF3D7_0211600	PF3D7_0211600.1	Pf3D7_02_v3:467,682..468,518(+)	UDP-N-acetylglucosamine transferase subunit ALG14, putative	1	2	2
PF3D7_0211700	PF3D7_0211700.1	Pf3D7_02_v3:469,408..474,167(+)	tyrosine kinase-like protein, putative	1	1	1
PF3D7_0211800	PF3D7_0211800.1	Pf3D7_02_v3:475,109..477,618(+)	asparagine--tRNA ligase	27	319	58
PF3D7_0212000	PF3D7_0212000.1	Pf3D7_02_v3:479,683..481,854(+)	GDP-fructose:GMP antiporter, putative	1	2	2
PF3D7_0212100	PF3D7_0212100.1	Pf3D7_02_v3:483,322..489,702(+)	conserved Plasmodium protein, unknown function	14	58	47
PF3D7_0212200	PF3D7_0212200.1	Pf3D7_02_v3:489,203..491,256(-)	ribosomal protein L12, mitochondrial, putative	2	5	3
PF3D7_0212300	PF3D7_0212300.1	Pf3D7_02_v3:491,640..495,105(+)	eukaryotic peptide chain release factor subunit 1, putative	23	154	34
PF3D7_0212400	PF3D7_0212400.1	Pf3D7_02_v3:494,337..507,898(-)	nucleoporin NUP390, putative	17	84	55
PF3D7_0212500	PF3D7_0212500.1	Pf3D7_02_v3:508,665..521,769(+)	nucleoporin NUP434, putative	22	162	122
PF3D7_0212600	PF3D7_0212600.1	Pf3D7_02_v3:522,339..524,405(+)	secreted protein with altered thrombospondin repeat domain	3	20	11
PF3D7_0212900	PF3D7_0212900.1	Pf3D7_02_v3:532,001..534,657(+)	arginyl-tRNA--protein transferase	14	52	18
PF3D7_0213000	PF3D7_0213000.1	Pf3D7_02_v3:534,659..536,945(+)	conserved protein, unknown function	6	22	9
PF3D7_0213100	PF3D7_0213100.1	Pf3D7_02_v3:537,390..540,199(+)	protein SIS1	31	194	36
PF3D7_0213200	PF3D7_0213200.1	Pf3D7_02_v3:539,809..541,065(-)	mitochondrial respiratory chain complex II subunit, putative	2	4	3
PF3D7_0213400	PF3D7_0213400.1	Pf3D7_02_v3:540,403..543,807(+)	protein kinase 7	3	4	2
PF3D7_0213500	PF3D7_0213500.1	Pf3D7_02_v3:543,700..546,217(-)	tetratricopeptide repeat protein, putative	6	42	18
PF3D7_0213600	PF3D7_0213600.1	Pf3D7_02_v3:546,482..555,294(-)	conserved Plasmodium protein, unknown function	5	43	40
PF3D7_0213700	PF3D7_0213700.1	Pf3D7_02_v3:556,774..558,250(+)	conserved protein, unknown function	12	24	8
PF3D7_0214000	PF3D7_0214000.1	Pf3D7_02_v3:565,669..568,518(+)	T-complex protein 1 subunit theta	25	316	58
PF3D7_0214100	PF3D7_0214100.1	Pf3D7_02_v3:568,246..573,893(-)	protein transport protein SEC31	36	303	96
PF3D7_0214300	PF3D7_0214300.1	Pf3D7_02_v3:577,433..586,702(+)	conserved Plasmodium protein, unknown function	3	9	9
PF3D7_0214400	PF3D7_0214400.1	Pf3D7_02_v3:586,717..589,640(-)	protein LTV1, putative	2	6	6
PF3D7_0214600	PF3D7_0214600.1	Pf3D7_02_v3:593,374..600,035(+)	serine/threonine protein kinase STK2, putative	2	2	2
